epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.925,1.98502,2.71889,2.08795,0.38019,0.39922,0.34885,0.14742,1.90285,2.28868,2.09605,0.00332005,0.00332005,0.00332005
2,210.041,1.76229,2.20941,1.86816,0.20488,0.28637,0.16474,0.0658,2.17388,3.28595,2.40212,0.00657105,0.00657105,0.00657105
3,317.324,1.92912,2.74535,2.03066,0.04407,0.0596,0.0146,0.00454,2.8513,14.0559,3.5631,0.00973955,0.00973955,0.00973955
4,426.675,1.98766,3.02245,2.1257,0.12399,0.20059,0.09118,0.03538,2.20207,6.2235,2.50231,0.00962875,0.00962875,0.00962875
5,538.039,1.83172,2.72324,2.00419,0.19899,0.18902,0.1182,0.04762,2.10435,3.99527,2.37631,0.009505,0.009505,0.009505
6,649.144,1.75614,2.53981,1.93335,0.38921,0.32119,0.27896,0.12578,1.88738,2.48609,2.08215,0.00938125,0.00938125,0.00938125
7,754.136,1.70467,2.39684,1.88516,0.40203,0.36602,0.34716,0.1604,1.82498,2.19235,2.04036,0.0092575,0.0092575,0.0092575
8,859.304,1.65812,2.26668,1.84745,0.53365,0.37148,0.39219,0.19518,1.72631,2.15672,1.95037,0.00913375,0.00913375,0.00913375
9,968.426,1.62956,2.19843,1.83187,0.3891,0.40027,0.33683,0.16669,1.73886,2.24868,1.95426,0.00901,0.00901,0.00901
10,1079.4,1.59809,2.12103,1.79635,0.48583,0.4063,0.40812,0.2029,1.73609,2.00539,1.93238,0.00888625,0.00888625,0.00888625
11,1190.67,1.57216,2.06543,1.79138,0.49594,0.47573,0.46978,0.24018,1.69711,1.89712,1.90463,0.0087625,0.0087625,0.0087625
12,1301.91,1.56207,2.00689,1.77374,0.51378,0.46445,0.45985,0.23873,1.66247,1.84471,1.86987,0.00863875,0.00863875,0.00863875
13,1411.65,1.5251,1.94336,1.73695,0.55733,0.48922,0.50837,0.26911,1.63383,1.75789,1.84765,0.008515,0.008515,0.008515
14,1522.47,1.50943,1.87239,1.72522,0.58277,0.50939,0.52398,0.2784,1.60178,1.72983,1.81697,0.00839125,0.00839125,0.00839125
15,1633.27,1.48844,1.85252,1.71243,0.56986,0.5169,0.53153,0.29091,1.61043,1.6404,1.83908,0.0082675,0.0082675,0.0082675
16,1743.74,1.48286,1.78635,1.70609,0.62724,0.53872,0.56938,0.31467,1.57628,1.58309,1.78271,0.00814375,0.00814375,0.00814375
