epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.014,2.63381,3.74537,3.63706,0.36889,0.32646,0.30459,0.11746,2.16829,3.02916,3.01469,0.00331956,0.00331956,0.00331956
2,207.319,1.97118,2.77977,2.51883,0.21727,0.26434,0.14733,0.05723,2.16337,3.66541,2.65904,0.00657056,0.00657056,0.00657056
3,311.226,2.01698,2.86651,2.39073,0.05603,0.0906,0.02514,0.00764,2.48771,7.62706,3.18215,0.00973907,0.00973907,0.00973907
4,415.934,2.02411,2.99182,2.34576,0.20044,0.16039,0.10189,0.03866,2.24607,5.2627,2.709,0.00962875,0.00962875,0.00962875
5,519.938,1.86832,2.69896,2.15791,0.23703,0.26792,0.18608,0.07743,1.96904,2.86766,2.29632,0.009505,0.009505,0.009505
6,622.779,1.7903,2.5022,2.06446,0.34568,0.32048,0.26817,0.12162,1.88766,2.66306,2.19585,0.00938125,0.00938125,0.00938125
7,724.791,1.72024,2.35776,1.98769,0.44295,0.36621,0.34562,0.16018,1.83878,2.29806,2.14944,0.0092575,0.0092575,0.0092575
8,827.256,1.68043,2.25644,1.94577,0.42738,0.39004,0.37407,0.17941,1.77895,2.32866,2.06461,0.00913375,0.00913375,0.00913375
9,931.53,1.63661,2.13603,1.89255,0.50735,0.40612,0.39969,0.19555,1.75079,2.27972,2.03017,0.00901,0.00901,0.00901
10,1036.64,1.60992,2.08406,1.87809,0.47824,0.42508,0.41168,0.20727,1.6984,2.09214,1.98248,0.00888625,0.00888625,0.00888625
11,1138.92,1.57604,2.01917,1.84232,0.48881,0.47757,0.46331,0.24165,1.6662,1.98424,1.93468,0.0087625,0.0087625,0.0087625
12,1241.04,1.56691,1.97679,1.82519,0.57744,0.49204,0.51752,0.27241,1.67951,1.73879,1.93533,0.00863875,0.00863875,0.00863875
13,1347.18,1.54385,1.9221,1.79895,0.53481,0.50365,0.49246,0.26321,1.61803,1.81232,1.89658,0.008515,0.008515,0.008515
14,1450.32,1.51665,1.86176,1.77311,0.58431,0.52248,0.54742,0.2942,1.59479,1.66039,1.83528,0.00839125,0.00839125,0.00839125
15,1553.68,1.5047,1.82146,1.75899,0.60242,0.54164,0.57033,0.30726,1.59519,1.64549,1.82969,0.0082675,0.0082675,0.0082675
16,1658.61,1.48444,1.76893,1.74189,0.6044,0.54788,0.57183,0.31527,1.56296,1.58379,1.81789,0.00814375,0.00814375,0.00814375
17,1761.76,1.47372,1.74635,1.7355,0.62384,0.58735,0.61387,0.34003,1.52841,1.50832,1.78432,0.00802,0.00802,0.00802
18,1865.39,1.46676,1.7289,1.72311,0.65722,0.5644,0.61281,0.34872,1.54575,1.5535,1.77495,0.00789625,0.00789625,0.00789625
19,1968.78,1.44352,1.68346,1.70763,0.65639,0.56782,0.6204,0.3464,1.53043,1.54725,1.77941,0.0077725,0.0077725,0.0077725
20,2071.34,1.43909,1.63863,1.69082,0.66124,0.59402,0.63449,0.36356,1.54743,1.46982,1.76987,0.00764875,0.00764875,0.00764875
21,2175.29,1.41704,1.6056,1.67366,0.68386,0.59397,0.64194,0.36768,1.50666,1.40978,1.746,0.007525,0.007525,0.007525
22,2278.95,1.40505,1.58619,1.66386,0.67781,0.62228,0.66683,0.38359,1.48324,1.33302,1.72893,0.00740125,0.00740125,0.00740125
23,2381.51,1.40075,1.56938,1.6568,0.69119,0.61691,0.66666,0.38373,1.48421,1.38434,1.71588,0.0072775,0.0072775,0.0072775
24,2486.76,1.39858,1.54825,1.65499,0.68063,0.61237,0.66649,0.39124,1.48288,1.35669,1.71789,0.00715375,0.00715375,0.00715375
25,2590.18,1.38063,1.51867,1.63834,0.68394,0.62018,0.66946,0.38995,1.48597,1.3506,1.71978,0.00703,0.00703,0.00703
26,2693.95,1.38118,1.50217,1.63449,0.72153,0.63153,0.68841,0.39911,1.46781,1.28928,1.70988,0.00690625,0.00690625,0.00690625
27,2797.26,1.35831,1.47816,1.61573,0.71701,0.63433,0.69368,0.40972,1.45311,1.24988,1.67941,0.0067825,0.0067825,0.0067825
28,2900.84,1.34824,1.45512,1.60552,0.72433,0.64992,0.70708,0.41416,1.4155,1.23966,1.66973,0.00665875,0.00665875,0.00665875
29,3004.08,1.33969,1.43439,1.59865,0.72811,0.65878,0.71498,0.42358,1.41915,1.18136,1.66392,0.006535,0.006535,0.006535
30,3109.8,1.33012,1.40931,1.59439,0.70985,0.6663,0.7083,0.42045,1.42694,1.20098,1.66636,0.00641125,0.00641125,0.00641125
31,3215.21,1.32844,1.3902,1.5877,0.74349,0.66035,0.72224,0.42994,1.41139,1.18031,1.65198,0.0062875,0.0062875,0.0062875
32,3319.66,1.31297,1.36128,1.57519,0.72642,0.68269,0.72737,0.43779,1.42165,1.17476,1.65046,0.00616375,0.00616375,0.00616375
33,3424.84,1.29672,1.34717,1.56454,0.75592,0.69037,0.73687,0.4403,1.4187,1.15303,1.65791,0.00604,0.00604,0.00604
34,3529.6,1.2944,1.34435,1.56097,0.75384,0.67109,0.73013,0.44046,1.39262,1.14419,1.64452,0.00591625,0.00591625,0.00591625
35,3635.03,1.29129,1.32327,1.55495,0.75812,0.67354,0.73615,0.44132,1.42418,1.13793,1.66245,0.0057925,0.0057925,0.0057925
36,3740.59,1.28861,1.30868,1.53989,0.76009,0.67591,0.7375,0.4486,1.42147,1.11516,1.65006,0.00566875,0.00566875,0.00566875
37,3844.11,1.28171,1.29253,1.53655,0.7631,0.68572,0.74312,0.45208,1.38335,1.08211,1.63397,0.005545,0.005545,0.005545
38,3948.28,1.2619,1.26969,1.52109,0.76378,0.68738,0.74297,0.45203,1.39461,1.19028,1.63697,0.00542125,0.00542125,0.00542125
39,4053.73,1.25562,1.25724,1.5202,0.75636,0.69226,0.74685,0.45715,1.39393,1.12471,1.63578,0.0052975,0.0052975,0.0052975
40,4157.6,1.24856,1.23362,1.51409,0.75667,0.70246,0.75615,0.4613,1.40419,1.14404,1.64003,0.00517375,0.00517375,0.00517375
41,4262.72,1.25418,1.22007,1.50836,0.76579,0.70713,0.76277,0.46732,1.40707,1.11086,1.63089,0.00505,0.00505,0.00505
42,4366.35,1.23414,1.2059,1.49631,0.78137,0.69563,0.75926,0.4683,1.40405,1.0867,1.62244,0.00492625,0.00492625,0.00492625
43,4468.42,1.23694,1.20584,1.49687,0.77518,0.70683,0.76496,0.47177,1.39178,1.05064,1.62078,0.0048025,0.0048025,0.0048025
