epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.404,1.71947,2.57286,1.72139,0.50215,0.45509,0.45997,0.22973,1.67449,1.78024,1.73432,0.0033277,0.0033277,0.0033277
2,468.95,1.69082,2.13672,1.70522,0.34422,0.27182,0.22018,0.09811,2.03355,2.72941,2.13251,0.00657861,0.00657861,0.00657861
3,700.013,1.8846,2.64065,1.9218,0.18919,0.16722,0.10428,0.04058,2.21032,3.38854,2.35482,0.00974701,0.00974701,0.00974701
4,929.898,1.93456,2.8236,2.00112,0.29146,0.24151,0.19919,0.08438,1.97737,2.74908,2.15404,0.00962875,0.00962875,0.00962875
5,1156.43,1.84246,2.6352,1.93394,0.33764,0.29221,0.2452,0.10985,1.9129,2.44288,2.08818,0.009505,0.009505,0.009505
6,1384.91,1.76024,2.47975,1.88892,0.40272,0.33416,0.29728,0.1374,1.81402,2.29675,2.01816,0.00938125,0.00938125,0.00938125
7,1613,1.70983,2.3365,1.8268,0.46384,0.38486,0.36266,0.17082,1.78829,2.09251,1.978,0.0092575,0.0092575,0.0092575
8,1841.9,1.67505,2.26469,1.81029,0.48944,0.39711,0.38973,0.19135,1.72434,2.02861,1.9017,0.00913375,0.00913375,0.00913375
9,2070.95,1.63069,2.13225,1.76367,0.50815,0.44436,0.43001,0.21687,1.64835,1.90612,1.83143,0.00901,0.00901,0.00901
10,2300.38,1.59652,2.07074,1.73651,0.45221,0.47203,0.43946,0.22557,1.65394,1.82107,1.84499,0.00888625,0.00888625,0.00888625
11,2529.23,1.58797,2.02781,1.72288,0.54797,0.51138,0.51438,0.27265,1.6106,1.67216,1.79976,0.0087625,0.0087625,0.0087625
12,2758.58,1.55728,1.95263,1.68615,0.57784,0.48303,0.51605,0.27393,1.57464,1.6571,1.74363,0.00863875,0.00863875,0.00863875
13,2987.7,1.53398,1.91463,1.67482,0.57509,0.52933,0.55077,0.29573,1.5637,1.5941,1.75308,0.008515,0.008515,0.008515
14,3216.76,1.52926,1.8581,1.66741,0.581,0.52861,0.54699,0.29285,1.56156,1.57464,1.75027,0.00839125,0.00839125,0.00839125
15,3443.34,1.51163,1.83926,1.65949,0.59543,0.52033,0.54488,0.30463,1.51454,1.5633,1.72287,0.0082675,0.0082675,0.0082675
16,3672.4,1.49417,1.79493,1.64703,0.64085,0.55953,0.60125,0.33081,1.52347,1.47105,1.71206,0.00814375,0.00814375,0.00814375
17,3900.6,1.48266,1.75657,1.62797,0.67684,0.56245,0.60466,0.33556,1.49415,1.44106,1.6779,0.00802,0.00802,0.00802
18,4130.47,1.46495,1.71687,1.61111,0.66094,0.56848,0.61247,0.34713,1.48654,1.42226,1.66143,0.00789625,0.00789625,0.00789625
19,4359.86,1.4508,1.68529,1.60329,0.65925,0.57939,0.61731,0.34552,1.49387,1.37992,1.67114,0.0077725,0.0077725,0.0077725
20,4589.17,1.43948,1.65727,1.58682,0.65204,0.5796,0.62621,0.35529,1.46179,1.3621,1.64114,0.00764875,0.00764875,0.00764875
21,4817.42,1.42511,1.63656,1.58052,0.66755,0.59535,0.64008,0.36993,1.4566,1.32577,1.6389,0.007525,0.007525,0.007525
22,5045.37,1.40926,1.60509,1.56718,0.67867,0.61723,0.65423,0.37414,1.43874,1.30505,1.62038,0.00740125,0.00740125,0.00740125
23,5274.64,1.40924,1.58265,1.56119,0.65828,0.60685,0.64898,0.37617,1.43378,1.30163,1.6133,0.0072775,0.0072775,0.0072775
24,5505.18,1.4026,1.55304,1.55049,0.70399,0.62137,0.67361,0.39216,1.41952,1.24357,1.61251,0.00715375,0.00715375,0.00715375
25,5731.53,1.38668,1.53335,1.54243,0.69239,0.61819,0.66143,0.38361,1.4279,1.25211,1.60721,0.00703,0.00703,0.00703
26,5960.94,1.37545,1.50964,1.53808,0.73915,0.62091,0.69112,0.40624,1.40822,1.20624,1.5915,0.00690625,0.00690625,0.00690625
27,6187.72,1.37476,1.49042,1.53544,0.7172,0.6392,0.69269,0.40809,1.41045,1.19364,1.59638,0.0067825,0.0067825,0.0067825
28,6415.72,1.35945,1.47367,1.51977,0.73004,0.6396,0.69569,0.40911,1.39984,1.17862,1.57946,0.00665875,0.00665875,0.00665875
29,6643.64,1.35155,1.44341,1.51737,0.72642,0.64885,0.69893,0.41387,1.38381,1.15723,1.56837,0.006535,0.006535,0.006535
30,6871.33,1.33673,1.42932,1.50707,0.73669,0.64448,0.70049,0.41924,1.38703,1.14874,1.56484,0.00641125,0.00641125,0.00641125
31,7097.46,1.33329,1.40967,1.49801,0.72793,0.65923,0.7061,0.42021,1.36838,1.12938,1.56152,0.0062875,0.0062875,0.0062875
32,7326,1.32858,1.40152,1.49459,0.75794,0.64744,0.71732,0.42853,1.37758,1.11925,1.56606,0.00616375,0.00616375,0.00616375
33,7553.49,1.31403,1.37008,1.4857,0.7329,0.6636,0.71248,0.42802,1.37168,1.11369,1.56346,0.00604,0.00604,0.00604
34,7782.58,1.32169,1.36944,1.49433,0.73888,0.66547,0.71717,0.43711,1.35125,1.08796,1.54414,0.00591625,0.00591625,0.00591625
35,8011.79,1.29829,1.33535,1.47446,0.77126,0.65937,0.72887,0.44006,1.35799,1.06733,1.55174,0.0057925,0.0057925,0.0057925
36,8240.92,1.30004,1.32605,1.47376,0.75479,0.67094,0.72436,0.4382,1.35595,1.07866,1.54675,0.00566875,0.00566875,0.00566875
37,8467.34,1.29297,1.30306,1.4672,0.78082,0.66412,0.74045,0.44982,1.35146,1.04291,1.54221,0.005545,0.005545,0.005545
38,8697.87,1.28297,1.29001,1.45494,0.76492,0.6777,0.73659,0.44809,1.35707,1.03623,1.54407,0.00542125,0.00542125,0.00542125
39,8918.42,1.27981,1.27904,1.45919,0.76951,0.68222,0.74442,0.45288,1.34819,1.02935,1.53937,0.0052975,0.0052975,0.0052975
40,9139.69,1.26732,1.25924,1.44937,0.77662,0.68633,0.74578,0.4545,1.34621,1.02913,1.53635,0.00517375,0.00517375,0.00517375
41,9368.29,1.26225,1.24894,1.43726,0.77863,0.68152,0.74641,0.46051,1.33101,1.02366,1.52515,0.00505,0.00505,0.00505
42,9595.8,1.25264,1.23648,1.43484,0.75869,0.69846,0.74731,0.45847,1.33638,1.00992,1.53106,0.00492625,0.00492625,0.00492625
43,9823.31,1.24582,1.22207,1.42892,0.76974,0.69859,0.75437,0.46527,1.34315,0.99293,1.52728,0.0048025,0.0048025,0.0048025
44,10048.8,1.24193,1.20882,1.42271,0.77224,0.7021,0.75363,0.46387,1.33243,0.99518,1.52773,0.00467875,0.00467875,0.00467875
45,10274.7,1.22612,1.19217,1.41354,0.77528,0.69487,0.75668,0.4669,1.33298,0.98999,1.52539,0.004555,0.004555,0.004555
46,10502.9,1.21335,1.1754,1.40482,0.79268,0.69257,0.76222,0.46858,1.32676,0.97386,1.52526,0.00443125,0.00443125,0.00443125
47,10728.9,1.21467,1.15766,1.40199,0.79713,0.68951,0.76209,0.46968,1.33434,0.96512,1.5295,0.0043075,0.0043075,0.0043075
48,10955,1.21571,1.15561,1.39813,0.76783,0.71153,0.76199,0.46749,1.33641,0.9573,1.52715,0.00418375,0.00418375,0.00418375
49,11183.9,1.20481,1.13102,1.39065,0.77748,0.71001,0.76178,0.47095,1.33041,0.95425,1.52099,0.00406,0.00406,0.00406
50,11413.2,1.19925,1.12251,1.38749,0.77815,0.7118,0.76189,0.47283,1.33264,0.95553,1.52196,0.00393625,0.00393625,0.00393625
51,11642.6,1.1859,1.109,1.37569,0.79112,0.7075,0.76387,0.47314,1.33378,0.95193,1.52385,0.0038125,0.0038125,0.0038125
52,11872.1,1.19036,1.09971,1.37721,0.76712,0.72541,0.76584,0.47553,1.32872,0.9406,1.51876,0.00368875,0.00368875,0.00368875
53,12101.3,1.16759,1.07965,1.36356,0.78344,0.71999,0.7691,0.47729,1.32208,0.93167,1.51607,0.003565,0.003565,0.003565
54,12331.1,1.16028,1.06336,1.35241,0.78787,0.7194,0.7715,0.47876,1.31586,0.92167,1.51144,0.00344125,0.00344125,0.00344125
55,12560.6,1.16088,1.04907,1.35584,0.79959,0.71074,0.77275,0.48117,1.31297,0.9215,1.50964,0.0033175,0.0033175,0.0033175
56,12788.2,1.15174,1.04088,1.35231,0.79519,0.71613,0.77036,0.48197,1.31588,0.9192,1.51105,0.00319375,0.00319375,0.00319375
57,13017.6,1.14671,1.03666,1.35114,0.79102,0.7243,0.77148,0.48174,1.31485,0.91403,1.5115,0.00307,0.00307,0.00307
58,13247.1,1.12994,1.01074,1.33485,0.78405,0.72823,0.773,0.48328,1.31303,0.91154,1.51135,0.00294625,0.00294625,0.00294625
59,13476.2,1.13253,0.99935,1.3306,0.788,0.72481,0.77434,0.4824,1.31888,0.9099,1.51465,0.0028225,0.0028225,0.0028225
60,13705.7,1.12804,1.00342,1.33497,0.79241,0.72717,0.77544,0.48411,1.31812,0.90713,1.51364,0.00269875,0.00269875,0.00269875
61,13935.1,1.11253,0.97828,1.32433,0.7955,0.72049,0.776,0.48686,1.31908,0.90542,1.51521,0.002575,0.002575,0.002575
62,14164.7,1.1123,0.97395,1.31762,0.80065,0.71543,0.77755,0.48833,1.32067,0.89836,1.5169,0.00245125,0.00245125,0.00245125
63,14394.1,1.10947,0.96464,1.31808,0.77578,0.73365,0.77727,0.48897,1.32105,0.89877,1.51867,0.0023275,0.0023275,0.0023275
64,14623.9,1.09496,0.94346,1.30681,0.79102,0.72757,0.77921,0.4891,1.32357,0.89207,1.52228,0.00220375,0.00220375,0.00220375
65,14851.9,1.08722,0.93831,1.30732,0.79848,0.72645,0.77929,0.49048,1.32428,0.89011,1.52431,0.00208,0.00208,0.00208
