epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3401,1.75212,2.6997,1.7452,0.50158,0.44251,0.4184,0.20776,1.74799,2.13042,1.75782,0.00332005,0.00332005,0.00332005
2,198.97,1.69691,2.08775,1.68671,0.26588,0.26238,0.18818,0.07945,2.15154,3.14858,2.2695,0.00657105,0.00657105,0.00657105
3,301.82,1.93871,2.68484,1.95165,0.0556,0.09601,0.01844,0.00584,2.65822,16.338,2.99737,0.00973955,0.00973955,0.00973955
4,402.769,1.99756,2.96077,2.06907,0.10672,0.20963,0.07363,0.02804,2.23687,6.1218,2.42923,0.00962875,0.00962875,0.00962875
5,501.231,1.85678,2.69735,1.95645,0.25917,0.26184,0.19437,0.08281,2.01182,3.02387,2.21872,0.009505,0.009505,0.009505
6,601.334,1.76971,2.52193,1.89273,0.41665,0.31664,0.2734,0.12481,1.89958,2.60371,2.06937,0.00938125,0.00938125,0.00938125
7,701.79,1.71408,2.35603,1.84424,0.41238,0.39936,0.35268,0.17063,1.85131,2.21777,2.00145,0.0092575,0.0092575,0.0092575
8,802.175,1.67056,2.24288,1.7993,0.53707,0.3838,0.39524,0.19726,1.7642,2.08006,1.93316,0.00913375,0.00913375,0.00913375
9,902.386,1.62285,2.15629,1.76884,0.46571,0.42193,0.40413,0.19631,1.72785,1.97758,1.88407,0.00901,0.00901,0.00901
10,1002.41,1.59817,2.08172,1.7385,0.49596,0.43442,0.43553,0.22284,1.74407,2.00351,1.88558,0.00888625,0.00888625,0.00888625
11,1102.38,1.57278,2.01272,1.72422,0.52373,0.45263,0.46219,0.24299,1.69442,1.96734,1.85676,0.0087625,0.0087625,0.0087625
12,1202.01,1.55224,1.9576,1.70125,0.51917,0.52045,0.50332,0.26705,1.66504,1.81781,1.80988,0.00863875,0.00863875,0.00863875
13,1301.91,1.52712,1.90786,1.68556,0.59056,0.5104,0.53421,0.28632,1.62365,1.73982,1.77442,0.008515,0.008515,0.008515
14,1401.31,1.50662,1.85095,1.67005,0.57726,0.50348,0.52723,0.28294,1.64348,1.79913,1.78909,0.00839125,0.00839125,0.00839125
15,1499.82,1.48699,1.81043,1.65512,0.61205,0.50069,0.54534,0.29882,1.58504,1.60079,1.77376,0.0082675,0.0082675,0.0082675
16,1599.63,1.47178,1.75957,1.64274,0.64209,0.51933,0.57392,0.32057,1.57222,1.5831,1.73376,0.00814375,0.00814375,0.00814375
17,1699.66,1.45807,1.72506,1.62128,0.63966,0.55288,0.58975,0.32737,1.54716,1.62481,1.71764,0.00802,0.00802,0.00802
18,1798.67,1.43916,1.68831,1.60756,0.63648,0.5683,0.60469,0.33501,1.56237,1.48573,1.73339,0.00789625,0.00789625,0.00789625
