epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4898,2.60815,3.78183,3.64375,0.35391,0.35521,0.29816,0.11897,2.08867,2.82344,2.95367,0.00331903,0.00331903,0.00331903
2,196.71,1.9409,2.74129,2.5046,0.23221,0.26585,0.16974,0.06765,2.08123,4.67188,2.62871,0.00657004,0.00657004,0.00657004
3,297.804,1.99811,2.84851,2.36604,0.06,0.06991,0.02428,0.00843,2.5251,14.2158,3.31204,0.00973855,0.00973855,0.00973855
4,396.341,2.01292,2.95306,2.30421,0.17839,0.14945,0.07212,0.02973,2.2239,5.58428,2.66285,0.00962875,0.00962875,0.00962875
5,494.29,1.86263,2.65548,2.13163,0.28491,0.27384,0.20524,0.08902,1.95044,2.83912,2.30517,0.009505,0.009505,0.009505
6,594.292,1.785,2.47879,2.03636,0.35446,0.31044,0.28317,0.12921,1.81957,2.50239,2.16132,0.00938125,0.00938125,0.00938125
7,691.454,1.717,2.33101,1.96542,0.39775,0.38884,0.35358,0.16917,1.73818,2.20478,2.06804,0.0092575,0.0092575,0.0092575
8,788.591,1.68203,2.23812,1.92809,0.42698,0.43687,0.40434,0.20154,1.69995,2.02984,2.0153,0.00913375,0.00913375,0.00913375
9,886.535,1.63468,2.14155,1.88014,0.49324,0.4441,0.43977,0.22678,1.65243,1.8845,1.93926,0.00901,0.00901,0.00901
10,983.757,1.60974,2.07132,1.85089,0.51224,0.47632,0.48035,0.24304,1.62831,1.7753,1.91713,0.00888625,0.00888625,0.00888625
11,1081.15,1.57842,2.00316,1.82122,0.50746,0.49015,0.47158,0.24342,1.64831,1.76763,1.9335,0.0087625,0.0087625,0.0087625
12,1178.85,1.55855,1.95102,1.79853,0.55956,0.5034,0.50799,0.26982,1.5723,1.68436,1.85063,0.00863875,0.00863875,0.00863875
