epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3126,1.5511,2.59882,1.67342,0.48169,0.4329,0.41926,0.2188,1.60388,2.01699,1.71563,0.00331852,0.00331852,0.00331852
2,198.238,1.57801,2.0222,1.67287,0.30862,0.28331,0.20551,0.08756,1.95922,3.40135,2.15732,0.00656954,0.00656954,0.00656954
3,299.069,1.84887,2.59239,1.92331,0.12498,0.04349,0.02515,0.00961,2.57236,24.8358,3.32998,0.00973805,0.00973805,0.00973805
4,397.234,1.94327,2.87842,2.05079,0.20823,0.14109,0.09966,0.03942,2.21203,5.73466,2.50004,0.00962875,0.00962875,0.00962875
5,495.019,1.81792,2.6327,1.94963,0.32491,0.25998,0.21793,0.09583,1.93238,2.95488,2.15929,0.009505,0.009505,0.009505
6,594.031,1.73505,2.44822,1.87879,0.34057,0.34064,0.28329,0.13136,1.82452,2.36485,2.03317,0.00938125,0.00938125,0.00938125
7,692.894,1.6863,2.29418,1.82449,0.47725,0.38268,0.36614,0.178,1.74776,2.14526,1.9639,0.0092575,0.0092575,0.0092575
8,792.087,1.647,2.21605,1.80297,0.58317,0.33272,0.35429,0.17207,1.73666,2.12778,1.94961,0.00913375,0.00913375,0.00913375
9,892.569,1.60799,2.10963,1.76333,0.41538,0.42486,0.39507,0.1953,1.698,1.9729,1.92555,0.00901,0.00901,0.00901
10,991.897,1.57697,2.02267,1.73385,0.48332,0.46029,0.44059,0.22638,1.64258,1.83577,1.85906,0.00888625,0.00888625,0.00888625
11,1091.67,1.55981,1.97132,1.70994,0.54114,0.49708,0.49599,0.25892,1.61436,1.70249,1.83325,0.0087625,0.0087625,0.0087625
12,1189.19,1.53891,1.91978,1.6938,0.5645,0.50617,0.5182,0.28104,1.57354,1.64454,1.79075,0.00863875,0.00863875,0.00863875
13,1288.89,1.51259,1.85733,1.67231,0.58476,0.51105,0.53485,0.28711,1.56037,1.66208,1.76514,0.008515,0.008515,0.008515
14,1387.47,1.50228,1.82349,1.66078,0.59348,0.49715,0.53394,0.28719,1.56174,1.59216,1.74356,0.00839125,0.00839125,0.00839125
15,1487.82,1.47179,1.77427,1.64271,0.61733,0.5331,0.56042,0.30393,1.51507,1.52298,1.72613,0.0082675,0.0082675,0.0082675
16,1585.67,1.46477,1.74161,1.63281,0.60284,0.53202,0.55799,0.30503,1.54026,1.51403,1.74003,0.00814375,0.00814375,0.00814375
17,1684.61,1.44225,1.70239,1.60444,0.61794,0.5662,0.5808,0.32378,1.50141,1.49273,1.72524,0.00802,0.00802,0.00802
18,1784.17,1.42661,1.6556,1.58889,0.64663,0.57484,0.61294,0.34192,1.48537,1.41437,1.67877,0.00789625,0.00789625,0.00789625
19,1881.84,1.43106,1.64477,1.59557,0.69402,0.56073,0.62478,0.35599,1.45801,1.35975,1.66062,0.0077725,0.0077725,0.0077725
20,1979.23,1.40849,1.61112,1.57177,0.682,0.592,0.64094,0.36471,1.46543,1.31684,1.65463,0.00764875,0.00764875,0.00764875
21,2076.64,1.40574,1.58269,1.57778,0.65776,0.59159,0.63488,0.3614,1.45375,1.31824,1.67164,0.007525,0.007525,0.007525
22,2174.14,1.39803,1.55592,1.56192,0.70568,0.60683,0.65137,0.37259,1.43934,1.29493,1.63426,0.00740125,0.00740125,0.00740125
23,2272.45,1.38154,1.51292,1.55008,0.68284,0.62717,0.66493,0.38317,1.42549,1.25856,1.6208,0.0072775,0.0072775,0.0072775
24,2369.89,1.37391,1.51092,1.5432,0.70527,0.61771,0.66883,0.38409,1.42957,1.24899,1.62143,0.00715375,0.00715375,0.00715375
25,2467.27,1.35686,1.47341,1.53128,0.69501,0.63055,0.6658,0.39042,1.40684,1.24981,1.61697,0.00703,0.00703,0.00703
26,2564.76,1.35399,1.46331,1.53063,0.74519,0.61971,0.68964,0.40658,1.39914,1.19888,1.60135,0.00690625,0.00690625,0.00690625
27,2665.07,1.3311,1.4237,1.51184,0.69951,0.6429,0.68581,0.40946,1.38194,1.17496,1.58265,0.0067825,0.0067825,0.0067825
28,2765.44,1.32808,1.39776,1.50635,0.72658,0.64874,0.69948,0.41456,1.39015,1.15267,1.58521,0.00665875,0.00665875,0.00665875
29,2865.45,1.32363,1.39274,1.50051,0.72535,0.66049,0.71426,0.42542,1.36512,1.13616,1.5703,0.006535,0.006535,0.006535
30,2965.21,1.31904,1.37646,1.49672,0.73269,0.66342,0.71527,0.42772,1.36574,1.11241,1.56448,0.00641125,0.00641125,0.00641125
31,3065.58,1.31302,1.34346,1.49019,0.7313,0.67386,0.71975,0.43019,1.37287,1.09967,1.56231,0.0062875,0.0062875,0.0062875
32,3165.11,1.30496,1.3404,1.48463,0.72541,0.67044,0.72094,0.43469,1.34579,1.0968,1.55143,0.00616375,0.00616375,0.00616375
33,3262.65,1.29364,1.31966,1.47388,0.74836,0.67007,0.72157,0.43485,1.34635,1.094,1.55304,0.00604,0.00604,0.00604
34,3360.61,1.28887,1.30708,1.47554,0.73282,0.68397,0.73046,0.44087,1.34631,1.07198,1.54595,0.00591625,0.00591625,0.00591625
35,3458.91,1.27553,1.28127,1.46302,0.74677,0.67603,0.7311,0.44183,1.35069,1.07028,1.55041,0.0057925,0.0057925,0.0057925
36,3556.96,1.2716,1.27414,1.45827,0.75554,0.67475,0.73897,0.45226,1.33253,1.039,1.53549,0.00566875,0.00566875,0.00566875
37,3654.41,1.25916,1.25229,1.45088,0.75378,0.68139,0.73989,0.45071,1.33511,1.03001,1.53753,0.005545,0.005545,0.005545
38,3751.82,1.25044,1.22896,1.4357,0.75045,0.69956,0.74761,0.45525,1.33247,1.01733,1.53276,0.00542125,0.00542125,0.00542125
39,3849.26,1.24684,1.21801,1.44012,0.72957,0.71159,0.74585,0.45821,1.32343,1.01059,1.52793,0.0052975,0.0052975,0.0052975
40,3948.75,1.23355,1.20957,1.42399,0.76858,0.6893,0.74908,0.46267,1.31888,1.00913,1.52037,0.00517375,0.00517375,0.00517375
41,4046.29,1.23085,1.19758,1.42144,0.75145,0.69169,0.74738,0.46444,1.33003,0.99528,1.52642,0.00505,0.00505,0.00505
42,4145.99,1.22031,1.1874,1.41472,0.77207,0.69517,0.75473,0.46675,1.32479,0.97816,1.52308,0.00492625,0.00492625,0.00492625
43,4245.55,1.22861,1.17364,1.41752,0.77527,0.69706,0.7563,0.4667,1.32167,0.97533,1.51905,0.0048025,0.0048025,0.0048025
44,4343.53,1.20337,1.14898,1.40226,0.77142,0.69433,0.76019,0.46773,1.32234,0.9686,1.52319,0.00467875,0.00467875,0.00467875
45,4441.48,1.19608,1.13721,1.39477,0.74753,0.72123,0.75915,0.4698,1.31515,0.96557,1.52017,0.004555,0.004555,0.004555
46,4539.01,1.1982,1.12846,1.39517,0.77729,0.70747,0.76178,0.47324,1.30893,0.95328,1.51226,0.00443125,0.00443125,0.00443125
47,4636.48,1.18293,1.11482,1.3911,0.77657,0.70539,0.76644,0.4774,1.30726,0.94278,1.51159,0.0043075,0.0043075,0.0043075
48,4733.95,1.18241,1.09694,1.38376,0.7848,0.70904,0.77014,0.48027,1.30879,0.93136,1.5143,0.00418375,0.00418375,0.00418375
49,4831.4,1.16804,1.08345,1.37318,0.76704,0.72439,0.77029,0.48162,1.30903,0.92865,1.51829,0.00406,0.00406,0.00406
50,4931.31,1.16662,1.07495,1.37011,0.77961,0.7219,0.77399,0.48329,1.31436,0.92258,1.51858,0.00393625,0.00393625,0.00393625
51,5031.05,1.15405,1.05641,1.36337,0.77771,0.72829,0.77544,0.48375,1.3107,0.9114,1.5173,0.0038125,0.0038125,0.0038125
52,5131.29,1.15312,1.05909,1.3607,0.79138,0.7221,0.77579,0.48451,1.30873,0.91261,1.51379,0.00368875,0.00368875,0.00368875
53,5230.9,1.14295,1.02949,1.35301,0.78601,0.7268,0.77763,0.4888,1.30837,0.90742,1.5113,0.003565,0.003565,0.003565
54,5330.97,1.14112,1.01937,1.34566,0.79424,0.72501,0.78057,0.48959,1.30854,0.90551,1.51315,0.00344125,0.00344125,0.00344125
55,5429.08,1.12944,1.00129,1.34395,0.78987,0.73167,0.78213,0.49042,1.31137,0.90106,1.51408,0.0033175,0.0033175,0.0033175
56,5527.97,1.11946,0.99508,1.33655,0.77871,0.73799,0.78193,0.49012,1.30778,0.89489,1.51457,0.00319375,0.00319375,0.00319375
57,5626.22,1.11057,0.97599,1.32746,0.79989,0.72054,0.78063,0.49076,1.31136,0.89281,1.51805,0.00307,0.00307,0.00307
58,5723.83,1.10706,0.97305,1.32256,0.806,0.7177,0.78214,0.49163,1.31379,0.8865,1.52203,0.00294625,0.00294625,0.00294625
59,5823.23,1.09968,0.95277,1.31216,0.78278,0.73503,0.78318,0.49295,1.31617,0.88305,1.52268,0.0028225,0.0028225,0.0028225
60,5922.93,1.08307,0.94408,1.30532,0.79828,0.72728,0.78347,0.49198,1.31884,0.88034,1.5259,0.00269875,0.00269875,0.00269875
61,6021.1,1.07855,0.93213,1.30607,0.81247,0.7182,0.78374,0.49284,1.31726,0.88024,1.52637,0.002575,0.002575,0.002575
62,6118.81,1.06871,0.92104,1.29952,0.80728,0.72451,0.78581,0.49325,1.31535,0.87694,1.52695,0.00245125,0.00245125,0.00245125
63,6217.02,1.06612,0.91688,1.29367,0.80193,0.72887,0.78664,0.49521,1.31751,0.87381,1.52892,0.0023275,0.0023275,0.0023275
64,6315.14,1.06731,0.90798,1.2919,0.81185,0.72582,0.78642,0.49515,1.3185,0.87109,1.53063,0.00220375,0.00220375,0.00220375
65,6414.9,1.05596,0.8959,1.28545,0.81438,0.71973,0.78652,0.495,1.3197,0.87118,1.53165,0.00208,0.00208,0.00208
66,6514.07,1.04818,0.87447,1.27959,0.81059,0.72402,0.78627,0.49435,1.32251,0.86695,1.5345,0.00195625,0.00195625,0.00195625
67,6612.23,1.03549,0.871,1.27829,0.80497,0.72946,0.78725,0.4952,1.32484,0.86416,1.53746,0.0018325,0.0018325,0.0018325
68,6712.26,1.02907,0.85307,1.26729,0.80772,0.72849,0.78828,0.49581,1.32633,0.86283,1.53876,0.00170875,0.00170875,0.00170875
69,6811.25,1.02277,0.84826,1.26605,0.80166,0.73109,0.78691,0.49624,1.32558,0.86268,1.53788,0.001585,0.001585,0.001585
70,6910.66,1.02038,0.84529,1.26279,0.79342,0.73625,0.78659,0.49556,1.32655,0.86188,1.53972,0.00146125,0.00146125,0.00146125
71,7012.37,0.9311,0.57715,1.20771,0.795,0.73865,0.78723,0.49647,1.32642,0.86194,1.53871,0.0013375,0.0013375,0.0013375
72,7110.38,0.90655,0.54798,1.18715,0.80474,0.72889,0.78612,0.49671,1.32736,0.86018,1.54014,0.00121375,0.00121375,0.00121375
73,7208.61,0.89446,0.53611,1.17912,0.80634,0.73148,0.78686,0.49682,1.32759,0.85993,1.5408,0.00109,0.00109,0.00109
74,7307.65,0.87361,0.52167,1.16584,0.80635,0.73218,0.78649,0.49651,1.32686,0.8593,1.54121,0.00096625,0.00096625,0.00096625
75,7408.96,0.85487,0.50336,1.15241,0.80794,0.72888,0.78634,0.49712,1.32795,0.85958,1.54359,0.0008425,0.0008425,0.0008425
76,7506.76,0.84432,0.49066,1.14327,0.80811,0.73047,0.78582,0.49694,1.32848,0.8604,1.54522,0.00071875,0.00071875,0.00071875
77,7605.72,0.83415,0.4847,1.14216,0.80719,0.73042,0.78476,0.49628,1.32865,0.86154,1.54671,0.000595,0.000595,0.000595
78,7705.81,0.81917,0.4683,1.12693,0.80591,0.73141,0.7857,0.49665,1.32959,0.86247,1.54883,0.00047125,0.00047125,0.00047125
79,7803.55,0.81188,0.46932,1.12352,0.80727,0.73029,0.78422,0.49638,1.33017,0.86377,1.55061,0.0003475,0.0003475,0.0003475
80,7902.15,0.80187,0.45772,1.11934,0.80545,0.73256,0.78354,0.49616,1.33119,0.86543,1.5533,0.00022375,0.00022375,0.00022375
