epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5669,1.74834,2.5788,1.73101,0.4126,0.42891,0.37201,0.17301,1.72821,1.98356,1.72799,0.00332056,0.00332056,0.00332056
2,198.918,1.7218,2.11341,1.69296,0.23434,0.21738,0.13278,0.05307,2.17035,4.77222,2.34419,0.00657155,0.00657155,0.00657155
3,298.832,1.96755,2.72708,1.96467,0.02871,0.0414,0.00463,0.00165,3.32753,12.055,4.4308,0.00974004,0.00974004,0.00974004
4,397.922,2.02997,3.03281,2.11753,0.16944,0.1856,0.09176,0.03722,2.15928,5.69182,2.41118,0.00962875,0.00962875,0.00962875
5,496.872,1.86888,2.74137,1.99733,0.26897,0.25335,0.2128,0.09367,1.92878,3.57732,2.16868,0.009505,0.009505,0.009505
6,595.347,1.78882,2.54028,1.9375,0.33441,0.29847,0.25781,0.11627,1.88047,2.65422,2.09734,0.00938125,0.00938125,0.00938125
7,693.86,1.72447,2.39064,1.87373,0.39258,0.35455,0.31698,0.14625,1.87081,2.28215,2.04735,0.0092575,0.0092575,0.0092575
8,792.438,1.68143,2.27847,1.83505,0.45817,0.36857,0.35181,0.16764,1.76544,2.10694,1.95249,0.00913375,0.00913375,0.00913375
9,890.929,1.65481,2.19709,1.80542,0.43504,0.38573,0.3604,0.1785,1.80234,2.11698,1.97526,0.00901,0.00901,0.00901
10,989.403,1.62496,2.11864,1.78407,0.51166,0.41926,0.42365,0.21352,1.68563,1.97422,1.88044,0.00888625,0.00888625,0.00888625
11,1088.17,1.58385,2.05157,1.74641,0.54115,0.47576,0.48009,0.25171,1.62251,1.79608,1.82775,0.0087625,0.0087625,0.0087625
12,1187.26,1.5642,1.98361,1.72784,0.54894,0.48432,0.48104,0.25045,1.64144,1.74387,1.8471,0.00863875,0.00863875,0.00863875
13,1286.06,1.55839,1.95578,1.71842,0.595,0.4701,0.50809,0.27006,1.5999,1.65992,1.77973,0.008515,0.008515,0.008515
14,1385.11,1.5241,1.88571,1.69504,0.57413,0.50179,0.5212,0.28024,1.58754,1.61312,1.78969,0.00839125,0.00839125,0.00839125
15,1485.68,1.51286,1.847,1.69027,0.58772,0.47972,0.51905,0.27762,1.62533,1.61278,1.79848,0.0082675,0.0082675,0.0082675
16,1586.54,1.50124,1.80293,1.6832,0.60773,0.54022,0.5679,0.31214,1.55744,1.51177,1.74312,0.00814375,0.00814375,0.00814375
17,1685.09,1.47775,1.76776,1.65551,0.65643,0.53584,0.57704,0.32028,1.53558,1.48129,1.74339,0.00802,0.00802,0.00802
18,1785.25,1.46231,1.73063,1.64352,0.64108,0.56023,0.59147,0.32899,1.52327,1.42433,1.72511,0.00789625,0.00789625,0.00789625
19,1886.05,1.45091,1.69736,1.63625,0.63152,0.54849,0.59557,0.33563,1.51893,1.41253,1.69611,0.0077725,0.0077725,0.0077725
20,1984.52,1.45035,1.67533,1.62324,0.65714,0.59236,0.62454,0.35265,1.48953,1.35904,1.68808,0.00764875,0.00764875,0.00764875
21,2084.27,1.42829,1.64879,1.61397,0.65095,0.5987,0.62904,0.36268,1.46526,1.33093,1.67218,0.007525,0.007525,0.007525
22,2183.93,1.41433,1.61449,1.60388,0.68673,0.5863,0.63521,0.36484,1.45938,1.32335,1.65561,0.00740125,0.00740125,0.00740125
23,2284.44,1.40376,1.58959,1.58426,0.67949,0.59331,0.6509,0.37605,1.43794,1.29808,1.63767,0.0072775,0.0072775,0.0072775
24,2384.93,1.39853,1.56474,1.58268,0.69478,0.62229,0.66897,0.38478,1.45022,1.25396,1.6482,0.00715375,0.00715375,0.00715375
25,2484.33,1.38617,1.53037,1.57055,0.70044,0.61384,0.67025,0.38221,1.44329,1.25339,1.63221,0.00703,0.00703,0.00703
26,2584.64,1.37621,1.52234,1.56002,0.7067,0.62495,0.67802,0.39234,1.41877,1.21574,1.61083,0.00690625,0.00690625,0.00690625
27,2685.76,1.36666,1.48818,1.54992,0.71569,0.63289,0.68525,0.40373,1.424,1.19317,1.61598,0.0067825,0.0067825,0.0067825
28,2784.66,1.3614,1.46381,1.54132,0.7221,0.62032,0.67977,0.39621,1.42402,1.20008,1.61618,0.00665875,0.00665875,0.00665875
29,2884.48,1.35186,1.44152,1.5332,0.72693,0.65453,0.69997,0.41358,1.41279,1.15002,1.59994,0.006535,0.006535,0.006535
