epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.349,2.6416,3.81146,3.5702,0.34265,0.38166,0.30602,0.11846,2.09422,2.95533,2.91736,0.00331956,0.00331956,0.00331956
2,202.524,1.99024,2.79502,2.55394,0.23672,0.24958,0.16646,0.06651,2.19503,3.4805,2.78622,0.00657056,0.00657056,0.00657056
3,303.04,2.01778,2.85878,2.41075,0.0284,0.07704,0.0112,0.00386,2.65349,9.3754,3.34527,0.00973907,0.00973907,0.00973907
4,402.543,2.02493,2.98516,2.34379,0.16236,0.15018,0.08412,0.0315,2.23877,3.85506,2.66933,0.00962875,0.00962875,0.00962875
5,502.063,1.86942,2.68348,2.16836,0.23871,0.1773,0.13336,0.05313,2.13513,3.85484,2.48605,0.009505,0.009505,0.009505
6,600.924,1.79134,2.50749,2.07106,0.32764,0.29396,0.26153,0.11781,1.93736,2.83329,2.25968,0.00938125,0.00938125,0.00938125
7,700.378,1.72501,2.36721,1.99048,0.46238,0.38997,0.37787,0.17619,1.83423,2.18413,2.10683,0.0092575,0.0092575,0.0092575
8,797.844,1.68683,2.2599,1.95719,0.44545,0.39083,0.36434,0.1739,1.78586,2.30193,2.06893,0.00913375,0.00913375,0.00913375
9,896.609,1.63945,2.14259,1.89865,0.46337,0.44513,0.42024,0.21365,1.71531,2.08502,1.97734,0.00901,0.00901,0.00901
10,993.676,1.61663,2.09344,1.88954,0.5109,0.42899,0.42874,0.21329,1.69642,1.96473,1.9876,0.00888625,0.00888625,0.00888625
11,1090.61,1.58453,2.02947,1.8503,0.5414,0.48082,0.4922,0.2556,1.66187,1.89221,1.92898,0.0087625,0.0087625,0.0087625
12,1187.37,1.5679,1.98312,1.83134,0.53976,0.48551,0.48859,0.26061,1.62896,1.82794,1.90827,0.00863875,0.00863875,0.00863875
13,1284.2,1.54155,1.93042,1.79936,0.59165,0.47585,0.51231,0.27396,1.64175,1.80327,1.91485,0.008515,0.008515,0.008515
14,1380.96,1.51812,1.86554,1.77629,0.56136,0.51181,0.52776,0.28357,1.62395,1.77673,1.88635,0.00839125,0.00839125,0.00839125
15,1478.58,1.50259,1.83446,1.76786,0.6099,0.54498,0.57481,0.30703,1.61886,1.68123,1.85153,0.0082675,0.0082675,0.0082675
16,1576.25,1.48636,1.78196,1.74518,0.60986,0.54999,0.57655,0.31534,1.58078,1.57515,1.81409,0.00814375,0.00814375,0.00814375
17,1674.36,1.47362,1.75388,1.73392,0.63699,0.57149,0.61209,0.33955,1.55198,1.52482,1.8,0.00802,0.00802,0.00802
18,1773.58,1.46895,1.73912,1.7285,0.6318,0.56261,0.60218,0.33983,1.55193,1.53758,1.79764,0.00789625,0.00789625,0.00789625
19,1872.97,1.44319,1.69359,1.70495,0.66264,0.57605,0.62286,0.34558,1.53048,1.56771,1.79823,0.0077725,0.0077725,0.0077725
20,1970.95,1.43568,1.64239,1.69284,0.6999,0.57347,0.62737,0.35051,1.5314,1.58592,1.77646,0.00764875,0.00764875,0.00764875
21,2068,1.41354,1.61513,1.67392,0.66989,0.59495,0.63841,0.36354,1.54396,1.43402,1.79642,0.007525,0.007525,0.007525
22,2167.33,1.39914,1.58601,1.6577,0.69568,0.60871,0.65573,0.37552,1.50271,1.37451,1.73914,0.00740125,0.00740125,0.00740125
23,2265.65,1.39749,1.57386,1.65464,0.70068,0.60638,0.65776,0.38603,1.48785,1.35128,1.7227,0.0072775,0.0072775,0.0072775
24,2365.24,1.39848,1.55101,1.65089,0.65967,0.62273,0.66547,0.38627,1.48716,1.33331,1.72696,0.00715375,0.00715375,0.00715375
25,2464.38,1.37995,1.51772,1.63945,0.6976,0.63052,0.67581,0.39704,1.47142,1.36237,1.71909,0.00703,0.00703,0.00703
26,2562.75,1.37969,1.51226,1.63381,0.71997,0.63743,0.69308,0.4056,1.45621,1.32584,1.69392,0.00690625,0.00690625,0.00690625
27,2662.26,1.35629,1.47995,1.6146,0.73268,0.64729,0.69858,0.40944,1.45917,1.27088,1.69027,0.0067825,0.0067825,0.0067825
28,2761.08,1.34818,1.45514,1.60767,0.69619,0.65368,0.69742,0.41052,1.45449,1.33009,1.6873,0.00665875,0.00665875,0.00665875
29,2860.39,1.34061,1.44504,1.60149,0.71863,0.66316,0.71338,0.42213,1.4327,1.18993,1.67049,0.006535,0.006535,0.006535
30,2957.56,1.33336,1.40788,1.59822,0.7294,0.65308,0.71437,0.42337,1.43806,1.20101,1.68484,0.00641125,0.00641125,0.00641125
31,3056.04,1.32733,1.39211,1.58941,0.75268,0.65813,0.72098,0.4318,1.44028,1.20876,1.67899,0.0062875,0.0062875,0.0062875
32,3153.12,1.31832,1.3681,1.57728,0.73464,0.66814,0.72315,0.43561,1.43261,1.24086,1.66519,0.00616375,0.00616375,0.00616375
33,3250.83,1.30324,1.35089,1.56988,0.74773,0.67205,0.727,0.43903,1.43099,1.14307,1.66783,0.00604,0.00604,0.00604
34,3347.82,1.29626,1.34437,1.5679,0.76442,0.6639,0.73344,0.44346,1.42356,1.17483,1.66323,0.00591625,0.00591625,0.00591625
35,3444.73,1.2915,1.32396,1.55716,0.74462,0.68621,0.73656,0.44653,1.40403,1.13643,1.64455,0.0057925,0.0057925,0.0057925
36,3541.58,1.28883,1.30768,1.54699,0.73679,0.68706,0.73507,0.45166,1.40719,1.22503,1.63645,0.00566875,0.00566875,0.00566875
37,3639.27,1.28302,1.2969,1.54381,0.74491,0.69361,0.74399,0.45566,1.40778,1.17119,1.64354,0.005545,0.005545,0.005545
38,3736.51,1.26076,1.26867,1.52837,0.75602,0.68797,0.74477,0.45612,1.38933,1.20213,1.63495,0.00542125,0.00542125,0.00542125
39,3833.55,1.26066,1.25416,1.53029,0.77449,0.69273,0.74924,0.45905,1.39585,1.09499,1.63613,0.0052975,0.0052975,0.0052975
40,3930.69,1.25192,1.23333,1.51761,0.76632,0.69358,0.74996,0.46119,1.4066,1.10894,1.63895,0.00517375,0.00517375,0.00517375
41,4027.62,1.25322,1.23141,1.51737,0.77255,0.6978,0.75066,0.46498,1.39651,1.13737,1.63222,0.00505,0.00505,0.00505
42,4124.52,1.23321,1.21014,1.50118,0.75897,0.69805,0.75284,0.46787,1.38982,1.1349,1.62554,0.00492625,0.00492625,0.00492625
43,4222.39,1.24572,1.21338,1.50446,0.75804,0.70838,0.75333,0.46633,1.38903,1.09855,1.61995,0.0048025,0.0048025,0.0048025
44,4320.63,1.22278,1.18748,1.49641,0.76488,0.70902,0.75862,0.47069,1.39831,1.1083,1.62676,0.00467875,0.00467875,0.00467875
45,4419.74,1.21276,1.1645,1.48042,0.77036,0.71193,0.76202,0.47563,1.393,1.08887,1.62128,0.004555,0.004555,0.004555
46,4518.86,1.21725,1.17034,1.488,0.7762,0.7008,0.76268,0.47303,1.39368,1.10791,1.62502,0.00443125,0.00443125,0.00443125
47,4617.21,1.20933,1.15252,1.47732,0.75831,0.71849,0.76364,0.47319,1.39365,1.11085,1.62606,0.0043075,0.0043075,0.0043075
48,4714.65,1.19639,1.12347,1.46526,0.78688,0.69873,0.76436,0.47423,1.38875,1.11645,1.62596,0.00418375,0.00418375,0.00418375
49,4812.23,1.18364,1.10991,1.45827,0.78129,0.698,0.7655,0.47474,1.37798,1.11653,1.62317,0.00406,0.00406,0.00406
50,4910.48,1.17446,1.10514,1.45479,0.79273,0.70046,0.7676,0.47638,1.37297,1.09778,1.62044,0.00393625,0.00393625,0.00393625
51,5009.49,1.16848,1.07335,1.44563,0.78655,0.70461,0.76803,0.47887,1.37698,1.10352,1.62179,0.0038125,0.0038125,0.0038125
52,5108.69,1.1633,1.07175,1.43922,0.79333,0.70966,0.77164,0.48094,1.38178,1.10965,1.62456,0.00368875,0.00368875,0.00368875
53,5207.1,1.16107,1.06654,1.44139,0.79613,0.70868,0.77503,0.48085,1.38806,1.11748,1.62664,0.003565,0.003565,0.003565
54,5304.74,1.14891,1.04413,1.42965,0.79828,0.71218,0.7745,0.48275,1.3893,1.11837,1.62519,0.00344125,0.00344125,0.00344125
55,5401.67,1.14154,1.02757,1.41867,0.79019,0.71462,0.77548,0.48202,1.39194,1.1207,1.62688,0.0033175,0.0033175,0.0033175
56,5500.1,1.14062,1.02895,1.41935,0.7861,0.72433,0.77749,0.48329,1.38424,1.12595,1.62132,0.00319375,0.00319375,0.00319375
57,5598.03,1.13771,1.019,1.41715,0.79654,0.72204,0.77963,0.4843,1.38297,1.13031,1.62093,0.00307,0.00307,0.00307
58,5696.86,1.11359,0.99348,1.40006,0.77667,0.73624,0.78014,0.48548,1.3859,1.12873,1.62326,0.00294625,0.00294625,0.00294625
59,5796.7,1.109,0.98404,1.39208,0.78221,0.73014,0.78097,0.48668,1.38219,1.12773,1.62293,0.0028225,0.0028225,0.0028225
60,5894.73,1.09628,0.96535,1.3882,0.78137,0.7296,0.78125,0.48676,1.38447,1.12989,1.62575,0.00269875,0.00269875,0.00269875
61,5994.12,1.09197,0.96476,1.38146,0.77046,0.73524,0.78174,0.48791,1.38435,1.13776,1.62621,0.002575,0.002575,0.002575
62,6091.14,1.08593,0.94885,1.37795,0.76865,0.73823,0.7803,0.48855,1.38461,1.13485,1.62857,0.00245125,0.00245125,0.00245125
63,6187.98,1.07306,0.93509,1.36997,0.78513,0.72608,0.78025,0.48894,1.38219,1.13416,1.62808,0.0023275,0.0023275,0.0023275
64,6284.86,1.06449,0.92187,1.36065,0.78455,0.72998,0.78114,0.4891,1.38195,1.13034,1.62874,0.00220375,0.00220375,0.00220375
65,6381.62,1.05929,0.90498,1.356,0.78825,0.72727,0.78201,0.48964,1.38171,1.12785,1.6298,0.00208,0.00208,0.00208
66,6478.19,1.06553,0.91576,1.35747,0.77196,0.73755,0.78089,0.48946,1.38324,1.12348,1.63218,0.00195625,0.00195625,0.00195625
67,6574.73,1.04552,0.89146,1.346,0.76971,0.73836,0.78158,0.49015,1.38251,1.11728,1.63135,0.0018325,0.0018325,0.0018325
68,6671.42,1.04244,0.88551,1.34083,0.77805,0.73077,0.78092,0.48968,1.38345,1.11405,1.63252,0.00170875,0.00170875,0.00170875
