epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.167,2.99807,4.30419,3.89133,0.14294,0.18116,0.09661,0.03001,2.43129,4.31518,3.34199,0.00332056,0.00332056,0.00332056
2,205.657,2.24456,3.09971,2.89004,0.15476,0.19519,0.11002,0.03698,2.3723,4.636,3.03125,0.00657155,0.00657155,0.00657155
3,308.571,2.18158,3.08439,2.66803,0.28574,0.06061,0.01446,0.00446,2.63141,7.06106,3.31782,0.00974004,0.00974004,0.00974004
4,410.313,2.1023,3.11377,2.51332,0.20787,0.13379,0.07464,0.0274,2.36323,3.73664,2.88691,0.00962875,0.00962875,0.00962875
5,516.983,1.94685,2.84631,2.33554,0.24418,0.2122,0.17122,0.06836,2.00377,3.52792,2.49143,0.009505,0.009505,0.009505
6,622.036,1.85505,2.63734,2.22015,0.28564,0.29263,0.22164,0.09463,1.92029,2.67909,2.40877,0.00938125,0.00938125,0.00938125
7,724.357,1.77977,2.48188,2.14605,0.35173,0.33781,0.26622,0.11704,1.87961,2.65269,2.29387,0.0092575,0.0092575,0.0092575
8,829.395,1.73467,2.35753,2.09406,0.39975,0.3672,0.32205,0.15176,1.76739,2.23326,2.18277,0.00913375,0.00913375,0.00913375
9,931.445,1.70063,2.28344,2.0539,0.42389,0.42545,0.39092,0.18402,1.77329,2.01786,2.17482,0.00901,0.00901,0.00901
10,1037.04,1.67345,2.19652,2.02084,0.42581,0.41071,0.38083,0.18252,1.72552,2.05641,2.17312,0.00888625,0.00888625,0.00888625
11,1142.95,1.63748,2.13906,1.98753,0.49622,0.45253,0.45504,0.22487,1.68493,1.85533,2.072,0.0087625,0.0087625,0.0087625
12,1246.93,1.61451,2.05942,1.95667,0.50268,0.4586,0.45281,0.23121,1.66881,1.8359,2.04855,0.00863875,0.00863875,0.00863875
13,1350.03,1.60607,2.02136,1.95468,0.54905,0.47039,0.48853,0.25309,1.62119,1.73918,1.9977,0.008515,0.008515,0.008515
14,1452.6,1.5664,1.95887,1.91266,0.52926,0.49966,0.49821,0.25724,1.61607,1.69902,1.98958,0.00839125,0.00839125,0.00839125
15,1557.2,1.56058,1.9251,1.91493,0.57899,0.53315,0.55057,0.28544,1.5957,1.60596,1.97376,0.0082675,0.0082675,0.0082675
16,1660.73,1.53832,1.86682,1.89184,0.60139,0.54409,0.56539,0.30113,1.57309,1.5748,1.94734,0.00814375,0.00814375,0.00814375
17,1766.7,1.52288,1.84093,1.87381,0.61342,0.53584,0.58037,0.3167,1.5606,1.51509,1.93686,0.00802,0.00802,0.00802
18,1870.48,1.49923,1.79054,1.84842,0.61164,0.56078,0.58913,0.31634,1.5477,1.4985,1.92591,0.00789625,0.00789625,0.00789625
19,1975.29,1.4896,1.76782,1.8443,0.63278,0.5415,0.58991,0.32357,1.53742,1.49855,1.92678,0.0077725,0.0077725,0.0077725
20,2079.81,1.47872,1.73092,1.83327,0.63251,0.58217,0.61535,0.34323,1.50688,1.43345,1.88873,0.00764875,0.00764875,0.00764875
21,2185.85,1.47081,1.70679,1.81948,0.63327,0.58278,0.61592,0.3459,1.49665,1.42869,1.86493,0.007525,0.007525,0.007525
22,2288.9,1.45226,1.67383,1.80291,0.68434,0.58084,0.63731,0.35752,1.49427,1.37698,1.87047,0.00740125,0.00740125,0.00740125
23,2391.07,1.4411,1.65378,1.78945,0.67651,0.59879,0.64811,0.36871,1.4665,1.34192,1.84429,0.0072775,0.0072775,0.0072775
24,2494.82,1.43165,1.62387,1.78175,0.69219,0.61556,0.67006,0.38299,1.45619,1.29828,1.82994,0.00715375,0.00715375,0.00715375
25,2597.9,1.41807,1.58797,1.77596,0.70864,0.58668,0.65701,0.37259,1.45924,1.30778,1.83811,0.00703,0.00703,0.00703
26,2700.79,1.41348,1.57815,1.76574,0.70528,0.61451,0.67375,0.38894,1.43202,1.2641,1.81629,0.00690625,0.00690625,0.00690625
27,2803.22,1.39683,1.54057,1.74756,0.6963,0.63433,0.68085,0.39318,1.43111,1.25993,1.80991,0.0067825,0.0067825,0.0067825
28,2905.05,1.39565,1.51741,1.73906,0.70553,0.62347,0.678,0.39123,1.43119,1.25703,1.81012,0.00665875,0.00665875,0.00665875
29,3007.19,1.38803,1.50303,1.74714,0.72017,0.6457,0.69897,0.40715,1.42325,1.20435,1.80311,0.006535,0.006535,0.006535
30,3109.18,1.37323,1.48716,1.72824,0.71511,0.6488,0.70293,0.41774,1.40922,1.18388,1.78403,0.00641125,0.00641125,0.00641125
31,3212.3,1.36043,1.4549,1.71646,0.70091,0.65615,0.69806,0.41229,1.41191,1.18431,1.7978,0.0062875,0.0062875,0.0062875
32,3313.58,1.35783,1.43583,1.71398,0.71101,0.665,0.71187,0.42054,1.40614,1.15534,1.78451,0.00616375,0.00616375,0.00616375
33,3417.35,1.34293,1.4272,1.70705,0.72392,0.66798,0.71154,0.42076,1.40923,1.13698,1.80196,0.00604,0.00604,0.00604
34,3522.41,1.33074,1.40317,1.69051,0.71263,0.68101,0.72206,0.42667,1.39672,1.12553,1.77324,0.00591625,0.00591625,0.00591625
35,3625.56,1.33097,1.38867,1.6858,0.73718,0.67507,0.72706,0.43359,1.3933,1.11086,1.77033,0.0057925,0.0057925,0.0057925
36,3727.66,1.33004,1.39101,1.68882,0.74272,0.6884,0.73629,0.44054,1.38793,1.08675,1.76539,0.00566875,0.00566875,0.00566875
37,3832.68,1.31432,1.35354,1.66774,0.74021,0.68257,0.7361,0.43781,1.38667,1.08183,1.76713,0.005545,0.005545,0.005545
38,3935.19,1.30375,1.32307,1.66317,0.74824,0.70314,0.74196,0.44352,1.37441,1.06236,1.75972,0.00542125,0.00542125,0.00542125
39,4037.88,1.30204,1.32585,1.66183,0.73398,0.69385,0.74232,0.44409,1.3787,1.0642,1.76406,0.0052975,0.0052975,0.0052975
40,4140.45,1.29123,1.30616,1.65819,0.75344,0.69635,0.74802,0.44867,1.37549,1.05035,1.75895,0.00517375,0.00517375,0.00517375
41,4244.24,1.27908,1.27733,1.64119,0.75143,0.69669,0.74861,0.45225,1.36906,1.03866,1.75123,0.00505,0.00505,0.00505
42,4349.34,1.2835,1.27116,1.6423,0.75658,0.70327,0.75073,0.45426,1.37042,1.03689,1.74953,0.00492625,0.00492625,0.00492625
43,4452.89,1.26609,1.25809,1.62566,0.76711,0.69871,0.75108,0.45497,1.36731,1.03264,1.7497,0.0048025,0.0048025,0.0048025
