epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.59,1.72535,2.61475,1.72665,0.47592,0.44604,0.43106,0.21281,1.7098,1.80756,1.74016,0.00331903,0.00331903,0.00331903
2,201.493,1.67223,2.05477,1.66124,0.24447,0.2583,0.17172,0.0704,1.97615,3.3767,2.12252,0.00657004,0.00657004,0.00657004
3,319.009,1.90926,2.64217,1.91335,0.01512,0.07925,0.00503,0.00151,3.01717,55.9085,3.43438,0.00973855,0.00973855,0.00973855
4,419.259,1.98655,2.96399,2.06091,0.18053,0.16566,0.08396,0.03481,2.13003,6.17284,2.28878,0.00962875,0.00962875,0.00962875
5,518.637,1.84224,2.66336,1.94954,0.27768,0.26074,0.18997,0.0783,2.06387,2.80072,2.19676,0.009505,0.009505,0.009505
6,618.761,1.76563,2.49244,1.87892,0.37146,0.28091,0.25795,0.11858,1.90113,2.71581,2.08341,0.00938125,0.00938125,0.00938125
7,719.249,1.70211,2.34059,1.8336,0.39924,0.3426,0.32739,0.15648,1.80909,2.20216,1.96877,0.0092575,0.0092575,0.0092575
8,820.66,1.66234,2.2368,1.79672,0.50165,0.3717,0.37809,0.18405,1.75206,2.07665,1.91956,0.00913375,0.00913375,0.00913375
9,921.356,1.62013,2.15155,1.75955,0.5332,0.41132,0.42343,0.2121,1.707,1.91862,1.88255,0.00901,0.00901,0.00901
10,1022.24,1.6004,2.07303,1.74009,0.49488,0.46225,0.44303,0.2235,1.68894,1.81431,1.85513,0.00888625,0.00888625,0.00888625
11,1124.31,1.56245,1.99881,1.71408,0.54089,0.48722,0.48229,0.24968,1.6443,1.75487,1.82814,0.0087625,0.0087625,0.0087625
12,1225.32,1.54776,1.94605,1.70428,0.55055,0.49401,0.50501,0.26975,1.60428,1.70637,1.78723,0.00863875,0.00863875,0.00863875
13,1324.59,1.518,1.88942,1.67441,0.55357,0.51941,0.51628,0.28082,1.56964,1.63367,1.76758,0.008515,0.008515,0.008515
14,1423.41,1.49766,1.85088,1.66308,0.58314,0.48558,0.51336,0.27564,1.57981,1.6173,1.77032,0.00839125,0.00839125,0.00839125
15,1523.63,1.48524,1.79933,1.64579,0.61414,0.50897,0.54114,0.29842,1.56381,1.58646,1.73606,0.0082675,0.0082675,0.0082675
16,1622.9,1.47268,1.77807,1.63384,0.61,0.55883,0.58482,0.32259,1.53326,1.48784,1.7179,0.00814375,0.00814375,0.00814375
17,1722.47,1.46254,1.72465,1.62192,0.64761,0.56312,0.60571,0.33523,1.50791,1.43183,1.69371,0.00802,0.00802,0.00802
18,1823.86,1.43429,1.68312,1.60812,0.64161,0.55957,0.59534,0.33305,1.50537,1.43151,1.68726,0.00789625,0.00789625,0.00789625
19,1925.6,1.43147,1.65411,1.59939,0.64285,0.56212,0.59934,0.33846,1.49707,1.41287,1.67971,0.0077725,0.0077725,0.0077725
20,2027.41,1.41455,1.62756,1.58528,0.6633,0.58287,0.62371,0.35366,1.47651,1.35388,1.66428,0.00764875,0.00764875,0.00764875
21,2128.33,1.39841,1.58142,1.57508,0.70928,0.5763,0.63697,0.36237,1.4764,1.32541,1.65822,0.007525,0.007525,0.007525
22,2227.27,1.37654,1.5568,1.55098,0.68363,0.60611,0.6457,0.37085,1.45447,1.30769,1.63417,0.00740125,0.00740125,0.00740125
23,2326.79,1.38834,1.54417,1.5581,0.67081,0.60987,0.6498,0.37826,1.42591,1.31564,1.61145,0.0072775,0.0072775,0.0072775
24,2428.48,1.37327,1.51066,1.54606,0.68417,0.62743,0.66492,0.38775,1.41392,1.25015,1.6053,0.00715375,0.00715375,0.00715375
25,2530.21,1.35889,1.48521,1.5402,0.70984,0.61342,0.67309,0.39682,1.41132,1.22739,1.60232,0.00703,0.00703,0.00703
26,2631.08,1.35319,1.48093,1.53059,0.72106,0.6375,0.69115,0.40091,1.40889,1.21119,1.59574,0.00690625,0.00690625,0.00690625
27,2730.67,1.34313,1.44522,1.52038,0.721,0.64013,0.69774,0.41429,1.3909,1.15571,1.58531,0.0067825,0.0067825,0.0067825
28,2829.44,1.32554,1.41617,1.51219,0.72091,0.64697,0.70239,0.41477,1.38722,1.15958,1.57404,0.00665875,0.00665875,0.00665875
29,2928.29,1.3171,1.408,1.50633,0.73968,0.6518,0.70624,0.418,1.38609,1.13654,1.58475,0.006535,0.006535,0.006535
30,3028.42,1.31116,1.38597,1.49388,0.72685,0.65015,0.70996,0.42318,1.37824,1.12649,1.56536,0.00641125,0.00641125,0.00641125
31,3129.65,1.30407,1.35636,1.48014,0.7318,0.66801,0.71606,0.4271,1.39348,1.09955,1.56624,0.0062875,0.0062875,0.0062875
32,3230.26,1.30545,1.35139,1.48654,0.72374,0.67519,0.72412,0.4318,1.37292,1.08847,1.56034,0.00616375,0.00616375,0.00616375
33,3328.97,1.28894,1.32646,1.47092,0.76668,0.65464,0.72568,0.43354,1.3781,1.07924,1.55891,0.00604,0.00604,0.00604
34,3427.82,1.28626,1.31296,1.47352,0.75633,0.67975,0.73829,0.44277,1.35424,1.05776,1.54575,0.00591625,0.00591625,0.00591625
35,3529.12,1.26778,1.29001,1.46033,0.74563,0.69683,0.73941,0.44537,1.36216,1.04562,1.54873,0.0057925,0.0057925,0.0057925
36,3630.77,1.27323,1.28607,1.46492,0.77154,0.67424,0.73941,0.44714,1.35045,1.03912,1.53814,0.00566875,0.00566875,0.00566875
37,3732.5,1.2531,1.26722,1.45093,0.75458,0.69574,0.74176,0.44913,1.35047,1.03526,1.54586,0.005545,0.005545,0.005545
38,3832.45,1.24801,1.24445,1.44652,0.76822,0.68756,0.74285,0.45545,1.33965,1.0255,1.53344,0.00542125,0.00542125,0.00542125
39,3933.65,1.24652,1.23906,1.4443,0.74909,0.69014,0.739,0.45193,1.34864,1.0223,1.54244,0.0052975,0.0052975,0.0052975
40,4032.34,1.24478,1.21948,1.43896,0.76734,0.69593,0.74394,0.4537,1.3585,1.00601,1.5463,0.00517375,0.00517375,0.00517375
41,4133.23,1.22595,1.19003,1.42301,0.76203,0.70112,0.74945,0.4571,1.34234,0.99438,1.53898,0.00505,0.00505,0.00505
42,4233.26,1.22147,1.1819,1.41755,0.76622,0.70349,0.74784,0.46021,1.34208,0.98006,1.53231,0.00492625,0.00492625,0.00492625
43,4333.08,1.21588,1.1704,1.41797,0.76507,0.70573,0.74997,0.46105,1.33496,0.97873,1.53303,0.0048025,0.0048025,0.0048025
44,4432.34,1.20396,1.14866,1.41232,0.76115,0.70559,0.75523,0.46723,1.33665,0.96858,1.52871,0.00467875,0.00467875,0.00467875
45,4531.88,1.19464,1.13822,1.40022,0.77573,0.7109,0.75931,0.47026,1.32865,0.96625,1.52418,0.004555,0.004555,0.004555
46,4632.89,1.19215,1.12516,1.39574,0.76312,0.71797,0.75826,0.46844,1.33328,0.95592,1.52639,0.00443125,0.00443125,0.00443125
47,4734.16,1.18662,1.12312,1.39062,0.7665,0.7101,0.76016,0.47042,1.32805,0.94994,1.52603,0.0043075,0.0043075,0.0043075
48,4834.18,1.17575,1.10088,1.38492,0.78195,0.70936,0.76067,0.47141,1.33375,0.93994,1.52717,0.00418375,0.00418375,0.00418375
49,4933.81,1.16615,1.08309,1.37537,0.77503,0.71369,0.76044,0.47127,1.3329,0.93148,1.52697,0.00406,0.00406,0.00406
50,5033.83,1.15746,1.06662,1.37918,0.77235,0.71021,0.76538,0.47589,1.32307,0.93062,1.5183,0.00393625,0.00393625,0.00393625
51,5135.77,1.15542,1.06638,1.36952,0.779,0.71114,0.76787,0.47676,1.32448,0.92618,1.52149,0.0038125,0.0038125,0.0038125
52,5235.05,1.14959,1.03761,1.3637,0.78848,0.71181,0.76873,0.47897,1.31899,0.92009,1.51801,0.00368875,0.00368875,0.00368875
53,5335.78,1.13757,1.02365,1.35549,0.78608,0.72339,0.76845,0.47737,1.32131,0.91845,1.52079,0.003565,0.003565,0.003565
54,5437.57,1.13272,1.01118,1.34979,0.78642,0.73009,0.76934,0.47776,1.3198,0.91498,1.52158,0.00344125,0.00344125,0.00344125
55,5536.46,1.12741,1.00882,1.34672,0.79432,0.72463,0.77002,0.47831,1.32381,0.91011,1.52528,0.0033175,0.0033175,0.0033175
56,5636.37,1.12269,0.99872,1.34518,0.7956,0.71993,0.77198,0.48024,1.32553,0.90529,1.5274,0.00319375,0.00319375,0.00319375
57,5735.74,1.09998,0.97583,1.32646,0.78792,0.72945,0.77425,0.48253,1.32448,0.89928,1.52747,0.00307,0.00307,0.00307
58,5835.36,1.099,0.96686,1.32347,0.78364,0.72763,0.77392,0.48476,1.32263,0.89649,1.524,0.00294625,0.00294625,0.00294625
59,5936.05,1.09638,0.95859,1.31955,0.7859,0.72766,0.77451,0.48471,1.32623,0.89416,1.52553,0.0028225,0.0028225,0.0028225
60,6038.15,1.0834,0.93606,1.30872,0.78097,0.73584,0.77545,0.48572,1.32457,0.88862,1.52479,0.00269875,0.00269875,0.00269875
61,6137.48,1.08249,0.94294,1.30941,0.78857,0.73124,0.77684,0.48674,1.32509,0.88611,1.52532,0.002575,0.002575,0.002575
62,6237.47,1.07662,0.92312,1.30527,0.79803,0.72911,0.77759,0.48807,1.32408,0.88576,1.52524,0.00245125,0.00245125,0.00245125
