epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.871,1.74788,2.80918,1.95082,0.42953,0.44181,0.39954,0.18444,1.76304,2.15328,2.02984,0.00331956,0.00331956,0.00331956
2,210.596,1.66295,2.1513,1.84283,0.2266,0.23502,0.14551,0.05916,2.18018,4.83761,2.55606,0.00657056,0.00657056,0.00657056
3,317.57,1.86452,2.67086,2.00059,0.76542,0.01741,0.00913,0.00288,2.87875,7.23298,3.39762,0.00973907,0.00973907,0.00973907
4,424.655,1.93602,2.93694,2.08579,0.20695,0.16362,0.10666,0.04026,2.20103,5.9791,2.54283,0.00962875,0.00962875,0.00962875
5,529.237,1.81579,2.66684,1.98849,0.24262,0.23134,0.17155,0.06987,2.06964,4.08439,2.30496,0.009505,0.009505,0.009505
6,635.976,1.74486,2.474,1.91865,0.37418,0.31532,0.28504,0.1254,1.87615,2.5898,2.09147,0.00938125,0.00938125,0.00938125
7,739.288,1.68867,2.34833,1.86928,0.40209,0.37338,0.33355,0.15489,1.81468,2.33262,2.06575,0.0092575,0.0092575,0.0092575
8,846.051,1.64998,2.2484,1.84019,0.4604,0.37642,0.37133,0.17775,1.77596,2.23703,1.99842,0.00913375,0.00913375,0.00913375
9,952.881,1.61517,2.13169,1.80627,0.49466,0.43222,0.42225,0.20711,1.71684,2.06575,1.91025,0.00901,0.00901,0.00901
10,1058.16,1.5911,2.07251,1.78584,0.50376,0.43649,0.43436,0.21916,1.68085,1.9332,1.87703,0.00888625,0.00888625,0.00888625
11,1164.8,1.55474,2.0014,1.76337,0.55052,0.46787,0.47598,0.2464,1.68542,1.82516,1.89322,0.0087625,0.0087625,0.0087625
12,1271.63,1.54392,1.96284,1.74318,0.53248,0.4755,0.485,0.25623,1.6338,1.8028,1.85073,0.00863875,0.00863875,0.00863875
13,1378.36,1.52075,1.90468,1.72065,0.52161,0.47985,0.47801,0.25169,1.65624,1.88653,1.85331,0.008515,0.008515,0.008515
14,1483.2,1.50024,1.84779,1.70205,0.59236,0.53302,0.54646,0.28722,1.59589,1.63081,1.80106,0.00839125,0.00839125,0.00839125
15,1589.7,1.48795,1.80767,1.69946,0.6049,0.50747,0.55526,0.30592,1.62318,1.59533,1.81444,0.0082675,0.0082675,0.0082675
16,1697.64,1.47273,1.75812,1.67364,0.62135,0.52575,0.56657,0.30654,1.59252,1.61584,1.78752,0.00814375,0.00814375,0.00814375
17,1803.93,1.45839,1.72769,1.66915,0.63053,0.56208,0.58703,0.32504,1.57029,1.52908,1.75909,0.00802,0.00802,0.00802
18,1908.88,1.45811,1.72304,1.66287,0.64082,0.58286,0.60754,0.33616,1.56973,1.47332,1.77341,0.00789625,0.00789625,0.00789625
19,2015.29,1.43227,1.68366,1.64913,0.64241,0.57491,0.61291,0.34148,1.51783,1.50509,1.74418,0.0077725,0.0077725,0.0077725
20,2121.55,1.42186,1.62914,1.62512,0.65968,0.58449,0.62719,0.34895,1.52303,1.54886,1.72557,0.00764875,0.00764875,0.00764875
21,2226.55,1.40603,1.60447,1.61318,0.6641,0.59776,0.64092,0.36246,1.53148,1.52397,1.71798,0.007525,0.007525,0.007525
22,2330.39,1.39401,1.56538,1.60347,0.67207,0.6223,0.65901,0.37406,1.50982,1.34802,1.69845,0.00740125,0.00740125,0.00740125
23,2436.75,1.38756,1.55146,1.59639,0.68189,0.60868,0.65491,0.37781,1.46221,1.37971,1.66185,0.0072775,0.0072775,0.0072775
24,2544.05,1.38694,1.53815,1.59411,0.66598,0.64014,0.67135,0.39056,1.47771,1.3546,1.67373,0.00715375,0.00715375,0.00715375
25,2650.35,1.37263,1.50294,1.58704,0.70626,0.63565,0.68047,0.39287,1.49563,1.34347,1.68777,0.00703,0.00703,0.00703
26,2752.78,1.36486,1.50377,1.57872,0.71164,0.63807,0.6888,0.40002,1.4865,1.28718,1.68403,0.00690625,0.00690625,0.00690625
27,2859.29,1.34715,1.4715,1.56391,0.69603,0.6444,0.69328,0.40573,1.45093,1.26571,1.66391,0.0067825,0.0067825,0.0067825
28,2965.81,1.33987,1.44597,1.55956,0.73164,0.65018,0.69915,0.41197,1.42569,1.24887,1.63745,0.00665875,0.00665875,0.00665875
29,3072.25,1.32912,1.42984,1.55005,0.71732,0.66022,0.71422,0.41911,1.43379,1.19786,1.64676,0.006535,0.006535,0.006535
30,3178.63,1.32514,1.40485,1.55303,0.74364,0.63552,0.70711,0.41943,1.41437,1.22146,1.63157,0.00641125,0.00641125,0.00641125
31,3284.54,1.32108,1.39093,1.54114,0.74926,0.66165,0.72111,0.42921,1.40879,1.18449,1.62513,0.0062875,0.0062875,0.0062875
32,3391.08,1.31155,1.35781,1.53002,0.74269,0.66505,0.72391,0.43422,1.43153,1.18774,1.6299,0.00616375,0.00616375,0.00616375
33,3497.69,1.29369,1.34146,1.51981,0.74427,0.67646,0.72658,0.43696,1.42592,1.19134,1.63011,0.00604,0.00604,0.00604
34,3604.39,1.29261,1.34074,1.52052,0.7402,0.6815,0.72584,0.44041,1.42086,1.19212,1.62578,0.00591625,0.00591625,0.00591625
35,3710.36,1.28845,1.31314,1.51108,0.75126,0.68603,0.7364,0.44586,1.41479,1.18866,1.6176,0.0057925,0.0057925,0.0057925
36,3815.37,1.27862,1.29993,1.49971,0.75628,0.6716,0.73807,0.44513,1.40858,1.13711,1.61153,0.00566875,0.00566875,0.00566875
37,3921.9,1.27574,1.28244,1.50358,0.75293,0.68041,0.73592,0.45095,1.40391,1.14017,1.61944,0.005545,0.005545,0.005545
