epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3479,0.80201,5.29382,0.69743,0.54152,0.48733,0.49643,0.25508,0.76687,3.8015,0.67703,0.00331852,0.00331852,0.00331852
2,192.051,0.74887,4.07844,0.63869,0.30087,0.26482,0.19693,0.08592,1.17254,7.52857,0.99809,0.00656954,0.00656954,0.00656954
3,290.261,0.89191,5.13112,0.72888,0.09959,0.1519,0.05202,0.01745,1.40643,36.7991,1.27689,0.00973805,0.00973805,0.00973805
4,387.399,1.00698,5.67316,0.79988,0.25708,0.20822,0.16577,0.064,1.30052,10.4089,1.12164,0.00962875,0.00962875,0.00962875
5,484.257,0.97047,5.07107,0.77522,0.25504,0.19204,0.15192,0.06094,1.41687,7.10757,1.14185,0.009505,0.009505,0.009505
6,579.916,0.91761,4.70375,0.74372,0.40799,0.35416,0.32616,0.1425,1.12131,5.58506,0.92987,0.00938125,0.00938125,0.00938125
7,675.857,0.9146,4.41622,0.74145,0.49041,0.43032,0.42864,0.19516,0.98489,4.09156,0.82726,0.0092575,0.0092575,0.0092575
8,772.62,0.91309,4.2416,0.74586,0.46242,0.4701,0.44176,0.20515,0.99988,3.91119,0.84924,0.00913375,0.00913375,0.00913375
9,869,0.89313,4.0186,0.73481,0.56423,0.47901,0.50034,0.24356,0.96441,3.56095,0.81611,0.00901,0.00901,0.00901
10,965.704,0.88648,3.8719,0.73414,0.59337,0.49765,0.50791,0.25096,0.93442,3.42192,0.80102,0.00888625,0.00888625,0.00888625
11,1062,0.8867,3.77663,0.73381,0.62133,0.50452,0.54258,0.26873,0.88113,3.32883,0.76232,0.0087625,0.0087625,0.0087625
12,1157.09,0.86986,3.67486,0.72733,0.57271,0.54441,0.55199,0.2803,0.92481,3.21819,0.78259,0.00863875,0.00863875,0.00863875
13,1253.06,0.85816,3.52118,0.72241,0.61407,0.56657,0.57579,0.2945,0.84622,3.09655,0.73878,0.008515,0.008515,0.008515
14,1347.58,0.85751,3.47664,0.72746,0.67427,0.54999,0.61523,0.31534,0.88226,2.95056,0.7479,0.00839125,0.00839125,0.00839125
15,1442.54,0.84909,3.35947,0.72341,0.6699,0.5845,0.62531,0.32446,0.84537,2.8977,0.731,0.0082675,0.0082675,0.0082675
16,1537.56,0.84291,3.30605,0.7253,0.671,0.58318,0.62716,0.32541,0.8716,2.86843,0.73629,0.00814375,0.00814375,0.00814375
17,1633.4,0.84488,3.22039,0.72524,0.67719,0.59641,0.64385,0.3358,0.8518,2.75293,0.73819,0.00802,0.00802,0.00802
18,1729.38,0.84496,3.16007,0.73182,0.68486,0.62708,0.66688,0.35914,0.8587,2.59868,0.74558,0.00789625,0.00789625,0.00789625
19,1825.76,0.84778,3.12382,0.73647,0.70667,0.62444,0.66814,0.35641,0.82736,2.62421,0.72276,0.0077725,0.0077725,0.0077725
20,1920.31,0.83083,3.06544,0.72676,0.70645,0.61145,0.66117,0.36089,0.77154,2.63495,0.67948,0.00764875,0.00764875,0.00764875
21,2016.22,0.83316,3.01461,0.73302,0.71866,0.65132,0.69603,0.37889,0.76484,2.48312,0.68265,0.007525,0.007525,0.007525
22,2112.19,0.83463,2.94345,0.73444,0.71063,0.64815,0.69157,0.37815,0.78601,2.45558,0.6884,0.00740125,0.00740125,0.00740125
23,2208.6,0.83436,2.8745,0.73747,0.73021,0.64569,0.69993,0.38419,0.78968,2.41737,0.6948,0.0072775,0.0072775,0.0072775
24,2304.75,0.82415,2.86934,0.73371,0.71547,0.67184,0.70475,0.39196,0.77244,2.38671,0.68605,0.00715375,0.00715375,0.00715375
25,2400.65,0.80598,2.79815,0.7262,0.72514,0.65066,0.69917,0.39253,0.7504,2.38836,0.66301,0.00703,0.00703,0.00703
26,2495.64,0.81474,2.80072,0.73303,0.74795,0.66788,0.72206,0.40826,0.71925,2.25556,0.64845,0.00690625,0.00690625,0.00690625
27,2590.03,0.80267,2.71386,0.73101,0.73896,0.67449,0.72871,0.41697,0.70218,2.26252,0.63659,0.0067825,0.0067825,0.0067825
