epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6579,0.90495,5.22627,0.74531,0.57738,0.45862,0.48324,0.24022,0.91312,3.9846,0.73102,0.00331852,0.00331852,0.00331852
2,193.295,0.86476,3.88745,0.6885,0.3271,0.30856,0.23324,0.09885,1.23018,6.79009,0.984,0.00656954,0.00656954,0.00656954
3,291.003,1.09033,4.97742,0.81039,0.1617,0.08216,0.03477,0.01186,2.32491,31.9554,2.06024,0.00973805,0.00973805,0.00973805
4,388.677,1.28164,5.47865,0.90006,0.17515,0.14552,0.05425,0.01792,2.0995,16.3851,1.66889,0.00962875,0.00962875,0.00962875
5,485.205,1.19184,4.83962,0.85339,0.37065,0.32942,0.2963,0.12134,1.37551,4.90681,1.0689,0.009505,0.009505,0.009505
6,580.943,1.12049,4.42761,0.81524,0.42289,0.37932,0.36502,0.15092,1.3969,4.22431,1.04577,0.00938125,0.00938125,0.00938125
7,677.58,1.1095,4.13979,0.81206,0.47511,0.39947,0.39101,0.17835,1.19638,4.12116,0.93418,0.0092575,0.0092575,0.0092575
8,774.322,1.07892,3.97547,0.80174,0.51963,0.43789,0.44873,0.20626,1.15638,3.79653,0.89024,0.00913375,0.00913375,0.00913375
9,871.042,1.05962,3.72094,0.79194,0.55512,0.51478,0.49786,0.23254,1.14705,3.41037,0.88727,0.00901,0.00901,0.00901
10,967.524,1.04011,3.59711,0.785,0.56437,0.47925,0.50112,0.23951,1.05605,3.2454,0.83759,0.00888625,0.00888625,0.00888625
11,1063.55,1.03614,3.49947,0.78329,0.61714,0.5425,0.56682,0.27383,1.07023,2.96357,0.83971,0.0087625,0.0087625,0.0087625
12,1159.1,1.04377,3.3828,0.79171,0.59392,0.54588,0.55843,0.27664,1.03855,2.9669,0.82054,0.00863875,0.00863875,0.00863875
13,1255.36,1.05893,3.27201,0.80456,0.62921,0.54912,0.56877,0.28146,1.06244,2.89886,0.837,0.008515,0.008515,0.008515
14,1350.48,1.02369,3.21438,0.78862,0.68631,0.57092,0.62161,0.31282,1.07934,2.67585,0.84409,0.00839125,0.00839125,0.00839125
15,1445.53,1.01502,3.08514,0.78757,0.65753,0.56297,0.60136,0.30472,1.03636,2.67997,0.82177,0.0082675,0.0082675,0.0082675
16,1540.48,1.04099,3.01723,0.80684,0.65479,0.58717,0.62185,0.3108,1.00264,2.58454,0.79535,0.00814375,0.00814375,0.00814375
17,1636.4,1.00314,2.96667,0.78488,0.68361,0.59387,0.62734,0.31404,0.97173,2.5987,0.77617,0.00802,0.00802,0.00802
18,1731.45,1.02628,2.90532,0.80343,0.68889,0.6139,0.65889,0.34757,0.94835,2.4712,0.75988,0.00789625,0.00789625,0.00789625
19,1826.42,1.01566,2.88276,0.79967,0.70867,0.61753,0.66641,0.35238,0.89857,2.39197,0.73466,0.0077725,0.0077725,0.0077725
20,1922.65,0.99279,2.81892,0.78646,0.70076,0.63751,0.67452,0.36318,0.88795,2.37669,0.72316,0.00764875,0.00764875,0.00764875
21,2018.83,0.99932,2.77085,0.79726,0.73894,0.63176,0.69101,0.36746,0.87595,2.30201,0.72673,0.007525,0.007525,0.007525
22,2114.92,0.98418,2.68006,0.78696,0.72164,0.65378,0.69316,0.37556,0.88128,2.27694,0.72116,0.00740125,0.00740125,0.00740125
23,2211,1.01175,2.64933,0.8105,0.73547,0.65511,0.69575,0.38232,0.92063,2.22212,0.74864,0.0072775,0.0072775,0.0072775
24,2306.82,1.00771,2.63011,0.81122,0.72491,0.66793,0.70782,0.38496,0.87725,2.15517,0.72043,0.00715375,0.00715375,0.00715375
25,2402.55,0.96853,2.55492,0.79133,0.74902,0.66869,0.71708,0.3957,0.88964,2.12229,0.72935,0.00703,0.00703,0.00703
26,2498.59,0.9768,2.55924,0.79792,0.74924,0.6754,0.71945,0.40109,0.83991,2.1015,0.70129,0.00690625,0.00690625,0.00690625
27,2593.87,0.94016,2.47869,0.78288,0.75361,0.67947,0.72304,0.40761,0.81812,2.02522,0.68322,0.0067825,0.0067825,0.0067825
28,2691.04,0.95343,2.44421,0.7913,0.7746,0.65988,0.72641,0.40845,0.85823,2.05744,0.70996,0.00665875,0.00665875,0.00665875
29,2787.12,0.96171,2.4586,0.79849,0.74958,0.69698,0.73832,0.41995,0.81449,2.00029,0.6808,0.006535,0.006535,0.006535
30,2882.31,0.95663,2.40805,0.7989,0.74642,0.69808,0.73557,0.42644,0.81693,1.99662,0.68475,0.00641125,0.00641125,0.00641125
31,2978.41,0.95456,2.3482,0.79974,0.77322,0.68269,0.73687,0.42027,0.80219,1.98216,0.67491,0.0062875,0.0062875,0.0062875
32,3074.58,0.9366,2.34115,0.79275,0.7815,0.70745,0.75317,0.43077,0.80218,1.9417,0.67271,0.00616375,0.00616375,0.00616375
33,3171.22,0.94832,2.30769,0.80453,0.74466,0.71271,0.75325,0.4332,0.79473,1.95028,0.67489,0.00604,0.00604,0.00604
34,3268.05,0.93058,2.28292,0.79672,0.79117,0.70149,0.76106,0.43662,0.74746,1.91682,0.63947,0.00591625,0.00591625,0.00591625
35,3364.61,0.94167,2.23861,0.80619,0.78273,0.70315,0.75816,0.43776,0.7651,1.89333,0.65607,0.0057925,0.0057925,0.0057925
36,3460.87,0.90878,2.2303,0.79058,0.80208,0.70638,0.76207,0.4424,0.72602,1.85145,0.6277,0.00566875,0.00566875,0.00566875
37,3556.49,0.89651,2.18982,0.78572,0.79538,0.70747,0.76543,0.44744,0.70581,1.84398,0.61679,0.005545,0.005545,0.005545
38,3652.32,0.89832,2.15858,0.78648,0.78733,0.71623,0.76775,0.45321,0.69851,1.81542,0.60874,0.00542125,0.00542125,0.00542125
39,3747.88,0.89203,2.13975,0.78851,0.80212,0.71139,0.77301,0.45536,0.68718,1.80061,0.60095,0.0052975,0.0052975,0.0052975
40,3843.21,0.88959,2.12365,0.79039,0.78651,0.72516,0.77099,0.45541,0.68613,1.82197,0.60375,0.00517375,0.00517375,0.00517375
41,3938.24,0.89577,2.10297,0.79543,0.78959,0.72772,0.77131,0.45529,0.68191,1.79864,0.60231,0.00505,0.00505,0.00505
42,4033.55,0.88717,2.06313,0.79333,0.79895,0.72635,0.77629,0.45788,0.67746,1.77916,0.59796,0.00492625,0.00492625,0.00492625
43,4129.38,0.90624,2.05886,0.80599,0.80615,0.71705,0.77273,0.46417,0.67297,1.75816,0.59588,0.0048025,0.0048025,0.0048025
44,4225.71,0.89252,2.00947,0.80026,0.79992,0.73427,0.78034,0.46554,0.67731,1.7612,0.59613,0.00467875,0.00467875,0.00467875
45,4322.09,0.88445,1.99148,0.80211,0.81201,0.73097,0.78264,0.46945,0.67344,1.74298,0.59767,0.004555,0.004555,0.004555
46,4418.36,0.88979,1.98429,0.80794,0.83021,0.71628,0.77876,0.46939,0.66669,1.73331,0.59363,0.00443125,0.00443125,0.00443125
47,4514.55,0.8894,1.9479,0.81125,0.81476,0.7304,0.78281,0.4716,0.66419,1.72761,0.59227,0.0043075,0.0043075,0.0043075
48,4610.68,0.89334,1.93879,0.8152,0.80962,0.73708,0.78157,0.47296,0.6635,1.7123,0.59278,0.00418375,0.00418375,0.00418375
49,4706.87,0.8881,1.90355,0.81044,0.80278,0.73069,0.77709,0.47459,0.66181,1.69734,0.59109,0.00406,0.00406,0.00406
50,4803.09,0.88654,1.87282,0.81351,0.80163,0.73868,0.7788,0.47378,0.66173,1.69616,0.59071,0.00393625,0.00393625,0.00393625
51,4899.67,0.88486,1.86746,0.8172,0.81064,0.74097,0.7815,0.47728,0.65902,1.69779,0.59006,0.0038125,0.0038125,0.0038125
52,4996.07,0.89085,1.86021,0.825,0.81071,0.73926,0.78003,0.4782,0.65692,1.6903,0.58933,0.00368875,0.00368875,0.00368875
53,5092.21,0.88013,1.81509,0.82124,0.80851,0.74309,0.78046,0.4792,0.65687,1.68062,0.59024,0.003565,0.003565,0.003565
54,5188.15,0.89,1.80554,0.82729,0.7933,0.75166,0.78101,0.48001,0.65421,1.68023,0.5898,0.00344125,0.00344125,0.00344125
55,5283.58,0.88004,1.77403,0.8227,0.80985,0.74292,0.7803,0.47933,0.65665,1.68095,0.59148,0.0033175,0.0033175,0.0033175
56,5378.89,0.88038,1.77076,0.82883,0.79974,0.74242,0.77944,0.48129,0.6521,1.67305,0.58982,0.00319375,0.00319375,0.00319375
57,5475.23,0.88253,1.73203,0.83089,0.8022,0.74479,0.77892,0.48039,0.64896,1.66637,0.58811,0.00307,0.00307,0.00307
58,5570.7,0.87647,1.72341,0.82876,0.80863,0.73996,0.77992,0.48152,0.65026,1.65894,0.58836,0.00294625,0.00294625,0.00294625
59,5665.58,0.88161,1.704,0.83407,0.81065,0.73931,0.78089,0.4826,0.64769,1.65423,0.58771,0.0028225,0.0028225,0.0028225
60,5761.56,0.87083,1.67465,0.8307,0.81704,0.74599,0.78091,0.48265,0.64893,1.65665,0.58915,0.00269875,0.00269875,0.00269875
61,5857.35,0.87545,1.66078,0.83555,0.8147,0.74874,0.78069,0.48367,0.64942,1.65684,0.59001,0.002575,0.002575,0.002575
62,5951.89,0.86985,1.63722,0.83534,0.81141,0.74849,0.7805,0.48305,0.64757,1.65225,0.58951,0.00245125,0.00245125,0.00245125
63,6047.1,0.87656,1.6292,0.83869,0.81572,0.74918,0.78335,0.48463,0.64779,1.64625,0.59029,0.0023275,0.0023275,0.0023275
64,6142.24,0.87659,1.6118,0.84036,0.81837,0.74749,0.78357,0.48549,0.646,1.64177,0.59023,0.00220375,0.00220375,0.00220375
65,6236.66,0.88168,1.59115,0.84596,0.81419,0.74996,0.78291,0.48514,0.65074,1.64113,0.59423,0.00208,0.00208,0.00208
66,6331.41,0.87311,1.56429,0.84251,0.82252,0.7444,0.7848,0.4863,0.64777,1.63637,0.59277,0.00195625,0.00195625,0.00195625
67,6426.15,0.869,1.55741,0.84544,0.81879,0.74785,0.78621,0.48753,0.64682,1.63421,0.59294,0.0018325,0.0018325,0.0018325
68,6520.87,0.86275,1.52954,0.84178,0.81955,0.75019,0.78528,0.48827,0.64638,1.63244,0.59366,0.00170875,0.00170875,0.00170875
