epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.039,0.82754,5.27439,0.70937,0.56973,0.51323,0.52917,0.26138,0.80024,3.36747,0.67103,0.00331852,0.00331852,0.00331852
2,192.611,0.81398,3.89634,0.66135,0.32306,0.29352,0.21807,0.08786,1.25425,7.95752,1.03109,0.00656954,0.00656954,0.00656954
3,290.293,1.01226,4.94083,0.77154,0.09603,0.08122,0.02686,0.00858,1.97571,39.4918,1.71802,0.00973805,0.00973805,0.00973805
4,387.341,1.20292,5.49753,0.87984,0.22711,0.21016,0.15183,0.05613,1.58365,11.2171,1.25516,0.00962875,0.00962875,0.00962875
5,483.427,1.13891,4.83484,0.83915,0.28704,0.19369,0.16252,0.06627,1.50303,8.53092,1.16837,0.009505,0.009505,0.009505
6,580.009,1.10849,4.41416,0.8175,0.46694,0.35309,0.33723,0.1368,1.28685,4.6589,1.00761,0.00938125,0.00938125,0.00938125
7,675.337,1.09059,4.10505,0.80834,0.52354,0.43051,0.4268,0.18929,1.17877,3.93839,0.93495,0.0092575,0.0092575,0.0092575
8,771.534,1.07602,3.91698,0.80394,0.53234,0.41829,0.4243,0.18542,1.24293,3.82257,0.96569,0.00913375,0.00913375,0.00913375
9,867.291,1.04486,3.70611,0.78818,0.54355,0.4739,0.48184,0.22001,1.03541,3.46049,0.83094,0.00901,0.00901,0.00901
10,963.237,1.01421,3.5669,0.7754,0.6217,0.50861,0.52878,0.24729,1.02568,3.12818,0.82779,0.00888625,0.00888625,0.00888625
11,1058.41,1.00748,3.46653,0.77256,0.62419,0.52372,0.5478,0.26062,1.0612,2.97187,0.85164,0.0087625,0.0087625,0.0087625
12,1153.68,1.00543,3.34942,0.77346,0.62403,0.54284,0.57224,0.28011,0.94752,2.93383,0.76895,0.00863875,0.00863875,0.00863875
13,1248.36,1.02118,3.2305,0.78603,0.63471,0.53628,0.56911,0.28051,0.92836,2.80357,0.76538,0.008515,0.008515,0.008515
14,1343.11,1.00541,3.15075,0.78114,0.66427,0.56545,0.61258,0.30292,0.97639,2.63694,0.78397,0.00839125,0.00839125,0.00839125
15,1437.91,0.99162,3.06267,0.77708,0.67037,0.57623,0.62076,0.31518,0.90607,2.54549,0.74712,0.0082675,0.0082675,0.0082675
16,1533.6,0.99868,2.98824,0.78655,0.65508,0.61028,0.63201,0.32014,0.94188,2.51342,0.76751,0.00814375,0.00814375,0.00814375
17,1629.88,0.97492,2.91581,0.7738,0.6803,0.59891,0.63333,0.32118,0.92822,2.50113,0.75862,0.00802,0.00802,0.00802
18,1729.46,0.98456,2.84772,0.77865,0.70402,0.6187,0.6663,0.34625,0.89521,2.37529,0.73547,0.00789625,0.00789625,0.00789625
19,1828.49,0.97856,2.82887,0.78067,0.72598,0.62075,0.67311,0.35706,0.87404,2.32161,0.72196,0.0077725,0.0077725,0.0077725
20,1925.32,0.96853,2.77141,0.77422,0.72098,0.64161,0.68058,0.36521,0.83412,2.24015,0.70207,0.00764875,0.00764875,0.00764875
21,2022.1,0.95741,2.69771,0.77129,0.72788,0.63986,0.68918,0.36587,0.8822,2.1965,0.73303,0.007525,0.007525,0.007525
22,2118.53,0.95009,2.65254,0.77131,0.74606,0.65146,0.69848,0.37304,0.83299,2.18058,0.69755,0.00740125,0.00740125,0.00740125
23,2215.18,0.94878,2.5949,0.77186,0.72381,0.66706,0.6996,0.37927,0.84707,2.18193,0.7092,0.0072775,0.0072775,0.0072775
24,2311.47,0.94948,2.59267,0.7768,0.72409,0.67158,0.69443,0.37342,0.8251,2.14361,0.69681,0.00715375,0.00715375,0.00715375
25,2407.31,0.92669,2.53121,0.76425,0.72958,0.67346,0.70374,0.38767,0.77399,2.10927,0.65817,0.00703,0.00703,0.00703
26,2504,0.96009,2.51505,0.78892,0.76007,0.68437,0.73374,0.40338,0.79171,2.03703,0.67341,0.00690625,0.00690625,0.00690625
27,2600.63,0.93168,2.42915,0.77597,0.76515,0.67185,0.72278,0.40057,0.80688,2.07822,0.6816,0.0067825,0.0067825,0.0067825
28,2696.32,0.93561,2.3938,0.78064,0.74154,0.69328,0.73629,0.4112,0.83386,1.98626,0.70636,0.00665875,0.00665875,0.00665875
29,2791.77,0.93208,2.40478,0.78444,0.77388,0.68322,0.73651,0.40437,0.78839,2.02576,0.67466,0.006535,0.006535,0.006535
30,2886.97,0.92256,2.35886,0.77982,0.77594,0.69269,0.74147,0.41726,0.74924,1.95326,0.64704,0.00641125,0.00641125,0.00641125
31,2983.7,0.91938,2.29628,0.77494,0.76596,0.70061,0.74128,0.42031,0.75466,1.92474,0.64979,0.0062875,0.0062875,0.0062875
32,3080.26,0.92337,2.29706,0.78412,0.77321,0.71683,0.75176,0.42524,0.74233,1.9017,0.64409,0.00616375,0.00616375,0.00616375
33,3177.16,0.92464,2.25828,0.78752,0.75781,0.72096,0.75308,0.43214,0.72193,1.84387,0.62834,0.00604,0.00604,0.00604
34,3273.88,0.91461,2.24216,0.78525,0.78751,0.70618,0.75923,0.43369,0.71941,1.8692,0.62877,0.00591625,0.00591625,0.00591625
35,3368.91,0.92056,2.18655,0.79103,0.80882,0.70051,0.75758,0.43834,0.71376,1.83983,0.62873,0.0057925,0.0057925,0.0057925
36,3464.47,0.91244,2.17235,0.78925,0.7514,0.73606,0.75809,0.4371,0.70587,1.84448,0.61785,0.00566875,0.00566875,0.00566875
37,3559.46,0.91251,2.14049,0.78992,0.77732,0.72514,0.76089,0.44175,0.71882,1.81615,0.62682,0.005545,0.005545,0.005545
38,3656.3,0.91936,2.11948,0.79661,0.78495,0.72551,0.76286,0.44776,0.70903,1.79389,0.6232,0.00542125,0.00542125,0.00542125
39,3751.91,0.91696,2.0879,0.80131,0.80385,0.71528,0.76802,0.44969,0.70672,1.79173,0.62441,0.0052975,0.0052975,0.0052975
40,3848.63,0.91046,2.06108,0.79931,0.76626,0.74163,0.76957,0.45375,0.69161,1.77689,0.61421,0.00517375,0.00517375,0.00517375
41,3945.54,0.91454,2.05957,0.80456,0.7903,0.73753,0.77285,0.45695,0.69512,1.7619,0.61786,0.00505,0.00505,0.00505
42,4042.18,0.90286,2.03127,0.79634,0.78307,0.73791,0.77304,0.45973,0.68744,1.74438,0.61211,0.00492625,0.00492625,0.00492625
43,4138.84,0.92454,2.00662,0.81418,0.78981,0.73414,0.77094,0.45966,0.69023,1.72214,0.61554,0.0048025,0.0048025,0.0048025
44,4235.59,0.9068,1.97816,0.80746,0.7914,0.74828,0.77906,0.46335,0.68048,1.70374,0.60725,0.00467875,0.00467875,0.00467875
45,4331.86,0.8909,1.94927,0.79914,0.8046,0.74074,0.78026,0.4647,0.6707,1.68816,0.60071,0.004555,0.004555,0.004555
46,4428.58,0.90483,1.93708,0.80976,0.77941,0.74857,0.77717,0.46561,0.67775,1.69161,0.60576,0.00443125,0.00443125,0.00443125
47,4525.1,0.90933,1.90633,0.81912,0.80702,0.74073,0.77906,0.46685,0.68174,1.69116,0.60865,0.0043075,0.0043075,0.0043075
