epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.4535,0.83849,5.03977,0.71678,0.56545,0.46835,0.50222,0.24576,0.83597,3.65786,0.69975,0.00331852,0.00331852,0.00331852
2,194.269,0.79175,3.80551,0.65548,0.37603,0.34805,0.28148,0.12189,1.05993,7.01551,0.86576,0.00656954,0.00656954,0.00656954
3,293.55,0.94754,4.79657,0.74736,0.29919,0.07251,0.02164,0.0075,1.76053,63.9062,1.63131,0.00973805,0.00973805,0.00973805
4,391.71,1.07006,5.31337,0.81322,0.28985,0.22541,0.16884,0.06351,1.32238,11.9545,1.10314,0.00962875,0.00962875,0.00962875
5,488.709,1.03864,4.7123,0.79736,0.36303,0.27555,0.233,0.09338,1.23297,5.39632,1.00627,0.009505,0.009505,0.009505
6,585.65,0.97934,4.34615,0.75943,0.46496,0.39791,0.38622,0.16403,1.15217,4.18686,0.92624,0.00938125,0.00938125,0.00938125
7,682.899,0.98289,4.05289,0.76239,0.4695,0.40965,0.39061,0.17361,1.05586,3.97303,0.86087,0.0092575,0.0092575,0.0092575
8,779.843,0.97745,3.90736,0.76616,0.51085,0.47422,0.46322,0.21522,1.02929,3.66751,0.84486,0.00913375,0.00913375,0.00913375
9,876.66,0.94699,3.67985,0.75228,0.54092,0.48911,0.48447,0.22505,0.99328,3.38107,0.81595,0.00901,0.00901,0.00901
10,972.502,0.93592,3.54763,0.74618,0.56716,0.48371,0.50098,0.23909,0.99944,3.2282,0.82375,0.00888625,0.00888625,0.00888625
11,1068.21,0.91733,3.46398,0.73736,0.64675,0.51096,0.55603,0.2725,0.89987,2.96671,0.75361,0.0087625,0.0087625,0.0087625
12,1164.83,0.91853,3.34137,0.74302,0.61877,0.5365,0.56145,0.2821,0.92224,2.87892,0.77079,0.00863875,0.00863875,0.00863875
13,1261.33,0.93068,3.23686,0.75176,0.5719,0.57198,0.5669,0.28402,0.87414,2.79894,0.73313,0.008515,0.008515,0.008515
14,1357.99,0.9052,3.18023,0.73922,0.67942,0.5707,0.61626,0.30532,0.93244,2.70984,0.76005,0.00839125,0.00839125,0.00839125
15,1454.42,0.91449,3.08565,0.74797,0.69137,0.58788,0.64077,0.33159,0.87743,2.52814,0.73689,0.0082675,0.0082675,0.0082675
16,1550.8,0.90649,3.01823,0.74922,0.71378,0.5776,0.64094,0.33057,0.87085,2.4894,0.73089,0.00814375,0.00814375,0.00814375
17,1647.72,0.90022,2.95002,0.74522,0.68089,0.62155,0.63965,0.33307,0.85354,2.47467,0.7244,0.00802,0.00802,0.00802
18,1743.98,0.88447,2.89463,0.73953,0.68202,0.62763,0.6615,0.34757,0.82515,2.44963,0.70434,0.00789625,0.00789625,0.00789625
19,1840.43,0.89985,2.86543,0.75071,0.69454,0.60679,0.65942,0.3527,0.82723,2.43301,0.70053,0.0077725,0.0077725,0.0077725
20,1936.38,0.88555,2.79697,0.74806,0.70868,0.63387,0.67546,0.36717,0.81059,2.30361,0.68775,0.00764875,0.00764875,0.00764875
21,2031.32,0.88475,2.75899,0.7492,0.72234,0.64562,0.69186,0.37356,0.79947,2.24637,0.68973,0.007525,0.007525,0.007525
22,2126.25,0.88368,2.68127,0.74986,0.72452,0.65888,0.70426,0.38247,0.78202,2.1994,0.67542,0.00740125,0.00740125,0.00740125
23,2221.24,0.86884,2.63229,0.74496,0.72777,0.66102,0.69246,0.37837,0.76578,2.17278,0.66377,0.0072775,0.0072775,0.0072775
24,2316.29,0.88123,2.64385,0.75604,0.74408,0.68037,0.71874,0.39447,0.76576,2.14641,0.67005,0.00715375,0.00715375,0.00715375
25,2411.5,0.85131,2.55167,0.74186,0.72707,0.67778,0.71238,0.39667,0.73303,2.10899,0.64559,0.00703,0.00703,0.00703
26,2507.18,0.86498,2.54411,0.75103,0.73065,0.68314,0.71778,0.40085,0.72678,2.0933,0.63875,0.00690625,0.00690625,0.00690625
27,2603.24,0.85709,2.48209,0.74975,0.75335,0.67039,0.73005,0.41105,0.724,2.05431,0.63492,0.0067825,0.0067825,0.0067825
28,2699.88,0.85452,2.4469,0.75001,0.7547,0.67803,0.72733,0.41511,0.71125,2.01565,0.62874,0.00665875,0.00665875,0.00665875
29,2796.62,0.85696,2.45008,0.75591,0.74141,0.69947,0.73684,0.41983,0.70776,2.01199,0.63036,0.006535,0.006535,0.006535
30,2893.18,0.85509,2.38999,0.75676,0.73904,0.70457,0.72942,0.41825,0.70002,1.9925,0.62219,0.00641125,0.00641125,0.00641125
31,2989.76,0.86523,2.33811,0.76393,0.77085,0.69344,0.74153,0.42453,0.70039,1.93757,0.62232,0.0062875,0.0062875,0.0062875
32,3086.02,0.86202,2.32582,0.76684,0.77041,0.70315,0.74893,0.42984,0.67708,1.92542,0.61064,0.00616375,0.00616375,0.00616375
33,3182.31,0.86132,2.31128,0.76892,0.76844,0.70934,0.75569,0.43703,0.68118,1.89677,0.60981,0.00604,0.00604,0.00604
34,3279.41,0.86742,2.28147,0.7758,0.75834,0.72569,0.75809,0.43988,0.67158,1.89664,0.60343,0.00591625,0.00591625,0.00591625
35,3375.89,0.86143,2.23095,0.77506,0.76927,0.72535,0.76421,0.43949,0.67537,1.86288,0.61102,0.0057925,0.0057925,0.0057925
36,3472.66,0.86774,2.22619,0.78078,0.78568,0.71551,0.75912,0.43987,0.6813,1.87269,0.60901,0.00566875,0.00566875,0.00566875
37,3569.17,0.8654,2.18101,0.78089,0.78345,0.7169,0.76872,0.45048,0.65904,1.85794,0.59533,0.005545,0.005545,0.005545
38,3665.52,0.86451,2.1629,0.78248,0.78302,0.72071,0.77117,0.45514,0.6492,1.83831,0.59042,0.00542125,0.00542125,0.00542125
39,3760.78,0.86666,2.14119,0.78878,0.76925,0.73896,0.77527,0.46085,0.64554,1.79852,0.58707,0.0052975,0.0052975,0.0052975
40,3856.06,0.85889,2.10486,0.78768,0.79399,0.72368,0.77091,0.45888,0.64921,1.80955,0.58832,0.00517375,0.00517375,0.00517375
41,3952.37,0.87056,2.09594,0.79725,0.78711,0.73172,0.77374,0.45985,0.6445,1.79891,0.58968,0.00505,0.00505,0.00505
42,4048.76,0.86847,2.08089,0.79744,0.7894,0.72597,0.77067,0.46034,0.64902,1.78483,0.59222,0.00492625,0.00492625,0.00492625
43,4145.16,0.88301,2.06524,0.81041,0.78777,0.7249,0.76794,0.45782,0.64456,1.79278,0.58873,0.0048025,0.0048025,0.0048025
44,4241.04,0.86797,2.01663,0.80495,0.79081,0.73481,0.77566,0.46379,0.63951,1.76965,0.58583,0.00467875,0.00467875,0.00467875
45,4337.37,0.86839,1.98446,0.80708,0.79293,0.73555,0.77773,0.46811,0.63297,1.76309,0.58194,0.004555,0.004555,0.004555
46,4433.36,0.8756,1.99147,0.81467,0.78979,0.73167,0.77691,0.46388,0.63477,1.77236,0.58502,0.00443125,0.00443125,0.00443125
47,4528.62,0.87323,1.95237,0.81664,0.8006,0.72964,0.77549,0.46773,0.63538,1.76119,0.58485,0.0043075,0.0043075,0.0043075
48,4623.95,0.87815,1.94211,0.82254,0.81336,0.7344,0.78302,0.47105,0.63764,1.74947,0.58688,0.00418375,0.00418375,0.00418375
49,4720.32,0.87032,1.90667,0.81807,0.82298,0.7281,0.78062,0.47253,0.6339,1.73963,0.58577,0.00406,0.00406,0.00406
50,4816.61,0.87809,1.88709,0.8248,0.81146,0.73728,0.78211,0.47325,0.63498,1.74199,0.58462,0.00393625,0.00393625,0.00393625
51,4911.56,0.87456,1.86922,0.82793,0.80377,0.73671,0.78311,0.47381,0.63285,1.73573,0.58533,0.0038125,0.0038125,0.0038125
52,5006.43,0.87776,1.85634,0.83256,0.80179,0.74019,0.78261,0.47719,0.6265,1.7257,0.58085,0.00368875,0.00368875,0.00368875
53,5101.23,0.87494,1.82948,0.832,0.81165,0.74057,0.78274,0.47795,0.62552,1.7241,0.58048,0.003565,0.003565,0.003565
54,5195.95,0.88079,1.80093,0.83648,0.79589,0.7437,0.77987,0.47847,0.62462,1.71233,0.58041,0.00344125,0.00344125,0.00344125
55,5291.02,0.87631,1.77463,0.83603,0.79811,0.75308,0.78455,0.48067,0.62361,1.70269,0.58109,0.0033175,0.0033175,0.0033175
56,5385.49,0.87773,1.75913,0.83911,0.81243,0.74558,0.7874,0.48465,0.62424,1.69792,0.58159,0.00319375,0.00319375,0.00319375
57,5480.08,0.88108,1.73394,0.84149,0.80893,0.74445,0.78521,0.48584,0.62438,1.69137,0.58178,0.00307,0.00307,0.00307
58,5574.55,0.87565,1.72569,0.84189,0.8131,0.7437,0.7882,0.48483,0.62376,1.70111,0.58296,0.00294625,0.00294625,0.00294625
59,5669.07,0.88044,1.69158,0.84389,0.82238,0.73843,0.78711,0.48603,0.62311,1.7036,0.58316,0.0028225,0.0028225,0.0028225
60,5764.31,0.87134,1.67419,0.84294,0.8264,0.73117,0.78387,0.48633,0.62044,1.70391,0.58272,0.00269875,0.00269875,0.00269875
61,5859.77,0.875,1.64926,0.84801,0.81703,0.73515,0.78478,0.48724,0.62086,1.69931,0.58366,0.002575,0.002575,0.002575
62,5954.25,0.87193,1.63681,0.84708,0.82438,0.73137,0.78442,0.48613,0.62086,1.69587,0.58445,0.00245125,0.00245125,0.00245125
63,6050.38,0.87672,1.63828,0.85181,0.83234,0.72783,0.78338,0.48643,0.6201,1.69372,0.58542,0.0023275,0.0023275,0.0023275
64,6146.8,0.88138,1.61664,0.85456,0.82904,0.72986,0.78194,0.48632,0.62027,1.69483,0.58623,0.00220375,0.00220375,0.00220375
65,6243.22,0.88089,1.5986,0.85676,0.8246,0.73309,0.78344,0.48771,0.62081,1.69617,0.58718,0.00208,0.00208,0.00208
66,6338.23,0.87679,1.56476,0.85453,0.8272,0.73163,0.7835,0.48831,0.62296,1.69724,0.58934,0.00195625,0.00195625,0.00195625
67,6434.7,0.87543,1.56235,0.85791,0.83031,0.72974,0.7848,0.48794,0.6229,1.6965,0.59026,0.0018325,0.0018325,0.0018325
68,6531.43,0.86979,1.53358,0.85279,0.80745,0.74307,0.78497,0.48911,0.61774,1.69756,0.58723,0.00170875,0.00170875,0.00170875
69,6627.58,0.87345,1.52018,0.85716,0.81277,0.74098,0.78528,0.48885,0.61746,1.69922,0.58833,0.001585,0.001585,0.001585
70,6723.89,0.87487,1.52328,0.85996,0.81155,0.74364,0.78413,0.48845,0.61756,1.69845,0.58945,0.00146125,0.00146125,0.00146125
71,6822.91,0.7912,1.09053,0.82536,0.81684,0.7446,0.78558,0.48898,0.61734,1.6941,0.59018,0.0013375,0.0013375,0.0013375
72,6920.64,0.77878,1.04762,0.81771,0.81553,0.7429,0.78531,0.49014,0.61377,1.69377,0.58849,0.00121375,0.00121375,0.00121375
73,7019.47,0.77404,1.02572,0.81605,0.81492,0.74476,0.78489,0.49001,0.61406,1.69476,0.58979,0.00109,0.00109,0.00109
74,7118.4,0.76422,0.9986,0.81228,0.8133,0.74567,0.78514,0.49023,0.61358,1.69495,0.59047,0.00096625,0.00096625,0.00096625
75,7217.66,0.75495,0.97138,0.80577,0.80778,0.74797,0.78399,0.49003,0.6129,1.69649,0.59097,0.0008425,0.0008425,0.0008425
76,7314.63,0.75077,0.95415,0.80368,0.80423,0.74882,0.78293,0.49032,0.61243,1.69846,0.59165,0.00071875,0.00071875,0.00071875
77,7409.44,0.74762,0.94292,0.80379,0.80198,0.752,0.78393,0.49071,0.61268,1.70193,0.59298,0.000595,0.000595,0.000595
78,7504.32,0.73927,0.92575,0.79672,0.80262,0.75172,0.78384,0.49156,0.61221,1.70321,0.59386,0.00047125,0.00047125,0.00047125
79,7599.05,0.73584,0.9147,0.7959,0.8018,0.7515,0.78376,0.49196,0.6097,1.70425,0.59329,0.0003475,0.0003475,0.0003475
80,7693.75,0.73041,0.89239,0.79154,0.79563,0.75263,0.78294,0.49241,0.60911,1.70675,0.59413,0.00022375,0.00022375,0.00022375
