epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.326,0.65853,5.31789,0.46263,0.58633,0.49563,0.52669,0.26345,0.69864,3.38378,0.47306,0.00331852,0.00331852,0.00331852
2,221.162,0.62751,4.01018,0.41872,0.36063,0.32338,0.2532,0.10163,1.10574,6.25547,0.71413,0.00656954,0.00656954,0.00656954
3,347.46,0.87415,5.06708,0.53959,0.26874,0.11723,0.01054,0.00336,1.85407,inf,1.45224,0.00973805,0.00973805,0.00973805
4,456.616,1.17402,5.5844,0.6823,0.21341,0.15607,0.10098,0.03545,1.62894,11.9674,1.07062,0.00962875,0.00962875,0.00962875
5,564.957,1.09902,4.92326,0.64761,0.37447,0.28556,0.2583,0.10175,1.33757,5.40034,0.86636,0.009505,0.009505,0.009505
6,674.671,0.97513,4.53787,0.58189,0.44048,0.34737,0.33735,0.1376,1.15209,4.44029,0.74039,0.00938125,0.00938125,0.00938125
7,784.096,0.95802,4.25028,0.58059,0.46788,0.41132,0.3886,0.16338,1.17413,4.02657,0.75268,0.0092575,0.0092575,0.0092575
8,892.576,0.93552,4.07745,0.57741,0.49258,0.45042,0.43736,0.19403,1.02414,3.78878,0.66308,0.00913375,0.00913375,0.00913375
9,1001.58,0.89014,3.82153,0.55788,0.53875,0.48113,0.47957,0.21035,0.94347,3.59929,0.6163,0.00901,0.00901,0.00901
10,1109.39,0.92868,3.69584,0.58325,0.57384,0.47899,0.48997,0.21862,1.03067,3.25637,0.67209,0.00888625,0.00888625,0.00888625
11,1219.54,0.90048,3.59772,0.56741,0.55686,0.51068,0.51256,0.23208,0.96614,3.25615,0.63888,0.0087625,0.0087625,0.0087625
12,1328.37,0.85687,3.47811,0.54849,0.60093,0.52327,0.54265,0.25443,0.92561,3.10964,0.60211,0.00863875,0.00863875,0.00863875
13,1437.78,0.87532,3.35827,0.5641,0.57664,0.5037,0.51502,0.24203,0.90078,3.1644,0.59665,0.008515,0.008515,0.008515
14,1547.21,0.85698,3.29715,0.55757,0.62293,0.54329,0.56373,0.27257,0.84482,2.9709,0.5532,0.00839125,0.00839125,0.00839125
15,1656.52,0.82691,3.1936,0.54501,0.64545,0.54114,0.57308,0.27756,0.82961,2.80479,0.54303,0.0082675,0.0082675,0.0082675
16,1765.92,0.82084,3.13821,0.54789,0.64595,0.56527,0.59038,0.28168,0.82312,2.74332,0.55052,0.00814375,0.00814375,0.00814375
17,1874.99,0.78844,3.06662,0.53155,0.68219,0.58823,0.63257,0.31075,0.80864,2.64395,0.54443,0.00802,0.00802,0.00802
18,1983.46,0.79714,3.00429,0.54087,0.71919,0.62076,0.65664,0.32526,0.74348,2.52711,0.50743,0.00789625,0.00789625,0.00789625
19,2092.96,0.83666,2.95758,0.56723,0.68469,0.6242,0.65603,0.3352,0.68579,2.51149,0.46662,0.0077725,0.0077725,0.0077725
20,2202.21,0.76803,2.88451,0.52936,0.72887,0.61405,0.66534,0.34023,0.65637,2.39819,0.45136,0.00764875,0.00764875,0.00764875
21,2310.52,0.77118,2.84436,0.53645,0.68378,0.63287,0.66547,0.34258,0.64945,2.46043,0.44913,0.007525,0.007525,0.007525
22,2418.99,0.77264,2.78035,0.53742,0.7171,0.64329,0.68913,0.3616,0.65291,2.30053,0.44576,0.00740125,0.00740125,0.00740125
23,2526.35,0.74846,2.70911,0.52759,0.73775,0.64976,0.68902,0.36493,0.61342,2.31201,0.42854,0.0072775,0.0072775,0.0072775
24,2636.48,0.7441,2.71966,0.5277,0.73143,0.66983,0.69867,0.36977,0.61152,2.22279,0.42861,0.00715375,0.00715375,0.00715375
25,2745.79,0.71646,2.65006,0.51692,0.73177,0.6716,0.70368,0.37967,0.57946,2.18257,0.40685,0.00703,0.00703,0.00703
26,2854.82,0.73166,2.64542,0.52708,0.75902,0.66299,0.71653,0.3831,0.5848,2.19513,0.41031,0.00690625,0.00690625,0.00690625
27,2963.63,0.71944,2.55903,0.52524,0.7518,0.67068,0.72225,0.39029,0.57832,2.17987,0.41031,0.0067825,0.0067825,0.0067825
28,3073.14,0.71291,2.51184,0.5242,0.74795,0.67119,0.71523,0.39043,0.5638,2.12987,0.4027,0.00665875,0.00665875,0.00665875
29,3183.21,0.72138,2.51629,0.5334,0.74956,0.68972,0.73403,0.39898,0.55694,2.06585,0.3991,0.006535,0.006535,0.006535
30,3292.96,0.70856,2.4664,0.52966,0.77313,0.69487,0.74038,0.40849,0.53762,2.05194,0.38605,0.00641125,0.00641125,0.00641125
31,3402.32,0.72586,2.42576,0.54074,0.7695,0.69389,0.74312,0.40662,0.52953,2.01685,0.38194,0.0062875,0.0062875,0.0062875
32,3511.78,0.71296,2.41353,0.53725,0.78836,0.70345,0.75405,0.41659,0.52489,1.97787,0.37844,0.00616375,0.00616375,0.00616375
33,3620.86,0.72064,2.37948,0.54667,0.77386,0.71694,0.75269,0.41822,0.52364,1.96617,0.37914,0.00604,0.00604,0.00604
34,3728.35,0.71892,2.35489,0.54748,0.79246,0.70816,0.7535,0.42329,0.52815,1.95221,0.38011,0.00591625,0.00591625,0.00591625
35,3835.9,0.70042,2.30616,0.5417,0.77617,0.71407,0.75612,0.42497,0.49926,1.94458,0.36767,0.0057925,0.0057925,0.0057925
36,3943.52,0.72218,2.2889,0.55677,0.78458,0.71483,0.75744,0.42835,0.51366,1.92193,0.37385,0.00566875,0.00566875,0.00566875
37,4053.11,0.72329,2.25201,0.55945,0.7813,0.72819,0.76427,0.43043,0.51475,1.90613,0.37319,0.005545,0.005545,0.005545
38,4161.72,0.70866,2.22809,0.55409,0.78555,0.72336,0.76403,0.43657,0.49856,1.88719,0.3663,0.00542125,0.00542125,0.00542125
39,4270.26,0.70212,2.20674,0.55475,0.78606,0.72638,0.76403,0.43564,0.49876,1.89152,0.3661,0.0052975,0.0052975,0.0052975
40,4378.92,0.70206,2.19012,0.55716,0.77931,0.73309,0.76521,0.43877,0.49889,1.86866,0.36526,0.00517375,0.00517375,0.00517375
41,4487.61,0.71602,2.1612,0.56842,0.78615,0.72799,0.76494,0.43866,0.50109,1.86098,0.37077,0.00505,0.00505,0.00505
42,4595.14,0.70445,2.15114,0.56407,0.80956,0.73036,0.7672,0.43885,0.49046,1.83183,0.3631,0.00492625,0.00492625,0.00492625
43,4702.4,0.73037,2.1285,0.58246,0.79698,0.73206,0.77163,0.4455,0.48799,1.8267,0.36236,0.0048025,0.0048025,0.0048025
