epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.8183,0.81208,5.20238,0.70125,0.56713,0.47007,0.50316,0.25415,0.78868,4.08123,0.6793,0.00331852,0.00331852,0.00331852
2,192.152,0.77975,3.98221,0.65245,0.34929,0.30681,0.24232,0.10647,1.08639,5.43618,0.8984,0.00656954,0.00656954,0.00656954
3,290.491,0.94139,4.9964,0.74705,0.2944,0.13218,0.02463,0.00873,1.89474,inf,1.75381,0.00973805,0.00973805,0.00973805
4,387.362,1.03572,5.52405,0.80562,0.18363,0.18365,0.11282,0.04326,1.46121,14.2179,1.22419,0.00962875,0.00962875,0.00962875
5,483.733,0.99749,4.92784,0.77907,0.33427,0.21765,0.16863,0.06697,1.30033,6.74273,1.07784,0.009505,0.009505,0.009505
6,579.301,0.94265,4.54832,0.7454,0.40446,0.36192,0.33071,0.14471,1.10287,4.72616,0.90278,0.00938125,0.00938125,0.00938125
7,674.254,0.93048,4.26258,0.74178,0.49234,0.42118,0.41727,0.19586,1.08576,4.06862,0.89392,0.0092575,0.0092575,0.0092575
8,769.302,0.92612,4.10481,0.74529,0.51504,0.41811,0.43689,0.2043,1.06679,3.87427,0.87856,0.00913375,0.00913375,0.00913375
9,865.072,0.90945,3.87549,0.73681,0.59613,0.48919,0.50174,0.242,0.99336,3.43017,0.81843,0.00901,0.00901,0.00901
10,961.454,0.89688,3.74522,0.73272,0.59153,0.50167,0.50868,0.24195,0.92477,3.37678,0.78899,0.00888625,0.00888625,0.00888625
11,1057.03,0.89219,3.62808,0.72952,0.62414,0.53006,0.56767,0.27809,0.93812,3.09989,0.79257,0.0087625,0.0087625,0.0087625
12,1152.87,0.89038,3.53231,0.7306,0.6242,0.54025,0.57758,0.29577,0.87115,3.04799,0.75194,0.00863875,0.00863875,0.00863875
13,1248.98,0.88096,3.41866,0.72928,0.65026,0.55674,0.57899,0.29119,0.95904,2.93446,0.80182,0.008515,0.008515,0.008515
14,1344.89,0.86482,3.34914,0.72415,0.6389,0.572,0.60164,0.30028,0.94317,2.86769,0.77918,0.00839125,0.00839125,0.00839125
15,1440.56,0.86273,3.24219,0.72481,0.65827,0.58928,0.62773,0.32275,0.88924,2.73973,0.75568,0.0082675,0.0082675,0.0082675
16,1536.27,0.86295,3.17783,0.73132,0.67321,0.58688,0.62678,0.32451,0.88467,2.6776,0.7446,0.00814375,0.00814375,0.00814375
17,1631.78,0.86785,3.10687,0.73535,0.67725,0.59764,0.63302,0.33749,0.87464,2.60857,0.74606,0.00802,0.00802,0.00802
18,1726.77,0.86525,3.04422,0.7364,0.69439,0.61688,0.66586,0.35731,0.82858,2.54358,0.71027,0.00789625,0.00789625,0.00789625
19,1822.45,0.87838,3.01414,0.74657,0.67539,0.62562,0.65351,0.36213,0.79573,2.51379,0.69605,0.0077725,0.0077725,0.0077725
