epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0771,0.87115,5.15701,0.72798,0.51065,0.43739,0.44104,0.21989,0.91193,3.91334,0.73696,0.00331852,0.00331852,0.00331852
2,192.038,0.83016,3.88943,0.67378,0.41777,0.41548,0.36104,0.15011,1.05511,4.43405,0.86151,0.00656954,0.00656954,0.00656954
3,289.992,1.01819,4.86834,0.77669,0.34019,0.06046,0.03209,0.01145,1.8537,36.4688,1.56668,0.00973805,0.00973805,0.00973805
4,386.876,1.16778,5.38228,0.85228,0.28405,0.1857,0.14304,0.05195,1.69091,10.9816,1.30546,0.00962875,0.00962875,0.00962875
5,482.144,1.12013,4.78662,0.82398,0.32864,0.28229,0.22861,0.09512,1.41757,5.15203,1.09412,0.009505,0.009505,0.009505
6,578.336,1.05902,4.38202,0.78862,0.41449,0.43016,0.3761,0.15823,1.1871,4.33504,0.93036,0.00938125,0.00938125,0.00938125
7,674.622,1.0593,4.08267,0.79246,0.51039,0.4409,0.43468,0.19603,1.2094,3.71131,0.93154,0.0092575,0.0092575,0.0092575
8,770.637,1.05893,3.91494,0.79642,0.53127,0.464,0.45962,0.21084,1.19622,3.68266,0.93042,0.00913375,0.00913375,0.00913375
9,866.468,1.03385,3.69589,0.78591,0.54882,0.50276,0.50783,0.2403,1.09454,3.33248,0.85969,0.00901,0.00901,0.00901
10,961.95,1.023,3.56671,0.78396,0.57022,0.51736,0.52221,0.24933,1.05276,3.12914,0.84773,0.00888625,0.00888625,0.00888625
11,1057.87,1.01897,3.46935,0.78014,0.64117,0.50114,0.53844,0.26332,1.07386,3.0641,0.84533,0.0087625,0.0087625,0.0087625
12,1154.31,1.01207,3.36446,0.78146,0.5835,0.54458,0.55319,0.27568,1.01029,3.01898,0.81485,0.00863875,0.00863875,0.00863875
13,1250.35,1.00271,3.26128,0.7794,0.61878,0.55109,0.57638,0.29392,0.97143,2.86421,0.79583,0.008515,0.008515,0.008515
14,1345.52,0.99271,3.18785,0.77765,0.64414,0.5797,0.60996,0.30567,0.98191,2.67078,0.78244,0.00839125,0.00839125,0.00839125
15,1440.68,0.9922,3.09183,0.77962,0.64971,0.57482,0.6178,0.31388,0.91893,2.62536,0.75115,0.0082675,0.0082675,0.0082675
16,1536.7,0.97699,3.02059,0.77463,0.70003,0.58553,0.63915,0.32617,0.9089,2.52043,0.74871,0.00814375,0.00814375,0.00814375
