epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.317,0.65853,5.31789,0.46263,0.58633,0.49563,0.52669,0.26345,0.69864,3.38378,0.47306,0.00331852,0.00331852,0.00331852
2,218.244,0.63823,3.96949,0.42403,0.28348,0.26048,0.18359,0.07472,1.08537,7.01991,0.72947,0.00656954,0.00656954,0.00656954
3,332.739,0.89149,5.08189,0.5467,0.29537,0.05565,0.0182,0.00496,2.37352,63.001,2.0853,0.00973805,0.00973805,0.00973805
4,443.977,1.21541,5.60229,0.70402,0.21104,0.18298,0.12511,0.04278,1.66471,11.5941,1.12884,0.00962875,0.00962875,0.00962875
5,554.648,1.11394,4.96535,0.65757,0.23296,0.21226,0.14196,0.05301,1.6778,6.51558,1.01578,0.009505,0.009505,0.009505
6,664.004,0.99902,4.5433,0.59775,0.46037,0.33673,0.33646,0.13479,1.17229,4.47093,0.74412,0.00938125,0.00938125,0.00938125
7,774.389,0.98688,4.24322,0.60131,0.48687,0.4191,0.40387,0.1766,1.11685,3.88917,0.70433,0.0092575,0.0092575,0.0092575
8,885.185,0.97199,4.07433,0.60424,0.51578,0.42073,0.40531,0.17067,1.02835,3.84538,0.6741,0.00913375,0.00913375,0.00913375
9,993.688,0.94819,3.84093,0.59586,0.52163,0.48559,0.46846,0.20077,1.03333,3.44152,0.66721,0.00901,0.00901,0.00901
10,1103.77,0.9338,3.69684,0.5908,0.53857,0.45378,0.45834,0.20745,0.96455,3.42387,0.63674,0.00888625,0.00888625,0.00888625
11,1211.73,0.85463,3.60532,0.55166,0.56764,0.52717,0.53635,0.24776,0.87347,3.10741,0.57755,0.0087625,0.0087625,0.0087625
12,1321.45,0.86536,3.50061,0.56268,0.62335,0.52601,0.5541,0.26463,0.9098,3.04853,0.60528,0.00863875,0.00863875,0.00863875
13,1429.92,0.9107,3.365,0.59566,0.58672,0.52696,0.53818,0.25477,0.90801,3.14834,0.60768,0.008515,0.008515,0.008515
14,1538.35,0.85373,3.29141,0.56574,0.66874,0.56394,0.60443,0.2936,0.8065,2.77001,0.53924,0.00839125,0.00839125,0.00839125
15,1646.53,0.85248,3.20188,0.57166,0.61381,0.57543,0.58521,0.28224,0.83033,2.88687,0.56024,0.0082675,0.0082675,0.0082675
16,1755.37,0.85941,3.1207,0.58006,0.66481,0.58588,0.60549,0.29756,0.8116,2.71592,0.5514,0.00814375,0.00814375,0.00814375
17,1865.5,0.82294,3.05797,0.56132,0.66758,0.60255,0.62599,0.31109,0.727,2.60483,0.49798,0.00802,0.00802,0.00802
18,1975.23,0.8378,3.00275,0.576,0.68533,0.59163,0.63607,0.32315,0.75309,2.55214,0.5154,0.00789625,0.00789625,0.00789625
19,2085.85,0.85153,2.95302,0.58679,0.69353,0.62221,0.66205,0.3359,0.69495,2.44983,0.47339,0.0077725,0.0077725,0.0077725
20,2194.69,0.81998,2.88573,0.57261,0.69917,0.62433,0.65988,0.33781,0.72173,2.47719,0.49784,0.00764875,0.00764875,0.00764875
21,2302.86,0.80163,2.83539,0.56683,0.69387,0.63059,0.66246,0.35113,0.65551,2.4362,0.45866,0.007525,0.007525,0.007525
22,2410.76,0.80128,2.77938,0.56809,0.69304,0.65054,0.67662,0.35288,0.64165,2.34479,0.44537,0.00740125,0.00740125,0.00740125
23,2521.69,0.78508,2.73625,0.5638,0.72872,0.63938,0.67848,0.3579,0.66678,2.33826,0.46747,0.0072775,0.0072775,0.0072775
24,2629.74,0.78185,2.71646,0.56756,0.7388,0.64351,0.69478,0.36946,0.62879,2.26306,0.44088,0.00715375,0.00715375,0.00715375
25,2737.09,0.76895,2.63794,0.56518,0.72753,0.65735,0.70838,0.38459,0.62857,2.19727,0.44074,0.00703,0.00703,0.00703
26,2844.48,0.77517,2.64329,0.56961,0.75256,0.66866,0.71961,0.39104,0.61251,2.15968,0.43341,0.00690625,0.00690625,0.00690625
27,2952.04,0.77703,2.57722,0.57795,0.74033,0.65258,0.70757,0.38576,0.59664,2.19466,0.42333,0.0067825,0.0067825,0.0067825
28,3060.57,0.76767,2.53803,0.57574,0.75097,0.67184,0.71728,0.39792,0.59041,2.13248,0.42312,0.00665875,0.00665875,0.00665875
29,3170.48,0.79308,2.53819,0.59625,0.74525,0.68624,0.73821,0.40524,0.56871,2.06991,0.40637,0.006535,0.006535,0.006535
30,3278.07,0.77452,2.46748,0.59039,0.73203,0.70382,0.73044,0.40457,0.55433,2.05278,0.40142,0.00641125,0.00641125,0.00641125
31,3388.56,0.76945,2.42019,0.58758,0.7506,0.69568,0.72942,0.40226,0.52335,2.04337,0.37946,0.0062875,0.0062875,0.0062875
32,3496.46,0.75666,2.41726,0.58404,0.76406,0.6955,0.74179,0.41465,0.53579,2.00202,0.38497,0.00616375,0.00616375,0.00616375
33,3605.91,0.77268,2.37439,0.59875,0.77352,0.69061,0.75036,0.42184,0.54154,1.98025,0.39617,0.00604,0.00604,0.00604
34,3715.92,0.77036,2.35757,0.599,0.78471,0.69725,0.75046,0.42441,0.53027,1.95204,0.38458,0.00591625,0.00591625,0.00591625
35,3823.68,0.75794,2.30326,0.597,0.79894,0.69862,0.75828,0.43132,0.52189,1.92694,0.38023,0.0057925,0.0057925,0.0057925
36,3931.08,0.77178,2.27889,0.60872,0.79515,0.69667,0.76002,0.43029,0.53838,1.91581,0.39123,0.00566875,0.00566875,0.00566875
37,4039.79,0.76618,2.25341,0.60864,0.78704,0.70826,0.76669,0.43895,0.52451,1.89219,0.3816,0.005545,0.005545,0.005545
38,4147.33,0.75914,2.23637,0.60825,0.76515,0.72713,0.76097,0.43703,0.51496,1.90473,0.37994,0.00542125,0.00542125,0.00542125
39,4256.2,0.75865,2.20767,0.61235,0.78735,0.71094,0.7599,0.43479,0.50357,1.88942,0.37195,0.0052975,0.0052975,0.0052975
40,4363.48,0.75388,2.18102,0.61276,0.78814,0.70669,0.7597,0.44026,0.49569,1.87087,0.36524,0.00517375,0.00517375,0.00517375
41,4471.94,0.77087,2.16619,0.62855,0.8033,0.70516,0.75996,0.44275,0.49687,1.85012,0.3688,0.00505,0.00505,0.00505
42,4579.78,0.76951,2.13787,0.6296,0.81491,0.71697,0.76754,0.44915,0.48302,1.84089,0.35888,0.00492625,0.00492625,0.00492625
43,4688.95,0.79175,2.1191,0.64726,0.80188,0.71218,0.76599,0.44936,0.50514,1.83219,0.37419,0.0048025,0.0048025,0.0048025
44,4796.1,0.77554,2.08206,0.64102,0.79935,0.73696,0.77294,0.45552,0.48985,1.81931,0.36273,0.00467875,0.00467875,0.00467875
45,4903.65,0.77319,2.05768,0.64403,0.80764,0.72857,0.77232,0.45951,0.49175,1.79402,0.36481,0.004555,0.004555,0.004555
46,5011.28,0.77285,2.04686,0.64772,0.79454,0.7332,0.77549,0.4613,0.47542,1.77984,0.35616,0.00443125,0.00443125,0.00443125
47,5118.91,0.78004,2.01475,0.6584,0.80892,0.72792,0.77789,0.45986,0.4753,1.77419,0.35571,0.0043075,0.0043075,0.0043075
48,5227.09,0.78501,2.00424,0.66322,0.80685,0.7243,0.77936,0.4633,0.4715,1.77335,0.35268,0.00418375,0.00418375,0.00418375
49,5334.72,0.77508,1.97089,0.65968,0.8248,0.71721,0.77693,0.4627,0.47492,1.77152,0.35443,0.00406,0.00406,0.00406
50,5441.99,0.78085,1.94789,0.66563,0.80934,0.73089,0.77872,0.46562,0.47039,1.77214,0.35256,0.00393625,0.00393625,0.00393625
51,5549.4,0.77956,1.93802,0.66985,0.81501,0.7281,0.77916,0.47014,0.47076,1.74935,0.35296,0.0038125,0.0038125,0.0038125
52,5656.27,0.79246,1.91729,0.68179,0.80759,0.73616,0.7837,0.47182,0.47134,1.73763,0.35244,0.00368875,0.00368875,0.00368875
53,5763.55,0.7774,1.87775,0.6775,0.82085,0.72463,0.77801,0.47102,0.47141,1.74893,0.3533,0.003565,0.003565,0.003565
