epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6455,0.99661,5.13595,0.78887,0.53846,0.47738,0.49464,0.25461,0.98331,3.55558,0.77508,0.00331852,0.00331852,0.00331852
2,192.213,0.96085,3.75641,0.72653,0.29827,0.22321,0.1796,0.0737,1.53295,8.53632,1.12876,0.00656954,0.00656954,0.00656954
3,287.831,1.2151,4.80059,0.8585,0.06818,0.08159,0.0186,0.006,2.61478,36.3043,2.18054,0.00973805,0.00973805,0.00973805
4,383.104,1.41769,5.3167,0.95186,0.23187,0.21421,0.14488,0.05197,1.81734,8.62036,1.30275,0.00962875,0.00962875,0.00962875
5,478.08,1.39476,4.67349,0.93974,0.29993,0.21555,0.17406,0.06606,1.88975,7.17348,1.35823,0.009505,0.009505,0.009505
6,574.331,1.2693,4.23698,0.87332,0.38453,0.3306,0.28789,0.11427,1.49677,4.55212,1.09028,0.00938125,0.00938125,0.00938125
7,670.649,1.26965,3.93142,0.87913,0.54986,0.42476,0.43824,0.19404,1.31833,3.65407,0.96695,0.0092575,0.0092575,0.0092575
8,765.89,1.26586,3.77798,0.88396,0.52683,0.42118,0.42949,0.18965,1.43256,3.65023,1.04786,0.00913375,0.00913375,0.00913375
9,861.218,1.23897,3.53808,0.8707,0.54685,0.45274,0.45715,0.20295,1.24793,3.59102,0.93155,0.00901,0.00901,0.00901
10,955.946,1.18673,3.39907,0.84495,0.56038,0.49401,0.4978,0.22848,1.24211,3.02605,0.94124,0.00888625,0.00888625,0.00888625
11,1050.75,1.17376,3.31886,0.84105,0.61587,0.54431,0.56082,0.26386,1.15308,2.83262,0.87567,0.0087625,0.0087625,0.0087625
12,1146.66,1.14232,3.20043,0.82889,0.64658,0.54311,0.57175,0.27791,1.1026,2.74191,0.84562,0.00863875,0.00863875,0.00863875
13,1243.09,1.18128,3.09577,0.85701,0.58467,0.57989,0.56812,0.27769,1.08542,2.64654,0.82807,0.008515,0.008515,0.008515
14,1338.78,1.08799,3.02093,0.80655,0.62785,0.58906,0.60075,0.29298,1.07262,2.53679,0.81922,0.00839125,0.00839125,0.00839125
15,1434.19,1.11119,2.92837,0.82349,0.67664,0.56361,0.58869,0.28856,0.99263,2.63856,0.77284,0.0082675,0.0082675,0.0082675
16,1530.33,1.07912,2.85423,0.81015,0.68617,0.59327,0.62388,0.31058,1.01434,2.45649,0.78594,0.00814375,0.00814375,0.00814375
17,1626.61,1.06708,2.79792,0.80605,0.69471,0.58264,0.62307,0.31787,1.00513,2.43504,0.78627,0.00802,0.00802,0.00802
18,1722.54,1.07517,2.72919,0.81259,0.73157,0.61789,0.66848,0.34085,0.9714,2.31086,0.76687,0.00789625,0.00789625,0.00789625
