epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6553,0.9258,5.13239,0.75481,0.57693,0.48343,0.51462,0.25752,0.91467,3.57005,0.74096,0.00331852,0.00331852,0.00331852
2,191.928,0.89623,3.81319,0.70087,0.35395,0.32899,0.25969,0.11097,1.29539,5.33078,1.00861,0.00656954,0.00656954,0.00656954
3,289.408,1.10936,4.81494,0.81401,0.12163,0.05349,0.02134,0.00664,1.96481,40.0588,1.59264,0.00973805,0.00973805,0.00973805
4,385.714,1.29044,5.28769,0.9038,0.18143,0.14494,0.08884,0.02979,1.97684,10.4795,1.48477,0.00962875,0.00962875,0.00962875
5,481.572,1.2442,4.68776,0.87356,0.34468,0.27784,0.24248,0.09892,1.60754,5.18884,1.16941,0.009505,0.009505,0.009505
6,576.888,1.20233,4.28099,0.85318,0.39715,0.34453,0.29832,0.11838,1.59761,4.99704,1.18068,0.00938125,0.00938125,0.00938125
7,672.756,1.20509,3.99519,0.85579,0.51707,0.43004,0.42156,0.18548,1.29446,3.67831,0.96442,0.0092575,0.0092575,0.0092575
8,768.729,1.1569,3.83227,0.83631,0.5448,0.4399,0.45022,0.20163,1.29632,3.56254,0.97637,0.00913375,0.00913375,0.00913375
9,864.795,1.14481,3.59131,0.83167,0.53326,0.48294,0.46638,0.20839,1.17259,3.37657,0.88973,0.00901,0.00901,0.00901
10,960.598,1.10609,3.47361,0.81279,0.58218,0.49469,0.51066,0.24017,1.11659,3.04522,0.86196,0.00888625,0.00888625,0.00888625
11,1056.38,1.06564,3.35926,0.79255,0.59827,0.52851,0.5392,0.25474,1.12732,2.98422,0.87157,0.0087625,0.0087625,0.0087625
12,1152.21,1.08873,3.2492,0.80872,0.6046,0.54727,0.56786,0.2801,1.07381,2.82663,0.83391,0.00863875,0.00863875,0.00863875
13,1248.12,1.10137,3.14437,0.82144,0.6052,0.55017,0.55323,0.27665,1.01642,2.8837,0.81542,0.008515,0.008515,0.008515
14,1343.97,1.06353,3.097,0.80468,0.68044,0.56725,0.61224,0.30141,1.01747,2.61536,0.79246,0.00839125,0.00839125,0.00839125
15,1439.98,1.05356,2.98728,0.7996,0.68058,0.57557,0.61613,0.31555,0.94567,2.5725,0.75308,0.0082675,0.0082675,0.0082675
16,1535.91,1.03572,2.93806,0.79464,0.67358,0.59601,0.6215,0.3159,1.05351,2.51182,0.81294,0.00814375,0.00814375,0.00814375
17,1631.59,1.04158,2.85253,0.80044,0.69177,0.61304,0.64141,0.32414,1.0065,2.39928,0.79344,0.00802,0.00802,0.00802
18,1727.42,1.03998,2.79228,0.80493,0.68479,0.61308,0.65059,0.3396,0.94419,2.33904,0.75721,0.00789625,0.00789625,0.00789625
19,1823.37,1.0205,2.76833,0.79518,0.68024,0.62675,0.66541,0.34822,0.95449,2.30974,0.7594,0.0077725,0.0077725,0.0077725
20,1918.23,1.0295,2.71814,0.80162,0.73754,0.63058,0.68134,0.36479,0.93644,2.2181,0.74269,0.00764875,0.00764875,0.00764875
21,2012.84,1.0439,2.6433,0.81767,0.70383,0.66041,0.68325,0.36257,0.93622,2.19059,0.75317,0.007525,0.007525,0.007525
22,2107.47,1.05543,2.59607,0.82466,0.7268,0.63982,0.68296,0.36237,0.94626,2.22558,0.75337,0.00740125,0.00740125,0.00740125
23,2203.09,1.01958,2.53715,0.80735,0.72477,0.6596,0.69896,0.37943,0.92276,2.11593,0.7474,0.0072775,0.0072775,0.0072775
24,2298.88,1.02272,2.52439,0.81283,0.75977,0.64613,0.70683,0.38583,0.87569,2.09619,0.71907,0.00715375,0.00715375,0.00715375
25,2394.86,1.0029,2.45555,0.80516,0.71648,0.67924,0.70486,0.38984,0.85398,2.08653,0.70414,0.00703,0.00703,0.00703
26,2490.45,0.99784,2.46915,0.80573,0.74632,0.67187,0.7204,0.39623,0.88266,2.05188,0.71869,0.00690625,0.00690625,0.00690625
27,2586.18,0.98315,2.40555,0.79985,0.74757,0.67986,0.7222,0.40151,0.82425,2.0124,0.6862,0.0067825,0.0067825,0.0067825
28,2680.91,0.97826,2.35046,0.80058,0.76488,0.68018,0.72637,0.40779,0.84293,1.98841,0.6967,0.00665875,0.00665875,0.00665875
29,2775.6,0.98971,2.36193,0.81139,0.76968,0.70247,0.74615,0.41724,0.82144,1.93562,0.68545,0.006535,0.006535,0.006535
30,2870.38,0.97213,2.32334,0.80501,0.74611,0.71101,0.73132,0.41998,0.78331,1.92281,0.66176,0.00641125,0.00641125,0.00641125
31,2965.84,0.96968,2.26281,0.80307,0.74436,0.70659,0.74092,0.41577,0.80196,1.90401,0.67327,0.0062875,0.0062875,0.0062875
32,3061.58,0.94535,2.25789,0.79112,0.76348,0.71614,0.75241,0.42716,0.77401,1.89114,0.65386,0.00616375,0.00616375,0.00616375
33,3157.19,0.92009,2.23125,0.78182,0.76624,0.7047,0.74711,0.42696,0.74302,1.88319,0.63438,0.00604,0.00604,0.00604
34,3252.73,0.92672,2.20554,0.78944,0.76634,0.71233,0.74686,0.42809,0.74204,1.8656,0.63224,0.00591625,0.00591625,0.00591625
35,3348.72,0.91388,2.15642,0.78241,0.77767,0.71129,0.75721,0.43313,0.74311,1.83095,0.63388,0.0057925,0.0057925,0.0057925
36,3444.35,0.91724,2.13602,0.78949,0.77293,0.71964,0.75369,0.43829,0.72274,1.80081,0.62348,0.00566875,0.00566875,0.00566875
37,3539.66,0.91009,2.09879,0.78814,0.77551,0.72223,0.75631,0.44033,0.72343,1.80378,0.62316,0.005545,0.005545,0.005545
38,3635.79,0.9103,2.08194,0.79112,0.77102,0.73043,0.76199,0.44238,0.7188,1.79126,0.6221,0.00542125,0.00542125,0.00542125
39,3731.55,0.90396,2.06277,0.79174,0.78072,0.72905,0.76638,0.44822,0.71558,1.76935,0.61676,0.0052975,0.0052975,0.0052975
40,3827.45,0.8987,2.03851,0.79236,0.77057,0.73581,0.76702,0.45068,0.70631,1.76278,0.61183,0.00517375,0.00517375,0.00517375
41,3923.13,0.90959,2.01248,0.79914,0.77553,0.73209,0.76094,0.45077,0.69181,1.74588,0.60554,0.00505,0.00505,0.00505
42,4018.88,0.90161,2.00566,0.79602,0.78519,0.73073,0.76301,0.45203,0.69418,1.74898,0.6073,0.00492625,0.00492625,0.00492625
43,4114.72,0.91524,1.98633,0.809,0.79982,0.72615,0.76746,0.45171,0.68124,1.74184,0.59821,0.0048025,0.0048025,0.0048025
44,4210.4,0.90473,1.9508,0.80731,0.78571,0.73397,0.76653,0.45401,0.67836,1.72037,0.59832,0.00467875,0.00467875,0.00467875
45,4306.01,0.90334,1.91575,0.80766,0.78411,0.74074,0.77119,0.45931,0.68445,1.71068,0.59982,0.004555,0.004555,0.004555
46,4402.01,0.90321,1.91387,0.81162,0.78733,0.74235,0.76888,0.46102,0.68628,1.69364,0.60247,0.00443125,0.00443125,0.00443125
47,4497.67,0.90789,1.88698,0.81744,0.80337,0.74069,0.77795,0.46642,0.67065,1.6882,0.59238,0.0043075,0.0043075,0.0043075
48,4593.48,0.91035,1.87104,0.8198,0.79969,0.73835,0.77727,0.4692,0.67138,1.68313,0.5927,0.00418375,0.00418375,0.00418375
49,4688.91,0.90047,1.83444,0.81576,0.79828,0.73717,0.77236,0.46955,0.66785,1.6724,0.59357,0.00406,0.00406,0.00406
50,4783.61,0.90249,1.8093,0.82062,0.81073,0.74084,0.77673,0.47201,0.6657,1.65647,0.5933,0.00393625,0.00393625,0.00393625
51,4879.28,0.89864,1.80554,0.82222,0.81015,0.73946,0.77603,0.47302,0.66417,1.65831,0.59364,0.0038125,0.0038125,0.0038125
52,4974.1,0.90328,1.79159,0.8285,0.80043,0.74512,0.77501,0.47311,0.66738,1.65107,0.59651,0.00368875,0.00368875,0.00368875
53,5069.93,0.89613,1.75659,0.82613,0.80861,0.74514,0.77899,0.47394,0.66126,1.64568,0.59206,0.003565,0.003565,0.003565
54,5164.92,0.90444,1.74169,0.83194,0.81737,0.74075,0.77899,0.47544,0.65481,1.63672,0.58847,0.00344125,0.00344125,0.00344125
55,5260.57,0.89331,1.71055,0.82885,0.8057,0.74671,0.77694,0.47448,0.6539,1.6331,0.58848,0.0033175,0.0033175,0.0033175
56,5356.45,0.89531,1.69232,0.83324,0.81428,0.7432,0.77767,0.47691,0.65332,1.63693,0.587,0.00319375,0.00319375,0.00319375
57,5452.17,0.90108,1.67648,0.83684,0.81574,0.7458,0.77828,0.47705,0.6551,1.62945,0.58835,0.00307,0.00307,0.00307
58,5547.99,0.89231,1.67545,0.83479,0.82097,0.74541,0.78127,0.47761,0.65367,1.61782,0.58826,0.00294625,0.00294625,0.00294625
59,5643.84,0.89533,1.6393,0.83844,0.81861,0.74823,0.78111,0.47912,0.65231,1.6155,0.58802,0.0028225,0.0028225,0.0028225
60,5738.66,0.88502,1.60801,0.83471,0.81625,0.74777,0.78139,0.47912,0.65255,1.6134,0.58893,0.00269875,0.00269875,0.00269875
61,5833.66,0.89145,1.59745,0.84019,0.81849,0.74846,0.78242,0.47813,0.65113,1.60643,0.58908,0.002575,0.002575,0.002575
62,5928.65,0.88513,1.5868,0.84129,0.82269,0.74387,0.78221,0.47916,0.64982,1.6047,0.58951,0.00245125,0.00245125,0.00245125
63,6023.2,0.89146,1.5848,0.84461,0.82566,0.74426,0.78324,0.48063,0.64803,1.60166,0.58934,0.0023275,0.0023275,0.0023275
64,6118.86,0.89431,1.56067,0.84584,0.83384,0.7403,0.78634,0.4814,0.64616,1.59947,0.58894,0.00220375,0.00220375,0.00220375
65,6214.41,0.89117,1.54343,0.84704,0.83308,0.74143,0.78544,0.4822,0.647,1.59757,0.59009,0.00208,0.00208,0.00208
66,6309.72,0.88588,1.51012,0.84686,0.82942,0.7476,0.78671,0.48416,0.64751,1.59468,0.59076,0.00195625,0.00195625,0.00195625
67,6404.41,0.88077,1.50739,0.84875,0.82575,0.75217,0.78755,0.48473,0.64693,1.59214,0.59124,0.0018325,0.0018325,0.0018325
68,6498.94,0.87614,1.47816,0.84462,0.82614,0.75162,0.78818,0.48499,0.64684,1.59125,0.59209,0.00170875,0.00170875,0.00170875
69,6594.4,0.88058,1.47221,0.84804,0.82525,0.74757,0.78735,0.4853,0.64652,1.59137,0.59302,0.001585,0.001585,0.001585
70,6691.82,0.87961,1.46111,0.84866,0.83474,0.74308,0.78791,0.48564,0.64508,1.58967,0.59331,0.00146125,0.00146125,0.00146125
71,6788.94,0.79217,1.08104,0.82006,0.83569,0.74031,0.78617,0.48596,0.64419,1.59009,0.59367,0.0013375,0.0013375,0.0013375
72,6887.82,0.78071,1.04495,0.81313,0.83758,0.74009,0.78713,0.48668,0.64445,1.58814,0.59426,0.00121375,0.00121375,0.00121375
73,6985.87,0.77463,1.02282,0.81197,0.83436,0.74008,0.7862,0.48726,0.64411,1.5864,0.5951,0.00109,0.00109,0.00109
74,7084.62,0.76436,1.00122,0.80726,0.82842,0.74448,0.78555,0.48754,0.64336,1.58368,0.59604,0.00096625,0.00096625,0.00096625
75,7183.73,0.75368,0.96931,0.80077,0.82785,0.74361,0.78549,0.48772,0.64276,1.58408,0.59708,0.0008425,0.0008425,0.0008425
76,7279.73,0.74883,0.9564,0.79812,0.82517,0.74536,0.78475,0.48864,0.64323,1.58533,0.59814,0.00071875,0.00071875,0.00071875
