epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.841,0.91359,4.84908,0.75107,0.55268,0.50922,0.49918,0.24436,0.89296,3.28756,0.75752,0.00332367,0.00332367,0.00332367
2,330.907,0.88738,3.85097,0.70055,0.39529,0.32797,0.29969,0.12627,1.2422,5.87664,1.02711,0.00658378,0.00658378,0.00658378
3,493.921,1.06763,4.78957,0.81247,0.28876,0.09442,0.04796,0.01704,2.18228,14.5967,1.74731,0.00977055,0.00977055,0.00977055
4,661.069,1.19841,5.1109,0.88832,0.38333,0.31173,0.26706,0.10721,1.44153,5.95198,1.12709,0.00967,0.00967,0.00967
5,827.992,1.1872,4.46081,0.87871,0.46338,0.39853,0.37922,0.16177,1.3866,4.17097,1.0905,0.00956,0.00956,0.00956
6,983.376,1.13195,4.0327,0.8471,0.56215,0.45428,0.47245,0.21165,1.19317,3.58727,0.96135,0.00945,0.00945,0.00945
7,1149.85,1.09919,3.77309,0.83057,0.59625,0.49413,0.5146,0.25,1.10544,3.2712,0.8853,0.00934,0.00934,0.00934
8,1316.74,1.11412,3.59899,0.84235,0.55654,0.50069,0.49419,0.23353,1.14303,3.31174,0.93364,0.00923,0.00923,0.00923
9,1476.86,1.09585,3.4235,0.83145,0.65988,0.55425,0.59363,0.29266,1.05165,2.80206,0.85191,0.00912,0.00912,0.00912
10,1637.57,1.07539,3.30281,0.82024,0.66855,0.57342,0.61457,0.314,1.02689,2.72856,0.83401,0.00901,0.00901,0.00901
11,1792.59,1.06572,3.19817,0.82008,0.70439,0.59481,0.64469,0.33295,1.02862,2.56736,0.83916,0.0089,0.0089,0.0089
12,1957.21,1.03407,3.10376,0.80504,0.7212,0.59077,0.65859,0.34246,1.03149,2.50329,0.84028,0.00879,0.00879,0.00879
13,2112.68,1.01637,3.01011,0.79758,0.73267,0.61348,0.67594,0.34911,0.99747,2.42382,0.81482,0.00868,0.00868,0.00868
14,2275.55,1.01203,2.95015,0.79412,0.7236,0.63831,0.68634,0.36701,0.95753,2.34001,0.7862,0.00857,0.00857,0.00857
15,2442.29,1.01033,2.88179,0.79933,0.73162,0.64504,0.69945,0.37531,0.91641,2.2636,0.76111,0.00846,0.00846,0.00846
16,2606.01,1.00466,2.79164,0.80146,0.73301,0.66342,0.72062,0.39236,0.93938,2.20447,0.77602,0.00835,0.00835,0.00835
17,2772.64,1.03554,2.75158,0.8204,0.74292,0.67292,0.72092,0.39168,0.91805,2.17479,0.77384,0.00824,0.00824,0.00824
18,2936.09,0.99903,2.69981,0.79882,0.76416,0.68154,0.72904,0.40692,0.88805,2.10981,0.74568,0.00813,0.00813,0.00813
19,3102.58,0.96647,2.64577,0.77997,0.76822,0.68651,0.7505,0.42012,0.8217,2.02088,0.7038,0.00802,0.00802,0.00802
20,3269.5,0.99202,2.63365,0.80069,0.76775,0.71668,0.76032,0.42434,0.87706,2.00879,0.74213,0.00791,0.00791,0.00791
21,3435.53,0.95231,2.55835,0.77931,0.78204,0.69595,0.7572,0.43166,0.83529,1.98273,0.71436,0.0078,0.0078,0.0078
22,3602.32,0.938,2.51398,0.77112,0.77927,0.7121,0.7642,0.4367,0.8144,1.95565,0.70028,0.00769,0.00769,0.00769
23,3768.86,0.95819,2.49769,0.78883,0.76697,0.71611,0.76232,0.44349,0.81501,1.91205,0.70056,0.00758,0.00758,0.00758
24,3928.94,0.96459,2.47044,0.79239,0.79348,0.71526,0.77319,0.45035,0.7924,1.88433,0.68517,0.00747,0.00747,0.00747
25,4095.78,0.95994,2.41711,0.7916,0.80056,0.72743,0.78497,0.45867,0.78493,1.84846,0.68297,0.00736,0.00736,0.00736
26,4262.36,0.9464,2.38738,0.78794,0.7968,0.73013,0.7888,0.46209,0.78214,1.8203,0.68038,0.00725,0.00725,0.00725
27,4429.05,0.98035,2.36683,0.8111,0.79804,0.73503,0.79011,0.4717,0.78619,1.78925,0.6815,0.00714,0.00714,0.00714
28,4590.89,0.9402,2.33617,0.78964,0.81844,0.73216,0.7961,0.47452,0.76491,1.76634,0.66987,0.00703,0.00703,0.00703
29,4751.99,0.96052,2.30283,0.80541,0.80306,0.75027,0.79898,0.47616,0.74699,1.75073,0.65609,0.00692,0.00692,0.00692
30,4910.55,0.95379,2.27637,0.79991,0.78522,0.75654,0.7957,0.47671,0.76606,1.74807,0.66773,0.00681,0.00681,0.00681
31,5066.11,0.94578,2.24829,0.80097,0.82383,0.73883,0.79785,0.48168,0.76049,1.72307,0.6648,0.0067,0.0067,0.0067
32,5232.76,0.9415,2.23571,0.80028,0.82047,0.74278,0.7974,0.48271,0.76246,1.70049,0.66698,0.00659,0.00659,0.00659
33,5391.73,0.95704,2.22042,0.81283,0.79247,0.7676,0.8025,0.48689,0.75277,1.6925,0.65897,0.00648,0.00648,0.00648
34,5551.55,0.93815,2.15986,0.80637,0.80987,0.7517,0.80259,0.49243,0.75483,1.6816,0.66111,0.00637,0.00637,0.00637
35,5716.94,0.9205,2.15835,0.79956,0.81132,0.75933,0.80486,0.49389,0.73417,1.66951,0.64959,0.00626,0.00626,0.00626
36,5883.13,0.92144,2.12939,0.79793,0.81029,0.77026,0.81009,0.49717,0.72854,1.6475,0.64506,0.00615,0.00615,0.00615
37,6039.03,0.88779,2.11569,0.78225,0.8027,0.77504,0.81119,0.49909,0.7145,1.6433,0.63697,0.00604,0.00604,0.00604
38,6202.32,0.91245,2.08899,0.7965,0.81045,0.77037,0.81101,0.49868,0.71371,1.63715,0.63706,0.00593,0.00593,0.00593
39,6368.86,0.93128,2.05399,0.8124,0.80494,0.77873,0.81211,0.502,0.71489,1.62677,0.63856,0.00582,0.00582,0.00582
40,6534.49,0.92992,2.06158,0.8164,0.80738,0.77525,0.81188,0.5038,0.71807,1.61914,0.64146,0.00571,0.00571,0.00571
41,6701.3,0.94408,2.01422,0.82419,0.81,0.77917,0.81524,0.50507,0.71422,1.60789,0.63818,0.0056,0.0056,0.0056
42,6867.44,0.92632,2.00186,0.81729,0.8077,0.77961,0.81658,0.507,0.70413,1.59864,0.63169,0.00549,0.00549,0.00549
