epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.279,0.89586,4.87556,0.73821,0.52701,0.51905,0.52048,0.25892,0.90802,3.71572,0.75259,0.00332367,0.00332367,0.00332367
2,371.806,0.86926,3.88783,0.68798,0.45802,0.27232,0.26708,0.11192,1.17401,5.98799,0.97721,0.00658378,0.00658378,0.00658378
3,563.919,1.0747,4.81783,0.81762,0.20219,0.15666,0.08034,0.02769,1.86356,18.4424,1.60901,0.00977055,0.00977055,0.00977055
4,745.933,1.17478,5.11421,0.87081,0.3631,0.38134,0.31083,0.12661,1.38463,4.72264,1.11493,0.00967,0.00967,0.00967
5,928.992,1.16886,4.47201,0.86387,0.45616,0.42928,0.39092,0.16451,1.23736,4.09392,0.97137,0.00956,0.00956,0.00956
6,1123.15,1.14225,4.07815,0.85004,0.53512,0.44486,0.44691,0.2064,1.24693,3.85191,1.00173,0.00945,0.00945,0.00945
7,1311.7,1.09125,3.80181,0.82486,0.55868,0.51903,0.51973,0.24536,1.21378,3.31695,0.96452,0.00934,0.00934,0.00934
8,1503.09,1.06953,3.63039,0.81528,0.61645,0.5392,0.57127,0.27573,1.13414,3.06216,0.92302,0.00923,0.00923,0.00923
9,1689.62,1.03457,3.47703,0.79903,0.6271,0.50203,0.5507,0.2772,1.10672,3.14705,0.90398,0.00912,0.00912,0.00912
10,1870.22,1.05335,3.33126,0.80964,0.6864,0.5823,0.62776,0.32243,1.02039,2.76909,0.84618,0.00901,0.00901,0.00901
11,2051.84,1.07125,3.22679,0.8274,0.6899,0.59989,0.64636,0.33127,1.05803,2.64476,0.87185,0.0089,0.0089,0.0089
12,2236.4,1.04582,3.09522,0.81606,0.71579,0.6131,0.67182,0.35072,0.96315,2.53761,0.80582,0.00879,0.00879,0.00879
13,2427.35,1.00749,3.02614,0.7903,0.72329,0.62294,0.68616,0.36368,0.92315,2.45093,0.77186,0.00868,0.00868,0.00868
14,2616.14,1.00067,2.94846,0.78862,0.73198,0.65033,0.69931,0.38012,0.97613,2.35878,0.81583,0.00857,0.00857,0.00857
15,2806.47,0.99967,2.85468,0.79145,0.73754,0.67551,0.73356,0.39643,0.9198,2.27423,0.76815,0.00846,0.00846,0.00846
16,2994.02,0.98413,2.78467,0.7829,0.74733,0.67018,0.73171,0.40041,0.94159,2.26175,0.78881,0.00835,0.00835,0.00835
17,3180.44,0.97494,2.77926,0.78198,0.75606,0.68955,0.74852,0.4149,0.90956,2.15808,0.76959,0.00824,0.00824,0.00824
18,3369.72,0.97972,2.70674,0.78924,0.77757,0.6804,0.74479,0.41845,0.92201,2.16715,0.77812,0.00813,0.00813,0.00813
19,3551.89,0.99656,2.63404,0.79927,0.78391,0.69913,0.7638,0.43199,0.89658,2.07628,0.75784,0.00802,0.00802,0.00802
20,3736.35,0.99138,2.60929,0.80089,0.7745,0.70249,0.767,0.43857,0.84296,2.02777,0.72465,0.00791,0.00791,0.00791
21,3923.91,0.97516,2.53822,0.79626,0.78448,0.7202,0.78116,0.44799,0.82305,2.00405,0.71057,0.0078,0.0078,0.0078
22,4115.35,0.96054,2.52575,0.78663,0.78925,0.7206,0.78125,0.45235,0.8329,1.95912,0.72088,0.00769,0.00769,0.00769
23,4300.79,0.99984,2.4776,0.81444,0.80065,0.72998,0.79245,0.45668,0.84071,1.89981,0.71906,0.00758,0.00758,0.00758
24,4491.45,0.95931,2.44091,0.79204,0.80095,0.74188,0.80033,0.46705,0.82475,1.87508,0.70961,0.00747,0.00747,0.00747
25,4683.55,0.95602,2.40702,0.79174,0.81204,0.75189,0.80715,0.47407,0.80188,1.8339,0.70046,0.00736,0.00736,0.00736
26,4875.86,0.94905,2.36181,0.79185,0.81097,0.74297,0.80602,0.47895,0.79428,1.82175,0.69322,0.00725,0.00725,0.00725
27,5065.52,0.94444,2.34555,0.7914,0.8103,0.75751,0.8097,0.48186,0.79309,1.80179,0.69291,0.00714,0.00714,0.00714
28,5253.33,0.9521,2.30956,0.80034,0.82014,0.76093,0.81954,0.48785,0.78001,1.7705,0.68551,0.00703,0.00703,0.00703
29,5440.37,0.95113,2.30213,0.80022,0.82504,0.7599,0.82172,0.49343,0.80991,1.74861,0.70501,0.00692,0.00692,0.00692
30,5634.01,0.94676,2.26781,0.7989,0.827,0.75985,0.82017,0.49423,0.7624,1.72928,0.67429,0.00681,0.00681,0.00681
31,5824.54,0.94282,2.24069,0.80049,0.82877,0.76191,0.81858,0.50002,0.76125,1.7204,0.67455,0.0067,0.0067,0.0067
32,6013.35,0.97001,2.20532,0.8205,0.83883,0.75705,0.81972,0.5016,0.77454,1.70579,0.68142,0.00659,0.00659,0.00659
33,6201.42,0.96537,2.18907,0.82078,0.83554,0.76749,0.82359,0.50245,0.7673,1.69926,0.68009,0.00648,0.00648,0.00648
34,6388.99,0.94073,2.14166,0.80453,0.82721,0.76915,0.82595,0.5055,0.74021,1.67776,0.65872,0.00637,0.00637,0.00637
35,6575.17,0.95841,2.14195,0.81768,0.83777,0.77323,0.82892,0.50711,0.74133,1.66739,0.65757,0.00626,0.00626,0.00626
36,6766.19,0.93955,2.10269,0.81089,0.84053,0.7759,0.83429,0.51219,0.72482,1.64748,0.64753,0.00615,0.00615,0.00615
37,6957.75,0.93023,2.08169,0.80647,0.84528,0.77812,0.83709,0.5165,0.71981,1.62868,0.64536,0.00604,0.00604,0.00604
38,7151.08,0.94101,2.07501,0.8166,0.85008,0.77552,0.83974,0.51911,0.71797,1.62534,0.64416,0.00593,0.00593,0.00593
39,7343.53,0.91837,2.04222,0.80782,0.83916,0.78415,0.84264,0.52246,0.70677,1.60979,0.63661,0.00582,0.00582,0.00582
40,7533.96,0.9114,2.01935,0.80229,0.83689,0.78583,0.8421,0.52278,0.70397,1.60501,0.63454,0.00571,0.00571,0.00571
41,7726.77,0.92995,1.98534,0.81453,0.83938,0.78852,0.84058,0.52486,0.70383,1.59605,0.63452,0.0056,0.0056,0.0056
42,7913.32,0.9255,1.97387,0.81724,0.84779,0.78661,0.84048,0.52569,0.68774,1.58994,0.62409,0.00549,0.00549,0.00549
43,8102,0.91291,1.93065,0.81332,0.83348,0.79558,0.84092,0.52754,0.6961,1.5841,0.62984,0.00538,0.00538,0.00538
44,8292.26,0.92875,1.96353,0.82257,0.83414,0.80033,0.84066,0.52779,0.69279,1.57417,0.62718,0.00527,0.00527,0.00527
45,8482.79,0.91203,1.91794,0.817,0.84794,0.79049,0.84316,0.52936,0.68826,1.56742,0.62406,0.00516,0.00516,0.00516
46,8664.77,0.91996,1.90384,0.82549,0.84147,0.79496,0.84351,0.53081,0.68543,1.5635,0.62253,0.00505,0.00505,0.00505
47,8851.41,0.91052,1.88627,0.81925,0.84029,0.79784,0.84514,0.53163,0.68417,1.55775,0.6218,0.00494,0.00494,0.00494
48,9042.43,0.91154,1.86631,0.82537,0.84202,0.79619,0.84479,0.5328,0.68514,1.55281,0.62288,0.00483,0.00483,0.00483
49,9235.48,0.93142,1.86855,0.83892,0.84064,0.79992,0.845,0.53295,0.68324,1.5477,0.62184,0.00472,0.00472,0.00472
50,9425.09,0.92388,1.83083,0.83469,0.84378,0.79911,0.84485,0.53363,0.69541,1.54405,0.62926,0.00461,0.00461,0.00461
51,9615.82,0.90386,1.81526,0.82754,0.841,0.80165,0.84624,0.53461,0.69624,1.53958,0.63015,0.0045,0.0045,0.0045
52,9805.7,0.90586,1.79117,0.8313,0.84572,0.80007,0.84698,0.53477,0.68807,1.53759,0.6242,0.00439,0.00439,0.00439
53,9997.91,0.90531,1.76769,0.83408,0.84669,0.80124,0.84721,0.53487,0.68703,1.53644,0.6237,0.00428,0.00428,0.00428
54,10188.6,0.91362,1.7572,0.84002,0.84639,0.80157,0.84688,0.53513,0.68874,1.53685,0.62536,0.00417,0.00417,0.00417
55,10375.2,0.89419,1.75248,0.82846,0.8465,0.80138,0.84667,0.53552,0.69006,1.53511,0.62666,0.00406,0.00406,0.00406
56,10566.3,0.91077,1.74476,0.84117,0.84801,0.8,0.84652,0.53624,0.69007,1.53389,0.62665,0.00395,0.00395,0.00395
57,10757.2,0.90471,1.71624,0.84027,0.84508,0.8023,0.8471,0.53713,0.68565,1.53188,0.62343,0.00384,0.00384,0.00384
58,10948.6,0.89311,1.69087,0.8354,0.84895,0.80039,0.8469,0.53762,0.69561,1.53032,0.62967,0.00373,0.00373,0.00373
59,11134,0.90376,1.68562,0.8475,0.84855,0.80158,0.8474,0.53803,0.69626,1.52845,0.63029,0.00362,0.00362,0.00362
60,11323.8,0.89337,1.66139,0.8409,0.84946,0.80143,0.84755,0.5383,0.69611,1.52865,0.63008,0.00351,0.00351,0.00351
61,11515.8,0.88491,1.64357,0.83828,0.8493,0.802,0.84757,0.53894,0.69608,1.52659,0.63012,0.0034,0.0034,0.0034
62,11707.6,0.86825,1.61781,0.82975,0.85078,0.79894,0.84714,0.53971,0.69563,1.52507,0.62991,0.00329,0.00329,0.00329
63,11896.4,0.87552,1.61548,0.83581,0.84636,0.80384,0.84729,0.53956,0.69102,1.52403,0.62638,0.00318,0.00318,0.00318
64,12086.2,0.87617,1.59996,0.8428,0.84755,0.80252,0.84693,0.54054,0.699,1.52273,0.63206,0.00307,0.00307,0.00307
65,12269.5,0.89652,1.58324,0.8533,0.85109,0.80089,0.84693,0.54061,0.69219,1.52182,0.62779,0.00296,0.00296,0.00296
66,12455,0.86382,1.57027,0.83673,0.84976,0.80151,0.84647,0.54045,0.69189,1.52036,0.62774,0.00285,0.00285,0.00285
67,12639.4,0.85613,1.558,0.83278,0.85542,0.79897,0.84761,0.5414,0.69156,1.51954,0.62752,0.00274,0.00274,0.00274
68,12822.6,0.85711,1.54492,0.84032,0.85566,0.79987,0.84767,0.54209,0.68539,1.51957,0.62275,0.00263,0.00263,0.00263
69,13011.5,0.8435,1.51365,0.82935,0.85617,0.80001,0.8479,0.54265,0.68268,1.51993,0.62101,0.00252,0.00252,0.00252
70,13202.9,0.84375,1.50998,0.8348,0.8562,0.8009,0.84902,0.54286,0.68277,1.51791,0.62111,0.00241,0.00241,0.00241
71,13392.4,0.84736,1.4869,0.83868,0.85645,0.80102,0.84957,0.54332,0.68256,1.51672,0.62097,0.0023,0.0023,0.0023
72,13580.4,0.84355,1.47621,0.83782,0.85697,0.80225,0.84974,0.54373,0.68024,1.51704,0.61958,0.00219,0.00219,0.00219
