epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.777,1.55141,2.44013,1.66066,0.46075,0.43401,0.41135,0.20927,1.6512,1.96263,1.8129,0.00332367,0.00332367,0.00332367
2,383.592,1.55331,1.99657,1.66687,0.3613,0.31954,0.28423,0.13355,1.85806,2.47977,2.0656,0.00658378,0.00658378,0.00658378
3,579.816,1.76748,2.4627,1.88463,0.07741,0.10959,0.03202,0.01257,2.49901,10.6391,2.93506,0.00977055,0.00977055,0.00977055
4,785.053,1.81769,2.64103,1.97376,0.31047,0.25548,0.21731,0.09633,1.96483,3.42369,2.20446,0.00967,0.00967,0.00967
5,989.824,1.70252,2.38408,1.87115,0.43887,0.40192,0.37232,0.1761,1.75828,2.19501,1.96354,0.00956,0.00956,0.00956
6,1183.73,1.63965,2.20565,1.81534,0.4893,0.45398,0.44373,0.2222,1.69435,1.89229,1.89994,0.00945,0.00945,0.00945
7,1372.78,1.58742,2.07222,1.76639,0.49937,0.46511,0.46724,0.24085,1.64551,1.8519,1.87827,0.00934,0.00934,0.00934
8,1563.09,1.54777,1.98307,1.73477,0.56261,0.4902,0.50835,0.26479,1.61948,1.72656,1.83863,0.00923,0.00923,0.00923
9,1752.67,1.53022,1.90845,1.713,0.58359,0.53076,0.54756,0.29978,1.54142,1.62658,1.7603,0.00912,0.00912,0.00912
10,1940.55,1.49816,1.83507,1.68089,0.62729,0.54259,0.58418,0.31777,1.5212,1.56272,1.74258,0.00901,0.00901,0.00901
11,2129.92,1.47476,1.77737,1.66103,0.61327,0.56306,0.58893,0.32533,1.51569,1.51319,1.73469,0.0089,0.0089,0.0089
12,2320.74,1.45982,1.73146,1.64602,0.65092,0.56845,0.61581,0.34516,1.47044,1.45046,1.69783,0.00879,0.00879,0.00879
13,2511.7,1.43678,1.67823,1.62862,0.6876,0.60017,0.65957,0.37496,1.45295,1.38105,1.67885,0.00868,0.00868,0.00868
14,2696.66,1.42375,1.65347,1.61388,0.68252,0.61739,0.66844,0.38837,1.41656,1.3229,1.64083,0.00857,0.00857,0.00857
15,2886.24,1.40575,1.6031,1.59538,0.7017,0.6132,0.67347,0.39179,1.4074,1.31364,1.62688,0.00846,0.00846,0.00846
16,3074.64,1.39018,1.55991,1.57702,0.71382,0.60747,0.68079,0.40009,1.39311,1.28526,1.61849,0.00835,0.00835,0.00835
17,3261.84,1.38758,1.54923,1.57146,0.72444,0.65071,0.70916,0.41685,1.37348,1.22074,1.59797,0.00824,0.00824,0.00824
18,3448.82,1.37415,1.52285,1.5627,0.72873,0.65213,0.71659,0.4275,1.36914,1.20203,1.59169,0.00813,0.00813,0.00813
19,3638.11,1.36523,1.47832,1.55319,0.76387,0.64986,0.72871,0.43379,1.37426,1.15812,1.58948,0.00802,0.00802,0.00802
20,3824.98,1.35308,1.46107,1.54592,0.74504,0.67174,0.73962,0.44392,1.34393,1.13457,1.57439,0.00791,0.00791,0.00791
21,4013.2,1.3401,1.42878,1.53075,0.7671,0.68527,0.75859,0.45724,1.33116,1.09303,1.54685,0.0078,0.0078,0.0078
22,4193.46,1.33624,1.41733,1.53071,0.76836,0.6847,0.75792,0.45905,1.33235,1.09722,1.56259,0.00769,0.00769,0.00769
23,4381.76,1.3322,1.38848,1.52017,0.76057,0.6975,0.76575,0.46658,1.31827,1.06059,1.54285,0.00758,0.00758,0.00758
24,4574.69,1.31905,1.37464,1.51104,0.77827,0.70178,0.77701,0.48146,1.30505,1.02948,1.53055,0.00747,0.00747,0.00747
25,4762.31,1.31813,1.35154,1.5048,0.7757,0.71413,0.78347,0.48395,1.30392,1.01359,1.52945,0.00736,0.00736,0.00736
26,4954.33,1.29063,1.33333,1.49391,0.79312,0.71645,0.78608,0.48628,1.29627,1.00042,1.53226,0.00725,0.00725,0.00725
27,5143.76,1.29557,1.32092,1.49644,0.78775,0.71647,0.78981,0.49119,1.29017,1.00104,1.52156,0.00714,0.00714,0.00714
28,5327.45,1.28802,1.30695,1.48573,0.79622,0.73144,0.79584,0.50086,1.2723,0.97724,1.50431,0.00703,0.00703,0.00703
29,5512.39,1.28059,1.29367,1.47328,0.80609,0.72527,0.79704,0.50104,1.27324,0.96405,1.50071,0.00692,0.00692,0.00692
30,5702.81,1.28056,1.28175,1.468,0.8002,0.7278,0.80009,0.50625,1.26278,0.95225,1.48788,0.00681,0.00681,0.00681
31,5892.88,1.26209,1.25451,1.45218,0.80161,0.7334,0.80094,0.50746,1.26413,0.94493,1.48799,0.0067,0.0067,0.0067
32,6083.36,1.25924,1.23857,1.45692,0.8097,0.73421,0.80482,0.5122,1.26131,0.93102,1.48573,0.00659,0.00659,0.00659
33,6272.93,1.25282,1.22783,1.44934,0.8024,0.74393,0.8091,0.51422,1.25692,0.91817,1.48375,0.00648,0.00648,0.00648
34,6462.44,1.24796,1.20565,1.44628,0.81398,0.74614,0.81611,0.51746,1.25414,0.91057,1.48158,0.00637,0.00637,0.00637
35,6644.72,1.24187,1.19885,1.44037,0.82097,0.74523,0.81623,0.51995,1.2523,0.90368,1.47792,0.00626,0.00626,0.00626
36,6826.67,1.23109,1.18194,1.43157,0.8239,0.744,0.81758,0.52291,1.25047,0.89646,1.47448,0.00615,0.00615,0.00615
37,7014.34,1.23099,1.17129,1.4315,0.81805,0.75865,0.82114,0.52544,1.24673,0.88999,1.47227,0.00604,0.00604,0.00604
38,7201.85,1.22299,1.16191,1.42415,0.82245,0.75667,0.82272,0.5277,1.24218,0.88202,1.47118,0.00593,0.00593,0.00593
39,7390.56,1.21041,1.13109,1.41522,0.81015,0.76164,0.82457,0.5295,1.23554,0.87849,1.46713,0.00582,0.00582,0.00582
40,7575.93,1.20694,1.12471,1.41307,0.83218,0.75068,0.82633,0.53178,1.23312,0.86961,1.46722,0.00571,0.00571,0.00571
41,7760.17,1.19874,1.11244,1.40275,0.83191,0.76207,0.82795,0.5341,1.23411,0.8605,1.46756,0.0056,0.0056,0.0056
42,7950.92,1.1998,1.10336,1.4056,0.83323,0.76017,0.82889,0.53566,1.23086,0.85607,1.46434,0.00549,0.00549,0.00549
43,8139.44,1.18477,1.082,1.39052,0.83322,0.76382,0.83004,0.53643,1.22993,0.85001,1.4627,0.00538,0.00538,0.00538
44,8331.56,1.19016,1.09277,1.39949,0.82552,0.76957,0.83294,0.53803,1.22897,0.84457,1.4615,0.00527,0.00527,0.00527
45,8517.85,1.17981,1.07148,1.38957,0.83354,0.76358,0.8337,0.5394,1.22785,0.83864,1.46079,0.00516,0.00516,0.00516
46,8707.05,1.1727,1.05351,1.38117,0.82484,0.77182,0.83423,0.54014,1.22826,0.8346,1.46073,0.00505,0.00505,0.00505
47,8891.87,1.17414,1.05122,1.37991,0.83132,0.76559,0.83509,0.54059,1.22822,0.83317,1.46059,0.00494,0.00494,0.00494
48,9075.21,1.15652,1.03667,1.37492,0.8385,0.76375,0.8358,0.54152,1.22788,0.83069,1.46042,0.00483,0.00483,0.00483
49,9265.07,1.16761,1.03636,1.37636,0.82986,0.76974,0.83596,0.54264,1.22767,0.82781,1.4605,0.00472,0.00472,0.00472
50,9457.08,1.14987,1.02245,1.36241,0.83119,0.76994,0.83652,0.5431,1.22664,0.82541,1.46003,0.00461,0.00461,0.00461
51,9649.51,1.14862,1.01174,1.36257,0.83262,0.77048,0.83645,0.54337,1.22599,0.8238,1.45952,0.0045,0.0045,0.0045
52,9837.9,1.14174,1.00131,1.35438,0.82802,0.77518,0.83675,0.54355,1.22524,0.82209,1.45924,0.00439,0.00439,0.00439
53,10029.5,1.13126,0.98139,1.34937,0.83604,0.77374,0.83771,0.54409,1.22553,0.81983,1.45974,0.00428,0.00428,0.00428
54,10220.4,1.12765,0.97199,1.34232,0.82876,0.77831,0.83741,0.54462,1.22619,0.81832,1.46034,0.00417,0.00417,0.00417
55,10411.7,1.12515,0.96908,1.34444,0.8241,0.78116,0.83817,0.54472,1.22605,0.81659,1.45979,0.00406,0.00406,0.00406
56,10594.2,1.11988,0.96365,1.33848,0.82913,0.77947,0.83804,0.54516,1.22617,0.81508,1.45997,0.00395,0.00395,0.00395
57,10786.6,1.11467,0.94523,1.33222,0.83091,0.77946,0.83819,0.54551,1.22582,0.81391,1.45957,0.00384,0.00384,0.00384
58,10978.1,1.10327,0.9359,1.32672,0.8317,0.7806,0.8383,0.546,1.22532,0.81246,1.45931,0.00373,0.00373,0.00373
59,11165.5,1.09378,0.92268,1.32291,0.83121,0.7816,0.83789,0.54628,1.22538,0.81091,1.45992,0.00362,0.00362,0.00362
60,11356.5,1.09383,0.91939,1.31691,0.82996,0.78238,0.83818,0.54637,1.22548,0.80914,1.46026,0.00351,0.00351,0.00351
61,11545.2,1.08853,0.90484,1.31007,0.82995,0.78285,0.83858,0.5467,1.22558,0.80711,1.46022,0.0034,0.0034,0.0034
62,11729.4,1.07665,0.89255,1.30295,0.83225,0.78224,0.83903,0.54721,1.22578,0.80565,1.46064,0.00329,0.00329,0.00329
63,11914.6,1.07844,0.88705,1.30112,0.83351,0.7821,0.83883,0.54781,1.22583,0.80455,1.46066,0.00318,0.00318,0.00318
64,12104.5,1.06806,0.88136,1.29942,0.83286,0.78216,0.83878,0.54807,1.22553,0.80297,1.46033,0.00307,0.00307,0.00307
65,12296.2,1.06606,0.87336,1.29052,0.83449,0.78226,0.83903,0.54827,1.22544,0.8018,1.45976,0.00296,0.00296,0.00296
66,12487.2,1.0598,0.8588,1.29083,0.83428,0.78347,0.83903,0.54821,1.22555,0.79984,1.45992,0.00285,0.00285,0.00285
67,12676.8,1.05633,0.85058,1.28187,0.83191,0.78575,0.83917,0.54815,1.22524,0.79851,1.4596,0.00274,0.00274,0.00274
68,12862.7,1.04477,0.84631,1.28196,0.83189,0.7852,0.83896,0.54791,1.22533,0.79721,1.45956,0.00263,0.00263,0.00263
69,13050.8,1.03871,0.83156,1.27303,0.83067,0.78533,0.83923,0.54813,1.2256,0.79706,1.45931,0.00252,0.00252,0.00252
70,13232.4,1.03125,0.82998,1.27045,0.83031,0.78485,0.83927,0.54838,1.22576,0.79546,1.45917,0.00241,0.00241,0.00241
71,13416,1.02238,0.81194,1.25937,0.83087,0.78704,0.83962,0.54916,1.22631,0.79439,1.45965,0.0023,0.0023,0.0023
72,13608.1,1.01645,0.80722,1.26053,0.8313,0.78611,0.83995,0.54976,1.22674,0.79386,1.46031,0.00219,0.00219,0.00219
73,13795.6,1.0136,0.79954,1.25269,0.83386,0.78534,0.84045,0.55037,1.22704,0.79332,1.46045,0.00208,0.00208,0.00208
74,13982.4,1.00107,0.78917,1.24332,0.83672,0.78439,0.84043,0.55015,1.22709,0.79307,1.46049,0.00197,0.00197,0.00197
75,14170.8,1.00665,0.7867,1.24628,0.83798,0.78482,0.84021,0.55044,1.22709,0.79218,1.46062,0.00186,0.00186,0.00186
76,14363.4,0.9861,0.76868,1.2349,0.83526,0.78755,0.84046,0.5508,1.22706,0.79143,1.46053,0.00175,0.00175,0.00175
77,14556.2,0.98776,0.76495,1.23954,0.83427,0.78739,0.84069,0.55101,1.2268,0.7904,1.46023,0.00164,0.00164,0.00164
78,14747.1,0.97633,0.75355,1.23232,0.83706,0.78539,0.84159,0.55183,1.22715,0.79018,1.46055,0.00153,0.00153,0.00153
79,14935.2,0.97161,0.74517,1.22737,0.83783,0.78569,0.84159,0.55209,1.2272,0.78951,1.46078,0.00142,0.00142,0.00142
