epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.795,0.87234,4.91614,0.71835,0.5481,0.51725,0.51753,0.26376,0.90895,3.42001,0.75647,0.00332295,0.00332295,0.00332295
2,271.36,0.87979,3.81897,0.68661,0.45067,0.2847,0.25857,0.10693,1.25734,6.76521,1.01577,0.00658306,0.00658306,0.00658306
3,410.158,1.11693,4.76581,0.81538,0.14952,0.10301,0.03526,0.01128,2.37671,inf,1.9859,0.00976984,0.00976984,0.00976984
4,546.961,1.25993,5.08833,0.88355,0.36129,0.30696,0.2594,0.10407,1.48656,6.51251,1.11667,0.00967,0.00967,0.00967
5,682.877,1.21805,4.49752,0.85627,0.4469,0.39115,0.35288,0.14746,1.52301,4.29608,1.11875,0.00956,0.00956,0.00956
6,818.503,1.17637,4.12623,0.83297,0.54007,0.47851,0.47909,0.21846,1.28324,3.60779,0.96184,0.00945,0.00945,0.00945
7,953.64,1.11429,3.80727,0.8042,0.58394,0.48444,0.50213,0.22959,1.24299,3.40341,0.94933,0.00934,0.00934,0.00934
8,1088.2,1.09394,3.63332,0.79769,0.59747,0.50545,0.52602,0.25348,1.26028,3.08924,0.96072,0.00923,0.00923,0.00923
9,1223.76,1.1041,3.44472,0.80694,0.62717,0.52908,0.56121,0.27498,1.11024,3.02309,0.85396,0.00912,0.00912,0.00912
10,1359.44,1.06324,3.35888,0.78671,0.6573,0.56802,0.60468,0.30183,1.03462,2.74453,0.8128,0.00901,0.00901,0.00901
11,1494.33,1.08541,3.23616,0.80198,0.64162,0.57875,0.60898,0.30967,1.02741,2.7885,0.80718,0.0089,0.0089,0.0089
12,1628.51,1.05793,3.10219,0.78886,0.68624,0.5851,0.63276,0.32926,1.06755,2.62576,0.83834,0.00879,0.00879,0.00879
13,1762.75,1.02399,3.02853,0.77582,0.69387,0.62002,0.66702,0.34801,1.01721,2.49268,0.80235,0.00868,0.00868,0.00868
14,1896.91,1.01929,2.96469,0.77155,0.72551,0.62729,0.68791,0.36467,0.97342,2.35638,0.7724,0.00857,0.00857,0.00857
15,2032.53,1.00579,2.89678,0.77073,0.72772,0.63989,0.69953,0.37009,0.99168,2.34277,0.7877,0.00846,0.00846,0.00846
16,2167.81,0.99295,2.82081,0.76318,0.7353,0.65526,0.70702,0.37861,0.91235,2.26271,0.73449,0.00835,0.00835,0.00835
17,2303.69,0.98357,2.79588,0.75985,0.74736,0.64838,0.70351,0.38495,0.90187,2.24799,0.73128,0.00824,0.00824,0.00824
18,2439.38,0.94764,2.73366,0.74477,0.7328,0.66658,0.71569,0.39046,0.85066,2.21441,0.70239,0.00813,0.00813,0.00813
19,2574.97,0.95799,2.68242,0.75434,0.75921,0.68965,0.73417,0.40364,0.94179,2.13013,0.75926,0.00802,0.00802,0.00802
20,2710.52,0.95345,2.65032,0.75397,0.75114,0.69705,0.73861,0.41398,0.85146,2.06051,0.69852,0.00791,0.00791,0.00791
21,2846.09,0.93457,2.58751,0.7479,0.75249,0.69189,0.74399,0.41643,0.86528,2.03691,0.71139,0.0078,0.0078,0.0078
22,2980.24,0.94358,2.55743,0.75164,0.76275,0.70141,0.75024,0.42347,0.84064,1.97261,0.69113,0.00769,0.00769,0.00769
23,3114.65,0.92298,2.52427,0.74407,0.76983,0.69572,0.74991,0.42762,0.81822,1.95417,0.6797,0.00758,0.00758,0.00758
24,3248.92,0.91989,2.48168,0.74331,0.78876,0.70908,0.76925,0.43959,0.83287,1.92767,0.68765,0.00747,0.00747,0.00747
25,3384.61,0.9035,2.45182,0.7364,0.79426,0.71537,0.76981,0.44488,0.80205,1.88402,0.67121,0.00736,0.00736,0.00736
26,3519.7,0.90221,2.41922,0.74077,0.7755,0.73231,0.77538,0.44931,0.78861,1.86676,0.66289,0.00725,0.00725,0.00725
27,3655.14,0.91634,2.37511,0.75212,0.77507,0.73994,0.77774,0.45017,0.80562,1.84579,0.67251,0.00714,0.00714,0.00714
28,3790.72,0.9398,2.37113,0.76636,0.79371,0.73797,0.78512,0.45512,0.79995,1.82996,0.66871,0.00703,0.00703,0.00703
29,3925.08,0.91049,2.32412,0.75389,0.78734,0.73923,0.78527,0.46006,0.7821,1.8001,0.66053,0.00692,0.00692,0.00692
30,4059.05,0.91811,2.32668,0.75961,0.79356,0.74176,0.78585,0.46485,0.7705,1.77623,0.65139,0.00681,0.00681,0.00681
31,4192.84,0.91049,2.26312,0.75994,0.79349,0.73552,0.78587,0.46747,0.7682,1.78268,0.65312,0.0067,0.0067,0.0067
32,4326.68,0.91979,2.25694,0.76827,0.78828,0.74879,0.79521,0.47327,0.76637,1.75725,0.65132,0.00659,0.00659,0.00659
33,4460.62,0.90422,2.22188,0.76018,0.79846,0.75199,0.79881,0.47786,0.74569,1.71468,0.63728,0.00648,0.00648,0.00648
34,4595.83,0.90405,2.19869,0.76254,0.8021,0.76269,0.79975,0.4786,0.74904,1.70793,0.63922,0.00637,0.00637,0.00637
35,4730.1,0.90715,2.18849,0.76815,0.78946,0.77315,0.8033,0.48116,0.74867,1.7029,0.63964,0.00626,0.00626,0.00626
36,4864.2,0.89909,2.15635,0.76294,0.79869,0.76496,0.80252,0.48472,0.72162,1.68612,0.62335,0.00615,0.00615,0.00615
37,5000,0.90485,2.13783,0.77268,0.7946,0.77523,0.80432,0.48701,0.72575,1.67427,0.62532,0.00604,0.00604,0.00604
38,5135.65,0.8991,2.09971,0.7738,0.79843,0.76335,0.80071,0.48771,0.74177,1.66982,0.63863,0.00593,0.00593,0.00593
39,5270.97,0.90478,2.10494,0.77885,0.8066,0.75722,0.8015,0.49072,0.73078,1.65295,0.63124,0.00582,0.00582,0.00582
40,5404.81,0.87168,2.07382,0.76004,0.80909,0.76451,0.8044,0.49192,0.69854,1.65109,0.61022,0.00571,0.00571,0.00571
41,5538.74,0.87287,2.0576,0.7593,0.80931,0.76631,0.80412,0.49312,0.67385,1.64352,0.59412,0.0056,0.0056,0.0056
42,5673.53,0.86678,2.03073,0.76202,0.80936,0.77317,0.80855,0.49622,0.66579,1.63163,0.58883,0.00549,0.00549,0.00549
43,5808.62,0.86683,2.00567,0.76419,0.80686,0.77571,0.80978,0.49782,0.66576,1.6256,0.58814,0.00538,0.00538,0.00538
44,5942.85,0.86858,2.00363,0.76768,0.80645,0.77984,0.81099,0.5002,0.66408,1.61937,0.58728,0.00527,0.00527,0.00527
45,6077.02,0.86588,1.96703,0.76744,0.81534,0.77065,0.81092,0.4999,0.662,1.61539,0.58553,0.00516,0.00516,0.00516
46,6211.44,0.87283,1.96411,0.77294,0.81059,0.77765,0.81091,0.50123,0.65882,1.60737,0.58395,0.00505,0.00505,0.00505
47,6347.22,0.863,1.92428,0.76927,0.81174,0.77519,0.81263,0.5038,0.65698,1.60218,0.58285,0.00494,0.00494,0.00494
48,6482.58,0.86588,1.91016,0.77588,0.81451,0.77677,0.81264,0.50339,0.65608,1.59882,0.58229,0.00483,0.00483,0.00483
