epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.273,0.78459,4.84716,0.67875,0.50583,0.53266,0.50956,0.26623,0.76645,3.39775,0.69412,0.00332295,0.00332295,0.00332295
2,275.865,0.76848,3.87259,0.63977,0.44632,0.34174,0.29321,0.11985,1.04575,6.59047,0.90601,0.00658306,0.00658306,0.00658306
3,418.922,0.92533,4.81864,0.7368,0.13382,0.10501,0.04135,0.01476,1.73956,48.373,1.50876,0.00976984,0.00976984,0.00976984
4,557.268,1.00283,5.11305,0.7748,0.31629,0.32726,0.24008,0.09672,1.28769,6.22481,1.06177,0.00967,0.00967,0.00967
5,695.791,0.97237,4.56479,0.75795,0.4674,0.40436,0.378,0.16286,1.12033,4.62707,0.93402,0.00956,0.00956,0.00956
6,833.974,0.9508,4.21241,0.74757,0.52665,0.40801,0.41889,0.19112,1.0601,4.30085,0.8844,0.00945,0.00945,0.00945
7,970.376,0.90716,3.9143,0.72276,0.56176,0.48097,0.49145,0.23962,0.95809,3.53665,0.80346,0.00934,0.00934,0.00934
8,1106.08,0.89975,3.75717,0.72277,0.58034,0.49466,0.50801,0.24846,1.00199,3.38823,0.83574,0.00923,0.00923,0.00923
9,1241.91,0.89981,3.58293,0.72251,0.63195,0.54579,0.59174,0.29491,1.00255,2.97604,0.81558,0.00912,0.00912,0.00912
10,1379.55,0.90711,3.4702,0.73134,0.62728,0.56935,0.59914,0.30573,0.89508,2.9184,0.76362,0.00901,0.00901,0.00901
11,1517.08,0.89209,3.35546,0.72413,0.65831,0.57962,0.6201,0.31965,0.89653,2.86055,0.75578,0.0089,0.0089,0.0089
12,1654.5,0.9009,3.24167,0.73198,0.67984,0.60079,0.63709,0.33646,0.94394,2.66683,0.78497,0.00879,0.00879,0.00879
13,1792.17,0.88804,3.16574,0.72761,0.69859,0.61154,0.65237,0.33872,0.89765,2.59602,0.75414,0.00868,0.00868,0.00868
14,1929.86,0.88434,3.0863,0.72771,0.6992,0.64014,0.67877,0.36559,0.84422,2.47291,0.72676,0.00857,0.00857,0.00857
15,2067.87,0.85118,3.00787,0.71206,0.70867,0.63694,0.68631,0.37001,0.84228,2.4687,0.72918,0.00846,0.00846,0.00846
16,2203.49,0.83324,2.94496,0.69978,0.71426,0.6445,0.69156,0.38211,0.7961,2.38186,0.68512,0.00835,0.00835,0.00835
17,2339.22,0.83499,2.93019,0.70391,0.72613,0.66269,0.70754,0.38367,0.79267,2.35718,0.68754,0.00824,0.00824,0.00824
18,2475.31,0.8267,2.85169,0.70358,0.7438,0.65599,0.72377,0.40279,0.78524,2.22872,0.67615,0.00813,0.00813,0.00813
19,2613.3,0.8252,2.79314,0.7048,0.7465,0.68652,0.73518,0.41437,0.79996,2.18281,0.69554,0.00802,0.00802,0.00802
20,2750.94,0.82706,2.76811,0.70764,0.7537,0.68771,0.73725,0.41963,0.78075,2.18224,0.67682,0.00791,0.00791,0.00791
21,2887.03,0.82932,2.71256,0.71502,0.76145,0.67192,0.73296,0.4173,0.78256,2.14499,0.68309,0.0078,0.0078,0.0078
22,3024.81,0.83369,2.68034,0.71847,0.77229,0.69918,0.75582,0.42956,0.72356,2.08668,0.64791,0.00769,0.00769,0.00769
23,3161.61,0.80722,2.63762,0.70459,0.76859,0.70504,0.75527,0.43619,0.73127,2.03903,0.65354,0.00758,0.00758,0.00758
