epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.686,0.83776,5.07178,0.7051,0.53843,0.46972,0.48385,0.24466,0.87305,3.75283,0.75345,0.00332295,0.00332295,0.00332295
2,271.08,0.84974,4.0212,0.67876,0.44537,0.3081,0.30792,0.13385,1.30353,5.69175,1.08605,0.00658306,0.00658306,0.00658306
3,409.8,1.06869,5.02393,0.79944,0.16883,0.14845,0.09983,0.03412,1.89098,19.4943,1.58583,0.00976984,0.00976984,0.00976984
4,547.006,1.16912,5.323,0.84699,0.40266,0.32294,0.2945,0.11877,1.43648,6.4787,1.12174,0.00967,0.00967,0.00967
5,683.107,1.11981,4.75907,0.8217,0.38237,0.3231,0.28723,0.12028,1.52247,5.30802,1.17593,0.00956,0.00956,0.00956
6,818.908,1.10992,4.36317,0.81225,0.21017,0.18382,0.10548,0.04259,1.91415,7.7063,1.44627,0.00945,0.00945,0.00945
7,955.122,1.05891,4.03404,0.78721,0.51094,0.40512,0.41578,0.19218,1.21509,4.28466,0.95241,0.00934,0.00934,0.00934
8,1091.04,1.05652,3.85628,0.79243,0.59378,0.51799,0.53864,0.2593,1.16581,3.34431,0.91523,0.00923,0.00923,0.00923
9,1227,1.04472,3.69525,0.78787,0.61254,0.53133,0.55621,0.27405,1.08922,3.19409,0.84585,0.00912,0.00912,0.00912
10,1362.46,1.01484,3.56597,0.77241,0.64418,0.57137,0.60371,0.31059,1.04201,2.95739,0.82788,0.00901,0.00901,0.00901
11,1498.02,0.99723,3.45843,0.76269,0.65509,0.58418,0.60859,0.30753,0.99677,2.95439,0.80131,0.0089,0.0089,0.0089
12,1633.79,1.01271,3.31538,0.77471,0.65492,0.59332,0.63208,0.33061,0.96452,2.81758,0.78729,0.00879,0.00879,0.00879
13,1769.67,0.98776,3.2382,0.76648,0.68202,0.59899,0.64947,0.34261,1.04172,2.69155,0.8247,0.00868,0.00868,0.00868
14,1904.35,0.9729,3.16414,0.76009,0.71876,0.61627,0.67898,0.36444,0.91859,2.54147,0.7551,0.00857,0.00857,0.00857
15,2039.14,0.97568,3.10084,0.76687,0.73189,0.62854,0.6932,0.37543,0.93919,2.48814,0.77384,0.00846,0.00846,0.00846
16,2173.66,0.94335,3.0203,0.74712,0.73766,0.64691,0.70408,0.38556,0.87084,2.41044,0.7208,0.00835,0.00835,0.00835
17,2308.35,0.93395,2.99775,0.74404,0.71897,0.65803,0.70081,0.38544,0.87409,2.41904,0.72016,0.00824,0.00824,0.00824
18,2442.92,0.93278,2.90832,0.74749,0.73448,0.65922,0.71526,0.40068,0.89688,2.33098,0.74425,0.00813,0.00813,0.00813
19,2577.38,0.94543,2.84934,0.7581,0.73234,0.68741,0.72982,0.41126,0.87948,2.25108,0.72463,0.00802,0.00802,0.00802
20,2712.03,0.93561,2.82351,0.75595,0.73746,0.68902,0.73375,0.41503,0.86234,2.23266,0.71917,0.00791,0.00791,0.00791
21,2846.58,0.92967,2.76575,0.75654,0.75355,0.68769,0.73891,0.42177,0.81443,2.18798,0.69135,0.0078,0.0078,0.0078
22,2981.02,0.91203,2.72439,0.74626,0.77534,0.68292,0.74553,0.42991,0.8096,2.15293,0.68368,0.00769,0.00769,0.00769
23,3115.42,0.91187,2.69381,0.74992,0.76973,0.69929,0.74656,0.42982,0.80657,2.10613,0.68611,0.00758,0.00758,0.00758
24,3249.85,0.92787,2.64639,0.76016,0.77906,0.70738,0.76342,0.44103,0.81297,2.08713,0.69017,0.00747,0.00747,0.00747
25,3384.24,0.93075,2.61253,0.76385,0.78926,0.71132,0.77336,0.45347,0.81825,2.00288,0.68959,0.00736,0.00736,0.00736
26,3518.65,0.92413,2.57029,0.76416,0.77799,0.72424,0.77181,0.45386,0.81566,1.97881,0.68903,0.00725,0.00725,0.00725
27,3653.07,0.93124,2.53083,0.77196,0.77736,0.73361,0.77882,0.45475,0.85092,1.98946,0.70934,0.00714,0.00714,0.00714
28,3787.54,0.9372,2.51278,0.7762,0.77533,0.73484,0.77728,0.46154,0.80946,1.93719,0.6844,0.00703,0.00703,0.00703
29,3922.72,0.90952,2.47268,0.7637,0.79967,0.73113,0.78526,0.46656,0.77259,1.90683,0.66404,0.00692,0.00692,0.00692
30,4058.95,0.91003,2.46738,0.76803,0.78355,0.74638,0.7906,0.47278,0.78867,1.89059,0.67674,0.00681,0.00681,0.00681
31,4194.98,0.90396,2.40523,0.76448,0.8021,0.73506,0.79088,0.47632,0.76373,1.86923,0.66076,0.0067,0.0067,0.0067
32,4330.02,0.92242,2.40842,0.78144,0.81743,0.74047,0.79773,0.48014,0.74869,1.85012,0.65152,0.00659,0.00659,0.00659
33,4465.34,0.89562,2.35853,0.76744,0.80289,0.7518,0.80325,0.48407,0.75875,1.81245,0.65934,0.00648,0.00648,0.00648
34,4601.22,0.92226,2.33346,0.78656,0.7906,0.76264,0.80403,0.48819,0.75489,1.79897,0.65426,0.00637,0.00637,0.00637
35,4737.14,0.8946,2.32896,0.77481,0.80244,0.75398,0.80197,0.48638,0.74944,1.80826,0.65296,0.00626,0.00626,0.00626
36,4872.72,0.89097,2.29667,0.77014,0.82185,0.74528,0.80332,0.48941,0.75374,1.78072,0.65437,0.00615,0.00615,0.00615
