epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.211,0.8299,4.79023,0.70153,0.51487,0.51778,0.49893,0.26143,0.82158,3.49649,0.71426,0.00332295,0.00332295,0.00332295
2,271.723,0.82641,3.74839,0.66493,0.51114,0.2678,0.25423,0.10438,1.17086,6.25812,0.96281,0.00657391,0.00657391,0.00657391
3,408.191,0.99812,4.67369,0.76501,0.1818,0.13117,0.06202,0.02127,1.82422,27.6383,1.49952,0.00974237,0.00974237,0.00974237
4,544.13,1.12074,5.00275,0.82632,0.3694,0.32055,0.26818,0.10756,1.42733,6.16473,1.10152,0.00962875,0.00962875,0.00962875
5,679.107,1.09961,4.41715,0.81437,0.41111,0.37775,0.3286,0.1396,1.39729,4.57862,1.07801,0.009505,0.009505,0.009505
6,814.297,1.08961,4.05722,0.80796,0.43572,0.36984,0.3494,0.15788,1.32635,4.88778,1.03563,0.00938125,0.00938125,0.00938125
7,949.231,1.03124,3.74774,0.77621,0.51905,0.44656,0.45207,0.21333,1.12607,3.99477,0.89765,0.0092575,0.0092575,0.0092575
8,1083.68,1.02472,3.5798,0.77654,0.60151,0.52233,0.53986,0.2566,1.11254,3.0246,0.87341,0.00913375,0.00913375,0.00913375
9,1219.36,0.99799,3.40514,0.76371,0.65215,0.55168,0.59245,0.29489,1.02364,2.85556,0.81733,0.00901,0.00901,0.00901
10,1355.25,0.98779,3.31753,0.76249,0.6809,0.5583,0.60434,0.30259,0.93374,2.69226,0.76271,0.00888625,0.00888625,0.00888625
11,1491.75,0.95679,3.20081,0.7491,0.66109,0.58795,0.62004,0.31665,0.89324,2.6813,0.73422,0.0087625,0.0087625,0.0087625
12,1627.95,0.9438,3.06749,0.74118,0.68861,0.61329,0.65934,0.34194,0.91474,2.50437,0.74728,0.00863875,0.00863875,0.00863875
13,1762.94,0.95812,3.00606,0.75558,0.70659,0.61612,0.66358,0.34577,0.92097,2.4675,0.75104,0.008515,0.008515,0.008515
14,1898.16,0.94438,2.92629,0.74729,0.71095,0.62514,0.68071,0.36548,0.89216,2.35715,0.73475,0.00839125,0.00839125,0.00839125
15,2034.26,0.92752,2.84513,0.74238,0.75106,0.63786,0.70764,0.37602,0.89712,2.2841,0.74391,0.0082675,0.0082675,0.0082675
16,2168.9,0.90576,2.79586,0.73168,0.71908,0.65474,0.69551,0.37461,0.8587,2.26092,0.71841,0.00814375,0.00814375,0.00814375
17,2303.35,0.91462,2.76494,0.73842,0.74442,0.65287,0.71452,0.39161,0.83217,2.20337,0.69746,0.00802,0.00802,0.00802
18,2439.25,0.92028,2.69177,0.74833,0.75773,0.65447,0.72427,0.40022,0.83336,2.15202,0.70245,0.00789625,0.00789625,0.00789625
