epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.356,0.76212,4.92629,0.67002,0.55807,0.50194,0.5217,0.27048,0.76515,3.3269,0.69911,0.00332295,0.00332295,0.00332295
2,269.529,0.75982,3.81277,0.63362,0.35203,0.30764,0.26413,0.10847,1.10734,6.0077,0.95724,0.00658306,0.00658306,0.00658306
3,406.813,0.94515,4.80218,0.7442,0.14518,0.11297,0.05679,0.01889,1.82238,34.9252,1.5337,0.00976984,0.00976984,0.00976984
4,543.338,1.06153,5.08491,0.80233,0.33879,0.30833,0.25154,0.09837,1.28549,7.10813,1.06008,0.00967,0.00967,0.00967
5,679.217,1.02335,4.5298,0.78228,0.48146,0.40064,0.3921,0.16898,1.1387,4.25642,0.94872,0.00956,0.00956,0.00956
6,815.593,1.01173,4.11941,0.77194,0.56339,0.44078,0.45901,0.20302,1.07167,3.76489,0.86956,0.00945,0.00945,0.00945
7,951.277,0.95676,3.81826,0.73951,0.54213,0.47559,0.47828,0.21839,1.02649,3.60636,0.84734,0.00934,0.00934,0.00934
8,1086.29,0.94606,3.644,0.73793,0.59721,0.5228,0.53952,0.25508,0.97869,3.20931,0.81731,0.00923,0.00923,0.00923
9,1221.8,0.94469,3.47273,0.73977,0.61838,0.5438,0.57497,0.27883,0.95374,2.98853,0.78214,0.00912,0.00912,0.00912
10,1355.9,0.94188,3.34921,0.73797,0.62413,0.5489,0.57757,0.28882,0.95186,2.89159,0.78178,0.00901,0.00901,0.00901
11,1490.1,0.89555,3.24039,0.71361,0.65403,0.57413,0.61083,0.30645,0.88058,2.72798,0.73844,0.0089,0.0089,0.0089
12,1624.93,0.90132,3.11824,0.7182,0.69135,0.60709,0.65267,0.3333,0.86489,2.5515,0.72876,0.00879,0.00879,0.00879
13,1759.07,0.89305,3.04434,0.71743,0.69731,0.58633,0.64033,0.32964,0.91124,2.52767,0.76072,0.00868,0.00868,0.00868
14,1894.43,0.90991,2.96925,0.73055,0.71645,0.62722,0.67542,0.3568,0.84016,2.34442,0.71512,0.00857,0.00857,0.00857
15,2029.91,0.87833,2.91166,0.71592,0.71842,0.65631,0.70592,0.37149,0.8767,2.30235,0.74009,0.00846,0.00846,0.00846
16,2165.43,0.86956,2.82748,0.71171,0.71399,0.65907,0.6965,0.3763,0.80242,2.28644,0.69335,0.00835,0.00835,0.00835
17,2299.69,0.8673,2.80903,0.71164,0.73865,0.65749,0.70675,0.38016,0.78246,2.21858,0.67077,0.00824,0.00824,0.00824
18,2435.03,0.86863,2.73242,0.71385,0.76027,0.65706,0.72539,0.39562,0.81934,2.16459,0.70195,0.00813,0.00813,0.00813
19,2570.36,0.87391,2.67177,0.71988,0.73842,0.68573,0.7291,0.40074,0.76961,2.12474,0.66504,0.00802,0.00802,0.00802
20,2705.62,0.87295,2.66418,0.72381,0.74993,0.6948,0.73759,0.40813,0.75596,2.07774,0.65552,0.00791,0.00791,0.00791
21,2841.41,0.86339,2.60475,0.7224,0.76961,0.68237,0.74066,0.41813,0.75389,2.06743,0.66175,0.0078,0.0078,0.0078
22,2977.38,0.86121,2.55957,0.71885,0.76172,0.70234,0.75266,0.42153,0.76204,2.01036,0.66304,0.00769,0.00769,0.00769
23,3112.42,0.87094,2.53137,0.73079,0.74044,0.71849,0.75578,0.4292,0.74975,1.96836,0.659,0.00758,0.00758,0.00758
24,3246.42,0.8644,2.47916,0.7265,0.77811,0.70463,0.76512,0.44065,0.73051,1.93216,0.63896,0.00747,0.00747,0.00747
25,3380.92,0.83454,2.43362,0.71123,0.7755,0.71812,0.76992,0.44712,0.71856,1.87236,0.63392,0.00736,0.00736,0.00736
26,3515.38,0.84179,2.4226,0.72045,0.77517,0.73286,0.77236,0.4479,0.72505,1.85414,0.64129,0.00725,0.00725,0.00725
27,3649.34,0.83956,2.37767,0.72046,0.77657,0.72965,0.77532,0.45799,0.70942,1.82652,0.62558,0.00714,0.00714,0.00714
28,3784.11,0.855,2.35986,0.73345,0.77685,0.73341,0.7785,0.45595,0.69766,1.82737,0.61939,0.00703,0.00703,0.00703
29,3919.38,0.84893,2.32406,0.73162,0.7958,0.74026,0.78561,0.46233,0.68813,1.79416,0.61412,0.00692,0.00692,0.00692
30,4054.52,0.85161,2.31079,0.7348,0.79304,0.74753,0.79492,0.47022,0.70135,1.76792,0.62534,0.00681,0.00681,0.00681
31,4189.09,0.84058,2.26121,0.72955,0.78687,0.75779,0.79023,0.46927,0.68083,1.75483,0.61079,0.0067,0.0067,0.0067
32,4324.47,0.85619,2.2619,0.74552,0.80276,0.74984,0.79482,0.47495,0.67083,1.73891,0.60536,0.00659,0.00659,0.00659
33,4460.16,0.84748,2.21179,0.74019,0.79598,0.76019,0.79964,0.47925,0.65609,1.71686,0.59533,0.00648,0.00648,0.00648
34,4595.52,0.84268,2.20002,0.73931,0.80602,0.75261,0.80506,0.48403,0.6383,1.69584,0.58223,0.00637,0.00637,0.00637
35,4731.14,0.83949,2.18252,0.74033,0.7916,0.76955,0.8001,0.48295,0.65391,1.68847,0.59459,0.00626,0.00626,0.00626
