epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.014,0.86749,4.92928,0.71824,0.46132,0.39484,0.37739,0.19006,1.00188,4.30555,0.83463,0.00332295,0.00332295,0.00332295
2,271.291,0.88658,3.81508,0.69359,0.43014,0.36129,0.3205,0.13585,1.25187,5.23447,1.00692,0.00658306,0.00658306,0.00658306
3,407.538,1.09438,4.76445,0.80649,0.14722,0.11637,0.06304,0.0206,2.18604,20.215,1.71216,0.00976984,0.00976984,0.00976984
4,544.304,1.26374,5.06632,0.88584,0.35513,0.29889,0.26755,0.11247,1.38381,7.6748,1.0805,0.00967,0.00967,0.00967
5,680.223,1.21667,4.49342,0.85559,0.42958,0.36089,0.32689,0.13605,1.39726,4.84896,1.04454,0.00956,0.00956,0.00956
6,816.597,1.15065,4.14691,0.8201,0.5373,0.43942,0.44551,0.20126,1.2523,3.73137,0.94904,0.00945,0.00945,0.00945
7,952.903,1.15589,3.81707,0.82649,0.58056,0.49477,0.51285,0.23819,1.22294,3.30683,0.92693,0.00934,0.00934,0.00934
8,1089.48,1.09717,3.64288,0.79867,0.60262,0.51983,0.53493,0.25024,1.10642,3.0848,0.853,0.00923,0.00923,0.00923
9,1225.57,1.08192,3.47367,0.79216,0.62244,0.52699,0.55228,0.26937,1.11585,3.0572,0.86587,0.00912,0.00912,0.00912
10,1362.02,1.06574,3.36454,0.78629,0.65452,0.55462,0.59749,0.30234,1.04168,2.82028,0.81911,0.00901,0.00901,0.00901
11,1498.15,1.04081,3.22869,0.77626,0.62309,0.57175,0.59123,0.29025,1.00958,2.80717,0.79026,0.0089,0.0089,0.0089
12,1634.46,1.0282,3.12484,0.77029,0.7081,0.61362,0.65901,0.33623,1.01505,2.52884,0.803,0.00879,0.00879,0.00879
13,1770.31,1.02861,3.04119,0.77734,0.69234,0.61669,0.6684,0.34704,1.03309,2.46826,0.80909,0.00868,0.00868,0.00868
14,1905.72,1.00419,2.97131,0.76507,0.71753,0.63902,0.68463,0.36493,0.97408,2.37483,0.77722,0.00857,0.00857,0.00857
15,2040.76,1.02948,2.89907,0.78338,0.71732,0.63937,0.6856,0.36284,0.9926,2.35444,0.79067,0.00846,0.00846,0.00846
16,2175.38,1.02514,2.8315,0.78323,0.73468,0.64604,0.70108,0.3754,0.9627,2.3124,0.77442,0.00835,0.00835,0.00835
17,2309.99,0.9899,2.78424,0.76367,0.72029,0.66495,0.70533,0.38083,0.9008,2.24727,0.73426,0.00824,0.00824,0.00824
18,2444.38,0.96941,2.72462,0.75722,0.74836,0.68367,0.73113,0.40038,0.8801,2.12726,0.7206,0.00813,0.00813,0.00813
19,2578.76,0.96117,2.67474,0.75369,0.75577,0.68817,0.73685,0.41058,0.88442,2.08389,0.72185,0.00802,0.00802,0.00802
20,2713.21,0.98178,2.65643,0.77264,0.7689,0.68328,0.74129,0.41216,0.88975,2.07914,0.72403,0.00791,0.00791,0.00791
21,2847.62,0.95621,2.60434,0.7593,0.80108,0.68075,0.75363,0.42343,0.83219,2.01932,0.69071,0.0078,0.0078,0.0078
22,2982.08,0.95989,2.57199,0.76226,0.75206,0.70184,0.74501,0.42219,0.86614,2.02245,0.71403,0.00769,0.00769,0.00769
23,3116.53,0.94542,2.51767,0.75763,0.78016,0.71868,0.76338,0.43645,0.84137,1.93913,0.69634,0.00758,0.00758,0.00758
24,3250.97,0.95017,2.48349,0.76251,0.79045,0.70669,0.76469,0.43838,0.83305,1.93822,0.69043,0.00747,0.00747,0.00747
