epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.914,0.92058,5.20368,0.75383,0.60444,0.47298,0.50599,0.24248,0.95643,3.59428,0.78815,0.00332474,0.00332474,0.00332474
2,357.825,0.90454,3.96019,0.71071,0.38748,0.35336,0.31877,0.13454,1.20239,5.81651,1.01413,0.00658484,0.00658484,0.00658484
3,544.67,1.10801,5.01088,0.84274,0.19712,0.19015,0.1153,0.04043,1.72163,18.1742,1.39895,0.0097716,0.0097716,0.0097716
4,730.619,1.21074,5.22816,0.90357,0.32533,0.29845,0.24681,0.09718,1.62247,6.44338,1.27206,0.00967,0.00967,0.00967
5,910.857,1.2092,4.56252,0.89189,0.44723,0.36853,0.34201,0.14264,1.53471,4.9236,1.19687,0.00956,0.00956,0.00956
6,1096.02,1.20838,4.14408,0.89082,0.54475,0.45967,0.46318,0.21788,1.36516,3.73161,1.05488,0.00945,0.00945,0.00945
7,1281.02,1.18439,3.89491,0.87696,0.55717,0.50255,0.51052,0.23892,1.34318,3.34188,1.03298,0.00934,0.00934,0.00934
8,1465.97,1.16168,3.72073,0.87019,0.5651,0.51908,0.5314,0.26094,1.1841,3.28391,0.95649,0.00923,0.00923,0.00923
9,1650.97,1.13245,3.52245,0.8519,0.64087,0.54033,0.58273,0.28938,1.19661,2.97509,0.9379,0.00912,0.00912,0.00912
10,1833.41,1.13717,3.38151,0.85642,0.64739,0.56778,0.60957,0.31081,1.17364,2.84711,0.93923,0.00901,0.00901,0.00901
11,2001.35,1.09375,3.24819,0.83601,0.69093,0.59672,0.64869,0.33441,1.12647,2.71739,0.90503,0.0089,0.0089,0.0089
12,2186.73,1.09622,3.18,0.84067,0.68705,0.63651,0.67757,0.35804,1.08688,2.54052,0.86997,0.00879,0.00879,0.00879
13,2358.74,1.07757,3.07613,0.83481,0.7208,0.63133,0.68932,0.36272,1.02602,2.50692,0.8435,0.00868,0.00868,0.00868
14,2541.71,1.06621,2.95403,0.82556,0.72073,0.66299,0.70871,0.38317,0.99463,2.37983,0.80873,0.00857,0.00857,0.00857
15,2716.98,1.02005,2.909,0.80664,0.75594,0.65957,0.72429,0.39554,0.93494,2.31036,0.78054,0.00846,0.00846,0.00846
16,2902.16,1.01282,2.83654,0.80009,0.75682,0.67425,0.73353,0.40041,0.93348,2.2527,0.77876,0.00835,0.00835,0.00835
17,3086.74,1.02152,2.77245,0.8097,0.78084,0.68728,0.75264,0.41491,0.92508,2.16533,0.7699,0.00824,0.00824,0.00824
18,3263.32,1.02969,2.72108,0.8228,0.77145,0.70635,0.76193,0.4313,0.9153,2.11734,0.78073,0.00813,0.00813,0.00813
19,3442.34,1.0264,2.68901,0.81888,0.76582,0.71626,0.76947,0.43509,0.90688,2.07695,0.76183,0.00802,0.00802,0.00802
20,3612.85,1.01561,2.64473,0.81339,0.78658,0.71851,0.77639,0.44181,0.88899,2.04337,0.75703,0.00791,0.00791,0.00791
21,3787.08,1.01899,2.59338,0.81505,0.79874,0.71096,0.7813,0.44891,0.89257,1.98566,0.75897,0.0078,0.0078,0.0078
22,3966.64,1.03897,2.54781,0.83255,0.8069,0.7243,0.7905,0.46341,0.87685,1.93856,0.74666,0.00769,0.00769,0.00769
23,4138.81,1.02517,2.50995,0.82964,0.7986,0.73433,0.79937,0.46938,0.87467,1.92668,0.74824,0.00758,0.00758,0.00758
24,4308.02,1.09493,2.51303,0.85567,0.81452,0.73813,0.80611,0.46845,0.84005,1.88541,0.72008,0.00747,0.00747,0.00747
25,4477.23,1.00606,2.44314,0.82068,0.82667,0.74282,0.8127,0.48023,0.82768,1.83514,0.71851,0.00736,0.00736,0.00736
26,4652.53,1.1182,2.44074,0.91402,0.8315,0.73885,0.81103,0.48496,0.79604,1.82711,0.69697,0.00725,0.00725,0.00725
27,4826.44,1.00759,2.36946,0.82642,0.82664,0.74776,0.81511,0.48782,0.81696,1.79777,0.70476,0.00714,0.00714,0.00714
28,4998.19,1.02402,2.36517,0.83763,0.83584,0.74781,0.81749,0.49027,0.81863,1.77421,0.70801,0.00703,0.00703,0.00703
29,5168.91,0.99639,2.3014,0.82302,0.84102,0.74995,0.81954,0.49382,0.79751,1.77239,0.69357,0.00692,0.00692,0.00692
30,5346.47,0.9776,2.29881,0.81394,0.83382,0.75915,0.82223,0.49847,0.78298,1.75592,0.68722,0.00681,0.00681,0.00681
