epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.606,1.55116,2.43323,1.65521,0.53509,0.46511,0.47926,0.25021,1.62519,1.73496,1.75811,0.00332295,0.00332295,0.00332295
2,273.192,1.56708,1.9846,1.64278,0.40714,0.34377,0.29238,0.12918,1.92264,2.72317,2.10985,0.00658306,0.00658306,0.00658306
3,424.114,1.80223,2.49772,1.87085,0.33941,0.03828,0.00785,0.00307,2.86538,inf,3.30512,0.00976984,0.00976984,0.00976984
4,560.484,1.86131,2.7096,1.96281,0.26823,0.25586,0.18217,0.07779,1.96539,3.96148,2.19435,0.00967,0.00967,0.00967
5,697.642,1.73526,2.41217,1.85643,0.43353,0.351,0.32505,0.14858,1.82554,2.41894,2.02763,0.00956,0.00956,0.00956
6,834.595,1.67983,2.25672,1.80242,0.46031,0.40904,0.38705,0.19021,1.69544,2.18491,1.88423,0.00945,0.00945,0.00945
7,971.425,1.61864,2.12317,1.75551,0.48767,0.44292,0.43462,0.2238,1.64042,1.98506,1.83889,0.00934,0.00934,0.00934
8,1107.92,1.57566,2.02846,1.71653,0.55019,0.46558,0.48298,0.25068,1.62966,1.82143,1.82338,0.00923,0.00923,0.00923
9,1244.78,1.55192,1.93854,1.6915,0.55489,0.50668,0.52271,0.27929,1.56247,1.69368,1.72657,0.00912,0.00912,0.00912
10,1381.28,1.52207,1.85972,1.66823,0.56452,0.52069,0.54258,0.29472,1.56456,1.62236,1.74389,0.00901,0.00901,0.00901
11,1517.97,1.49846,1.81386,1.65335,0.62279,0.52447,0.56599,0.31494,1.51993,1.5768,1.70339,0.0089,0.0089,0.0089
12,1653.99,1.47401,1.75181,1.62764,0.63131,0.56338,0.60137,0.33096,1.49411,1.52225,1.67452,0.00879,0.00879,0.00879
13,1789.65,1.46758,1.72015,1.61697,0.63643,0.59797,0.6352,0.36203,1.45462,1.4188,1.64507,0.00868,0.00868,0.00868
14,1924.47,1.44476,1.67384,1.60232,0.67132,0.58504,0.63348,0.36208,1.45722,1.39099,1.65182,0.00857,0.00857,0.00857
15,2059.41,1.43146,1.63131,1.58947,0.67229,0.61009,0.65457,0.37329,1.46902,1.37129,1.65733,0.00846,0.00846,0.00846
16,2194.51,1.41826,1.59434,1.57229,0.68844,0.60581,0.66489,0.38897,1.41454,1.32792,1.61132,0.00835,0.00835,0.00835
17,2330.73,1.39775,1.57361,1.55024,0.71941,0.63114,0.69561,0.40682,1.40351,1.27777,1.59289,0.00824,0.00824,0.00824
18,2465.93,1.39003,1.53266,1.54839,0.73374,0.64605,0.70785,0.41526,1.40128,1.24749,1.59502,0.00813,0.00813,0.00813
19,2602.47,1.38198,1.50405,1.54275,0.72563,0.6616,0.7174,0.42683,1.37959,1.22404,1.57972,0.00802,0.00802,0.00802
20,2739.17,1.36822,1.47088,1.5308,0.73434,0.66227,0.72646,0.43468,1.36977,1.18612,1.55757,0.00791,0.00791,0.00791
21,2874.63,1.35425,1.47128,1.52251,0.73693,0.67095,0.73566,0.44455,1.35185,1.15809,1.55348,0.0078,0.0078,0.0078
22,3010.53,1.34656,1.42787,1.51425,0.76558,0.66211,0.74765,0.45048,1.34391,1.13809,1.54241,0.00769,0.00769,0.00769
23,3146.14,1.3379,1.41786,1.50938,0.78457,0.68791,0.76138,0.46261,1.32244,1.10194,1.51978,0.00758,0.00758,0.00758
24,3283.06,1.33925,1.39445,1.50395,0.77098,0.69316,0.75992,0.46504,1.3269,1.09464,1.5175,0.00747,0.00747,0.00747
25,3420,1.33028,1.37999,1.49432,0.78771,0.69791,0.77131,0.47309,1.3107,1.06602,1.50641,0.00736,0.00736,0.00736
26,3556.14,1.31077,1.35175,1.48085,0.7879,0.70608,0.78,0.47958,1.30531,1.04811,1.51026,0.00725,0.00725,0.00725
