epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.14,0.72072,2.33226,0.6479,0.65078,0.45174,0.50096,0.26756,0.78834,1.81512,0.72424,0.00332222,0.00332222,0.00332222
2,273.401,0.71415,1.89377,0.62663,0.37136,0.37356,0.31206,0.13922,1.05447,2.79436,0.92107,0.00658234,0.00658234,0.00658234
3,411.226,0.8406,2.34331,0.71408,0.23229,0.10321,0.05866,0.02465,1.32116,5.82919,1.32902,0.00976913,0.00976913,0.00976913
4,549.277,0.9108,2.51206,0.76283,0.30069,0.27841,0.23174,0.10301,1.15296,3.92387,1.04851,0.00967,0.00967,0.00967
5,685.882,0.83937,2.28511,0.7204,0.23485,0.25714,0.14871,0.06799,1.18175,3.28465,1.07238,0.00956,0.00956,0.00956
6,822.027,0.80399,2.11024,0.69893,0.43778,0.37814,0.35874,0.16986,1.02036,2.16514,0.91719,0.00945,0.00945,0.00945
7,958.542,0.7969,1.98503,0.69297,0.53639,0.47453,0.48114,0.24217,0.98514,1.86135,0.87153,0.00934,0.00934,0.00934
8,1093.91,0.78937,1.90497,0.69382,0.607,0.51321,0.55139,0.28519,0.97148,1.67334,0.86454,0.00923,0.00923,0.00923
9,1229.73,0.77704,1.83496,0.68396,0.6298,0.50786,0.55051,0.28645,0.94342,1.65354,0.83522,0.00912,0.00912,0.00912
10,1365.12,0.7517,1.76662,0.67362,0.65624,0.55883,0.61422,0.32914,0.88005,1.51458,0.79778,0.00901,0.00901,0.00901
11,1500.22,0.75234,1.70495,0.67599,0.63217,0.55238,0.59268,0.32489,0.91649,1.55497,0.81935,0.0089,0.0089,0.0089
12,1635.6,0.73336,1.66012,0.66444,0.68631,0.58555,0.65069,0.35878,0.88848,1.42107,0.80027,0.00879,0.00879,0.00879
13,1772.37,0.73348,1.62639,0.66567,0.68989,0.59725,0.66019,0.36897,0.87602,1.3795,0.78919,0.00868,0.00868,0.00868
14,1908.69,0.71804,1.56743,0.65704,0.70815,0.6057,0.66806,0.37464,0.84913,1.36157,0.76605,0.00857,0.00857,0.00857
15,2045.63,0.71734,1.54867,0.66042,0.71137,0.61805,0.68247,0.39443,0.84233,1.31776,0.76247,0.00846,0.00846,0.00846
16,2181.25,0.7297,1.51755,0.67088,0.72486,0.63906,0.71048,0.40864,0.81759,1.27305,0.73602,0.00835,0.00835,0.00835
17,2317.07,0.71663,1.48301,0.6644,0.73385,0.64731,0.71147,0.41346,0.8416,1.24526,0.76477,0.00824,0.00824,0.00824
18,2452.82,0.7087,1.44449,0.65838,0.75325,0.65735,0.72922,0.43042,0.82595,1.21805,0.75294,0.00813,0.00813,0.00813
19,2589,0.72446,1.44023,0.67273,0.73809,0.67024,0.733,0.43068,0.84117,1.20883,0.74363,0.00802,0.00802,0.00802
20,2725.56,0.72451,1.40174,0.67411,0.76967,0.67866,0.75559,0.4445,0.81335,1.15546,0.72252,0.00791,0.00791,0.00791
21,2862.33,0.71187,1.38915,0.67075,0.78065,0.66965,0.7521,0.44964,0.82468,1.16113,0.75171,0.0078,0.0078,0.0078
22,2998.19,0.70642,1.35518,0.66554,0.78159,0.68241,0.76247,0.45874,0.80385,1.10719,0.7316,0.00769,0.00769,0.00769
23,3134.62,0.70683,1.34664,0.66858,0.77852,0.70247,0.771,0.46596,0.77377,1.0951,0.71071,0.00758,0.00758,0.00758
24,3270.88,0.70437,1.32654,0.6707,0.76251,0.70924,0.76961,0.46845,0.79591,1.08045,0.72942,0.00747,0.00747,0.00747
25,3405.63,0.70755,1.2938,0.6749,0.78587,0.71394,0.78239,0.47519,0.78818,1.05087,0.71629,0.00736,0.00736,0.00736
26,3540.35,0.70786,1.28756,0.68072,0.79348,0.71713,0.7848,0.48044,0.73492,1.0495,0.68868,0.00725,0.00725,0.00725
27,3676.54,0.70576,1.2749,0.67596,0.79582,0.71896,0.78964,0.48411,0.7467,1.03634,0.69971,0.00714,0.00714,0.00714
28,3813.17,0.69687,1.25797,0.67688,0.79975,0.72734,0.7948,0.49271,0.74492,1.01606,0.69277,0.00703,0.00703,0.00703
29,3949.83,0.70402,1.23622,0.68302,0.80841,0.73714,0.80563,0.49988,0.72518,0.98804,0.67636,0.00692,0.00692,0.00692
30,4085.64,0.71952,1.22202,0.69457,0.80713,0.73918,0.80357,0.49937,0.71655,0.97679,0.6725,0.00681,0.00681,0.00681
31,4221.85,0.70238,1.2029,0.68655,0.80189,0.74445,0.81118,0.50533,0.73511,0.96244,0.68513,0.0067,0.0067,0.0067
32,4357.18,0.70547,1.18982,0.69033,0.81684,0.75193,0.81538,0.50939,0.76023,0.95092,0.69862,0.00659,0.00659,0.00659
33,4492.83,0.70806,1.17478,0.69348,0.82387,0.74322,0.81705,0.51117,0.72385,0.95138,0.67703,0.00648,0.00648,0.00648
34,4628.99,0.70439,1.17076,0.69293,0.83105,0.73987,0.8167,0.51544,0.71632,0.93744,0.67238,0.00637,0.00637,0.00637
35,4764.86,0.7135,1.15725,0.70254,0.82163,0.75134,0.82077,0.51536,0.69362,0.92956,0.65194,0.00626,0.00626,0.00626
36,4901.72,0.71117,1.13294,0.70229,0.82304,0.751,0.8226,0.51724,0.70102,0.92556,0.66013,0.00615,0.00615,0.00615
37,5036.57,0.70059,1.1271,0.69988,0.83012,0.75081,0.82532,0.5215,0.69769,0.90794,0.66188,0.00604,0.00604,0.00604
38,5172.78,0.70229,1.11642,0.70268,0.82523,0.76153,0.82645,0.52304,0.68824,0.9047,0.65162,0.00593,0.00593,0.00593
39,5309.05,0.71588,1.1148,0.71207,0.83352,0.75432,0.82641,0.5247,0.70548,0.90377,0.66204,0.00582,0.00582,0.00582
40,5445,0.71997,1.09906,0.71673,0.82428,0.76459,0.82946,0.52868,0.69186,0.89501,0.65529,0.00571,0.00571,0.00571
41,5581.51,0.71836,1.07864,0.71701,0.82191,0.76675,0.83306,0.53284,0.71438,0.88584,0.67003,0.0056,0.0056,0.0056
42,5716.61,0.7048,1.06329,0.71412,0.83359,0.76584,0.83459,0.53333,0.69197,0.87911,0.65194,0.00549,0.00549,0.00549
43,5852.33,0.71569,1.0701,0.72096,0.8351,0.77106,0.83416,0.53348,0.68719,0.8758,0.65427,0.00538,0.00538,0.00538
44,5987.99,0.70909,1.03354,0.72267,0.84102,0.77036,0.83647,0.53479,0.67422,0.8701,0.64569,0.00527,0.00527,0.00527
45,6124.93,0.72106,1.04139,0.73038,0.84072,0.76987,0.83646,0.53578,0.68627,0.86368,0.65206,0.00516,0.00516,0.00516
46,6261.26,0.72218,1.02432,0.73143,0.82704,0.77445,0.83644,0.53643,0.69228,0.86268,0.65288,0.00505,0.00505,0.00505
47,6395.91,0.70784,1.01813,0.72884,0.83057,0.77615,0.83806,0.53807,0.69261,0.85661,0.65588,0.00494,0.00494,0.00494
48,6531.56,0.72296,1.00949,0.73785,0.83523,0.77842,0.84086,0.54065,0.70121,0.85408,0.66521,0.00483,0.00483,0.00483
49,6668.19,0.72305,0.99629,0.74185,0.8331,0.77952,0.84211,0.54109,0.69889,0.85099,0.66574,0.00472,0.00472,0.00472
50,6803.64,0.72128,0.98681,0.74158,0.83654,0.77717,0.84202,0.54256,0.68812,0.84821,0.65615,0.00461,0.00461,0.00461
51,6940.03,0.72261,0.97547,0.74397,0.83696,0.77991,0.84276,0.5433,0.68427,0.84392,0.65386,0.0045,0.0045,0.0045
52,7077.01,0.72232,0.96584,0.74649,0.84025,0.77639,0.84332,0.54457,0.68564,0.84346,0.6559,0.00439,0.00439,0.00439
53,7213.13,0.7179,0.94826,0.74529,0.84214,0.77843,0.84358,0.54548,0.68566,0.84103,0.65585,0.00428,0.00428,0.00428
54,7349.84,0.71861,0.94533,0.75071,0.84071,0.78025,0.84412,0.54594,0.67617,0.83658,0.64904,0.00417,0.00417,0.00417
55,7486.26,0.72076,0.9349,0.75626,0.84189,0.77925,0.84307,0.54664,0.66979,0.83292,0.64416,0.00406,0.00406,0.00406
56,7622.38,0.72414,0.93055,0.75765,0.84228,0.78005,0.84388,0.54742,0.67494,0.8314,0.65116,0.00395,0.00395,0.00395
57,7757.13,0.72683,0.91861,0.76302,0.83944,0.78513,0.84469,0.54785,0.67678,0.8297,0.65259,0.00384,0.00384,0.00384
58,7892.01,0.72716,0.90644,0.76379,0.84399,0.78201,0.84515,0.54809,0.67755,0.82763,0.65344,0.00373,0.00373,0.00373
59,8029.08,0.72267,0.89053,0.76651,0.84335,0.78507,0.84446,0.54826,0.6607,0.82499,0.64013,0.00362,0.00362,0.00362
