epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.189,1.54807,2.43183,1.65374,0.55652,0.46481,0.49312,0.26497,1.56294,1.87727,1.68563,0.00332222,0.00332222,0.00332222
2,273.435,1.56621,1.96259,1.64312,0.32449,0.33696,0.26329,0.11444,1.9207,2.92775,2.02192,0.00658234,0.00658234,0.00658234
3,413.954,1.77936,2.46259,1.8514,0.05255,0.12042,0.0203,0.00827,2.5711,13.4951,3.02595,0.00976913,0.00976913,0.00976913
4,551.41,1.86214,2.68514,1.94945,0.29645,0.2425,0.19352,0.08395,2.00544,3.72951,2.24491,0.00967,0.00967,0.00967
5,686.815,1.74962,2.43097,1.85524,0.38404,0.29422,0.27149,0.12954,1.83537,2.73736,2.03641,0.00956,0.00956,0.00956
6,822.267,1.66534,2.23813,1.79168,0.459,0.39028,0.37656,0.18212,1.7059,2.30204,1.87429,0.00945,0.00945,0.00945
7,958.481,1.61243,2.10212,1.74086,0.47803,0.37434,0.37785,0.19444,1.70944,2.15113,1.88449,0.00934,0.00934,0.00934
8,1094.07,1.579,2.02541,1.72279,0.53835,0.48164,0.48747,0.26129,1.58544,1.83367,1.78511,0.00923,0.00923,0.00923
9,1230.38,1.54978,1.94133,1.68686,0.57219,0.50812,0.53061,0.28383,1.59439,1.70197,1.76407,0.00912,0.00912,0.00912
10,1366.38,1.51993,1.85597,1.66655,0.61176,0.53402,0.56765,0.30835,1.5681,1.61985,1.74379,0.00901,0.00901,0.00901
11,1502.53,1.49508,1.79947,1.64453,0.63418,0.54079,0.58271,0.31929,1.53112,1.59277,1.72034,0.0089,0.0089,0.0089
12,1638.53,1.47649,1.7437,1.62258,0.63812,0.55595,0.60048,0.32776,1.54123,1.5339,1.69387,0.00879,0.00879,0.00879
13,1774.33,1.46271,1.70678,1.6091,0.66976,0.57208,0.63793,0.36198,1.4682,1.45111,1.64717,0.00868,0.00868,0.00868
14,1909.77,1.44344,1.6454,1.59501,0.64962,0.59091,0.6383,0.36524,1.47622,1.41803,1.6369,0.00857,0.00857,0.00857
15,2045.33,1.43353,1.62134,1.58212,0.69305,0.59654,0.65933,0.3831,1.44454,1.39711,1.62182,0.00846,0.00846,0.00846
16,2181.07,1.41816,1.58708,1.56901,0.70355,0.60348,0.6769,0.39444,1.43313,1.34169,1.62446,0.00835,0.00835,0.00835
17,2317.39,1.40614,1.55926,1.55892,0.71818,0.63917,0.70096,0.407,1.43384,1.27896,1.61019,0.00824,0.00824,0.00824
18,2453.86,1.384,1.50902,1.54201,0.70797,0.64938,0.70836,0.41741,1.41205,1.27558,1.59107,0.00813,0.00813,0.00813
19,2590.54,1.38105,1.50714,1.54174,0.71878,0.65372,0.71413,0.42656,1.3708,1.2483,1.55611,0.00802,0.00802,0.00802
20,2725.91,1.37397,1.46826,1.53484,0.74441,0.65311,0.72307,0.43361,1.3708,1.21509,1.56705,0.00791,0.00791,0.00791
21,2861.38,1.36258,1.45714,1.52539,0.7439,0.66115,0.7299,0.4372,1.3712,1.19773,1.56583,0.0078,0.0078,0.0078
22,2997.12,1.34944,1.42284,1.51102,0.76958,0.67387,0.74338,0.44695,1.36306,1.16048,1.55016,0.00769,0.00769,0.00769
23,3132.89,1.34353,1.4074,1.50484,0.76898,0.66565,0.74472,0.45405,1.33697,1.14799,1.52674,0.00758,0.00758,0.00758
24,3268.33,1.3356,1.38731,1.49834,0.76549,0.68821,0.76094,0.46217,1.34281,1.12239,1.53233,0.00747,0.00747,0.00747
25,3403.29,1.32591,1.36166,1.4889,0.76589,0.70199,0.76892,0.46995,1.33355,1.09787,1.52701,0.00736,0.00736,0.00736
26,3538.45,1.31303,1.34472,1.48167,0.79081,0.69995,0.77805,0.48093,1.32714,1.08245,1.51998,0.00725,0.00725,0.00725
27,3675.29,1.30624,1.32841,1.47425,0.79776,0.70293,0.78148,0.48457,1.32458,1.0707,1.5185,0.00714,0.00714,0.00714
28,3811.35,1.29923,1.31242,1.47018,0.77853,0.719,0.78333,0.4908,1.31237,1.03979,1.50328,0.00703,0.00703,0.00703
29,3947.28,1.29729,1.29706,1.46772,0.79257,0.70858,0.78407,0.48931,1.30532,1.02932,1.49889,0.00692,0.00692,0.00692
30,4083.11,1.28889,1.27884,1.46107,0.80265,0.71697,0.7906,0.49133,1.30175,1.01184,1.50917,0.00681,0.00681,0.00681
