epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.588,1.86301,5.04372,1.8127,0.67832,0.4966,0.57231,0.29337,1.77863,3.4067,1.77092,0.00332222,0.00332222,0.00332222
2,280.075,1.85129,3.84365,1.74528,0.4428,0.36651,0.3482,0.15253,2.23077,6.18479,2.16622,0.00658234,0.00658234,0.00658234
3,433.49,2.13542,4.82439,1.94629,0.19069,0.07355,0.03536,0.01357,3.11722,25.9724,3.1579,0.00976913,0.00976913,0.00976913
4,577.648,2.25457,5.16937,2.04763,0.36326,0.33156,0.28237,0.1181,2.39089,5.77766,2.30311,0.00967,0.00967,0.00967
5,720.14,2.12588,4.57299,1.95465,0.46085,0.37755,0.3594,0.15489,2.24637,5.08772,2.14115,0.00956,0.00956,0.00956
6,862.994,2.01336,4.15307,1.87623,0.47797,0.43729,0.41657,0.19655,2.08548,4.06415,2.02554,0.00945,0.00945,0.00945
7,1006.46,1.95438,3.87188,1.82994,0.59461,0.4904,0.51137,0.25202,1.9646,3.58169,1.95792,0.00934,0.00934,0.00934
8,1155.73,1.90938,3.6891,1.80989,0.59905,0.53048,0.54547,0.28059,1.87174,3.32497,1.86694,0.00923,0.00923,0.00923
9,1297.74,1.86029,3.54231,1.76647,0.61418,0.57474,0.59882,0.30601,1.8473,2.98247,1.8278,0.00912,0.00912,0.00912
10,1438.17,1.8162,3.38942,1.74032,0.69343,0.56582,0.63077,0.32881,1.77885,2.86644,1.78179,0.00901,0.00901,0.00901
11,1579.65,1.78773,3.27776,1.72346,0.67555,0.59247,0.64802,0.33863,1.7962,2.77443,1.79644,0.0089,0.0089,0.0089
12,1720.65,1.75945,3.15143,1.69434,0.66838,0.58825,0.64119,0.34228,1.78778,2.78022,1.7716,0.00879,0.00879,0.00879
13,1860.8,1.73454,3.08115,1.679,0.70448,0.62377,0.68131,0.37003,1.71669,2.54156,1.73917,0.00868,0.00868,0.00868
14,2000.72,1.71781,2.97126,1.66565,0.71896,0.65039,0.70059,0.38161,1.70313,2.45918,1.6961,0.00857,0.00857,0.00857
15,2142.77,1.69505,2.92648,1.65045,0.72827,0.6374,0.69872,0.38584,1.67958,2.46765,1.69602,0.00846,0.00846,0.00846
16,2282.06,1.67192,2.85444,1.6325,0.76954,0.65563,0.72967,0.40788,1.64816,2.33823,1.67449,0.00835,0.00835,0.00835
17,2422.25,1.66522,2.78701,1.62687,0.77052,0.66489,0.7363,0.41136,1.64659,2.24704,1.67617,0.00824,0.00824,0.00824
18,2561.31,1.63269,2.72331,1.60551,0.76424,0.6692,0.7391,0.42161,1.61446,2.25743,1.64059,0.00813,0.00813,0.00813
19,2700.55,1.62557,2.7034,1.605,0.75865,0.69166,0.74737,0.43192,1.58276,2.19424,1.6198,0.00802,0.00802,0.00802
20,2839.41,1.62145,2.63733,1.59241,0.76159,0.70885,0.763,0.44113,1.56567,2.14128,1.61992,0.00791,0.00791,0.00791
21,2978.06,1.6012,2.60188,1.58561,0.79107,0.68992,0.76189,0.43932,1.55571,2.12404,1.61186,0.0078,0.0078,0.0078
22,3119.03,1.58823,2.54869,1.56674,0.778,0.70631,0.77878,0.45539,1.53584,2.06201,1.58471,0.00769,0.00769,0.00769
23,3261.05,1.57657,2.5171,1.5623,0.78539,0.71119,0.77424,0.45663,1.54242,2.03497,1.58264,0.00758,0.00758,0.00758
24,3397.01,1.56734,2.48957,1.55667,0.80378,0.70584,0.78072,0.46032,1.52491,2.00922,1.58702,0.00747,0.00747,0.00747
25,3536.11,1.54161,2.42648,1.53701,0.80135,0.72894,0.79386,0.47145,1.51257,1.96792,1.56796,0.00736,0.00736,0.00736
26,3672.25,1.54117,2.40946,1.53968,0.81718,0.7272,0.79928,0.47625,1.51101,1.91512,1.57682,0.00725,0.00725,0.00725
27,3807.41,1.53225,2.39002,1.532,0.80891,0.72939,0.79547,0.47956,1.49614,1.92168,1.55952,0.00714,0.00714,0.00714
28,3942.89,1.51483,2.34465,1.52208,0.81661,0.7362,0.80384,0.48449,1.48326,1.89607,1.54446,0.00703,0.00703,0.00703
29,4078.76,1.51393,2.32325,1.52345,0.81529,0.74489,0.81018,0.49438,1.45048,1.86754,1.53093,0.00692,0.00692,0.00692
30,4215.74,1.50317,2.28509,1.50704,0.82198,0.74876,0.81297,0.49235,1.46878,1.83387,1.53428,0.00681,0.00681,0.00681
31,4355.5,1.49577,2.25202,1.5098,0.82633,0.74907,0.81984,0.49914,1.45585,1.79253,1.53361,0.0067,0.0067,0.0067
32,4491.26,1.47461,2.22846,1.4947,0.8241,0.75472,0.82153,0.50458,1.44645,1.76879,1.5229,0.00659,0.00659,0.00659
33,4627.97,1.46904,2.18981,1.48579,0.82784,0.75201,0.82064,0.50757,1.43808,1.75134,1.51559,0.00648,0.00648,0.00648
34,4767.15,1.46797,2.19367,1.48603,0.81647,0.76052,0.81897,0.51014,1.42832,1.75086,1.51326,0.00637,0.00637,0.00637
35,4904.94,1.44768,2.15921,1.48041,0.82519,0.76237,0.82446,0.51355,1.41938,1.73283,1.51392,0.00626,0.00626,0.00626
36,5040.92,1.44564,2.12176,1.46293,0.83027,0.75585,0.82406,0.51476,1.41418,1.7256,1.50679,0.00615,0.00615,0.00615
37,5176.52,1.43477,2.10334,1.45936,0.82821,0.76656,0.8269,0.51608,1.40469,1.70575,1.49829,0.00604,0.00604,0.00604
38,5311.94,1.42497,2.07064,1.46024,0.8228,0.76975,0.82788,0.52,1.40302,1.68991,1.50122,0.00593,0.00593,0.00593
39,5448.17,1.42601,2.07295,1.45692,0.8444,0.76121,0.83208,0.52395,1.39577,1.66611,1.49442,0.00582,0.00582,0.00582
40,5583.68,1.42193,2.04901,1.45163,0.8384,0.77104,0.83686,0.52738,1.3922,1.65387,1.48675,0.00571,0.00571,0.00571
41,5718.91,1.41107,2.01002,1.44955,0.83887,0.77251,0.83996,0.52973,1.39032,1.64621,1.49121,0.0056,0.0056,0.0056
