epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.803,0.86716,4.94651,0.71916,0.56919,0.47118,0.49059,0.2386,0.91279,3.54435,0.78012,0.00332295,0.00332295,0.00332295
2,272.915,0.85794,3.85722,0.67919,0.40325,0.33055,0.29706,0.12539,1.29958,4.94595,1.04391,0.00658306,0.00658306,0.00658306
3,411.552,1.05546,4.8302,0.79135,0.14535,0.13397,0.07506,0.02513,1.92384,23.3754,1.62695,0.00976984,0.00976984,0.00976984
4,548.887,1.23183,5.18374,0.88223,0.32695,0.27542,0.21896,0.08656,1.47942,7.01535,1.1288,0.00967,0.00967,0.00967
5,684.265,1.20061,4.50008,0.85694,0.47946,0.3967,0.39089,0.16378,1.32758,4.4017,1.01456,0.00956,0.00956,0.00956
6,822.054,1.19951,4.17558,0.85695,0.45922,0.43049,0.3957,0.17735,1.32775,4.07118,1.01734,0.00945,0.00945,0.00945
7,958.003,1.12074,3.87752,0.81714,0.55283,0.51189,0.52245,0.24517,1.20079,3.33808,0.92168,0.00934,0.00934,0.00934
8,1093.35,1.09817,3.66418,0.80846,0.593,0.49173,0.52141,0.25021,1.22326,3.31312,0.95193,0.00923,0.00923,0.00923
9,1228.85,1.10944,3.51607,0.81848,0.59341,0.56894,0.59073,0.29223,1.15983,3.00978,0.8916,0.00912,0.00912,0.00912
10,1366,1.09326,3.33965,0.81165,0.64668,0.55221,0.58508,0.29337,1.10032,2.92228,0.86521,0.00901,0.00901,0.00901
11,1502.89,1.07577,3.23791,0.80214,0.6782,0.6032,0.64253,0.33765,1.07783,2.66291,0.84592,0.0089,0.0089,0.0089
12,1639.76,1.03699,3.14034,0.78373,0.67727,0.61436,0.65738,0.34305,0.99757,2.65962,0.79311,0.00879,0.00879,0.00879
13,1776.26,1.0383,3.05588,0.78828,0.70026,0.62934,0.68414,0.3586,0.99116,2.52237,0.78803,0.00868,0.00868,0.00868
14,1912.95,1.0052,2.97898,0.77199,0.70505,0.64839,0.69153,0.36881,0.99489,2.43841,0.79632,0.00857,0.00857,0.00857
15,2049.78,0.99948,2.89707,0.77052,0.73613,0.64373,0.71223,0.38025,0.98962,2.41413,0.78863,0.00846,0.00846,0.00846
16,2186.85,1.00045,2.83052,0.77357,0.74358,0.6704,0.72374,0.39296,0.95611,2.32454,0.77654,0.00835,0.00835,0.00835
17,2324,1.00261,2.78016,0.77815,0.76776,0.65369,0.72912,0.39713,0.98212,2.28721,0.78947,0.00824,0.00824,0.00824
