epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.361,0.72979,2.33422,0.65006,0.52649,0.48448,0.49777,0.26983,0.88356,1.79627,0.76512,0.00332222,0.00332222,0.00332222
2,273.334,0.71179,1.89648,0.6231,0.40295,0.3804,0.32363,0.14972,1.12502,2.50768,0.97989,0.00658234,0.00658234,0.00658234
3,412.981,0.8633,2.34746,0.72443,0.09825,0.11151,0.04603,0.01596,1.53845,9.77618,1.49876,0.00976913,0.00976913,0.00976913
4,549.717,0.9203,2.51358,0.76819,0.27204,0.19272,0.14141,0.06173,1.24864,3.24891,1.14332,0.00967,0.00967,0.00967
5,686.974,0.84472,2.29917,0.7244,0.46865,0.35215,0.34828,0.15571,1.15711,2.37208,0.99152,0.00956,0.00956,0.00956
6,823.274,0.82498,2.11617,0.70988,0.50219,0.46723,0.45068,0.21807,1.06034,2.02823,0.92148,0.00945,0.00945,0.00945
7,958.74,0.7727,1.9911,0.67985,0.54497,0.48184,0.48477,0.24974,0.94084,1.82917,0.86449,0.00934,0.00934,0.00934
8,1093.87,0.79905,1.90784,0.70037,0.58981,0.52447,0.54417,0.2842,0.99026,1.68387,0.86765,0.00923,0.00923,0.00923
9,1228.83,0.77656,1.84145,0.68421,0.61839,0.52146,0.56236,0.29863,0.9008,1.60577,0.81644,0.00912,0.00912,0.00912
10,1363.68,0.77513,1.76704,0.68881,0.62496,0.55226,0.59391,0.31986,0.9135,1.55909,0.81977,0.00901,0.00901,0.00901
11,1498.64,0.76083,1.71847,0.6822,0.64893,0.54234,0.59195,0.32174,0.85891,1.5349,0.77668,0.0089,0.0089,0.0089
12,1633.59,0.74193,1.65298,0.66888,0.69213,0.57649,0.64212,0.35118,0.89117,1.43325,0.80048,0.00879,0.00879,0.00879
13,1769.91,0.74284,1.62225,0.67463,0.69856,0.59712,0.65897,0.37046,0.87504,1.39511,0.7856,0.00868,0.00868,0.00868
14,1905.84,0.74728,1.57334,0.67881,0.71645,0.60464,0.67965,0.38694,0.90272,1.32616,0.80306,0.00857,0.00857,0.00857
15,2041.85,0.73685,1.55394,0.67389,0.72429,0.62443,0.68411,0.38932,0.86719,1.32509,0.78171,0.00846,0.00846,0.00846
16,2178.26,0.74022,1.51751,0.67684,0.74859,0.65207,0.72102,0.4171,0.89032,1.25433,0.78872,0.00835,0.00835,0.00835
17,2314.39,0.7171,1.48387,0.66645,0.75213,0.63826,0.71994,0.41811,0.84404,1.24087,0.75513,0.00824,0.00824,0.00824
18,2450.95,0.70785,1.44904,0.6576,0.75107,0.66055,0.72831,0.42571,0.85464,1.22089,0.76138,0.00813,0.00813,0.00813
19,2587.33,0.72951,1.44035,0.67789,0.75078,0.65316,0.73297,0.4357,0.8447,1.2019,0.76193,0.00802,0.00802,0.00802
20,2722.94,0.73054,1.40235,0.67803,0.77904,0.67897,0.74838,0.44363,0.83662,1.16892,0.75078,0.00791,0.00791,0.00791
21,2859.48,0.71643,1.38896,0.67193,0.76473,0.68988,0.75676,0.4515,0.80899,1.13522,0.72954,0.0078,0.0078,0.0078
22,2995.56,0.7035,1.36223,0.66583,0.77462,0.69579,0.76482,0.45984,0.77999,1.10189,0.71353,0.00769,0.00769,0.00769
23,3131.83,0.7129,1.34932,0.67366,0.78257,0.69319,0.76509,0.4654,0.79829,1.10639,0.728,0.00758,0.00758,0.00758
24,3267.62,0.70954,1.33687,0.67802,0.78615,0.70319,0.77597,0.46932,0.73942,1.07113,0.68813,0.00747,0.00747,0.00747
25,3403.56,0.71163,1.30593,0.67887,0.79618,0.7127,0.7866,0.47593,0.76344,1.05635,0.70115,0.00736,0.00736,0.00736
26,3538.56,0.70404,1.29076,0.67857,0.8084,0.71076,0.78833,0.48302,0.72976,1.0515,0.68179,0.00725,0.00725,0.00725
27,3674.05,0.69677,1.28263,0.67372,0.80193,0.72434,0.79542,0.48957,0.75286,1.02093,0.69339,0.00714,0.00714,0.00714
28,3809.49,0.69425,1.25731,0.67713,0.80541,0.7237,0.80083,0.4949,0.74787,1.00722,0.68739,0.00703,0.00703,0.00703
29,3945.32,0.69693,1.24159,0.68036,0.81185,0.73192,0.80507,0.50304,0.72225,0.99245,0.68128,0.00692,0.00692,0.00692
30,4081.48,0.71613,1.22663,0.69458,0.81536,0.7395,0.81411,0.50428,0.74301,0.97093,0.69048,0.00681,0.00681,0.00681
31,4216.27,0.69851,1.21407,0.68715,0.81561,0.73377,0.8103,0.50659,0.71463,0.97381,0.67293,0.0067,0.0067,0.0067
