epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.213,0.85469,4.97896,0.71573,0.60283,0.48735,0.50474,0.24887,0.85891,3.79143,0.73134,0.00332222,0.00332222,0.00332222
2,272.209,0.84016,3.80946,0.66866,0.32819,0.3052,0.24112,0.10007,1.26556,6.88105,1.04005,0.00658234,0.00658234,0.00658234
3,411.523,1.03606,4.7775,0.7813,0.07567,0.06873,0.02723,0.01035,2.1838,22.9644,1.83322,0.00976913,0.00976913,0.00976913
4,548.86,1.18157,5.09746,0.85544,0.37797,0.32245,0.27065,0.10683,1.58443,5.98213,1.21715,0.00967,0.00967,0.00967
5,686.111,1.17097,4.51033,0.84362,0.3925,0.33353,0.29679,0.11888,1.69861,5.32123,1.26141,0.00956,0.00956,0.00956
6,821.513,1.13171,4.11492,0.82055,0.45317,0.45725,0.3835,0.16299,1.41023,3.94999,1.03359,0.00945,0.00945,0.00945
7,957.807,1.11287,3.81211,0.80862,0.61778,0.5171,0.53367,0.25417,1.2401,3.41566,0.94184,0.00934,0.00934,0.00934
8,1093.96,1.12296,3.64773,0.82684,0.59372,0.51665,0.54132,0.26272,1.30732,3.26569,0.98069,0.00923,0.00923,0.00923
9,1229.58,1.07588,3.49509,0.79516,0.64269,0.55289,0.58331,0.28116,1.17848,2.97742,0.90374,0.00912,0.00912,0.00912
10,1366.3,1.05584,3.33795,0.79067,0.64819,0.57206,0.60823,0.30804,1.13368,2.95682,0.87901,0.00901,0.00901,0.00901
11,1502.63,1.05105,3.21536,0.7908,0.70226,0.58777,0.63978,0.32614,1.10879,2.76363,0.87253,0.0089,0.0089,0.0089
12,1638.58,1.00269,3.12806,0.76585,0.66899,0.58327,0.63087,0.32566,1.06744,2.81365,0.83846,0.00879,0.00879,0.00879
13,1775.14,0.99111,3.04826,0.76026,0.71906,0.6,0.67313,0.35254,1.05297,2.60854,0.83962,0.00868,0.00868,0.00868
14,1911.28,0.99102,2.95289,0.76303,0.72602,0.64432,0.69973,0.37099,0.99709,2.48271,0.78368,0.00857,0.00857,0.00857
15,2047.1,0.96695,2.89019,0.75213,0.73942,0.64883,0.70922,0.38154,0.90906,2.44951,0.72801,0.00846,0.00846,0.00846
16,2184,0.98117,2.8194,0.76129,0.75552,0.6557,0.72241,0.39029,1.01331,2.33234,0.80167,0.00835,0.00835,0.00835
17,2320.15,1.00669,2.74451,0.78201,0.74487,0.66075,0.72882,0.39628,0.93334,2.32123,0.74958,0.00824,0.00824,0.00824
18,2456.11,0.94355,2.70087,0.74429,0.75892,0.6711,0.74386,0.41503,0.89906,2.25682,0.73099,0.00813,0.00813,0.00813
19,2591.48,0.9951,2.68482,0.78045,0.77156,0.67075,0.74027,0.40767,0.93087,2.2496,0.75267,0.00802,0.00802,0.00802
20,2727.81,0.97153,2.60932,0.77014,0.77047,0.69987,0.7554,0.42834,0.87932,2.13423,0.71932,0.00791,0.00791,0.00791
21,2863.99,0.93492,2.58917,0.74979,0.78457,0.70213,0.76779,0.43851,0.83921,2.13237,0.69758,0.0078,0.0078,0.0078
22,2999.48,0.92394,2.52442,0.74598,0.78395,0.7178,0.77329,0.44431,0.88584,2.0915,0.73227,0.00769,0.00769,0.00769
23,3135.34,0.93346,2.51477,0.75526,0.79749,0.71183,0.77648,0.44991,0.8291,2.0475,0.68845,0.00758,0.00758,0.00758
