epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5479,2.58799,2.33542,1.83356,0.3532,0.35913,0.27754,0.10534,2.79817,2.30048,2.17075,0.000472697,0.000472697,0.000472697
2,129.623,2.72318,2.0043,1.90175,0.3617,0.3323,0.27265,0.1083,2.88391,6.34418,2.47256,0.000935609,0.000935609,0.000935609
3,193.544,2.78672,1.98302,1.99782,0.35537,0.31112,0.26558,0.10607,2.78858,6.09023,2.32332,0.00138505,0.00138505,0.00138505
4,257.613,2.74316,1.90452,1.98533,0.3988,0.39099,0.3513,0.16196,2.55751,2.60165,2.13795,0.00136837,0.00136837,0.00136837
5,322.412,2.65707,1.83398,1.93889,0.42557,0.41603,0.38862,0.16958,2.46903,1.71992,1.9973,0.00134816,0.00134816,0.00134816
6,385.907,2.58717,1.76637,1.90981,0.48199,0.45549,0.4289,0.20292,2.37399,1.87563,1.9249,0.00132795,0.00132795,0.00132795
7,454.44,2.53057,1.70964,1.87084,0.53214,0.48831,0.49103,0.22247,2.25726,1.51632,1.85966,0.00130774,0.00130774,0.00130774
8,521.508,2.49605,1.67662,1.85862,0.5367,0.48468,0.49976,0.24402,2.22114,1.57296,1.87569,0.00128753,0.00128753,0.00128753
9,588.149,2.47006,1.63961,1.84303,0.5892,0.51082,0.5383,0.27451,2.0715,1.54142,1.76339,0.00126732,0.00126732,0.00126732
10,651.998,2.41967,1.61541,1.81162,0.55674,0.51521,0.52976,0.26484,2.11594,1.41366,1.81872,0.00124711,0.00124711,0.00124711
11,716.513,2.38819,1.59933,1.79223,0.59464,0.52387,0.55346,0.27593,2.16311,1.36404,1.80777,0.0012269,0.0012269,0.0012269
12,781.426,2.3744,1.57705,1.79152,0.59697,0.54314,0.57608,0.289,2.07812,1.28946,1.76756,0.00120669,0.00120669,0.00120669
13,845.629,2.33405,1.55416,1.76783,0.58077,0.55249,0.5737,0.29194,2.03358,1.30948,1.72955,0.00118648,0.00118648,0.00118648
14,909.914,2.32163,1.53909,1.75304,0.60209,0.52839,0.56569,0.28681,2.04088,1.4028,1.76755,0.00116627,0.00116627,0.00116627
