epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.59,2.26497,2.32983,1.70013,0.4897,0.38915,0.39562,0.18764,2.43233,2.16549,2.18015,0.000472697,0.000472697,0.000472697
2,122.652,2.4303,2.05874,1.81601,0.43974,0.34622,0.33643,0.15138,2.62465,3.99229,2.37066,0.000935609,0.000935609,0.000935609
3,183.484,2.50972,2.06255,1.86298,0.33743,0.34026,0.26479,0.10262,2.8289,6.32865,2.43313,0.00138505,0.00138505,0.00138505
4,244.185,2.47792,1.98474,1.832,0.4173,0.40496,0.3759,0.18445,2.24042,2.92166,1.98856,0.00136837,0.00136837,0.00136837
5,305.22,2.39701,1.89171,1.77964,0.44113,0.45282,0.42912,0.21304,2.29552,2.17933,2.02421,0.00134816,0.00134816,0.00134816
6,366.601,2.33245,1.84436,1.74756,0.53621,0.47362,0.48494,0.22782,2.2871,1.7723,1.95262,0.00132795,0.00132795,0.00132795
7,427.574,2.27181,1.77724,1.70766,0.60109,0.49087,0.52508,0.26299,2.14537,1.69775,1.8371,0.00130774,0.00130774,0.00130774
8,488.402,2.25856,1.76329,1.70109,0.56018,0.49762,0.51968,0.27349,2.12266,2.01499,1.89867,0.00128753,0.00128753,0.00128753
9,550.158,2.22417,1.70134,1.67221,0.6217,0.5075,0.56803,0.30513,2.03616,1.58145,1.85261,0.00126732,0.00126732,0.00126732
10,612.204,2.18983,1.66736,1.65567,0.61058,0.53643,0.57755,0.30505,1.98881,1.63817,1.80303,0.00124711,0.00124711,0.00124711
11,673,2.15467,1.6503,1.63751,0.64885,0.54142,0.61168,0.33405,1.88309,1.40516,1.74578,0.0012269,0.0012269,0.0012269
12,734.039,2.13738,1.62799,1.61869,0.59087,0.56453,0.60072,0.31863,2.00253,1.4613,1.79178,0.00120669,0.00120669,0.00120669
13,794.742,2.11512,1.59679,1.60229,0.60674,0.54005,0.59805,0.32295,1.93556,1.46371,1.76279,0.00118648,0.00118648,0.00118648
14,855.501,2.09301,1.58115,1.59555,0.60347,0.57591,0.60609,0.34045,1.8986,1.44275,1.75412,0.00116627,0.00116627,0.00116627
15,916.948,2.07533,1.5512,1.5865,0.57618,0.58679,0.60268,0.33915,1.83255,1.3861,1.69665,0.00114606,0.00114606,0.00114606
16,978.759,2.05822,1.55209,1.57867,0.61382,0.57819,0.61679,0.34185,1.83862,1.3595,1.73673,0.00112585,0.00112585,0.00112585
17,1040.25,2.04095,1.52207,1.57087,0.63264,0.58749,0.64099,0.36742,1.9022,1.3751,1.74799,0.00110564,0.00110564,0.00110564
18,1101.14,2.03945,1.51992,1.56353,0.65248,0.59518,0.64621,0.3625,1.80145,1.31482,1.66505,0.00108543,0.00108543,0.00108543
19,1162.37,2.02053,1.49323,1.55097,0.69423,0.57901,0.65649,0.37988,1.81124,1.32952,1.70398,0.00106522,0.00106522,0.00106522
20,1223.4,2.00046,1.4809,1.5461,0.60083,0.60423,0.64742,0.3712,1.78996,1.3538,1.68279,0.00104501,0.00104501,0.00104501
21,1284.56,1.98082,1.48547,1.52736,0.6588,0.5827,0.64736,0.37127,1.86245,1.34702,1.72233,0.0010248,0.0010248,0.0010248
22,1345.3,1.9943,1.46824,1.53206,0.67001,0.61635,0.68316,0.39225,1.77049,1.27272,1.63298,0.00100459,0.00100459,0.00100459
23,1406.16,1.97315,1.45507,1.52177,0.67688,0.60476,0.66101,0.38522,1.7422,1.27368,1.63002,0.000984377,0.000984377,0.000984377
24,1467.33,1.95865,1.44252,1.5159,0.69813,0.60183,0.67991,0.39278,1.76184,1.25679,1.66636,0.000964167,0.000964167,0.000964167
25,1527.95,1.95234,1.42485,1.50946,0.69209,0.6026,0.67803,0.40102,1.72033,1.22844,1.60299,0.000943957,0.000943957,0.000943957
26,1588.49,1.94188,1.42576,1.50613,0.71585,0.60461,0.69136,0.40948,1.72219,1.21997,1.6246,0.000923746,0.000923746,0.000923746
