epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3467,2.31446,2.33806,1.69679,0.36785,0.41921,0.33953,0.16427,2.29209,3.28245,2.35284,0.000472697,0.000472697,0.000472697
2,121.571,2.48059,2.0302,1.78061,0.35314,0.35314,0.29117,0.12765,2.80125,3.51631,2.47582,0.000935609,0.000935609,0.000935609
3,181.783,2.55463,2.03097,1.85423,0.32819,0.40143,0.32944,0.14188,2.77403,6.27569,2.52305,0.00138505,0.00138505,0.00138505
4,241.891,2.52811,1.96546,1.83675,0.41872,0.37675,0.35706,0.16075,2.66335,2.31504,2.27282,0.00136837,0.00136837,0.00136837
5,302.556,2.43449,1.87229,1.76777,0.48996,0.41937,0.41869,0.20009,2.33465,1.79605,1.94693,0.00134816,0.00134816,0.00134816
6,362.918,2.37648,1.81347,1.73106,0.52324,0.46383,0.48378,0.23527,2.28679,1.77465,1.98501,0.00132795,0.00132795,0.00132795
7,423.74,2.32599,1.75904,1.71623,0.55046,0.46876,0.50019,0.24242,2.3035,1.79231,1.90966,0.00130774,0.00130774,0.00130774
8,483.953,2.29335,1.72545,1.69795,0.53648,0.5033,0.52467,0.27309,2.14961,1.84325,1.88369,0.00128753,0.00128753,0.00128753
9,545.099,2.26396,1.68101,1.66757,0.57077,0.51096,0.54513,0.28453,2.10668,1.5431,1.86216,0.00126732,0.00126732,0.00126732
10,605.212,2.22779,1.64883,1.64741,0.63761,0.50335,0.56942,0.29426,2.09938,1.61503,1.82209,0.00124711,0.00124711,0.00124711
11,665.723,2.20149,1.6286,1.63889,0.63841,0.52432,0.58528,0.31285,1.98511,1.47148,1.75296,0.0012269,0.0012269,0.0012269
12,725.983,2.18129,1.61603,1.62029,0.6255,0.55427,0.60982,0.32996,2.05679,1.3849,1.78631,0.00120669,0.00120669,0.00120669
13,786.136,2.15246,1.57617,1.60019,0.54242,0.55638,0.58129,0.32376,1.94365,1.45385,1.73727,0.00118648,0.00118648,0.00118648
14,846.126,2.1368,1.55402,1.59495,0.63659,0.56263,0.62094,0.34606,1.91899,1.42797,1.74625,0.00116627,0.00116627,0.00116627
15,906.266,2.10931,1.52894,1.58305,0.60812,0.56734,0.62185,0.34801,1.90684,1.36949,1.71139,0.00114606,0.00114606,0.00114606
16,966.633,2.09944,1.52062,1.57196,0.64932,0.5737,0.63176,0.35917,1.92585,1.34111,1.75512,0.00112585,0.00112585,0.00112585
17,1026.75,2.08925,1.51168,1.56984,0.66078,0.56538,0.63953,0.35338,1.85613,1.31757,1.68597,0.00110564,0.00110564,0.00110564
18,1086.76,2.07454,1.49699,1.56269,0.66587,0.57265,0.63555,0.35855,1.91568,1.34376,1.72874,0.00108543,0.00108543,0.00108543
19,1146.96,2.0639,1.47819,1.55921,0.62687,0.5712,0.61985,0.35777,1.79118,1.37807,1.66108,0.00106522,0.00106522,0.00106522
20,1207.02,2.04509,1.45757,1.54538,0.65107,0.59581,0.65614,0.37623,1.79071,1.29685,1.65778,0.00104501,0.00104501,0.00104501
21,1267.46,2.02187,1.44833,1.53596,0.68249,0.57972,0.65374,0.37591,1.82545,1.29694,1.6546,0.0010248,0.0010248,0.0010248
22,1329.14,2.02878,1.43951,1.53881,0.64164,0.60483,0.65236,0.37925,1.8052,1.282,1.67333,0.00100459,0.00100459,0.00100459
23,1390.76,2.0036,1.41601,1.51694,0.66408,0.60641,0.66975,0.38807,1.78603,1.23879,1.63422,0.000984377,0.000984377,0.000984377
24,1451.2,1.99627,1.42405,1.52174,0.67314,0.61605,0.67191,0.38772,1.77497,1.24313,1.63609,0.000964167,0.000964167,0.000964167
25,1512.57,1.97428,1.4025,1.50834,0.67606,0.58921,0.65409,0.37615,1.82695,1.33213,1.67219,0.000943957,0.000943957,0.000943957
26,1573.29,1.97171,1.39327,1.50438,0.709,0.60514,0.68328,0.40472,1.7315,1.19649,1.60784,0.000923746,0.000923746,0.000923746
27,1634.23,1.96156,1.37739,1.50127,0.63331,0.63507,0.68095,0.40257,1.73436,1.22332,1.61313,0.000903536,0.000903536,0.000903536
28,1694.23,1.94921,1.36283,1.48706,0.69654,0.61964,0.69989,0.41945,1.71944,1.17219,1.60179,0.000883326,0.000883326,0.000883326
29,1754.39,1.94386,1.35535,1.4809,0.71942,0.59798,0.68511,0.40939,1.7258,1.22877,1.61408,0.000863116,0.000863116,0.000863116
30,1814.83,1.94134,1.35796,1.47035,0.72153,0.60785,0.69775,0.42033,1.65285,1.18137,1.54838,0.000842906,0.000842906,0.000842906
