epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3925,1.75368,2.37241,1.46356,0.46774,0.45565,0.42192,0.20196,1.70265,2.34604,1.63739,0.000472697,0.000472697,0.000472697
2,115.843,1.78887,1.99941,1.49905,0.39192,0.36673,0.32384,0.14886,1.80408,3.97457,1.67501,0.000935609,0.000935609,0.000935609
3,172.1,1.81538,2.03594,1.52376,0.2383,0.3361,0.21882,0.10437,1.88574,5.77546,1.71425,0.00138505,0.00138505,0.00138505
4,227.648,1.77922,1.95945,1.50099,0.47898,0.43165,0.41218,0.20211,1.72456,2.54235,1.55851,0.00136837,0.00136837,0.00136837
5,282.9,1.72278,1.85286,1.45555,0.51351,0.43528,0.43422,0.18917,1.82469,1.98732,1.56144,0.00134816,0.00134816,0.00134816
6,338.119,1.67983,1.78815,1.43656,0.57179,0.51176,0.53286,0.28902,1.47731,1.79083,1.43259,0.00132795,0.00132795,0.00132795
7,393.29,1.64559,1.72356,1.40954,0.57784,0.48567,0.52245,0.29144,1.47465,1.6336,1.41158,0.00130774,0.00130774,0.00130774
8,448.531,1.6217,1.68798,1.3952,0.58082,0.5199,0.55553,0.31537,1.37524,1.60958,1.3363,0.00128753,0.00128753,0.00128753
9,504.057,1.59477,1.63762,1.37836,0.62012,0.53903,0.58384,0.33501,1.37551,1.5135,1.34372,0.00126732,0.00126732,0.00126732
10,559.848,1.57634,1.60227,1.36305,0.6309,0.53557,0.58528,0.3359,1.3673,1.55547,1.35277,0.00124711,0.00124711,0.00124711
11,614.895,1.55237,1.56558,1.3506,0.61238,0.56265,0.5996,0.35191,1.35413,1.42205,1.32581,0.0012269,0.0012269,0.0012269
12,670.052,1.54307,1.54012,1.34337,0.62549,0.56915,0.61916,0.36552,1.30903,1.37914,1.31471,0.00120669,0.00120669,0.00120669
13,725.092,1.51976,1.50647,1.32783,0.61612,0.57158,0.61406,0.36475,1.33019,1.36995,1.30641,0.00118648,0.00118648,0.00118648
14,780.764,1.50239,1.48777,1.322,0.62519,0.57244,0.61608,0.36298,1.32698,1.39559,1.31902,0.00116627,0.00116627,0.00116627
15,836.536,1.49625,1.46348,1.31529,0.67354,0.56315,0.63526,0.37452,1.3195,1.3507,1.30282,0.00114606,0.00114606,0.00114606
16,892.266,1.48621,1.43869,1.31033,0.6465,0.57186,0.62055,0.36543,1.32119,1.37781,1.31879,0.00112585,0.00112585,0.00112585
17,947.716,1.47797,1.43206,1.30567,0.66616,0.58346,0.64821,0.39004,1.29441,1.29073,1.28385,0.00110564,0.00110564,0.00110564
18,1003.09,1.47068,1.40878,1.29419,0.65071,0.57639,0.63352,0.37943,1.31012,1.30741,1.30414,0.00108543,0.00108543,0.00108543
19,1058.96,1.46288,1.38256,1.29553,0.65346,0.58455,0.64299,0.38405,1.29345,1.31433,1.28707,0.00106522,0.00106522,0.00106522
20,1114.08,1.44067,1.36246,1.28084,0.67854,0.6057,0.66824,0.40988,1.2535,1.21808,1.26035,0.00104501,0.00104501,0.00104501
21,1169.44,1.43998,1.3503,1.27854,0.68578,0.59162,0.66587,0.41132,1.25352,1.22175,1.26996,0.0010248,0.0010248,0.0010248
22,1224.54,1.43572,1.3404,1.27975,0.6791,0.59412,0.66536,0.40626,1.264,1.23413,1.27418,0.00100459,0.00100459,0.00100459
23,1279.99,1.41321,1.31998,1.26182,0.68349,0.59409,0.6673,0.4128,1.24026,1.22062,1.26102,0.000984377,0.000984377,0.000984377
24,1335.1,1.40428,1.31171,1.2618,0.66108,0.6221,0.67814,0.41781,1.22784,1.20378,1.26171,0.000964167,0.000964167,0.000964167
25,1390.09,1.40671,1.29568,1.26175,0.6936,0.60919,0.68007,0.42051,1.22935,1.19749,1.26833,0.000943957,0.000943957,0.000943957
26,1445.12,1.39288,1.28426,1.25465,0.69988,0.61158,0.68262,0.42014,1.25324,1.19651,1.25975,0.000923746,0.000923746,0.000923746
27,1500.37,1.38296,1.26958,1.24741,0.68167,0.60422,0.6766,0.41959,1.23011,1.20894,1.25931,0.000903536,0.000903536,0.000903536
28,1555.36,1.37638,1.24957,1.24454,0.70314,0.62302,0.69216,0.42809,1.22952,1.17928,1.24334,0.000883326,0.000883326,0.000883326
29,1610.37,1.37795,1.23881,1.24048,0.69215,0.62329,0.69177,0.42786,1.21962,1.18602,1.25039,0.000863116,0.000863116,0.000863116
30,1665.35,1.36952,1.22831,1.23228,0.70128,0.6283,0.69706,0.43743,1.21414,1.17114,1.25115,0.000842906,0.000842906,0.000842906
31,1720.32,1.35714,1.2308,1.23279,0.70351,0.62715,0.69128,0.43469,1.21096,1.14803,1.24668,0.000822696,0.000822696,0.000822696
32,1775.28,1.34359,1.20082,1.22352,0.68592,0.63202,0.68966,0.43393,1.21918,1.14931,1.25696,0.000802486,0.000802486,0.000802486
33,1830.27,1.33899,1.19118,1.21737,0.69801,0.62455,0.69157,0.43685,1.20351,1.13953,1.25521,0.000782275,0.000782275,0.000782275
34,1885.27,1.33541,1.17985,1.21882,0.70943,0.6331,0.70918,0.44409,1.20385,1.13001,1.24812,0.000762065,0.000762065,0.000762065
35,1940.48,1.31924,1.15599,1.21102,0.69367,0.64432,0.70262,0.43627,1.22779,1.14541,1.25661,0.000741855,0.000741855,0.000741855
36,1995.45,1.32441,1.16111,1.20907,0.6783,0.64931,0.69859,0.43265,1.22649,1.14052,1.25543,0.000721645,0.000721645,0.000721645
37,2050.6,1.31329,1.13603,1.20466,0.71013,0.64235,0.70863,0.44152,1.23503,1.1124,1.25994,0.000701435,0.000701435,0.000701435
