epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1476,0.91848,6.31742,0.75341,0.1862,0.17474,0.08938,0.03181,1.35618,17.2247,1.29065,0.000413647,0.000413647,0.000413647
2,121.405,1.03371,5.93756,0.82201,0.04219,0.07446,0.00996,0.00373,1.79525,30.8423,1.56833,0.000820039,0.000820039,0.000820039
3,181.903,1.08141,6.16955,0.84422,0.09563,0.05509,0.02995,0.01005,2.06539,12.0321,1.69225,0.00121612,0.00121612,0.00121612
4,242.587,1.04831,5.86525,0.8234,0.21163,0.18363,0.11799,0.03928,1.53231,10.5603,1.29165,0.00120359,0.00120359,0.00120359
5,303.177,0.99269,5.44367,0.79503,0.41981,0.21693,0.15576,0.06255,1.50962,7.94104,1.22979,0.00118812,0.00118812,0.00118812
6,363.965,0.99754,5.08195,0.79541,0.29807,0.27953,0.20871,0.08554,1.26529,6.10831,1.07701,0.00117266,0.00117266,0.00117266
7,424.042,0.99285,4.81325,0.79723,0.32919,0.38232,0.29884,0.1295,1.23903,5.14894,1.01252,0.00115719,0.00115719,0.00115719
8,483.999,0.9334,4.65961,0.76274,0.38148,0.40113,0.34507,0.15198,1.1499,4.82546,0.97371,0.00114172,0.00114172,0.00114172
9,545.099,0.95585,4.46862,0.77492,0.40407,0.37922,0.33836,0.14733,1.11496,4.63617,0.95258,0.00112625,0.00112625,0.00112625
10,606.063,0.92486,4.30973,0.76853,0.47299,0.40669,0.38757,0.17558,1.12781,4.30646,0.94047,0.00111078,0.00111078,0.00111078
11,666.815,0.95333,4.14731,0.78204,0.44931,0.43108,0.40133,0.17689,1.0728,4.32921,0.91761,0.00109531,0.00109531,0.00109531
12,728.239,0.98001,4.11205,0.79838,0.52853,0.46124,0.45045,0.205,1.08848,3.91472,0.92207,0.00107984,0.00107984,0.00107984
13,789.786,0.9203,3.97683,0.76797,0.54595,0.42277,0.46071,0.2215,1.03181,3.88452,0.88286,0.00106437,0.00106437,0.00106437
14,851.035,0.92277,3.83781,0.77528,0.53355,0.47839,0.47754,0.22869,0.98407,3.79089,0.85664,0.00104891,0.00104891,0.00104891
15,912.421,0.91434,3.78257,0.76915,0.63121,0.46816,0.49528,0.23226,1.04073,3.68995,0.89077,0.00103344,0.00103344,0.00103344
16,973.411,0.91929,3.66441,0.77943,0.53484,0.4961,0.50168,0.24109,1.00688,3.54411,0.86546,0.00101797,0.00101797,0.00101797
17,1034.78,0.93924,3.6363,0.78987,0.59113,0.51511,0.53246,0.26171,1.03074,3.34184,0.87444,0.0010025,0.0010025,0.0010025
18,1095.5,0.93802,3.53189,0.79253,0.57937,0.53336,0.54424,0.26547,1.0058,3.40227,0.86427,0.000987031,0.000987031,0.000987031
19,1155.72,0.93884,3.46209,0.79505,0.56001,0.51814,0.53058,0.25772,1.00229,3.35031,0.84946,0.000971562,0.000971562,0.000971562
20,1215.57,0.91033,3.41043,0.77958,0.62357,0.51942,0.5454,0.27054,1.0045,3.27865,0.85071,0.000956094,0.000956094,0.000956094
21,1275.36,0.89561,3.34969,0.77667,0.6281,0.5499,0.58139,0.29721,0.95834,3.05786,0.82815,0.000940625,0.000940625,0.000940625
22,1336.56,0.88716,3.26394,0.77552,0.62757,0.54378,0.58013,0.30297,0.93331,3.11185,0.80435,0.000925156,0.000925156,0.000925156
23,1396.97,0.90722,3.23074,0.78749,0.66289,0.55238,0.57929,0.2962,0.99017,3.1039,0.84163,0.000909688,0.000909688,0.000909688
24,1457.79,0.86813,3.15974,0.76951,0.6468,0.58124,0.60627,0.32043,0.89802,2.94795,0.78966,0.000894219,0.000894219,0.000894219
25,1519.93,0.89495,3.09934,0.78816,0.66419,0.57782,0.60856,0.31101,0.86258,2.94349,0.76577,0.00087875,0.00087875,0.00087875
26,1588.59,0.87534,3.04455,0.77974,0.62199,0.58046,0.59885,0.30375,0.94727,2.96981,0.81426,0.000863281,0.000863281,0.000863281
27,1656,0.88286,3.00299,0.78656,0.66493,0.57027,0.61075,0.3167,0.84211,2.91925,0.7525,0.000847813,0.000847813,0.000847813
28,1720.92,0.88888,2.99057,0.79135,0.6833,0.57933,0.6185,0.32307,0.84423,2.88663,0.74605,0.000832344,0.000832344,0.000832344
