epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.048,0.77636,5.03016,0.67477,0.5232,0.50794,0.49642,0.24687,0.79342,3.68971,0.70361,0.00332295,0.00332295,0.00332295
2,270.132,0.76675,4.03588,0.64094,0.45332,0.32479,0.28801,0.12825,1.09566,6.52205,0.94979,0.00658306,0.00658306,0.00658306
3,407.269,0.94606,5.00403,0.7441,0.12343,0.12518,0.05674,0.0225,1.47666,19.8498,1.32099,0.00976984,0.00976984,0.00976984
4,544.452,0.99527,5.33311,0.77422,0.32584,0.31884,0.25056,0.10428,1.25066,6.82303,1.03754,0.00967,0.00967,0.00967
5,681.279,0.95167,4.78894,0.7496,0.43536,0.3577,0.33213,0.14906,1.22183,4.75671,0.99606,0.00956,0.00956,0.00956
6,818.045,0.91978,4.43093,0.73181,0.50084,0.44153,0.43305,0.20162,1.0699,4.17245,0.89932,0.00945,0.00945,0.00945
7,954.512,0.90389,4.1087,0.72524,0.5287,0.45036,0.45349,0.21675,1.04727,4.02716,0.86575,0.00934,0.00934,0.00934
8,1090.61,0.89462,3.94578,0.71967,0.59903,0.52185,0.5431,0.26922,0.9872,3.31237,0.82684,0.00923,0.00923,0.00923
9,1226.81,0.88342,3.75012,0.71843,0.64894,0.54742,0.5958,0.30242,0.96345,3.15382,0.81091,0.00912,0.00912,0.00912
10,1363.12,0.87208,3.6436,0.71259,0.63688,0.55224,0.58731,0.29898,0.90301,3.07188,0.76952,0.00901,0.00901,0.00901
11,1498.01,0.88061,3.51744,0.71787,0.64508,0.56098,0.6033,0.31582,0.89891,2.99855,0.76224,0.0089,0.0089,0.0089
12,1634.24,0.8577,3.40928,0.70836,0.67711,0.59617,0.64702,0.34078,0.91773,2.83057,0.78018,0.00879,0.00879,0.00879
13,1770.44,0.86677,3.31432,0.71593,0.67287,0.59544,0.63896,0.33856,0.94489,2.7996,0.78832,0.00868,0.00868,0.00868
14,1906.71,0.8604,3.2447,0.71491,0.7161,0.60731,0.66631,0.35961,0.88127,2.65575,0.75178,0.00857,0.00857,0.00857
15,2042.74,0.83232,3.18404,0.70277,0.71597,0.63384,0.69414,0.37232,0.84386,2.56354,0.72751,0.00846,0.00846,0.00846
16,2179.16,0.83092,3.11602,0.70309,0.71038,0.64317,0.69029,0.38479,0.82795,2.51754,0.71432,0.00835,0.00835,0.00835
17,2315.53,0.83401,3.07374,0.70634,0.72319,0.65398,0.70397,0.3873,0.80852,2.46547,0.69945,0.00824,0.00824,0.00824
