epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.197,0.95209,5.25377,0.76087,0.10962,0.20673,0.0579,0.01894,1.42883,15.1876,1.56947,0.000413647,0.000413647,0.000413647
2,122.538,1.11884,4.78058,0.84671,0.28965,0.06601,0.01443,0.00431,1.88933,20.7825,1.71938,0.000820039,0.000820039,0.000820039
3,184.671,1.18816,4.93874,0.88315,0.3512,0.10977,0.0302,0.00846,1.97727,23.192,1.84982,0.00121612,0.00121612,0.00121612
4,245.027,1.17023,4.64826,0.87285,0.21221,0.23133,0.14294,0.04992,1.84478,6.89097,1.48978,0.00120359,0.00120359,0.00120359
5,305.527,1.17799,4.28374,0.87239,0.36885,0.21613,0.18778,0.07041,1.73244,5.13912,1.40113,0.00118812,0.00118812,0.00118812
6,366.393,1.174,3.95339,0.87185,0.34731,0.30975,0.26217,0.10758,1.43773,4.33456,1.14606,0.00117266,0.00117266,0.00117266
7,427.644,1.13925,3.6957,0.85274,0.29619,0.31204,0.22392,0.08642,1.41836,4.91142,1.1333,0.00115719,0.00115719,0.00115719
8,488.664,1.1008,3.56828,0.83447,0.38521,0.36902,0.33064,0.13364,1.34997,3.79873,1.08251,0.00114172,0.00114172,0.00114172
9,549.042,1.08072,3.37827,0.82351,0.42406,0.41875,0.36765,0.15791,1.25026,3.28416,1.00816,0.00112625,0.00112625,0.00112625
10,609.437,1.06049,3.25952,0.82212,0.47939,0.4311,0.39591,0.16981,1.18083,3.22371,0.96318,0.00111078,0.00111078,0.00111078
11,669.974,1.05178,3.14745,0.81412,0.51631,0.42444,0.41464,0.17626,1.23359,3.13508,0.97828,0.00109531,0.00109531,0.00109531
12,731.161,1.05402,3.0889,0.82091,0.50663,0.47107,0.44869,0.19648,1.14045,3.03045,0.93563,0.00107984,0.00107984,0.00107984
13,792.52,1.04535,3.00319,0.81583,0.49726,0.45468,0.42779,0.19446,1.18728,3.04712,0.95614,0.00106437,0.00106437,0.00106437
14,853.751,1.05039,2.88602,0.82501,0.55604,0.43758,0.44455,0.20085,1.15343,2.97755,0.93989,0.00104891,0.00104891,0.00104891
15,914.069,1.03465,2.84596,0.81665,0.54649,0.49485,0.48706,0.22193,1.06504,2.78557,0.88012,0.00103344,0.00103344,0.00103344
16,974.872,1.02853,2.74346,0.81966,0.59361,0.48972,0.50934,0.2331,1.15244,2.62634,0.93416,0.00101797,0.00101797,0.00101797
17,1036.21,1.00325,2.71103,0.80615,0.58687,0.53183,0.54004,0.25423,0.98579,2.43671,0.82036,0.0010025,0.0010025,0.0010025
18,1096.98,1.01497,2.64577,0.81269,0.56663,0.53664,0.53729,0.2474,1.09368,2.55839,0.90348,0.000987031,0.000987031,0.000987031
19,1157.04,1.02711,2.60257,0.82103,0.60563,0.52513,0.54242,0.25564,1.03938,2.46722,0.84851,0.000971562,0.000971562,0.000971562
20,1217.94,1.01398,2.56322,0.8175,0.64658,0.5252,0.55746,0.26553,1.00407,2.40591,0.82831,0.000956094,0.000956094,0.000956094
21,1278.8,0.98222,2.50596,0.80536,0.64097,0.55487,0.59163,0.29302,0.97764,2.34369,0.82657,0.000940625,0.000940625,0.000940625
22,1338.61,1.0087,2.44322,0.82238,0.61874,0.56719,0.58151,0.28614,0.97713,2.35015,0.8157,0.000925156,0.000925156,0.000925156
23,1398.33,1.00308,2.41366,0.82131,0.65783,0.5419,0.58187,0.28705,1.02268,2.29893,0.83692,0.000909688,0.000909688,0.000909688
24,1458.35,0.9935,2.34087,0.81893,0.67615,0.56922,0.59985,0.29531,0.96649,2.22505,0.80879,0.000894219,0.000894219,0.000894219
25,1519.61,1.00138,2.32417,0.8233,0.69574,0.56033,0.60145,0.29805,1.02183,2.17626,0.8448,0.00087875,0.00087875,0.00087875
26,1579.83,0.98201,2.26472,0.81755,0.65459,0.58247,0.608,0.30764,1.00261,2.1791,0.82195,0.000863281,0.000863281,0.000863281
27,1640.76,1.00617,2.22814,0.83805,0.64251,0.55637,0.58077,0.30044,0.98077,2.22572,0.82053,0.000847813,0.000847813,0.000847813
28,1700.55,0.99447,2.21997,0.82993,0.69743,0.57441,0.61283,0.3013,0.99251,2.16244,0.82857,0.000832344,0.000832344,0.000832344
29,1762.02,0.99781,2.19563,0.83192,0.67488,0.58982,0.6319,0.32048,0.91728,2.05816,0.77419,0.000816875,0.000816875,0.000816875
30,1822.94,1.00469,2.12891,0.84162,0.71814,0.591,0.62637,0.32963,0.91688,2.04718,0.7754,0.000801406,0.000801406,0.000801406
31,1883.67,1.00085,2.11247,0.84313,0.69846,0.5899,0.63809,0.33092,0.91269,2.02566,0.77524,0.000785938,0.000785938,0.000785938
32,1944.01,0.96782,2.07028,0.82413,0.71985,0.59842,0.65375,0.34292,0.88595,1.96526,0.75709,0.000770469,0.000770469,0.000770469
33,2004.11,0.99697,2.06214,0.84589,0.70838,0.60171,0.64763,0.33956,0.863,1.9765,0.73835,0.000755,0.000755,0.000755
34,2064.4,0.94892,1.97891,0.8188,0.7273,0.62079,0.66251,0.34456,0.85351,1.93845,0.73507,0.000739531,0.000739531,0.000739531
35,2124.18,0.97728,1.95847,0.84271,0.69956,0.62583,0.6526,0.34598,0.8856,1.93155,0.76076,0.000724062,0.000724062,0.000724062
36,2183.92,0.96875,1.93584,0.84017,0.6887,0.63902,0.66586,0.3564,0.83823,1.88173,0.72468,0.000708594,0.000708594,0.000708594
37,2243.65,0.95158,1.91975,0.82831,0.6984,0.63417,0.6626,0.35389,0.87145,1.89406,0.75426,0.000693125,0.000693125,0.000693125
38,2303.4,0.95991,1.88431,0.83774,0.70501,0.6217,0.65825,0.3503,0.88593,1.89402,0.76028,0.000677656,0.000677656,0.000677656
39,2364.37,0.95183,1.85682,0.83467,0.75079,0.62714,0.67296,0.3684,0.8245,1.86038,0.72594,0.000662188,0.000662188,0.000662188
40,2424.53,0.94961,1.82415,0.83459,0.74492,0.63644,0.68462,0.37062,0.82931,1.80584,0.7221,0.000646719,0.000646719,0.000646719
41,2484.23,0.94113,1.78962,0.83327,0.70648,0.64473,0.68096,0.36952,0.84176,1.81202,0.73298,0.00063125,0.00063125,0.00063125
42,2544.92,0.93361,1.80875,0.8338,0.73398,0.64216,0.6873,0.37504,0.82466,1.82248,0.72451,0.000615781,0.000615781,0.000615781
43,2605.39,0.93091,1.76201,0.83274,0.74532,0.63363,0.68567,0.38087,0.80526,1.78714,0.70683,0.000600313,0.000600313,0.000600313
44,2665.9,0.92845,1.73732,0.83355,0.75586,0.63393,0.69457,0.37966,0.8016,1.7557,0.71034,0.000584844,0.000584844,0.000584844
45,2725.96,0.94219,1.71583,0.84718,0.74564,0.66137,0.70071,0.38415,0.79319,1.75944,0.70497,0.000569375,0.000569375,0.000569375
46,2787.1,0.92314,1.70408,0.83823,0.78098,0.64367,0.69741,0.38382,0.8307,1.77547,0.72798,0.000553906,0.000553906,0.000553906
47,2848.1,0.93575,1.67872,0.8499,0.73806,0.65809,0.70003,0.38913,0.77468,1.75112,0.68834,0.000538438,0.000538438,0.000538438
48,2908.3,0.94224,1.6712,0.85316,0.73054,0.6551,0.69684,0.38454,0.79601,1.76651,0.70257,0.000522969,0.000522969,0.000522969
49,2968.07,0.92622,1.62553,0.85183,0.75475,0.65134,0.70884,0.39502,0.77161,1.71612,0.69161,0.0005075,0.0005075,0.0005075
50,3027.83,0.91159,1.5954,0.84403,0.74402,0.65366,0.70583,0.39655,0.77246,1.71715,0.68826,0.000492031,0.000492031,0.000492031
51,3087.61,0.91514,1.58596,0.84674,0.75279,0.64329,0.6972,0.39654,0.77988,1.72242,0.69758,0.000476562,0.000476562,0.000476562
