epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.551,0.51028,5.02627,0.36843,0.51869,0.51488,0.49545,0.25251,0.54091,3.62842,0.40383,0.00332295,0.00332295,0.00332295
2,273.375,0.51758,4.07749,0.35701,0.56654,0.30441,0.30678,0.132,0.81298,6.41551,0.59486,0.00658306,0.00658306,0.00658306
3,414.987,0.70718,5.09023,0.45717,0.13661,0.0931,0.03746,0.01356,1.53835,42.055,1.07556,0.00976984,0.00976984,0.00976984
4,552.43,0.81317,5.42757,0.50789,0.27251,0.27794,0.19698,0.08005,1.14328,8.67619,0.78696,0.00967,0.00967,0.00967
5,689.624,0.75045,4.85708,0.47943,0.41751,0.39437,0.34393,0.14377,0.9453,4.92534,0.65608,0.00956,0.00956,0.00956
6,827.163,0.73109,4.49437,0.4736,0.40575,0.39956,0.35288,0.15254,0.88845,4.64153,0.60837,0.00945,0.00945,0.00945
7,963.827,0.68124,4.16436,0.45022,0.55113,0.46179,0.47903,0.2199,0.82968,3.66586,0.57319,0.00934,0.00934,0.00934
8,1100.23,0.68059,3.99481,0.45747,0.60425,0.4917,0.51162,0.23506,0.81512,3.40979,0.56326,0.00923,0.00923,0.00923
9,1236.86,0.68603,3.81125,0.46467,0.60903,0.50418,0.53663,0.2571,0.83953,3.34684,0.58618,0.00912,0.00912,0.00912
10,1373.01,0.68131,3.70538,0.46658,0.62729,0.53589,0.56951,0.2747,0.76829,3.16317,0.53745,0.00901,0.00901,0.00901
11,1508.48,0.65506,3.59616,0.45535,0.62207,0.53746,0.56777,0.2813,0.68644,3.19862,0.48241,0.0089,0.0089,0.0089
12,1643.92,0.66165,3.46276,0.46115,0.66242,0.58038,0.63508,0.32475,0.68757,2.86833,0.48869,0.00879,0.00879,0.00879
13,1779.5,0.63803,3.3781,0.45304,0.69336,0.59083,0.64528,0.32966,0.72565,2.7795,0.50949,0.00868,0.00868,0.00868
14,1916.14,0.61107,3.31036,0.44226,0.70536,0.61952,0.66996,0.35742,0.61909,2.66773,0.45238,0.00857,0.00857,0.00857
15,2052.35,0.6293,3.24299,0.45646,0.69837,0.6341,0.67947,0.35611,0.61019,2.58475,0.44623,0.00846,0.00846,0.00846
16,2189.23,0.61171,3.16344,0.44941,0.70912,0.6274,0.68174,0.36338,0.56579,2.57778,0.41465,0.00835,0.00835,0.00835
17,2324.71,0.62009,3.13085,0.45746,0.71654,0.64308,0.69212,0.37606,0.586,2.52474,0.43086,0.00824,0.00824,0.00824
18,2461.33,0.60983,3.05515,0.45606,0.72371,0.65792,0.70883,0.38467,0.58215,2.4347,0.42852,0.00813,0.00813,0.00813
19,2598.03,0.62293,3.00023,0.46715,0.7309,0.66527,0.71536,0.39188,0.54834,2.40876,0.41013,0.00802,0.00802,0.00802
