epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3283,1.11488,6.28122,0.83014,0.14717,0.17047,0.07866,0.02981,1.76662,14.808,1.51396,0.00041358,0.00041358,0.00041358
2,117.035,1.37967,5.74695,0.95674,0.29248,0.0752,0.01962,0.00494,2.6473,47.8238,2.32217,0.000819973,0.000819973,0.000819973
3,175.013,1.4433,5.89158,0.97412,0.0607,0.10632,0.01496,0.00494,2.74913,51.8146,2.23676,0.00121605,0.00121605,0.00121605
4,232.241,1.48663,5.5816,0.98356,0.27414,0.16473,0.12871,0.04306,2.15222,7.43364,1.58847,0.00120359,0.00120359,0.00120359
5,289.503,1.42256,5.02062,0.95596,0.29987,0.25109,0.19178,0.07476,2.27658,6.0427,1.59266,0.00118812,0.00118812,0.00118812
6,346.767,1.39208,4.71636,0.94292,0.35427,0.27654,0.24493,0.09098,1.58348,5.56612,1.15025,0.00117266,0.00117266,0.00117266
7,403.995,1.32687,4.38512,0.91639,0.35322,0.32153,0.26674,0.09932,1.81145,4.74212,1.26572,0.00115719,0.00115719,0.00115719
8,461.16,1.33719,4.24167,0.92034,0.47523,0.39292,0.3683,0.14845,1.52641,4.01108,1.12155,0.00114172,0.00114172,0.00114172
9,518.286,1.2666,3.98144,0.89222,0.44515,0.37139,0.33944,0.13686,1.647,4.15436,1.1789,0.00112625,0.00112625,0.00112625
10,575.648,1.24568,3.87564,0.88272,0.46905,0.46876,0.40355,0.1666,1.5315,3.86443,1.13613,0.00111078,0.00111078,0.00111078
11,633.981,1.25938,3.74402,0.89498,0.40976,0.47105,0.40581,0.1745,1.44588,4.04143,1.07062,0.00109531,0.00109531,0.00109531
12,692.078,1.24142,3.59522,0.88883,0.52409,0.47263,0.46177,0.2027,1.36197,3.52296,1.01543,0.00107984,0.00107984,0.00107984
13,749.87,1.26513,3.55208,0.90151,0.53545,0.48327,0.49605,0.22271,1.32245,3.35467,0.99162,0.00106437,0.00106437,0.00106437
14,808.351,1.20894,3.41655,0.87478,0.55375,0.46436,0.45246,0.20216,1.3598,3.53845,1.00222,0.00104891,0.00104891,0.00104891
15,866.393,1.21431,3.33201,0.88182,0.56066,0.48453,0.50183,0.23224,1.33903,3.19769,0.9975,0.00103344,0.00103344,0.00103344
16,924.697,1.22421,3.27284,0.8954,0.56689,0.54164,0.53799,0.25058,1.25814,3.12115,0.9567,0.00101797,0.00101797,0.00101797
