epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2357,0.8585,5.16291,0.72005,0.51672,0.42364,0.43259,0.20695,0.91804,4.27889,0.73908,0.00331852,0.00331852,0.00331852
2,191.966,0.82499,3.91366,0.6676,0.34948,0.32616,0.26012,0.11558,1.10724,5.11197,0.90363,0.00656954,0.00656954,0.00656954
3,291.331,1.01158,4.90955,0.77167,0.13572,0.1186,0.02081,0.00702,1.78159,64.6274,1.70504,0.00973805,0.00973805,0.00973805
4,388.08,1.14798,5.39741,0.84314,0.25324,0.22132,0.15419,0.05813,1.42943,11.3671,1.16198,0.00962875,0.00962875,0.00962875
5,485.833,1.1092,4.80992,0.81923,0.34952,0.27964,0.25139,0.10261,1.27342,6.01139,1.01697,0.009505,0.009505,0.009505
6,583.603,1.04153,4.43371,0.77801,0.45161,0.37299,0.36272,0.14879,1.17461,4.55407,0.92353,0.00938125,0.00938125,0.00938125
7,680.444,1.0592,4.1301,0.79258,0.47781,0.40546,0.39108,0.17111,1.14798,4.27416,0.89489,0.0092575,0.0092575,0.0092575
8,776.434,1.03101,3.96817,0.78296,0.50397,0.43578,0.42974,0.19327,1.12621,3.92679,0.89528,0.00913375,0.00913375,0.00913375
9,872.487,0.99525,3.74205,0.76121,0.54576,0.46311,0.46764,0.21679,1.02855,3.50341,0.80878,0.00901,0.00901,0.00901
10,969.617,0.96825,3.62922,0.74811,0.60117,0.47453,0.50332,0.23345,1.02842,3.21864,0.81906,0.00888625,0.00888625,0.00888625
11,1066.65,0.97119,3.51997,0.75199,0.60188,0.53042,0.54757,0.26133,1.01888,3.08762,0.80645,0.0087625,0.0087625,0.0087625
12,1163.58,0.95747,3.42706,0.74758,0.60009,0.5475,0.55701,0.27524,0.98948,2.95993,0.796,0.00863875,0.00863875,0.00863875
13,1260.36,0.97063,3.30723,0.76098,0.62997,0.55325,0.58827,0.2934,0.98524,2.8194,0.79173,0.008515,0.008515,0.008515
14,1357.25,0.96354,3.23285,0.75998,0.65758,0.56234,0.6039,0.30613,0.97843,2.72097,0.78696,0.00839125,0.00839125,0.00839125
15,1454.25,0.96124,3.13207,0.75902,0.67484,0.56664,0.61311,0.30622,0.92198,2.63624,0.74976,0.0082675,0.0082675,0.0082675
16,1551.35,0.96435,3.08092,0.76774,0.65737,0.6055,0.63044,0.31693,0.95871,2.62919,0.77782,0.00814375,0.00814375,0.00814375
17,1648.24,0.96029,3.0096,0.76494,0.67991,0.61624,0.64518,0.33112,0.92231,2.52351,0.74941,0.00802,0.00802,0.00802
18,1745,0.96183,2.93822,0.76752,0.6953,0.60405,0.64904,0.33484,0.91771,2.5671,0.74766,0.00789625,0.00789625,0.00789625
19,1841.92,0.96447,2.9273,0.77364,0.67733,0.63325,0.66797,0.34394,0.93165,2.40801,0.75515,0.0077725,0.0077725,0.0077725
20,1939.02,0.96043,2.85896,0.77149,0.69953,0.64634,0.67163,0.35786,0.87633,2.37572,0.72026,0.00764875,0.00764875,0.00764875
21,2036.04,0.93774,2.81066,0.76355,0.69842,0.64906,0.68708,0.36493,0.87897,2.34613,0.72553,0.007525,0.007525,0.007525
22,2132,0.93951,2.74185,0.76548,0.71085,0.64436,0.68786,0.36464,0.85908,2.34402,0.70908,0.00740125,0.00740125,0.00740125
23,2228.16,0.93445,2.6873,0.76648,0.74602,0.65709,0.70136,0.38129,0.86547,2.24067,0.71334,0.0072775,0.0072775,0.0072775
24,2325.02,0.9297,2.67479,0.76658,0.7502,0.66893,0.70932,0.38742,0.84453,2.1627,0.70192,0.00715375,0.00715375,0.00715375
25,2421.96,0.9188,2.60529,0.76179,0.76506,0.65602,0.71923,0.39444,0.78364,2.13857,0.66056,0.00703,0.00703,0.00703
26,2518.2,0.91972,2.60373,0.76562,0.7376,0.66338,0.71838,0.40227,0.77776,2.1312,0.65638,0.00690625,0.00690625,0.00690625
27,2614.59,0.90316,2.53905,0.76094,0.7307,0.69069,0.72817,0.40957,0.77746,2.08129,0.66189,0.0067825,0.0067825,0.0067825
28,2709.94,0.91975,2.48561,0.77388,0.76149,0.68483,0.73302,0.41072,0.81052,2.09351,0.68252,0.00665875,0.00665875,0.00665875
29,2806.61,0.95194,2.49242,0.79721,0.75641,0.69591,0.74603,0.42193,0.79359,2.02214,0.67101,0.006535,0.006535,0.006535
30,2903.38,0.94656,2.45886,0.79645,0.76503,0.705,0.73957,0.41545,0.77568,2.02002,0.66142,0.00641125,0.00641125,0.00641125
31,3000.4,0.93551,2.38892,0.78924,0.77872,0.69355,0.74364,0.41934,0.7603,1.98316,0.65012,0.0062875,0.0062875,0.0062875
32,3097.22,0.93244,2.38341,0.7894,0.77964,0.71012,0.76071,0.42962,0.75619,1.94073,0.64602,0.00616375,0.00616375,0.00616375
33,3194.14,0.92872,2.34915,0.79207,0.78932,0.69912,0.75782,0.43782,0.74925,1.95016,0.64447,0.00604,0.00604,0.00604
34,3290.72,0.93707,2.32552,0.80004,0.77383,0.71448,0.75454,0.43429,0.74486,1.93288,0.63978,0.00591625,0.00591625,0.00591625
35,3387.48,0.92521,2.28973,0.7946,0.77006,0.72194,0.75892,0.43888,0.73276,1.91223,0.63502,0.0057925,0.0057925,0.0057925
36,3484.66,0.91009,2.25778,0.79001,0.77821,0.72398,0.76292,0.44508,0.71688,1.88945,0.62455,0.00566875,0.00566875,0.00566875
37,3581.58,0.91339,2.24049,0.79404,0.80318,0.71129,0.77053,0.4512,0.71655,1.87686,0.62289,0.005545,0.005545,0.005545
38,3678.34,0.9046,2.19907,0.79005,0.79689,0.72473,0.76742,0.45036,0.74572,1.84862,0.64409,0.00542125,0.00542125,0.00542125
39,3773.44,0.89891,2.18005,0.79566,0.81508,0.71802,0.77458,0.45693,0.69453,1.84298,0.61495,0.0052975,0.0052975,0.0052975
40,3868.49,0.8979,2.15983,0.79659,0.7954,0.72586,0.77112,0.45392,0.71378,1.85384,0.62637,0.00517375,0.00517375,0.00517375
41,3964.5,0.91527,2.13451,0.80597,0.77767,0.73249,0.7662,0.45493,0.70319,1.83469,0.61797,0.00505,0.00505,0.00505
42,4061.63,0.90564,2.10814,0.80069,0.79684,0.72945,0.76702,0.4576,0.70266,1.81597,0.61914,0.00492625,0.00492625,0.00492625
43,4158.72,0.91998,2.09765,0.81626,0.80208,0.7343,0.77254,0.46155,0.70654,1.80541,0.62262,0.0048025,0.0048025,0.0048025
44,4255.61,0.91283,2.06411,0.81155,0.79756,0.7406,0.78107,0.46583,0.71398,1.78927,0.62636,0.00467875,0.00467875,0.00467875
45,4351.4,0.9101,2.03331,0.81498,0.80303,0.73553,0.78302,0.46867,0.74864,1.78043,0.6489,0.004555,0.004555,0.004555
