epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7995,0.79316,5.24048,0.69374,0.12584,0.16537,0.0581,0.02116,1.27971,10.8704,1.30033,0.000413647,0.000413647,0.000413647
2,126.683,0.88291,4.97381,0.76399,0.03128,0.06294,0.00872,0.00292,1.71842,20.5823,1.73269,0.000820039,0.000820039,0.000820039
3,187.794,0.91941,5.1618,0.78905,0.33912,0.08745,0.03438,0.01123,1.58281,23.0529,1.55308,0.00121612,0.00121612,0.00121612
4,249.378,0.91242,4.93222,0.77877,0.26123,0.21341,0.15884,0.06022,1.15084,6.95392,1.08081,0.00120359,0.00120359,0.00120359
5,310.145,0.86233,4.58067,0.75078,0.31559,0.30182,0.23208,0.09032,1.06828,4.83287,1.01961,0.00118812,0.00118812,0.00118812
6,371.461,0.86104,4.25253,0.74818,0.37256,0.3147,0.26645,0.10664,1.06091,4.23754,0.9831,0.00117266,0.00117266,0.00117266
7,432.99,0.82769,4.02577,0.73069,0.29355,0.24501,0.16923,0.07341,1.13391,6.16023,1.06119,0.00115719,0.00115719,0.00115719
8,493.401,0.80541,3.88879,0.71412,0.43233,0.39071,0.36094,0.16534,0.90512,3.88523,0.85602,0.00114172,0.00114172,0.00114172
9,553.517,0.80503,3.70693,0.71589,0.45647,0.40041,0.37694,0.16706,0.93595,3.61888,0.87277,0.00112625,0.00112625,0.00112625
10,615.012,0.78339,3.57358,0.70832,0.44307,0.43488,0.39975,0.18193,0.88695,3.53144,0.82982,0.00111078,0.00111078,0.00111078
11,676.415,0.78243,3.44882,0.70464,0.57775,0.38238,0.39628,0.17961,0.87947,3.55972,0.82949,0.00109531,0.00109531,0.00109531
12,737.981,0.79571,3.4088,0.71807,0.55555,0.40174,0.42746,0.18931,0.8536,3.34364,0.8033,0.00107984,0.00107984,0.00107984
13,799.362,0.7868,3.34119,0.71166,0.50781,0.41666,0.43107,0.20695,0.86519,3.45735,0.8264,0.00106437,0.00106437,0.00106437
14,860.61,0.79317,3.16731,0.72265,0.49133,0.43985,0.43058,0.20817,0.86685,3.27125,0.81364,0.00104891,0.00104891,0.00104891
15,922.014,0.77721,3.14255,0.71128,0.5581,0.49662,0.50015,0.24671,0.80938,2.9475,0.77044,0.00103344,0.00103344,0.00103344
16,983.604,0.78755,3.0459,0.72388,0.56211,0.51784,0.51732,0.24936,0.83143,2.84583,0.78099,0.00101797,0.00101797,0.00101797
17,1045.14,0.79064,3.01046,0.72649,0.55329,0.50605,0.51842,0.25773,0.82188,2.87025,0.77421,0.0010025,0.0010025,0.0010025
18,1105.28,0.78385,2.9573,0.72446,0.66177,0.50718,0.55211,0.2728,0.79845,2.77273,0.76658,0.000987031,0.000987031,0.000987031
19,1165.23,0.79447,2.89709,0.73346,0.59436,0.53144,0.54968,0.27854,0.79187,2.68703,0.75838,0.000971562,0.000971562,0.000971562
20,1226.71,0.79812,2.85698,0.73794,0.61739,0.56951,0.57912,0.28999,0.7725,2.6895,0.72836,0.000956094,0.000956094,0.000956094
21,1288.17,0.79285,2.79598,0.73605,0.62843,0.5414,0.56889,0.28382,0.81605,2.63118,0.76444,0.000940625,0.000940625,0.000940625
22,1349.31,0.79214,2.7361,0.73793,0.58757,0.56046,0.57434,0.29998,0.76545,2.63432,0.72447,0.000925156,0.000925156,0.000925156
23,1410.8,0.79711,2.69186,0.74527,0.61317,0.531,0.55704,0.28531,0.75064,2.6557,0.71871,0.000909688,0.000909688,0.000909688
24,1471.4,0.78138,2.62907,0.73764,0.64527,0.55562,0.59238,0.30265,0.7581,2.56038,0.7304,0.000894219,0.000894219,0.000894219
25,1533.06,0.79267,2.59417,0.74491,0.66815,0.57361,0.6035,0.30896,0.74873,2.47013,0.7159,0.00087875,0.00087875,0.00087875
