epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3168,0.4084,2.84782,0.35291,0.36949,0.46249,0.38926,0.1758,0.50593,2.36951,0.42239,0.00331019,0.00331019,0.00331019
2,121.022,0.40647,2.18975,0.33532,0.28452,0.2957,0.17765,0.07186,0.55522,4.50296,0.47443,0.0065613,0.0065613,0.0065613
3,180.816,0.52622,2.6488,0.41975,0.02541,0.02806,0.00578,0.00208,1.54694,7.21491,1.31427,0.00972992,0.00972992,0.00972992
4,241.197,0.62449,2.99068,0.48638,0.08891,0.1131,0.05367,0.01849,0.95057,17.3129,0.8554,0.00962875,0.00962875,0.00962875
5,302.97,0.53385,2.78571,0.42725,0.15995,0.17372,0.08031,0.02822,1.09774,5.13763,0.95199,0.009505,0.009505,0.009505
6,364.021,0.50134,2.64019,0.41002,0.22801,0.26551,0.15717,0.05701,0.7731,3.53684,0.66354,0.00938125,0.00938125,0.00938125
7,425.097,0.49284,2.50584,0.40312,0.36822,0.26709,0.18395,0.07378,0.70022,3.26996,0.59477,0.0092575,0.0092575,0.0092575
8,485.121,0.46888,2.43361,0.39495,0.38009,0.34124,0.28215,0.11283,0.50166,2.3895,0.43996,0.00913375,0.00913375,0.00913375
9,546.359,0.47946,2.33011,0.40353,0.39042,0.30282,0.29218,0.12653,0.70063,2.31656,0.58992,0.00901,0.00901,0.00901
10,607.654,0.47735,2.2868,0.40519,0.51413,0.37832,0.3656,0.15646,0.6456,2.15746,0.53769,0.00888625,0.00888625,0.00888625
11,668.25,0.45113,2.21589,0.38737,0.44077,0.37475,0.37578,0.1624,0.62943,2.1151,0.53684,0.0087625,0.0087625,0.0087625
12,727.806,0.47941,2.15987,0.40838,0.4884,0.38753,0.39184,0.17988,0.57044,2.02937,0.47794,0.00863875,0.00863875,0.00863875
13,787.47,0.46699,2.12371,0.40346,0.48725,0.44633,0.43741,0.197,0.60826,1.93143,0.50485,0.008515,0.008515,0.008515
14,848.175,0.47724,2.05559,0.4122,0.49028,0.44576,0.43928,0.20572,0.60654,1.86514,0.506,0.00839125,0.00839125,0.00839125
15,908.756,0.48121,2.01369,0.42161,0.55147,0.44776,0.45857,0.20745,0.58284,1.86896,0.50456,0.0082675,0.0082675,0.0082675
16,969.606,0.4576,1.97478,0.40724,0.52207,0.48777,0.48251,0.23216,0.57373,1.74025,0.48824,0.00814375,0.00814375,0.00814375
17,1030.08,0.4802,1.96011,0.42553,0.50768,0.49422,0.47895,0.2229,0.52517,1.75374,0.44929,0.00802,0.00802,0.00802
18,1090.61,0.48878,1.90387,0.4325,0.557,0.42677,0.46272,0.20977,0.63002,1.79107,0.52812,0.00789625,0.00789625,0.00789625
19,1150.92,0.49292,1.86959,0.43656,0.53604,0.50899,0.50477,0.24585,0.54827,1.68839,0.47202,0.0077725,0.0077725,0.0077725
20,1211.26,0.48711,1.83372,0.43744,0.57973,0.50971,0.52808,0.26022,0.53697,1.64182,0.45708,0.00764875,0.00764875,0.00764875
21,1271.83,0.50678,1.8178,0.45626,0.57701,0.49497,0.51306,0.25543,0.55814,1.63186,0.48129,0.007525,0.007525,0.007525
22,1332.49,0.50004,1.78221,0.45053,0.5904,0.5212,0.5385,0.26591,0.58618,1.58162,0.49577,0.00740125,0.00740125,0.00740125
23,1392.86,0.50541,1.75044,0.45682,0.61351,0.52437,0.56879,0.27911,0.53428,1.57702,0.44928,0.0072775,0.0072775,0.0072775
24,1452.5,0.5124,1.70618,0.46388,0.56866,0.53396,0.55193,0.27703,0.55388,1.54854,0.47287,0.00715375,0.00715375,0.00715375
25,1512.53,0.51641,1.69207,0.46924,0.58983,0.52981,0.53995,0.27502,0.60366,1.54208,0.51155,0.00703,0.00703,0.00703
26,1572.07,0.51272,1.65558,0.47105,0.63217,0.53162,0.57987,0.30162,0.4943,1.47866,0.42572,0.00690625,0.00690625,0.00690625
27,1632.43,0.51146,1.63154,0.47007,0.63514,0.55949,0.58214,0.30357,0.55677,1.46318,0.46669,0.0067825,0.0067825,0.0067825
28,1692.86,0.52149,1.61187,0.48083,0.61795,0.58524,0.59344,0.31066,0.52221,1.46302,0.44546,0.00665875,0.00665875,0.00665875
29,1753.49,0.53738,1.58312,0.49556,0.62863,0.56895,0.58906,0.30886,0.59,1.44139,0.50108,0.006535,0.006535,0.006535
30,1813.65,0.53206,1.55644,0.49315,0.62064,0.5832,0.60275,0.3193,0.50109,1.42533,0.43637,0.00641125,0.00641125,0.00641125
31,1874.39,0.5123,1.54039,0.47913,0.64038,0.59155,0.60726,0.32455,0.49112,1.44426,0.42557,0.0062875,0.0062875,0.0062875
32,1935.19,0.52584,1.50626,0.49281,0.64286,0.60758,0.6237,0.33383,0.47605,1.35864,0.40765,0.00616375,0.00616375,0.00616375
33,1995.94,0.51585,1.49609,0.48803,0.64746,0.57197,0.60175,0.32316,0.47275,1.37424,0.40345,0.00604,0.00604,0.00604
