epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5135,1.77562,2.93639,1.89575,0.48048,0.47385,0.44863,0.20131,1.72253,2.11307,1.7589,0.00331034,0.00331034,0.00331034
2,121.591,1.69726,2.13464,1.7973,0.26095,0.2215,0.16666,0.06406,2.17858,3.91342,2.3181,0.00656146,0.00656146,0.00656146
3,187.586,1.90145,2.69684,2.03639,0.57143,0.00975,0.00648,0.00206,3.09893,inf,4.17914,0.00973008,0.00973008,0.00973008
4,249.594,2.03032,3.08794,2.19677,0.04544,0.09717,0.03501,0.01051,2.50393,27.1679,3.05033,0.00962875,0.00962875,0.00962875
5,310.568,1.94712,2.9064,2.12315,0.18102,0.17522,0.10249,0.03686,2.31397,4.06131,2.6223,0.009505,0.009505,0.009505
6,371.327,1.85892,2.73203,2.06008,0.14543,0.21179,0.09635,0.03517,2.1917,3.9819,2.47603,0.00938125,0.00938125,0.00938125
7,432.387,1.80908,2.55691,2.00862,0.28522,0.28155,0.20271,0.08056,2.09126,3.09943,2.25117,0.0092575,0.0092575,0.0092575
8,493.016,1.76681,2.44977,1.96875,0.3439,0.33237,0.27279,0.11409,2.0255,2.4734,2.18828,0.00913375,0.00913375,0.00913375
9,553.261,1.73383,2.34918,1.93962,0.35382,0.32367,0.2769,0.11354,2.04179,2.53701,2.21506,0.00901,0.00901,0.00901
10,613.19,1.69593,2.25636,1.89647,0.4142,0.39062,0.35996,0.1552,1.9554,2.10853,2.13976,0.00888625,0.00888625,0.00888625
11,673.527,1.6722,2.16413,1.87564,0.46589,0.3324,0.32018,0.14238,1.93241,2.19109,2.10417,0.0087625,0.0087625,0.0087625
12,734.148,1.63786,2.07959,1.84393,0.45087,0.42749,0.41504,0.18553,1.88065,1.9655,2.0464,0.00863875,0.00863875,0.00863875
13,794.946,1.62472,2.02353,1.82785,0.42935,0.33234,0.32054,0.14449,1.93441,2.29812,2.10155,0.008515,0.008515,0.008515
14,855.664,1.60051,1.961,1.80986,0.52096,0.3812,0.39349,0.17892,1.91187,1.97843,2.05389,0.00839125,0.00839125,0.00839125
