epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3481,0.80883,5.19578,0.74939,0.51396,0.41049,0.4195,0.17174,0.93419,3.85713,0.80899,0.00331019,0.00331019,0.00331019
2,123.299,0.72322,3.93356,0.65701,0.32052,0.32037,0.26652,0.10728,1.041,5.50412,0.92142,0.0065613,0.0065613,0.0065613
3,185.27,0.88717,4.74254,0.7685,0.04565,0.10549,0.02005,0.00661,1.55071,57.6111,1.62485,0.00972992,0.00972992,0.00972992
4,246.18,0.93993,5.42215,0.81612,0.12519,0.1514,0.06819,0.02177,1.40683,15.4738,1.33591,0.00962875,0.00962875,0.00962875
5,306.5,0.91576,5.06563,0.80902,0.26131,0.25305,0.16618,0.05775,1.15038,6.42545,1.02554,0.009505,0.009505,0.009505
6,366.373,0.91291,4.74289,0.80437,0.40536,0.25683,0.2286,0.07933,1.14881,5.83411,1.01092,0.00938125,0.00938125,0.00938125
7,427.06,0.87925,4.49957,0.77592,0.34297,0.29348,0.25071,0.10166,1.0236,5.14048,0.90108,0.0092575,0.0092575,0.0092575
8,487.739,0.88691,4.33585,0.785,0.41864,0.32352,0.30869,0.13043,1.04685,4.45756,0.92444,0.00913375,0.00913375,0.00913375
9,547.57,0.86318,4.14102,0.7713,0.55794,0.34872,0.34912,0.14126,1.02349,4.085,0.89657,0.00901,0.00901,0.00901
10,608.496,0.84458,4.0059,0.75649,0.41379,0.39564,0.35583,0.15086,0.93427,4.0395,0.81617,0.00888625,0.00888625,0.00888625
11,668.831,0.85394,3.92798,0.76597,0.49751,0.38312,0.38509,0.15203,1.07002,3.7323,0.92285,0.0087625,0.0087625,0.0087625
12,729.051,0.86418,3.78948,0.77575,0.56741,0.37307,0.41793,0.19008,1.02942,3.46192,0.88544,0.00863875,0.00863875,0.00863875
13,789.656,0.85706,3.67971,0.77077,0.5387,0.45409,0.47197,0.20386,1.00958,3.23508,0.8833,0.008515,0.008515,0.008515
14,850.322,0.84074,3.61459,0.75977,0.54428,0.42273,0.45576,0.19679,0.9776,3.37209,0.85231,0.00839125,0.00839125,0.00839125
15,911.748,0.83904,3.49862,0.7626,0.56006,0.44881,0.47063,0.21592,0.97714,3.23898,0.83124,0.0082675,0.0082675,0.0082675
16,972.508,0.85222,3.40714,0.77188,0.545,0.49904,0.50977,0.23047,0.93297,3.00422,0.81047,0.00814375,0.00814375,0.00814375
17,1033.18,0.87876,3.36177,0.79284,0.55568,0.51781,0.52514,0.24879,0.87871,2.88031,0.76284,0.00802,0.00802,0.00802
18,1093.89,0.88128,3.28109,0.79242,0.60582,0.48756,0.50532,0.23432,0.94118,3.00308,0.81113,0.00789625,0.00789625,0.00789625
19,1154.65,0.87225,3.23635,0.7928,0.59579,0.48568,0.51601,0.23888,0.94462,2.93888,0.83181,0.0077725,0.0077725,0.0077725
20,1214.55,0.87853,3.16245,0.79819,0.60187,0.50957,0.53991,0.25766,0.91183,2.92467,0.79565,0.00764875,0.00764875,0.00764875
21,1275.61,0.88507,3.1016,0.8062,0.58754,0.52394,0.52925,0.25954,0.9143,2.78407,0.80152,0.007525,0.007525,0.007525
22,1336.19,0.8746,3.0335,0.8049,0.64168,0.52813,0.55501,0.26343,0.85538,2.77218,0.74677,0.00740125,0.00740125,0.00740125
23,1396.86,0.88046,2.98304,0.80939,0.61973,0.53598,0.56797,0.27531,0.88794,2.68755,0.78011,0.0072775,0.0072775,0.0072775
24,1457.61,0.90444,2.94314,0.8247,0.60821,0.57595,0.58761,0.28462,0.87552,2.65928,0.7665,0.00715375,0.00715375,0.00715375
25,1518.33,0.88421,2.89006,0.8133,0.66766,0.55175,0.5948,0.29499,0.90453,2.61407,0.79216,0.00703,0.00703,0.00703
26,1578.3,0.86499,2.79899,0.80431,0.67859,0.56714,0.60557,0.3046,0.84915,2.5362,0.74697,0.00690625,0.00690625,0.00690625
27,1638.87,0.88025,2.79208,0.81654,0.68583,0.56311,0.61335,0.302,0.88431,2.58241,0.77007,0.0067825,0.0067825,0.0067825
28,1699.5,0.89534,2.74475,0.82827,0.64113,0.59496,0.60485,0.30409,0.86864,2.55247,0.76817,0.00665875,0.00665875,0.00665875
29,1759.1,0.90525,2.71621,0.84217,0.65466,0.5682,0.6036,0.30519,0.85436,2.56918,0.75493,0.006535,0.006535,0.006535
30,1821.16,0.89198,2.62611,0.82921,0.67714,0.61676,0.64386,0.33031,0.84399,2.41733,0.74514,0.00641125,0.00641125,0.00641125
31,1882.75,0.88905,2.59879,0.83271,0.69494,0.59805,0.64569,0.32828,0.87141,2.34754,0.76607,0.0062875,0.0062875,0.0062875
32,1943.95,0.88494,2.5686,0.83156,0.67118,0.59925,0.63106,0.32706,0.8504,2.34917,0.75777,0.00616375,0.00616375,0.00616375
33,2004.98,0.89227,2.50174,0.842,0.68765,0.59731,0.64772,0.33722,0.8105,2.32437,0.72777,0.00604,0.00604,0.00604
34,2066.1,0.88877,2.49292,0.83817,0.76048,0.60251,0.65799,0.33876,0.87591,2.3346,0.76567,0.00591625,0.00591625,0.00591625
35,2126.32,0.87636,2.42285,0.83216,0.71385,0.58932,0.64767,0.33518,0.86794,2.31354,0.77222,0.0057925,0.0057925,0.0057925
36,2186.4,0.89048,2.40962,0.84525,0.72129,0.61139,0.66587,0.35029,0.86038,2.24548,0.76049,0.00566875,0.00566875,0.00566875
37,2247.66,0.89015,2.39785,0.84943,0.71123,0.61895,0.66417,0.34846,0.84844,2.2929,0.75231,0.005545,0.005545,0.005545
38,2308.81,0.88627,2.33845,0.84592,0.74039,0.61987,0.67996,0.35492,0.85678,2.2266,0.763,0.00542125,0.00542125,0.00542125
39,2370.62,0.89122,2.31296,0.85017,0.71529,0.64045,0.6769,0.3563,0.82619,2.17503,0.73484,0.0052975,0.0052975,0.0052975
40,2431.77,0.88924,2.2754,0.85228,0.71979,0.66348,0.68534,0.36336,0.80064,2.23023,0.72232,0.00517375,0.00517375,0.00517375
41,2492.96,0.90119,2.21886,0.8657,0.76502,0.63058,0.68683,0.36564,0.82059,2.20121,0.73496,0.00505,0.00505,0.00505
42,2554.15,0.89533,2.22199,0.86278,0.74639,0.63635,0.68238,0.37022,0.80424,2.14943,0.72645,0.00492625,0.00492625,0.00492625
43,2614.65,0.89174,2.16105,0.86053,0.7404,0.64589,0.68999,0.37737,0.78289,2.1393,0.7093,0.0048025,0.0048025,0.0048025
44,2675.95,0.89596,2.14323,0.86833,0.74046,0.64503,0.6852,0.36243,0.77722,2.18144,0.71077,0.00467875,0.00467875,0.00467875
45,2737.17,0.89898,2.13556,0.8749,0.75267,0.63999,0.69141,0.37259,0.79237,2.12961,0.71946,0.004555,0.004555,0.004555
