epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9021,0.47963,2.59132,0.37972,0.52693,0.40781,0.42521,0.17108,0.59283,1.83567,0.41991,0.00331019,0.00331019,0.00331019
2,120.042,0.49964,1.88317,0.36244,0.3035,0.20953,0.17305,0.06422,0.80999,3.13988,0.59414,0.0065613,0.0065613,0.0065613
3,179.979,0.66905,2.30602,0.46795,0.06995,0.05137,0.01215,0.00331,1.80561,11.2799,1.66843,0.00972992,0.00972992,0.00972992
4,241.296,0.74691,2.61543,0.50945,0.11307,0.09319,0.04593,0.01375,1.29358,13.5562,0.99478,0.00962875,0.00962875,0.00962875
5,301.258,0.72564,2.40474,0.49298,0.30379,0.18027,0.1129,0.0355,1.09631,3.81914,0.76901,0.009505,0.009505,0.009505
6,362.088,0.74929,2.24485,0.50615,0.41126,0.21746,0.19267,0.06862,0.90638,2.45178,0.61873,0.00938125,0.00938125,0.00938125
7,423.063,0.7159,2.10525,0.49328,0.3446,0.30319,0.23595,0.08464,0.88024,2.33648,0.60263,0.0092575,0.0092575,0.0092575
8,483.376,0.72844,1.9989,0.49845,0.3943,0.36152,0.32451,0.12742,0.76235,1.89308,0.5189,0.00913375,0.00913375,0.00913375
9,543.956,0.72137,1.89671,0.49858,0.43101,0.37361,0.34584,0.13001,0.76013,1.83221,0.52269,0.00901,0.00901,0.00901
10,604.327,0.68279,1.83298,0.47935,0.4301,0.41698,0.38161,0.14936,0.72266,1.77366,0.50044,0.00888625,0.00888625,0.00888625
11,664.667,0.69408,1.77581,0.48922,0.44908,0.44828,0.40891,0.16264,0.7691,1.61164,0.5123,0.0087625,0.0087625,0.0087625
12,725.212,0.67302,1.71729,0.47698,0.56342,0.44201,0.46371,0.18401,0.76167,1.50868,0.51792,0.00863875,0.00863875,0.00863875
13,785.604,0.68918,1.65906,0.4946,0.55595,0.46611,0.45029,0.1757,0.75359,1.51343,0.51653,0.008515,0.008515,0.008515
14,846.004,0.68748,1.63574,0.49563,0.52281,0.47623,0.46802,0.19388,0.70915,1.44744,0.49473,0.00839125,0.00839125,0.00839125
15,906.331,0.68734,1.57928,0.50461,0.57797,0.45942,0.49016,0.21192,0.70287,1.39642,0.49444,0.0082675,0.0082675,0.0082675
16,966.825,0.71018,1.53098,0.51878,0.61007,0.52157,0.53862,0.22383,0.66073,1.33903,0.46043,0.00814375,0.00814375,0.00814375
