epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8778,0.40508,2.81039,0.35047,0.42607,0.4001,0.35426,0.14784,0.52476,2.37914,0.43682,0.00331019,0.00331019,0.00331019
2,121.652,0.39104,2.17472,0.3265,0.21118,0.18057,0.08765,0.03196,0.82348,4.78154,0.75425,0.0065613,0.0065613,0.0065613
3,181.936,0.48896,2.61287,0.39634,0.04426,0.08333,0.01928,0.00595,1.23471,10.0356,1.16369,0.00972992,0.00972992,0.00972992
4,241.305,0.53422,2.95057,0.43064,0.51968,0.04471,0.01628,0.00523,1.24108,16.8175,1.30557,0.00962875,0.00962875,0.00962875
5,300.877,0.49651,2.77504,0.41307,0.23769,0.19633,0.14107,0.05093,0.67757,3.42224,0.57232,0.009505,0.009505,0.009505
6,361.194,0.51184,2.60815,0.42399,0.51491,0.24883,0.20361,0.07474,0.67351,3.01585,0.56728,0.00938125,0.00938125,0.00938125
7,422.009,0.51041,2.50775,0.42906,0.38819,0.3029,0.2428,0.09141,0.76241,2.6713,0.65103,0.0092575,0.0092575,0.0092575
8,482.779,0.50568,2.41362,0.42592,0.43056,0.31662,0.27401,0.1114,0.62835,2.50305,0.52897,0.00913375,0.00913375,0.00913375
9,542.829,0.49334,2.32607,0.42052,0.47669,0.31737,0.3469,0.14295,0.589,2.19478,0.49615,0.00901,0.00901,0.00901
10,602.818,0.49464,2.2567,0.42345,0.44245,0.39612,0.36954,0.15668,0.63208,2.10825,0.53082,0.00888625,0.00888625,0.00888625
11,662.385,0.49253,2.2013,0.42261,0.52897,0.36561,0.37051,0.15438,0.55807,2.0567,0.47465,0.0087625,0.0087625,0.0087625
12,721.564,0.47564,2.14293,0.41792,0.48991,0.37734,0.40728,0.18261,0.64847,1.9431,0.55117,0.00863875,0.00863875,0.00863875
13,780.911,0.49122,2.08083,0.43375,0.48437,0.42109,0.38156,0.171,0.50276,1.97224,0.43291,0.008515,0.008515,0.008515
14,840.657,0.47819,2.05724,0.42492,0.48731,0.44809,0.44348,0.20027,0.48752,1.88392,0.4243,0.00839125,0.00839125,0.00839125
15,900.948,0.48686,1.99012,0.43592,0.56181,0.41552,0.44531,0.20201,0.73723,1.88567,0.61353,0.0082675,0.0082675,0.0082675
16,960.626,0.49869,1.94748,0.45079,0.54842,0.48582,0.48048,0.2221,0.48843,1.7472,0.42894,0.00814375,0.00814375,0.00814375
17,1019.88,0.507,1.93049,0.46095,0.5238,0.5035,0.4866,0.23323,0.54903,1.75436,0.46592,0.00802,0.00802,0.00802
18,1080.07,0.50454,1.87874,0.45809,0.54266,0.49595,0.50062,0.23753,0.48551,1.69644,0.41384,0.00789625,0.00789625,0.00789625
19,1140.44,0.51199,1.85747,0.46812,0.56935,0.49684,0.50978,0.23075,0.5789,1.70427,0.49516,0.0077725,0.0077725,0.0077725
20,1200.63,0.52681,1.82038,0.48079,0.5848,0.4552,0.48864,0.23794,0.43602,1.75366,0.38281,0.00764875,0.00764875,0.00764875
21,1260.81,0.50875,1.79032,0.47129,0.5803,0.50317,0.52188,0.25243,0.48119,1.62974,0.41727,0.007525,0.007525,0.007525
22,1320.96,0.51727,1.74974,0.4816,0.6035,0.53561,0.55389,0.26326,0.50265,1.58311,0.4266,0.00740125,0.00740125,0.00740125
23,1381.02,0.52954,1.73089,0.49161,0.59988,0.53727,0.54784,0.26899,0.45788,1.57026,0.3906,0.0072775,0.0072775,0.0072775
24,1441.01,0.54775,1.69774,0.50718,0.60047,0.54125,0.54951,0.27333,0.46921,1.55093,0.40016,0.00715375,0.00715375,0.00715375
25,1501.11,0.54906,1.67331,0.5091,0.68528,0.52455,0.58748,0.29776,0.50714,1.49245,0.4352,0.00703,0.00703,0.00703
26,1561.24,0.53692,1.61912,0.50595,0.65985,0.56086,0.60045,0.30789,0.6302,1.46999,0.52602,0.00690625,0.00690625,0.00690625
27,1621.36,0.54214,1.62326,0.51375,0.62653,0.5655,0.60014,0.30638,0.48341,1.46205,0.41185,0.0067825,0.0067825,0.0067825
28,1681.47,0.54218,1.58368,0.51433,0.62371,0.59374,0.60353,0.30853,0.46126,1.46254,0.40055,0.00665875,0.00665875,0.00665875
29,1741.32,0.55666,1.57493,0.53025,0.6348,0.56163,0.59358,0.30671,0.4827,1.46639,0.42424,0.006535,0.006535,0.006535
30,1801.38,0.57113,1.52806,0.54269,0.65764,0.56321,0.60662,0.31257,0.47823,1.43331,0.4169,0.00641125,0.00641125,0.00641125
31,1861.45,0.56693,1.49864,0.54104,0.68885,0.57146,0.62689,0.32817,0.49411,1.4052,0.43371,0.0062875,0.0062875,0.0062875
32,1921.47,0.56746,1.48011,0.5455,0.67455,0.59208,0.62364,0.32481,0.48213,1.40432,0.41889,0.00616375,0.00616375,0.00616375
33,1981.47,0.56758,1.45404,0.55044,0.70479,0.61257,0.6396,0.33481,0.48595,1.36493,0.42797,0.00604,0.00604,0.00604
34,2041.69,0.57325,1.44679,0.55533,0.71545,0.60531,0.64464,0.3392,0.474,1.35882,0.41005,0.00591625,0.00591625,0.00591625
35,2101.62,0.56866,1.41435,0.55595,0.6586,0.59901,0.62582,0.3316,0.46119,1.34891,0.40658,0.0057925,0.0057925,0.0057925
36,2161.97,0.58435,1.40236,0.56914,0.65485,0.61213,0.63425,0.34138,0.44199,1.35657,0.3914,0.00566875,0.00566875,0.00566875
37,2221.26,0.58267,1.38445,0.57132,0.76234,0.59206,0.66085,0.352,0.43748,1.27739,0.38593,0.005545,0.005545,0.005545
38,2280.89,0.59162,1.35507,0.57768,0.73674,0.61445,0.67279,0.36675,0.43243,1.27849,0.37897,0.00542125,0.00542125,0.00542125
39,2340.81,0.59522,1.34128,0.58434,0.7024,0.6077,0.662,0.3573,0.42625,1.29185,0.37095,0.0052975,0.0052975,0.0052975
40,2400.49,0.59871,1.31819,0.58887,0.66377,0.65746,0.66771,0.36349,0.52484,1.286,0.45195,0.00517375,0.00517375,0.00517375
41,2460.56,0.61179,1.29497,0.60422,0.73122,0.61942,0.66824,0.36696,0.47001,1.25972,0.41449,0.00505,0.00505,0.00505
42,2520.57,0.60499,1.2804,0.60066,0.73015,0.6336,0.67154,0.36787,0.44988,1.25699,0.3947,0.00492625,0.00492625,0.00492625
43,2580.73,0.60789,1.24259,0.60503,0.74009,0.63113,0.68373,0.37172,0.44632,1.22211,0.38835,0.0048025,0.0048025,0.0048025
44,2640.87,0.61519,1.23483,0.6136,0.7604,0.63739,0.67082,0.36212,0.45295,1.22819,0.39558,0.00467875,0.00467875,0.00467875
45,2701.22,0.61054,1.22585,0.61765,0.70598,0.64976,0.67143,0.37417,0.43694,1.24528,0.38417,0.004555,0.004555,0.004555
46,2761.59,0.62008,1.19684,0.62327,0.74652,0.62779,0.68237,0.37624,0.46123,1.21464,0.40217,0.00443125,0.00443125,0.00443125
47,2821.55,0.62451,1.19281,0.63089,0.75412,0.63616,0.68073,0.37409,0.45023,1.22394,0.39232,0.0043075,0.0043075,0.0043075
48,2881.83,0.61549,1.16658,0.62624,0.73008,0.64334,0.68774,0.376,0.46242,1.19914,0.40878,0.00418375,0.00418375,0.00418375
49,2941.86,0.62677,1.15953,0.63945,0.73987,0.64967,0.69245,0.38177,0.45899,1.20607,0.40575,0.00406,0.00406,0.00406
50,3001.95,0.63365,1.1413,0.64351,0.72938,0.66036,0.69878,0.38835,0.45561,1.20802,0.40287,0.00393625,0.00393625,0.00393625
