epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6564,0.40855,2.80825,0.35093,0.5289,0.45541,0.45014,0.20063,0.45135,1.89303,0.36632,0.00331019,0.00331019,0.00331019
2,120.922,0.38544,2.17183,0.32125,0.2674,0.24319,0.18743,0.07342,0.62232,3.09527,0.56112,0.0065613,0.0065613,0.0065613
3,182.121,0.48271,2.61219,0.3918,0.02143,0.15131,0.0136,0.00448,0.96426,26.9731,0.98728,0.00972992,0.00972992,0.00972992
4,242.642,0.54724,2.94574,0.44004,0.16567,0.14339,0.06563,0.02358,1.00644,7.37032,0.90743,0.00962875,0.00962875,0.00962875
5,303.769,0.52266,2.76865,0.42164,0.18796,0.18422,0.11513,0.04102,0.79494,4.36441,0.65049,0.009505,0.009505,0.009505
6,364.78,0.51963,2.62152,0.42269,0.52977,0.2208,0.20041,0.07159,0.59472,2.74961,0.50633,0.00938125,0.00938125,0.00938125
7,424.406,0.51705,2.5067,0.42661,0.30248,0.26325,0.24268,0.09683,0.76262,2.61807,0.64755,0.0092575,0.0092575,0.0092575
8,484.084,0.49831,2.38767,0.41162,0.41344,0.33019,0.30374,0.12367,0.75324,2.52212,0.60575,0.00913375,0.00913375,0.00913375
9,543.679,0.47796,2.31415,0.40225,0.3849,0.3295,0.29943,0.1246,0.7258,2.19676,0.59673,0.00901,0.00901,0.00901
10,603.35,0.46259,2.24267,0.39533,0.4449,0.38398,0.35412,0.14966,0.53337,2.22991,0.46708,0.00888625,0.00888625,0.00888625
11,662.918,0.47303,2.19026,0.40384,0.4291,0.38303,0.36591,0.15229,0.6764,2.12407,0.57592,0.0087625,0.0087625,0.0087625
12,722.5,0.47314,2.12488,0.40904,0.45339,0.36788,0.36021,0.15326,0.76254,2.1283,0.63335,0.00863875,0.00863875,0.00863875
13,782.159,0.48579,2.07291,0.42035,0.49534,0.4137,0.42874,0.18559,0.65902,1.87769,0.57127,0.008515,0.008515,0.008515
14,842.81,0.46801,2.03536,0.40874,0.50382,0.42249,0.42937,0.19624,0.55129,1.95914,0.47591,0.00839125,0.00839125,0.00839125
15,903.742,0.47282,1.98065,0.41377,0.55584,0.45209,0.45798,0.21195,0.54365,1.80637,0.46028,0.0082675,0.0082675,0.0082675
16,964.472,0.4802,1.95178,0.4251,0.564,0.49256,0.50277,0.225,0.58402,1.76681,0.49209,0.00814375,0.00814375,0.00814375
17,1025.14,0.48189,1.92351,0.42627,0.54227,0.51828,0.50406,0.24139,0.57371,1.74406,0.48756,0.00802,0.00802,0.00802
18,1085.89,0.48066,1.89176,0.43005,0.53671,0.46286,0.47354,0.22027,0.63853,1.73722,0.53808,0.00789625,0.00789625,0.00789625
19,1146.62,0.47939,1.8508,0.43064,0.57764,0.48137,0.49602,0.22909,0.46875,1.68141,0.40107,0.0077725,0.0077725,0.0077725
20,1207.53,0.48651,1.81731,0.43754,0.56505,0.47465,0.50923,0.25293,0.49906,1.64781,0.42192,0.00764875,0.00764875,0.00764875
21,1268.82,0.46217,1.78595,0.42368,0.56465,0.52189,0.51272,0.25667,0.57545,1.63943,0.50083,0.007525,0.007525,0.007525
22,1329.1,0.48215,1.7536,0.4439,0.6047,0.53774,0.55115,0.26588,0.51285,1.57247,0.43363,0.00740125,0.00740125,0.00740125
23,1389.61,0.49908,1.72872,0.45566,0.62872,0.54062,0.5497,0.26761,0.4802,1.5811,0.40852,0.0072775,0.0072775,0.0072775
24,1449.15,0.49723,1.70507,0.45792,0.58849,0.53311,0.53055,0.2678,0.51244,1.56783,0.43346,0.00715375,0.00715375,0.00715375
25,1508.69,0.50092,1.68127,0.46006,0.60275,0.55554,0.5768,0.28937,0.52749,1.50815,0.4475,0.00703,0.00703,0.00703
26,1569.16,0.4926,1.63062,0.45797,0.64101,0.5436,0.58269,0.29488,0.50802,1.50071,0.43337,0.00690625,0.00690625,0.00690625
27,1630.27,0.51029,1.62054,0.47613,0.66248,0.56315,0.60563,0.29813,0.51858,1.45306,0.44404,0.0067825,0.0067825,0.0067825
28,1691.27,0.50847,1.58641,0.4762,0.65986,0.55221,0.60083,0.2978,0.50442,1.44353,0.43258,0.00665875,0.00665875,0.00665875
29,1751.75,0.52535,1.56836,0.48808,0.6602,0.57637,0.61743,0.32063,0.51238,1.41443,0.44492,0.006535,0.006535,0.006535
30,1812.57,0.53288,1.52979,0.49422,0.63899,0.61971,0.6315,0.32754,0.48731,1.37028,0.41645,0.00641125,0.00641125,0.00641125
31,1873.54,0.5237,1.50154,0.49187,0.69572,0.55662,0.62473,0.32447,0.47701,1.38795,0.40564,0.0062875,0.0062875,0.0062875
32,1935.11,0.51281,1.48327,0.48668,0.70368,0.57161,0.62639,0.32344,0.47658,1.38169,0.4141,0.00616375,0.00616375,0.00616375
33,1995.73,0.52051,1.45761,0.49666,0.63307,0.6163,0.62819,0.32831,0.49193,1.37727,0.43047,0.00604,0.00604,0.00604
34,2056.47,0.52588,1.45668,0.50169,0.72066,0.57548,0.62988,0.33482,0.48863,1.36887,0.41865,0.00591625,0.00591625,0.00591625
35,2116.71,0.51584,1.41629,0.4973,0.66002,0.5843,0.62248,0.32867,0.46037,1.34931,0.39816,0.0057925,0.0057925,0.0057925
36,2177.56,0.51924,1.40042,0.50288,0.64088,0.59783,0.6174,0.33373,0.44741,1.34486,0.39567,0.00566875,0.00566875,0.00566875
37,2237.58,0.53233,1.38847,0.51372,0.69875,0.61574,0.65915,0.35199,0.45969,1.31115,0.40372,0.005545,0.005545,0.005545
38,2297.37,0.5304,1.36762,0.51114,0.71162,0.62687,0.65801,0.35002,0.44391,1.29453,0.38472,0.00542125,0.00542125,0.00542125
39,2357.79,0.54534,1.34118,0.52673,0.73133,0.61415,0.66831,0.35912,0.49967,1.29378,0.43125,0.0052975,0.0052975,0.0052975
40,2418.06,0.54587,1.32258,0.5277,0.70026,0.62328,0.66423,0.36277,0.42756,1.25227,0.37338,0.00517375,0.00517375,0.00517375
41,2477.52,0.56243,1.2955,0.54361,0.71733,0.62383,0.6652,0.36064,0.48235,1.27245,0.41521,0.00505,0.00505,0.00505
42,2537.48,0.54648,1.27871,0.53159,0.7274,0.61439,0.66294,0.36059,0.46901,1.27568,0.41174,0.00492625,0.00492625,0.00492625
43,2597.92,0.55038,1.25028,0.537,0.71945,0.64222,0.67817,0.37951,0.48248,1.22703,0.41925,0.0048025,0.0048025,0.0048025
44,2658.42,0.55587,1.22816,0.54393,0.74993,0.61447,0.6674,0.36047,0.47804,1.26349,0.41905,0.00467875,0.00467875,0.00467875
45,2719.63,0.55331,1.23435,0.55027,0.77566,0.63357,0.69194,0.37999,0.47497,1.22675,0.41713,0.004555,0.004555,0.004555
46,2781.04,0.5594,1.20093,0.55509,0.72667,0.65207,0.68469,0.37132,0.47262,1.22869,0.41147,0.00443125,0.00443125,0.00443125
47,2841.68,0.56513,1.2019,0.55959,0.75592,0.65115,0.69367,0.3827,0.45242,1.18476,0.39402,0.0043075,0.0043075,0.0043075
48,2902.36,0.56016,1.16744,0.55613,0.74283,0.67216,0.70096,0.38361,0.44294,1.16704,0.38382,0.00418375,0.00418375,0.00418375
49,2962.93,0.57027,1.16392,0.56737,0.74313,0.64192,0.69205,0.38381,0.4424,1.19454,0.38773,0.00406,0.00406,0.00406
50,3023.55,0.57284,1.15151,0.57178,0.75967,0.642,0.68922,0.38246,0.47364,1.19857,0.41292,0.00393625,0.00393625,0.00393625
51,3083.96,0.56826,1.12825,0.56851,0.71637,0.67736,0.69568,0.38444,0.45596,1.18421,0.39844,0.0038125,0.0038125,0.0038125
52,3143.43,0.5651,1.10569,0.5703,0.75242,0.64869,0.70027,0.39075,0.44033,1.15339,0.38947,0.00368875,0.00368875,0.00368875
53,3203.84,0.57048,1.10749,0.5769,0.77402,0.65612,0.70217,0.39452,0.45251,1.16633,0.39666,0.003565,0.003565,0.003565
54,3264.5,0.57301,1.07471,0.58239,0.75877,0.66405,0.70526,0.39872,0.44926,1.16708,0.39391,0.00344125,0.00344125,0.00344125
55,3324.97,0.57522,1.05479,0.58389,0.74538,0.68041,0.71272,0.40385,0.46626,1.14797,0.40728,0.0033175,0.0033175,0.0033175
56,3386.16,0.57425,1.05687,0.58737,0.79208,0.65202,0.7228,0.40363,0.40725,1.13236,0.35713,0.00319375,0.00319375,0.00319375
57,3445.99,0.5767,1.03284,0.59205,0.75391,0.66868,0.71297,0.40304,0.4957,1.13344,0.4329,0.00307,0.00307,0.00307
58,3506.55,0.57066,1.01868,0.5902,0.76312,0.6631,0.70574,0.4005,0.46133,1.13574,0.40772,0.00294625,0.00294625,0.00294625
59,3567.31,0.57617,1.00819,0.59222,0.73246,0.67145,0.70194,0.39765,0.44645,1.18017,0.397,0.0028225,0.0028225,0.0028225
60,3628,0.57551,1.00287,0.59731,0.76921,0.6623,0.71529,0.40621,0.45511,1.13221,0.40346,0.00269875,0.00269875,0.00269875
61,3688.31,0.58332,0.98398,0.60607,0.7786,0.6656,0.71969,0.40328,0.45422,1.14334,0.40415,0.002575,0.002575,0.002575
62,3748.99,0.58724,0.95845,0.61168,0.75902,0.67224,0.72026,0.407,0.45979,1.14329,0.40615,0.00245125,0.00245125,0.00245125
63,3809.46,0.59308,0.95924,0.6161,0.75727,0.68012,0.7226,0.40851,0.46349,1.12311,0.40783,0.0023275,0.0023275,0.0023275
64,3870.11,0.58238,0.92981,0.61079,0.78666,0.64643,0.71439,0.40389,0.46404,1.14216,0.41064,0.00220375,0.00220375,0.00220375
65,3930.9,0.58995,0.93411,0.61896,0.7756,0.65952,0.7149,0.40615,0.46791,1.1482,0.41395,0.00208,0.00208,0.00208
66,3990.63,0.57905,0.91069,0.61187,0.77035,0.66594,0.72195,0.41171,0.47001,1.15391,0.41641,0.00195625,0.00195625,0.00195625
67,4051.55,0.58905,0.91481,0.62609,0.76734,0.66556,0.71836,0.40671,0.46837,1.16279,0.41756,0.0018325,0.0018325,0.0018325
68,4112.07,0.58679,0.8946,0.62762,0.76449,0.67052,0.72142,0.40908,0.46195,1.16399,0.41187,0.00170875,0.00170875,0.00170875
69,4172.39,0.5825,0.87681,0.62676,0.78008,0.6732,0.72341,0.41005,0.47569,1.15131,0.42283,0.001585,0.001585,0.001585
70,4232.82,0.58682,0.86674,0.63376,0.77231,0.68844,0.72622,0.41591,0.45481,1.13871,0.40649,0.00146125,0.00146125,0.00146125
71,4295.69,0.59219,0.58523,0.65505,0.77604,0.66894,0.71608,0.41318,0.47315,1.14923,0.41805,0.0013375,0.0013375,0.0013375
