epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6913,0.91516,5.11793,0.8016,0.49537,0.47409,0.4491,0.19294,1.00214,3.5064,0.83559,0.00331019,0.00331019,0.00331019
2,121.355,0.84539,3.87986,0.71078,0.45662,0.31328,0.29956,0.12205,1.15093,5.00251,0.94444,0.0065613,0.0065613,0.0065613
3,183.489,0.96721,4.71369,0.803,0.03965,0.05691,0.00926,0.0034,2.43645,48.9459,2.47727,0.00972992,0.00972992,0.00972992
4,244.433,1.11726,5.30257,0.90499,0.04794,0.16652,0.03513,0.01186,1.8464,24.4954,1.82182,0.00962875,0.00962875,0.00962875
5,304.901,1.12098,4.96186,0.90104,0.16925,0.18589,0.09573,0.03228,1.92638,9.54002,1.52086,0.009505,0.009505,0.009505
6,365.254,1.10317,4.63829,0.88193,0.25457,0.33667,0.21976,0.07357,1.34351,4.74777,1.06404,0.00938125,0.00938125,0.00938125
7,425.13,1.04775,4.38849,0.84924,0.35734,0.35499,0.29351,0.11163,1.36176,4.91883,1.11507,0.0092575,0.0092575,0.0092575
8,484.889,1.08055,4.17058,0.86865,0.43958,0.27262,0.25958,0.10526,1.21833,4.62898,0.99432,0.00913375,0.00913375,0.00913375
9,544.524,1.01875,4.01053,0.83861,0.54049,0.3427,0.36891,0.15015,1.22125,3.70438,0.96791,0.00901,0.00901,0.00901
10,604.847,1.02668,3.86381,0.83839,0.41491,0.44165,0.38653,0.15538,1.20487,3.70344,0.9658,0.00888625,0.00888625,0.00888625
11,665.048,1.01894,3.77907,0.83351,0.50235,0.40004,0.39326,0.15414,1.32642,3.66887,1.05656,0.0087625,0.0087625,0.0087625
12,725.458,1.01533,3.672,0.83781,0.46418,0.4139,0.39345,0.16411,1.28337,3.60943,1.00313,0.00863875,0.00863875,0.00863875
13,785.424,1.04164,3.52211,0.85445,0.51717,0.44561,0.4283,0.18031,1.18107,3.30665,0.94864,0.008515,0.008515,0.008515
14,845.728,1.00503,3.48791,0.83095,0.54827,0.4548,0.46803,0.21009,1.20828,3.14708,0.95786,0.00839125,0.00839125,0.00839125
15,906.005,1.01112,3.37647,0.83496,0.56035,0.48225,0.48089,0.21497,1.14094,3.12758,0.90801,0.0082675,0.0082675,0.0082675
16,966.361,0.9951,3.29383,0.83087,0.61237,0.46264,0.50583,0.22481,1.11349,3.01065,0.89347,0.00814375,0.00814375,0.00814375
17,1026.61,1.01401,3.2504,0.84599,0.53781,0.52088,0.51312,0.24213,1.10363,2.89906,0.88515,0.00802,0.00802,0.00802
18,1086.83,1.03127,3.1676,0.85407,0.59138,0.51547,0.53087,0.25244,1.16312,2.83461,0.9232,0.00789625,0.00789625,0.00789625
19,1146.67,1.00497,3.10148,0.84016,0.61752,0.52817,0.56028,0.2489,1.03426,2.77376,0.83911,0.0077725,0.0077725,0.0077725
20,1206.77,1.01333,3.04476,0.84863,0.61527,0.52333,0.54608,0.25777,1.0883,2.78515,0.87803,0.00764875,0.00764875,0.00764875
21,1266.81,1.01281,2.989,0.85243,0.61709,0.54538,0.55467,0.27014,1.01295,2.67173,0.82787,0.007525,0.007525,0.007525
22,1327.01,1.02227,2.913,0.86266,0.66516,0.5406,0.57714,0.27486,0.98522,2.61678,0.80747,0.00740125,0.00740125,0.00740125
23,1387.18,1.01762,2.86118,0.8636,0.69816,0.54335,0.59507,0.28442,1.01354,2.63446,0.82766,0.0072775,0.0072775,0.0072775
24,1448,1.01142,2.81681,0.85901,0.65891,0.55374,0.59197,0.28405,0.99446,2.48672,0.8248,0.00715375,0.00715375,0.00715375
25,1508.04,0.99139,2.79109,0.84547,0.67755,0.55681,0.61031,0.29946,0.97237,2.45247,0.79109,0.00703,0.00703,0.00703
26,1568.16,0.9661,2.6665,0.83676,0.6784,0.53753,0.59169,0.29442,0.93902,2.49939,0.77868,0.00690625,0.00690625,0.00690625
27,1627.9,0.98114,2.66177,0.84952,0.659,0.58715,0.61404,0.30089,0.97073,2.43815,0.7841,0.0067825,0.0067825,0.0067825
28,1687.55,0.98079,2.61721,0.84996,0.71082,0.58492,0.63866,0.3182,0.91159,2.33223,0.74865,0.00665875,0.00665875,0.00665875
29,1747.62,1.0233,2.61241,0.87899,0.68338,0.56722,0.61142,0.30846,1.01159,2.47141,0.83024,0.006535,0.006535,0.006535
30,1807.94,1.01,2.514,0.87296,0.68349,0.61039,0.64989,0.33292,1.04346,2.345,0.8542,0.00641125,0.00641125,0.00641125
31,1867.74,1.0179,2.48146,0.88386,0.69154,0.60701,0.63904,0.32245,1.00573,2.33543,0.81834,0.0062875,0.0062875,0.0062875
32,1927.26,1.01233,2.44602,0.88226,0.68406,0.58562,0.62194,0.31851,1.01249,2.35538,0.84027,0.00616375,0.00616375,0.00616375
33,1987.38,1.00122,2.40109,0.87896,0.73577,0.59863,0.64534,0.32853,1.01275,2.28954,0.83228,0.00604,0.00604,0.00604
34,2047.61,0.99422,2.38853,0.87609,0.69907,0.60939,0.64439,0.33429,0.93232,2.26618,0.77185,0.00591625,0.00591625,0.00591625
35,2107.51,0.95652,2.33291,0.85659,0.67548,0.60882,0.64003,0.32906,0.97332,2.25875,0.81479,0.0057925,0.0057925,0.0057925
36,2167.48,0.96984,2.3158,0.86625,0.69142,0.61882,0.64987,0.33926,0.96677,2.25799,0.80751,0.00566875,0.00566875,0.00566875
37,2227.09,0.97224,2.28681,0.87079,0.72193,0.63239,0.67313,0.35015,0.89456,2.15071,0.75713,0.005545,0.005545,0.005545
38,2286.62,0.96941,2.22609,0.86929,0.72718,0.6062,0.65479,0.3509,0.90777,2.1869,0.76837,0.00542125,0.00542125,0.00542125
39,2346.35,0.97816,2.20656,0.87848,0.72535,0.63572,0.68496,0.35865,0.97945,2.1187,0.81231,0.0052975,0.0052975,0.0052975
40,2405.89,0.9803,2.17435,0.87444,0.74218,0.64011,0.68707,0.36149,0.93479,2.12568,0.77146,0.00517375,0.00517375,0.00517375
41,2465.41,0.98367,2.14456,0.88963,0.74594,0.62683,0.68878,0.36525,0.9499,2.1172,0.7911,0.00505,0.00505,0.00505
42,2524.9,0.97748,2.12508,0.88374,0.73706,0.634,0.68164,0.3665,0.95833,2.11246,0.80199,0.00492625,0.00492625,0.00492625
43,2585.17,0.97112,2.06561,0.87949,0.74919,0.63067,0.6932,0.37569,0.9038,2.07159,0.75234,0.0048025,0.0048025,0.0048025
44,2645.32,0.97873,2.02912,0.88934,0.76439,0.63411,0.68903,0.36569,0.8965,2.07839,0.74896,0.00467875,0.00467875,0.00467875
45,2705.15,0.96447,2.02556,0.89018,0.74985,0.64782,0.70342,0.38326,0.89458,2.03228,0.75085,0.004555,0.004555,0.004555
46,2765.3,0.96756,1.97929,0.89588,0.74135,0.64057,0.69094,0.37414,0.9079,2.05759,0.76722,0.00443125,0.00443125,0.00443125
47,2825.35,0.96484,1.97707,0.89352,0.77643,0.63882,0.69945,0.37627,0.90011,2.02349,0.75661,0.0043075,0.0043075,0.0043075
48,2885.25,0.9677,1.93074,0.89318,0.766,0.66803,0.71308,0.38272,0.9403,2.01635,0.79112,0.00418375,0.00418375,0.00418375
49,2945.36,0.96656,1.90775,0.90018,0.77099,0.64219,0.70425,0.37882,0.92342,2.04758,0.77973,0.00406,0.00406,0.00406
50,3005.54,0.95063,1.8951,0.88788,0.79903,0.64232,0.71238,0.38347,0.88797,2.0874,0.75433,0.00393625,0.00393625,0.00393625
51,3065.45,0.93874,1.86859,0.88399,0.7652,0.64942,0.70911,0.38286,0.91015,2.01009,0.77721,0.0038125,0.0038125,0.0038125
52,3125.48,0.95674,1.82195,0.89923,0.74874,0.6696,0.71426,0.38718,0.90498,1.99115,0.76719,0.00368875,0.00368875,0.00368875
53,3185.99,0.96484,1.82484,0.90698,0.72973,0.67449,0.70968,0.38145,0.93409,2.01639,0.79408,0.003565,0.003565,0.003565
54,3246.1,0.97095,1.79744,0.91637,0.76408,0.63926,0.69841,0.38301,0.9088,2.06705,0.76983,0.00344125,0.00344125,0.00344125
55,3306.45,0.9594,1.77327,0.9091,0.76694,0.66135,0.71783,0.39429,0.9129,1.99033,0.77824,0.0033175,0.0033175,0.0033175
56,3366.72,0.9441,1.76126,0.90308,0.78379,0.65816,0.71862,0.39159,0.90064,1.98497,0.76393,0.00319375,0.00319375,0.00319375
57,3426.75,0.95803,1.73024,0.91217,0.74973,0.66772,0.70955,0.39176,0.90033,1.99685,0.77362,0.00307,0.00307,0.00307
58,3486.81,0.94438,1.70617,0.90906,0.7593,0.67218,0.70738,0.39517,0.89074,1.96686,0.76763,0.00294625,0.00294625,0.00294625
59,3546.93,0.93105,1.69779,0.90189,0.74724,0.66337,0.709,0.39148,0.9408,1.99862,0.80628,0.0028225,0.0028225,0.0028225
60,3607.08,0.93824,1.67278,0.90945,0.75365,0.66967,0.70748,0.3958,0.88513,1.98812,0.76746,0.00269875,0.00269875,0.00269875
61,3667.29,0.93527,1.63551,0.91215,0.761,0.66265,0.71074,0.39496,0.9058,2.00967,0.78021,0.002575,0.002575,0.002575
62,3727.17,0.93445,1.61528,0.91598,0.77946,0.65221,0.71864,0.39934,0.88962,2.02364,0.76301,0.00245125,0.00245125,0.00245125
63,3787.19,0.93761,1.62018,0.91745,0.78493,0.67645,0.72885,0.40447,0.89572,1.99694,0.7687,0.0023275,0.0023275,0.0023275
64,3846.84,0.92717,1.56597,0.91123,0.8068,0.66434,0.72888,0.40441,0.92566,1.95919,0.79356,0.00220375,0.00220375,0.00220375
65,3906.58,0.93206,1.57304,0.9182,0.79153,0.67465,0.7264,0.40761,0.91177,1.92428,0.78929,0.00208,0.00208,0.00208
66,3966.04,0.91248,1.54146,0.90629,0.79191,0.66293,0.72777,0.41039,0.88458,1.97532,0.76563,0.00195625,0.00195625,0.00195625
67,4025.87,0.91754,1.5366,0.91575,0.7629,0.67771,0.7247,0.40726,0.88695,1.98617,0.76432,0.0018325,0.0018325,0.0018325
68,4085.63,0.91542,1.50875,0.91887,0.79035,0.66124,0.72439,0.40492,0.89185,2.01127,0.76797,0.00170875,0.00170875,0.00170875
69,4145.49,0.91767,1.48482,0.92188,0.78691,0.65789,0.7269,0.40421,0.8814,2.00116,0.75714,0.001585,0.001585,0.001585
70,4205.73,0.91988,1.46637,0.92981,0.72777,0.69378,0.72256,0.40813,0.91925,1.99461,0.79318,0.00146125,0.00146125,0.00146125
71,4267.27,0.86892,1.00231,0.92246,0.78321,0.66454,0.72738,0.4105,0.91308,1.95707,0.78844,0.0013375,0.0013375,0.0013375
72,4328.59,0.84382,0.93909,0.91184,0.75552,0.67888,0.7191,0.40811,0.90431,1.97378,0.78547,0.00121375,0.00121375,0.00121375
73,4389.8,0.84281,0.92401,0.91355,0.75187,0.68512,0.71883,0.40815,0.89314,1.99034,0.7699,0.00109,0.00109,0.00109
74,4451.27,0.81805,0.90327,0.90333,0.75543,0.6821,0.7193,0.40918,0.87361,1.97132,0.75609,0.00096625,0.00096625,0.00096625
75,4512.65,0.80689,0.87536,0.89946,0.76392,0.67682,0.71587,0.40932,0.85797,1.99346,0.74942,0.0008425,0.0008425,0.0008425
76,4573.92,0.79496,0.86166,0.89865,0.77545,0.6806,0.71721,0.4105,0.85229,2.02475,0.74819,0.00071875,0.00071875,0.00071875
77,4635.3,0.78766,0.84534,0.89475,0.76817,0.67387,0.71332,0.40971,0.8511,2.03692,0.74959,0.000595,0.000595,0.000595
78,4695.69,0.777,0.82243,0.89258,0.78123,0.66836,0.71548,0.41121,0.85613,2.04719,0.7543,0.00047125,0.00047125,0.00047125
79,4756.15,0.7713,0.81484,0.8871,0.75894,0.67812,0.7142,0.41135,0.83575,2.05643,0.73852,0.0003475,0.0003475,0.0003475
80,4817.52,0.77283,0.80319,0.89182,0.74221,0.69088,0.71392,0.4107,0.83306,2.06914,0.73623,0.00022375,0.00022375,0.00022375
