epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7754,0.40873,2.84508,0.34982,0.42917,0.41462,0.35398,0.14926,0.43817,2.49231,0.36386,0.00331019,0.00331019,0.00331019
2,121.803,0.40394,2.19148,0.33228,0.17009,0.20829,0.10859,0.04694,0.79432,4.26515,0.65386,0.0065613,0.0065613,0.0065613
3,186.535,0.50667,2.64349,0.40677,0.27624,0.01689,0.00387,0.00118,1.57064,28.5416,1.32599,0.00972992,0.00972992,0.00972992
4,247.243,0.59589,2.96016,0.46336,0.09733,0.13468,0.04784,0.01731,0.95133,10.8899,0.8343,0.00962875,0.00962875,0.00962875
5,307.548,0.5272,2.7621,0.42266,0.20244,0.15564,0.10264,0.03845,1.01568,3.96679,0.84308,0.009505,0.009505,0.009505
6,367.195,0.49282,2.63517,0.40643,0.21779,0.22818,0.1617,0.06598,0.72306,2.91101,0.61789,0.00938125,0.00938125,0.00938125
7,427.014,0.51363,2.51424,0.41643,0.50796,0.23014,0.19238,0.07581,0.70973,3.04214,0.60618,0.0092575,0.0092575,0.0092575
8,486.689,0.48173,2.41813,0.39888,0.36531,0.32158,0.27172,0.10816,0.63093,2.42299,0.53897,0.00913375,0.00913375,0.00913375
9,546.361,0.49428,2.33822,0.41234,0.38726,0.31155,0.29684,0.12192,0.64353,2.3072,0.53492,0.00901,0.00901,0.00901
10,606.011,0.46456,2.27808,0.39475,0.47675,0.36455,0.35478,0.14166,0.64647,2.13313,0.54539,0.00888625,0.00888625,0.00888625
11,665.538,0.45996,2.21477,0.39451,0.4906,0.36564,0.37682,0.16034,0.6148,2.05005,0.51982,0.0087625,0.0087625,0.0087625
12,725.214,0.49489,2.16213,0.41992,0.4708,0.39642,0.37791,0.1601,0.59881,2.07061,0.51113,0.00863875,0.00863875,0.00863875
13,785.134,0.47123,2.11962,0.40679,0.47361,0.39289,0.39394,0.1786,0.57285,1.99755,0.4732,0.008515,0.008515,0.008515
14,845.75,0.46009,2.04746,0.40143,0.48985,0.41393,0.42383,0.18931,0.65361,1.93081,0.55746,0.00839125,0.00839125,0.00839125
15,906.473,0.47611,2.01358,0.41775,0.48522,0.44567,0.42967,0.19814,0.6189,1.91736,0.52593,0.0082675,0.0082675,0.0082675
16,966.476,0.47798,1.97414,0.42196,0.54234,0.45516,0.48564,0.22796,0.57639,1.74773,0.48642,0.00814375,0.00814375,0.00814375
17,1026.05,0.49892,1.95461,0.43976,0.53099,0.42832,0.45915,0.19856,0.60632,1.81169,0.49994,0.00802,0.00802,0.00802
18,1085.63,0.49846,1.89716,0.43881,0.5555,0.48562,0.48618,0.22499,0.58083,1.75107,0.49777,0.00789625,0.00789625,0.00789625
19,1145.32,0.49349,1.86812,0.43832,0.54876,0.4912,0.50727,0.24523,0.58918,1.7041,0.49383,0.0077725,0.0077725,0.0077725
20,1205.05,0.50209,1.84743,0.44939,0.5838,0.52457,0.5286,0.25324,0.55469,1.64205,0.48047,0.00764875,0.00764875,0.00764875
21,1264.63,0.51277,1.81119,0.45956,0.53653,0.52322,0.51332,0.25422,0.54947,1.64559,0.48109,0.007525,0.007525,0.007525
22,1324.2,0.51713,1.78735,0.46282,0.57471,0.53762,0.5542,0.28086,0.60114,1.58517,0.50722,0.00740125,0.00740125,0.00740125
23,1383.8,0.52765,1.75096,0.47072,0.59006,0.5218,0.55389,0.27753,0.60137,1.56574,0.49442,0.0072775,0.0072775,0.0072775
24,1443.5,0.52387,1.70681,0.47125,0.57475,0.53261,0.55396,0.28075,0.65006,1.5822,0.5282,0.00715375,0.00715375,0.00715375
25,1503,0.52223,1.70744,0.47005,0.59833,0.48189,0.52226,0.27148,0.59535,1.58204,0.49175,0.00703,0.00703,0.00703
26,1562.5,0.52388,1.66295,0.47665,0.60823,0.54921,0.58,0.29978,0.53619,1.49123,0.45334,0.00690625,0.00690625,0.00690625
27,1622.08,0.5146,1.63204,0.47297,0.62441,0.53728,0.56644,0.29809,0.53678,1.48763,0.4601,0.0067825,0.0067825,0.0067825
28,1682.5,0.53356,1.61476,0.48931,0.60934,0.55504,0.57082,0.2924,0.59102,1.47254,0.50421,0.00665875,0.00665875,0.00665875
29,1743.07,0.53919,1.5819,0.49805,0.60187,0.58807,0.59805,0.31078,0.61376,1.42563,0.50979,0.006535,0.006535,0.006535
30,1803.87,0.52766,1.55245,0.48897,0.6269,0.59135,0.61481,0.31957,0.49413,1.38424,0.42786,0.00641125,0.00641125,0.00641125
31,1865.08,0.52099,1.5394,0.48299,0.63853,0.58309,0.59274,0.31143,0.50191,1.41803,0.43264,0.0062875,0.0062875,0.0062875
32,1925.14,0.53599,1.50632,0.49792,0.65857,0.59759,0.61865,0.3249,0.51174,1.38366,0.4415,0.00616375,0.00616375,0.00616375
33,1985.89,0.53761,1.48134,0.50297,0.64179,0.58608,0.61177,0.32544,0.47758,1.36213,0.41378,0.00604,0.00604,0.00604
34,2046.3,0.54861,1.45469,0.51225,0.65242,0.59526,0.62677,0.33589,0.51618,1.35766,0.44513,0.00591625,0.00591625,0.00591625
35,2106.05,0.53982,1.43928,0.5104,0.65743,0.56332,0.60435,0.32484,0.56184,1.36539,0.48076,0.0057925,0.0057925,0.0057925
36,2165.57,0.5458,1.4228,0.51708,0.69251,0.61375,0.63547,0.34732,0.50659,1.33113,0.43909,0.00566875,0.00566875,0.00566875
37,2225.21,0.54587,1.3944,0.51863,0.66055,0.61089,0.63222,0.33821,0.48288,1.32703,0.42102,0.005545,0.005545,0.005545
38,2285.03,0.57065,1.37315,0.53839,0.66942,0.62326,0.64882,0.34774,0.52845,1.3184,0.45669,0.00542125,0.00542125,0.00542125
39,2345.6,0.54782,1.35479,0.52181,0.71584,0.61404,0.66165,0.35688,0.48212,1.28844,0.42119,0.0052975,0.0052975,0.0052975
40,2405.97,0.55011,1.32219,0.5287,0.70266,0.6271,0.65132,0.35617,0.48934,1.27811,0.42489,0.00517375,0.00517375,0.00517375
41,2466.66,0.56218,1.30934,0.54164,0.65495,0.64596,0.65895,0.36591,0.49591,1.25132,0.43382,0.00505,0.00505,0.00505
