epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6209,0.40855,2.80825,0.35093,0.5289,0.45541,0.45014,0.20063,0.45135,1.89303,0.36632,0.00331019,0.00331019,0.00331019
2,120.639,0.38225,2.18605,0.31768,0.27129,0.31962,0.21017,0.08392,0.72523,2.78503,0.61507,0.0065613,0.0065613,0.0065613
3,182.468,0.48425,2.60714,0.3891,0.28374,0.073,0.01304,0.00394,1.26874,17.8769,1.22197,0.00972992,0.00972992,0.00972992
4,243.369,0.56705,2.94179,0.44401,0.09574,0.13164,0.04481,0.01546,1.06731,11.2125,0.95839,0.00962875,0.00962875,0.00962875
5,303.382,0.49538,2.76136,0.39883,0.18453,0.19973,0.1242,0.04321,0.73013,3.60544,0.61711,0.009505,0.009505,0.009505
6,363.14,0.53131,2.61309,0.42518,0.23342,0.26831,0.18696,0.06871,0.68971,3.00597,0.57733,0.00938125,0.00938125,0.00938125
7,424.618,0.47065,2.49297,0.38806,0.40246,0.28214,0.2497,0.09666,0.76715,2.66947,0.64913,0.0092575,0.0092575,0.0092575
8,485.232,0.5042,2.38892,0.40984,0.34531,0.29272,0.27026,0.11162,0.67746,2.41629,0.55304,0.00913375,0.00913375,0.00913375
9,546.236,0.44911,2.31568,0.37565,0.3578,0.35063,0.31854,0.135,0.55947,2.27704,0.47401,0.00901,0.00901,0.00901
10,607.122,0.44633,2.24523,0.3773,0.42499,0.33756,0.32995,0.14505,0.71379,2.29242,0.59814,0.00888625,0.00888625,0.00888625
11,667.922,0.44681,2.19385,0.37725,0.59297,0.33596,0.344,0.13709,0.69,2.17149,0.57496,0.0087625,0.0087625,0.0087625
12,728.765,0.46253,2.14391,0.39094,0.47146,0.37251,0.39201,0.17309,0.65228,1.98469,0.54901,0.00863875,0.00863875,0.00863875
13,789.468,0.43454,2.06658,0.37502,0.48416,0.40879,0.39122,0.16783,0.55131,2.02781,0.46479,0.008515,0.008515,0.008515
14,849.806,0.4397,2.04486,0.37533,0.522,0.41871,0.44337,0.19635,0.50987,1.94496,0.43513,0.00839125,0.00839125,0.00839125
15,910.548,0.44388,1.99266,0.3832,0.52372,0.41099,0.42434,0.19307,0.57403,1.90405,0.46589,0.0082675,0.0082675,0.0082675
16,971.228,0.44862,1.96181,0.39021,0.55529,0.47645,0.49487,0.22514,0.67689,1.74532,0.56748,0.00814375,0.00814375,0.00814375
17,1032.02,0.44837,1.92645,0.39326,0.55989,0.50475,0.51803,0.24288,0.5389,1.6691,0.44901,0.00802,0.00802,0.00802
18,1092.63,0.46421,1.88369,0.4023,0.53097,0.44415,0.45231,0.21145,0.61622,1.80838,0.50581,0.00789625,0.00789625,0.00789625
19,1153.29,0.44718,1.86646,0.39498,0.62037,0.4842,0.51998,0.24019,0.50459,1.66696,0.42382,0.0077725,0.0077725,0.0077725
20,1213.93,0.45663,1.82053,0.40157,0.59604,0.4996,0.52379,0.25532,0.53269,1.66009,0.44502,0.00764875,0.00764875,0.00764875
21,1274.47,0.45468,1.79937,0.40502,0.58834,0.51466,0.53594,0.26521,0.49097,1.59126,0.41823,0.007525,0.007525,0.007525
22,1335.22,0.46489,1.74684,0.41502,0.59367,0.52728,0.54322,0.25861,0.56108,1.6094,0.46852,0.00740125,0.00740125,0.00740125
23,1395.81,0.45698,1.74177,0.40962,0.62214,0.52141,0.54547,0.26289,0.51424,1.57371,0.44581,0.0072775,0.0072775,0.0072775
24,1456.44,0.4672,1.69846,0.41898,0.5933,0.53446,0.56117,0.27149,0.50638,1.56652,0.4203,0.00715375,0.00715375,0.00715375
25,1517.09,0.47671,1.69073,0.42523,0.68269,0.56002,0.6123,0.30066,0.55598,1.47941,0.46299,0.00703,0.00703,0.00703
26,1577.92,0.45946,1.63327,0.41657,0.67006,0.53122,0.59175,0.29698,0.48477,1.49611,0.40469,0.00690625,0.00690625,0.00690625
27,1638.28,0.46576,1.62546,0.42323,0.67686,0.55855,0.60321,0.30084,0.4682,1.46854,0.39618,0.0067825,0.0067825,0.0067825
28,1698.64,0.47451,1.60247,0.42902,0.65723,0.57917,0.60184,0.30767,0.50882,1.42923,0.43165,0.00665875,0.00665875,0.00665875
29,1759.09,0.47917,1.57135,0.43635,0.66109,0.57725,0.61852,0.31977,0.51556,1.43648,0.43861,0.006535,0.006535,0.006535
30,1819.51,0.47985,1.53681,0.43621,0.68258,0.56437,0.62481,0.31965,0.45703,1.44622,0.39216,0.00641125,0.00641125,0.00641125
31,1880.08,0.48542,1.51103,0.44328,0.72337,0.57657,0.64498,0.3349,0.42124,1.38662,0.35266,0.0062875,0.0062875,0.0062875
32,1940.52,0.48275,1.49686,0.44298,0.67889,0.58053,0.62484,0.32386,0.49043,1.40945,0.42421,0.00616375,0.00616375,0.00616375
33,2000.75,0.48431,1.46657,0.44694,0.69327,0.58113,0.63952,0.32768,0.48207,1.40313,0.40749,0.00604,0.00604,0.00604
34,2060.32,0.49547,1.45947,0.45473,0.703,0.60116,0.64396,0.32939,0.45438,1.37828,0.3894,0.00591625,0.00591625,0.00591625
35,2119.9,0.47077,1.42545,0.43946,0.68338,0.59334,0.63926,0.3341,0.50638,1.33225,0.42968,0.0057925,0.0057925,0.0057925
36,2179.47,0.47814,1.4198,0.44642,0.68072,0.57958,0.62968,0.33067,0.48274,1.37298,0.41448,0.00566875,0.00566875,0.00566875
37,2239.16,0.47455,1.40195,0.44643,0.70881,0.63138,0.66688,0.35304,0.46229,1.3109,0.40151,0.005545,0.005545,0.005545
38,2299.38,0.48109,1.37132,0.4503,0.71602,0.62401,0.66875,0.35954,0.44601,1.28093,0.38134,0.00542125,0.00542125,0.00542125
39,2360.09,0.48504,1.35081,0.45563,0.74062,0.60681,0.66967,0.3625,0.4287,1.31614,0.37025,0.0052975,0.0052975,0.0052975
40,2419.78,0.47589,1.32312,0.45038,0.68315,0.64586,0.65958,0.3559,0.44491,1.32321,0.38789,0.00517375,0.00517375,0.00517375
41,2479.96,0.49331,1.30888,0.46985,0.7406,0.61826,0.67439,0.3611,0.39732,1.28072,0.34828,0.00505,0.00505,0.00505
