epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.639,0.56361,2.86139,0.52477,0.43462,0.42319,0.37961,0.1744,0.64715,2.27911,0.57762,0.00331019,0.00331019,0.00331019
2,121.09,0.53778,2.18054,0.48512,0.3203,0.26978,0.21472,0.0908,0.83983,4.10457,0.75488,0.0065613,0.0065613,0.0065613
3,184.773,0.64371,2.63451,0.56822,0.27855,0.06718,0.01025,0.00345,1.62107,43.4307,1.70041,0.00972992,0.00972992,0.00972992
4,245.655,0.71275,2.96473,0.62508,0.0617,0.09735,0.01839,0.00633,1.26222,12.5993,1.31347,0.00962875,0.00962875,0.00962875
5,306.138,0.6866,2.74695,0.60231,0.3959,0.07464,0.05342,0.01912,1.06571,7.08422,1.01269,0.009505,0.009505,0.009505
6,366.947,0.63246,2.63102,0.56948,0.24433,0.28713,0.17391,0.07135,0.84187,3.08554,0.78835,0.00938125,0.00938125,0.00938125
7,427.713,0.62158,2.4852,0.5608,0.37093,0.26671,0.23389,0.0926,0.8754,2.81327,0.77709,0.0092575,0.0092575,0.0092575
8,488.18,0.59585,2.42145,0.54507,0.50142,0.2673,0.26129,0.10834,0.77998,2.42857,0.72414,0.00913375,0.00913375,0.00913375
9,548.366,0.59738,2.32173,0.54717,0.43653,0.35175,0.33001,0.13819,0.80037,2.18981,0.72325,0.00901,0.00901,0.00901
10,608.508,0.59508,2.2659,0.54796,0.56092,0.35423,0.37887,0.1644,0.75004,2.09624,0.68242,0.00888625,0.00888625,0.00888625
11,668.615,0.58059,2.20849,0.54153,0.44467,0.39386,0.37664,0.16648,0.81135,2.06492,0.72944,0.0087625,0.0087625,0.0087625
12,728.729,0.59514,2.13856,0.5478,0.47061,0.38036,0.36594,0.16411,0.72726,2.18707,0.66566,0.00863875,0.00863875,0.00863875
13,789.3,0.57823,2.09984,0.54124,0.46164,0.44259,0.42842,0.19216,0.70116,1.96025,0.64146,0.008515,0.008515,0.008515
14,849.787,0.58674,2.03175,0.5461,0.54389,0.44682,0.46491,0.22388,0.68455,1.80222,0.63538,0.00839125,0.00839125,0.00839125
15,910.051,0.58279,1.9884,0.54551,0.56224,0.42627,0.45249,0.20895,0.71999,1.92146,0.6563,0.0082675,0.0082675,0.0082675
16,970.041,0.56943,1.94913,0.5394,0.54218,0.46812,0.47531,0.22767,0.65802,1.81302,0.60796,0.00814375,0.00814375,0.00814375
