epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2354,0.56852,2.85572,0.53113,0.52258,0.35212,0.33266,0.14384,0.64865,2.41774,0.58435,0.00331019,0.00331019,0.00331019
2,121.031,0.52089,2.17885,0.47767,0.30066,0.26122,0.20518,0.08639,0.9256,3.5215,0.82647,0.0065613,0.0065613,0.0065613
3,182.34,0.668,2.63137,0.58278,0.20953,0.0818,0.01929,0.00628,1.23176,24.6344,1.30461,0.00972992,0.00972992,0.00972992
4,243.277,0.75884,2.97833,0.65011,0.13163,0.12834,0.05092,0.01722,1.09643,12.8171,0.98394,0.00962875,0.00962875,0.00962875
5,303.584,0.68115,2.76619,0.59707,0.35987,0.18043,0.15838,0.05829,0.97008,3.70228,0.86962,0.009505,0.009505,0.009505
6,364.104,0.63314,2.63971,0.56929,0.22596,0.21742,0.15749,0.05774,0.88651,3.54977,0.83291,0.00938125,0.00938125,0.00938125
7,424.662,0.61073,2.51748,0.55689,0.44978,0.24339,0.22018,0.08929,0.80057,2.92229,0.75162,0.0092575,0.0092575,0.0092575
8,485.009,0.59603,2.41481,0.54539,0.33228,0.32281,0.27304,0.1142,0.69659,2.41413,0.63556,0.00913375,0.00913375,0.00913375
9,545.493,0.60996,2.33538,0.55658,0.40696,0.28928,0.28858,0.1268,0.74977,2.34236,0.68999,0.00901,0.00901,0.00901
10,606.052,0.58371,2.28272,0.54291,0.46495,0.36802,0.35344,0.15133,0.73549,2.17094,0.67791,0.00888625,0.00888625,0.00888625
11,666.516,0.57833,2.2103,0.53969,0.45435,0.41719,0.3951,0.17086,0.67543,1.99302,0.63693,0.0087625,0.0087625,0.0087625
12,727.099,0.60605,2.14738,0.55732,0.45383,0.41245,0.38363,0.17413,0.71504,2.07852,0.65054,0.00863875,0.00863875,0.00863875
13,787.521,0.57753,2.10471,0.53858,0.51378,0.4382,0.41983,0.18747,0.67557,1.99523,0.62449,0.008515,0.008515,0.008515
