epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8979,0.56361,2.86139,0.52477,0.43462,0.42319,0.37961,0.1744,0.64715,2.27911,0.57762,0.00331019,0.00331019,0.00331019
2,137.964,0.52478,2.17539,0.47519,0.31598,0.31374,0.23101,0.09268,0.8008,3.41912,0.71541,0.0065613,0.0065613,0.0065613
3,218.123,0.6326,2.63942,0.56135,0.26545,0.05361,0.00524,0.00135,1.33259,41.3891,1.3608,0.00972992,0.00972992,0.00972992
4,289.889,0.71052,2.98004,0.61821,0.04861,0.12356,0.02925,0.01038,1.27514,15.7726,1.22659,0.00962875,0.00962875,0.00962875
5,357.611,0.66138,2.75883,0.58623,0.21336,0.14186,0.07785,0.02802,1.03518,4.41593,0.99733,0.009505,0.009505,0.009505
6,425.538,0.62783,2.62799,0.56526,0.23366,0.24122,0.17417,0.06826,0.93158,2.88592,0.86582,0.00938125,0.00938125,0.00938125
7,493.355,0.62044,2.51796,0.55627,0.50032,0.2424,0.20409,0.08383,1.00732,2.91633,0.91794,0.0092575,0.0092575,0.0092575
8,560.846,0.59596,2.43086,0.53802,0.35283,0.31633,0.25411,0.09732,0.91538,2.66885,0.81763,0.00913375,0.00913375,0.00913375
9,628.285,0.58313,2.32043,0.53011,0.38814,0.35039,0.32994,0.13965,0.77836,2.24821,0.71456,0.00901,0.00901,0.00901
10,696.164,0.56637,2.27342,0.524,0.50345,0.36818,0.36964,0.16192,0.75247,2.03129,0.69577,0.00888625,0.00888625,0.00888625
11,763.464,0.55673,2.21317,0.51622,0.42135,0.3824,0.36776,0.15688,0.77579,2.03519,0.71287,0.0087625,0.0087625,0.0087625
12,831.05,0.57579,2.16176,0.52931,0.43293,0.39506,0.37273,0.16841,0.7312,2.07835,0.67136,0.00863875,0.00863875,0.00863875
13,898.395,0.56076,2.11114,0.51866,0.49606,0.4188,0.41052,0.17558,0.71235,2.0021,0.65326,0.008515,0.008515,0.008515
14,967.054,0.55192,2.04823,0.50989,0.53494,0.43513,0.44762,0.20982,0.66443,1.87352,0.6096,0.00839125,0.00839125,0.00839125
15,1035.61,0.5611,2.00987,0.52031,0.53872,0.45456,0.46467,0.21514,0.71854,1.81635,0.65558,0.0082675,0.0082675,0.0082675
16,1103.2,0.55088,1.96731,0.51598,0.48023,0.4746,0.46724,0.22462,0.66171,1.78561,0.6076,0.00814375,0.00814375,0.00814375
17,1170.86,0.56491,1.93852,0.52296,0.53058,0.47352,0.47586,0.2254,0.66128,1.73872,0.61107,0.00802,0.00802,0.00802
18,1239.88,0.56509,1.88923,0.52692,0.51749,0.4761,0.48471,0.23231,0.68203,1.78293,0.63402,0.00789625,0.00789625,0.00789625
19,1307.51,0.55944,1.84992,0.52236,0.57976,0.47817,0.50879,0.24769,0.67064,1.70655,0.60832,0.0077725,0.0077725,0.0077725
20,1375.9,0.57653,1.8318,0.53701,0.54136,0.48562,0.49062,0.24671,0.65269,1.72503,0.59721,0.00764875,0.00764875,0.00764875
21,1443.48,0.5637,1.78945,0.5295,0.61166,0.50482,0.53735,0.27134,0.63325,1.57277,0.58991,0.007525,0.007525,0.007525
22,1511.85,0.54929,1.76014,0.51937,0.60104,0.51165,0.53011,0.26562,0.67261,1.64499,0.61417,0.00740125,0.00740125,0.00740125
23,1580.64,0.54956,1.7323,0.51905,0.62084,0.52047,0.55751,0.28416,0.64722,1.57552,0.58655,0.0072775,0.0072775,0.0072775
24,1649.15,0.56287,1.69395,0.52969,0.61936,0.52429,0.56359,0.29079,0.65877,1.53733,0.60187,0.00715375,0.00715375,0.00715375
25,1717.36,0.55783,1.67835,0.52954,0.63191,0.53964,0.55884,0.29689,0.65004,1.50211,0.59837,0.00703,0.00703,0.00703
26,1785.11,0.54603,1.63991,0.52258,0.59916,0.53707,0.56627,0.2956,0.61451,1.50252,0.57038,0.00690625,0.00690625,0.00690625
27,1853.26,0.54567,1.60428,0.52205,0.62,0.52204,0.58216,0.3078,0.66013,1.46933,0.61329,0.0067825,0.0067825,0.0067825
28,1921.62,0.55282,1.59794,0.52942,0.61205,0.56838,0.59655,0.31132,0.61002,1.44062,0.56339,0.00665875,0.00665875,0.00665875
29,1990.58,0.55467,1.57292,0.53304,0.62901,0.57791,0.60345,0.31272,0.60522,1.42829,0.55596,0.006535,0.006535,0.006535
30,2057.86,0.54342,1.54089,0.52433,0.60993,0.57859,0.60209,0.31718,0.63356,1.39476,0.58802,0.00641125,0.00641125,0.00641125
31,2125.37,0.53411,1.5159,0.51612,0.65474,0.58663,0.62539,0.34286,0.60199,1.39082,0.55923,0.0062875,0.0062875,0.0062875
32,2193.46,0.5448,1.49369,0.52599,0.67921,0.59439,0.63264,0.33958,0.647,1.38581,0.59779,0.00616375,0.00616375,0.00616375
33,2261.84,0.53478,1.46868,0.52361,0.70077,0.5848,0.62766,0.33743,0.63011,1.35261,0.58932,0.00604,0.00604,0.00604
34,2329.57,0.56327,1.43905,0.54144,0.65922,0.59865,0.61941,0.34061,0.59989,1.32632,0.55665,0.00591625,0.00591625,0.00591625
35,2397.31,0.55439,1.41473,0.53625,0.65568,0.59075,0.62547,0.33921,0.6044,1.35767,0.5619,0.0057925,0.0057925,0.0057925
36,2466.09,0.54529,1.3995,0.52955,0.64066,0.61653,0.62061,0.34109,0.66642,1.33257,0.60769,0.00566875,0.00566875,0.00566875
37,2535.14,0.53832,1.38073,0.52592,0.65968,0.6074,0.62371,0.339,0.58879,1.36171,0.54975,0.005545,0.005545,0.005545
38,2604.3,0.54814,1.35397,0.53506,0.67244,0.63448,0.64659,0.35139,0.59289,1.3041,0.55512,0.00542125,0.00542125,0.00542125
39,2673.14,0.52514,1.34082,0.51815,0.66087,0.61969,0.65162,0.35651,0.6096,1.29669,0.56422,0.0052975,0.0052975,0.0052975
40,2740.79,0.53512,1.31337,0.52747,0.71173,0.64221,0.66058,0.36193,0.5967,1.2984,0.5593,0.00517375,0.00517375,0.00517375
41,2808.33,0.54273,1.29042,0.5374,0.67952,0.63281,0.65734,0.36312,0.57856,1.28701,0.54141,0.00505,0.00505,0.00505
42,2875.87,0.5334,1.27591,0.53085,0.71191,0.61684,0.66105,0.35688,0.57474,1.27441,0.53902,0.00492625,0.00492625,0.00492625
43,2943.11,0.53854,1.26234,0.53138,0.73189,0.63289,0.66311,0.36141,0.63296,1.26777,0.58331,0.0048025,0.0048025,0.0048025
44,3010.52,0.53938,1.22405,0.53375,0.73136,0.61617,0.66887,0.36173,0.57155,1.2446,0.5402,0.00467875,0.00467875,0.00467875
45,3078.02,0.53888,1.22569,0.5366,0.73865,0.62531,0.67314,0.36731,0.60328,1.26631,0.55995,0.004555,0.004555,0.004555
46,3146,0.53435,1.20164,0.53376,0.70887,0.64316,0.67359,0.37319,0.57197,1.22825,0.54014,0.00443125,0.00443125,0.00443125
47,3213.78,0.54186,1.19611,0.54145,0.68969,0.64676,0.66695,0.37366,0.56761,1.21875,0.53797,0.0043075,0.0043075,0.0043075
48,3281.94,0.54852,1.17219,0.54501,0.72952,0.62594,0.67011,0.36763,0.60279,1.24262,0.56223,0.00418375,0.00418375,0.00418375
49,3349.53,0.53743,1.15718,0.53611,0.73849,0.61319,0.67128,0.37087,0.54586,1.23387,0.51721,0.00406,0.00406,0.00406
50,3416.93,0.53741,1.1284,0.53878,0.72819,0.63002,0.67145,0.37323,0.57435,1.228,0.54484,0.00393625,0.00393625,0.00393625
51,3484.03,0.5309,1.13791,0.53599,0.70552,0.65673,0.68202,0.38409,0.55827,1.19053,0.52951,0.0038125,0.0038125,0.0038125
52,3551.7,0.54245,1.10297,0.54591,0.70066,0.6554,0.68234,0.38397,0.56907,1.1995,0.53606,0.00368875,0.00368875,0.00368875
53,3619.1,0.53837,1.0807,0.5438,0.72277,0.64316,0.6788,0.37991,0.56973,1.18937,0.53652,0.003565,0.003565,0.003565
54,3686.45,0.53172,1.06936,0.54315,0.7279,0.63875,0.68298,0.38697,0.57606,1.19375,0.54711,0.00344125,0.00344125,0.00344125
55,3753.66,0.541,1.05813,0.54812,0.72569,0.64098,0.68147,0.38667,0.56525,1.18891,0.53809,0.0033175,0.0033175,0.0033175
56,3820.9,0.54015,1.03195,0.55177,0.72289,0.63944,0.68233,0.38733,0.55131,1.188,0.52526,0.00319375,0.00319375,0.00319375
57,3888.11,0.53013,1.02417,0.54148,0.73711,0.63266,0.68125,0.38486,0.58003,1.18722,0.55365,0.00307,0.00307,0.00307
58,3955.47,0.53326,1.0133,0.54972,0.69306,0.65777,0.67895,0.38646,0.58217,1.17808,0.55243,0.00294625,0.00294625,0.00294625
59,4022.87,0.53433,0.99696,0.54618,0.72005,0.66488,0.69575,0.39477,0.55341,1.17869,0.53153,0.0028225,0.0028225,0.0028225
60,4090.14,0.54035,0.9914,0.5544,0.7189,0.66211,0.69412,0.38897,0.57161,1.19358,0.53919,0.00269875,0.00269875,0.00269875
61,4157.65,0.53534,0.98539,0.55372,0.71564,0.6608,0.69213,0.38891,0.57284,1.19642,0.54433,0.002575,0.002575,0.002575
62,4225.09,0.52812,0.96885,0.54889,0.73184,0.66726,0.69452,0.39299,0.59297,1.178,0.56416,0.00245125,0.00245125,0.00245125
63,4292.27,0.53,0.95699,0.55186,0.74523,0.64738,0.69376,0.39407,0.59008,1.17017,0.56482,0.0023275,0.0023275,0.0023275
64,4359.5,0.51821,0.93246,0.54246,0.75016,0.64446,0.69401,0.39369,0.579,1.19066,0.55137,0.00220375,0.00220375,0.00220375
65,4426.87,0.51511,0.9194,0.5425,0.7382,0.64765,0.68849,0.38949,0.57032,1.18272,0.54236,0.00208,0.00208,0.00208
66,4494,0.51326,0.92016,0.54214,0.72379,0.66494,0.68977,0.393,0.5919,1.2067,0.5607,0.00195625,0.00195625,0.00195625
67,4561.45,0.51035,0.89984,0.54416,0.74648,0.64966,0.69605,0.39738,0.59047,1.1849,0.56136,0.0018325,0.0018325,0.0018325
68,4628.71,0.52943,0.88736,0.55916,0.71708,0.66798,0.68878,0.39806,0.57118,1.177,0.54684,0.00170875,0.00170875,0.00170875
69,4695.75,0.5209,0.87746,0.55267,0.73015,0.65942,0.69297,0.39604,0.56305,1.1759,0.53876,0.001585,0.001585,0.001585
70,4763.08,0.52093,0.87248,0.55385,0.72945,0.66842,0.69457,0.39862,0.54518,1.17023,0.52148,0.00146125,0.00146125,0.00146125
71,4833.3,0.51533,0.58191,0.56997,0.74418,0.66192,0.69278,0.39664,0.57477,1.18916,0.54804,0.0013375,0.0013375,0.0013375
72,4901.77,0.51114,0.54887,0.57118,0.74273,0.65503,0.69092,0.39824,0.55811,1.20314,0.53766,0.00121375,0.00121375,0.00121375
73,4968.8,0.50096,0.52826,0.5634,0.75143,0.66323,0.695,0.39928,0.5657,1.2068,0.5444,0.00109,0.00109,0.00109
74,5039.62,0.48917,0.51943,0.55685,0.76061,0.64521,0.69157,0.39738,0.5839,1.21951,0.56053,0.00096625,0.00096625,0.00096625
75,5108.18,0.48141,0.50026,0.55427,0.76479,0.64515,0.6916,0.39614,0.56811,1.22606,0.55025,0.0008425,0.0008425,0.0008425
