epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2391,0.26437,2.87604,0.18664,0.38052,0.41618,0.36117,0.1761,0.28614,2.26828,0.19574,0.00331019,0.00331019,0.00331019
2,122.771,0.27478,2.20303,0.18416,0.26641,0.25443,0.16387,0.06672,0.56102,3.97959,0.4429,0.0065613,0.0065613,0.0065613
3,186.111,0.38616,2.70621,0.2604,0.26382,0.01205,0.00419,0.00106,1.35288,63.2511,1.19817,0.00972992,0.00972992,0.00972992
4,246.943,0.52291,3.05908,0.34147,0.56921,0.0716,0.03269,0.01033,0.92268,22.1759,0.81079,0.00962875,0.00962875,0.00962875
5,307.917,0.49031,2.81534,0.32357,0.48465,0.14724,0.14164,0.05215,0.80081,3.53646,0.57654,0.009505,0.009505,0.009505
6,368.272,0.41115,2.68588,0.28026,0.28511,0.23379,0.13599,0.04962,0.6551,2.96883,0.48237,0.00938125,0.00938125,0.00938125
7,427.933,0.38427,2.55849,0.26545,0.27203,0.26098,0.22495,0.08402,0.61392,2.76617,0.46082,0.0092575,0.0092575,0.0092575
8,487.7,0.36543,2.47917,0.26016,0.5481,0.32037,0.29792,0.11814,0.60391,2.51148,0.42635,0.00913375,0.00913375,0.00913375
9,547.526,0.38977,2.38036,0.27688,0.38517,0.29912,0.27847,0.11228,0.59424,2.4057,0.43715,0.00901,0.00901,0.00901
10,607.921,0.38184,2.31818,0.27883,0.35577,0.32105,0.29004,0.1182,0.65262,2.38066,0.47489,0.00888625,0.00888625,0.00888625
11,668.622,0.34605,2.26075,0.25734,0.44998,0.38074,0.35209,0.14635,0.4783,2.17029,0.35153,0.0087625,0.0087625,0.0087625
12,728.327,0.37978,2.2021,0.28349,0.44606,0.40085,0.36698,0.15239,0.55649,2.15544,0.41494,0.00863875,0.00863875,0.00863875
13,788.891,0.36784,2.15756,0.2797,0.48539,0.39962,0.39786,0.1713,0.48161,2.02037,0.3568,0.008515,0.008515,0.008515
14,849.494,0.3592,2.09218,0.27671,0.47036,0.45315,0.42755,0.19316,0.61045,1.87029,0.44312,0.00839125,0.00839125,0.00839125
15,910.168,0.41034,2.05981,0.31524,0.53223,0.41737,0.43506,0.19438,0.4488,1.88207,0.33463,0.0082675,0.0082675,0.0082675
16,970.729,0.37713,2.02338,0.29781,0.52433,0.42437,0.45025,0.20412,0.50035,1.86548,0.37776,0.00814375,0.00814375,0.00814375
17,1031.61,0.39102,2.00599,0.31179,0.49058,0.46449,0.45472,0.19088,0.46602,1.83832,0.35382,0.00802,0.00802,0.00802
18,1091.73,0.4008,1.95201,0.3207,0.56469,0.43981,0.46361,0.20351,0.48487,1.84601,0.36238,0.00789625,0.00789625,0.00789625
19,1151.39,0.39932,1.90845,0.32135,0.57399,0.47974,0.4825,0.22778,0.48661,1.75547,0.37035,0.0077725,0.0077725,0.0077725
20,1211.01,0.41994,1.88856,0.33983,0.59159,0.49093,0.51601,0.237,0.51845,1.71956,0.37954,0.00764875,0.00764875,0.00764875
21,1270.62,0.43948,1.86025,0.35674,0.56619,0.50195,0.50856,0.24803,0.43731,1.69038,0.34089,0.007525,0.007525,0.007525
22,1330.2,0.41898,1.82969,0.34601,0.63095,0.49844,0.53479,0.25677,0.48698,1.6549,0.364,0.00740125,0.00740125,0.00740125
23,1389.81,0.43402,1.80358,0.36101,0.6474,0.49622,0.54633,0.26051,0.47359,1.62711,0.35111,0.0072775,0.0072775,0.0072775
24,1449.38,0.43051,1.758,0.36105,0.6003,0.50105,0.53977,0.26365,0.41028,1.64272,0.308,0.00715375,0.00715375,0.00715375
25,1509.98,0.44908,1.75272,0.37559,0.62192,0.50281,0.54752,0.27272,0.45284,1.59277,0.34054,0.00703,0.00703,0.00703
26,1570.58,0.44672,1.70407,0.37753,0.59569,0.54234,0.56436,0.28386,0.40418,1.53535,0.2945,0.00690625,0.00690625,0.00690625
27,1631.06,0.45825,1.6866,0.38893,0.62824,0.5472,0.57933,0.28388,0.41008,1.55128,0.30425,0.0067825,0.0067825,0.0067825
28,1694.22,0.47205,1.66497,0.4026,0.63504,0.51365,0.56303,0.28549,0.32572,1.53645,0.23696,0.00665875,0.00665875,0.00665875
29,1753.64,0.48073,1.63137,0.40917,0.62659,0.56414,0.58922,0.29559,0.46611,1.50596,0.34701,0.006535,0.006535,0.006535
30,1813.45,0.48546,1.60611,0.41537,0.67154,0.53979,0.58495,0.2985,0.41461,1.49131,0.31388,0.00641125,0.00641125,0.00641125
31,1876.06,0.4654,1.59357,0.40285,0.63725,0.55749,0.59218,0.30929,0.3429,1.47218,0.25927,0.0062875,0.0062875,0.0062875
32,1937.89,0.47761,1.56068,0.4168,0.65437,0.57088,0.60135,0.31134,0.39563,1.40433,0.30187,0.00616375,0.00616375,0.00616375
33,1998.55,0.46866,1.54248,0.41363,0.65219,0.59175,0.60512,0.3188,0.386,1.39732,0.29026,0.00604,0.00604,0.00604
34,2058.93,0.49898,1.50965,0.43613,0.6322,0.58016,0.59249,0.30965,0.38045,1.41823,0.28902,0.00591625,0.00591625,0.00591625
35,2119.35,0.49153,1.48137,0.43442,0.66228,0.57465,0.60956,0.31875,0.42501,1.40306,0.32215,0.0057925,0.0057925,0.0057925
36,2179.9,0.51117,1.46591,0.45104,0.69929,0.5859,0.63086,0.33361,0.38279,1.36299,0.29405,0.00566875,0.00566875,0.00566875
37,2240.38,0.49911,1.44604,0.44599,0.67629,0.58774,0.61926,0.33181,0.34782,1.36033,0.26501,0.005545,0.005545,0.005545
38,2300.95,0.52667,1.42464,0.46679,0.66923,0.60039,0.62883,0.33104,0.37818,1.3609,0.29156,0.00542125,0.00542125,0.00542125
