epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2419,0.77237,5.11496,0.72774,0.47192,0.43189,0.4236,0.18391,0.83112,3.7032,0.72463,0.00331019,0.00331019,0.00331019
2,121.164,0.7084,3.84758,0.65035,0.32033,0.30694,0.2376,0.08896,0.95532,5.39587,0.84956,0.0065613,0.0065613,0.0065613
3,182.92,0.81166,4.6599,0.73079,0.07519,0.06235,0.02206,0.00755,1.4944,23.099,1.48356,0.00972992,0.00972992,0.00972992
4,243.726,0.88164,5.29197,0.79669,0.0771,0.11175,0.03674,0.01191,1.42533,16.4111,1.32967,0.00962875,0.00962875,0.00962875
5,303.887,0.86986,4.96097,0.78605,0.16862,0.23604,0.11237,0.03839,1.32445,8.1264,1.22836,0.009505,0.009505,0.009505
6,364.694,0.87611,4.62506,0.78746,0.31559,0.28799,0.20726,0.0691,1.14079,4.98092,1.01564,0.00938125,0.00938125,0.00938125
7,425.254,0.84682,4.3912,0.76742,0.54681,0.23371,0.2164,0.08055,1.10021,5.69262,0.98465,0.0092575,0.0092575,0.0092575
8,485.94,0.86574,4.17919,0.77995,0.5424,0.33976,0.346,0.14029,0.95278,3.91925,0.85332,0.00913375,0.00913375,0.00913375
9,546.586,0.83239,4.01194,0.76084,0.44531,0.35911,0.35021,0.13696,0.91543,3.895,0.82645,0.00901,0.00901,0.00901
10,607.1,0.82542,3.87378,0.75503,0.4228,0.39613,0.37724,0.1573,1.00587,3.76759,0.90199,0.00888625,0.00888625,0.00888625
11,666.969,0.83042,3.76925,0.75964,0.43153,0.40165,0.37188,0.14655,0.96223,3.71353,0.85271,0.0087625,0.0087625,0.0087625
12,726.863,0.83133,3.66397,0.76369,0.53897,0.38196,0.40027,0.16521,1.01214,3.47304,0.90477,0.00863875,0.00863875,0.00863875
13,787.036,0.82837,3.5515,0.76559,0.45117,0.4211,0.39429,0.16779,0.88435,3.46617,0.7931,0.008515,0.008515,0.008515
14,847.681,0.82195,3.49222,0.75796,0.54855,0.46028,0.48086,0.21203,0.90295,3.08931,0.81138,0.00839125,0.00839125,0.00839125
15,908.208,0.8287,3.3887,0.76864,0.54081,0.44894,0.4788,0.21749,0.85471,3.10612,0.76714,0.0082675,0.0082675,0.0082675
16,967.933,0.82725,3.30769,0.7667,0.54524,0.50609,0.50266,0.22139,0.85249,2.98757,0.76659,0.00814375,0.00814375,0.00814375
17,1028.5,0.84472,3.25931,0.78457,0.56571,0.54722,0.54147,0.24496,0.87903,2.85004,0.78485,0.00802,0.00802,0.00802
18,1089.04,0.8272,3.16663,0.76879,0.61836,0.50592,0.54268,0.24026,0.87969,2.80424,0.77583,0.00789625,0.00789625,0.00789625
19,1149.58,0.84451,3.10148,0.78313,0.5829,0.49967,0.53606,0.24667,0.84078,2.69807,0.75342,0.0077725,0.0077725,0.0077725
20,1209.96,0.84588,3.05566,0.78601,0.61549,0.51485,0.55973,0.26394,0.81672,2.71551,0.73076,0.00764875,0.00764875,0.00764875
21,1270.24,0.84451,2.9911,0.7885,0.63157,0.54663,0.56625,0.27182,0.84031,2.6798,0.75395,0.007525,0.007525,0.007525
22,1330.74,0.85257,2.91918,0.80028,0.67929,0.54291,0.57907,0.26715,0.87075,2.6494,0.76876,0.00740125,0.00740125,0.00740125
