epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9755,0.39328,2.706,0.34032,0.48004,0.45995,0.41422,0.17773,0.45508,2.0352,0.38185,0.00331019,0.00331019,0.00331019
2,121.949,0.33123,2.10848,0.28509,0.33363,0.28654,0.21852,0.08445,0.53615,2.875,0.47527,0.0065613,0.0065613,0.0065613
3,186.231,0.42001,2.54684,0.35244,0.00543,0.02142,0.00259,0.00083,1.39137,55.3062,1.30997,0.00972992,0.00972992,0.00972992
4,246.275,0.47004,2.86738,0.39754,0.04195,0.13116,0.01754,0.00565,0.95709,9.22112,0.93978,0.00962875,0.00962875,0.00962875
5,307.831,0.43575,2.70447,0.37732,0.46829,0.11728,0.05321,0.01885,0.80725,7.54527,0.73151,0.009505,0.009505,0.009505
6,369.204,0.45286,2.55195,0.38959,0.29982,0.24718,0.204,0.0708,0.50614,2.80514,0.45557,0.00938125,0.00938125,0.00938125
7,429.225,0.42719,2.42821,0.37579,0.47852,0.30887,0.29472,0.1244,0.57682,2.26802,0.50733,0.0092575,0.0092575,0.0092575
8,488.941,0.44518,2.32975,0.38851,0.36161,0.34865,0.28816,0.12413,0.57112,2.4324,0.49223,0.00913375,0.00913375,0.00913375
9,550.348,0.42488,2.24486,0.37728,0.36656,0.33748,0.32532,0.13816,0.56171,2.23051,0.49386,0.00901,0.00901,0.00901
10,611.263,0.41331,2.17822,0.37429,0.39026,0.34924,0.31046,0.13561,0.52863,2.20065,0.45983,0.00888625,0.00888625,0.00888625
11,672.474,0.43639,2.13421,0.39471,0.52372,0.34873,0.37728,0.15547,0.57136,2.04427,0.49647,0.0087625,0.0087625,0.0087625
12,732.779,0.43431,2.08169,0.39791,0.49325,0.42587,0.41624,0.18264,0.55945,1.98237,0.47662,0.00863875,0.00863875,0.00863875
13,793.82,0.44309,2.01658,0.40706,0.49221,0.40046,0.4002,0.17828,0.48636,1.91844,0.4265,0.008515,0.008515,0.008515
14,855.274,0.42644,1.96916,0.39628,0.43702,0.41345,0.40763,0.18256,0.48095,1.91506,0.42276,0.00839125,0.00839125,0.00839125
15,916.356,0.43848,1.92403,0.40979,0.52086,0.44063,0.45978,0.21701,0.50708,1.76606,0.44564,0.0082675,0.0082675,0.0082675
16,977.934,0.44245,1.90256,0.41724,0.5514,0.48304,0.49576,0.22649,0.52489,1.69068,0.46456,0.00814375,0.00814375,0.00814375
17,1037.74,0.44354,1.86096,0.42448,0.63724,0.45815,0.50174,0.24237,0.54222,1.72849,0.47564,0.00802,0.00802,0.00802
18,1097.38,0.44498,1.82616,0.42589,0.56261,0.48229,0.50653,0.24326,0.5014,1.68214,0.43841,0.00789625,0.00789625,0.00789625
19,1157.3,0.46552,1.79084,0.4422,0.62466,0.47086,0.5145,0.25414,0.44703,1.60903,0.39674,0.0077725,0.0077725,0.0077725
20,1217.88,0.46811,1.75746,0.44626,0.58711,0.48465,0.51289,0.2583,0.4791,1.60887,0.42015,0.00764875,0.00764875,0.00764875
21,1278.69,0.46323,1.7285,0.4487,0.59157,0.52633,0.54521,0.27462,0.43048,1.56434,0.38128,0.007525,0.007525,0.007525
22,1339.5,0.478,1.68717,0.46373,0.63252,0.52077,0.55442,0.27924,0.3962,1.55279,0.35416,0.00740125,0.00740125,0.00740125
